商品ID	对应物品ID	对应物品数量	消耗金币	消耗水晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	限购数量	刷新间隔	上架时间	下架时间	是否终身限购
102052	104002	1			307	7			60	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102053	104111	1			307	25			4	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102054	104121	1			307	25			4	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102055	104151	1			307	25			4	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102056	104161	1			307	25			4	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102057	104171	1			307	25			4	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102058	104141	1			307	25			4	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102059	104310	1			307	15			6	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102060	104313	1			307	15			6	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102061	104316	1			307	15			6	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102062	114013	1			307	10			6	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102063	114017	1			307	10			6	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102064	114021	1			307	10			6	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
102065	202	1000			307	3					2014-01-01 00:00:00	2035-01-01 00:00:00	
103001	11201	1	600		0				1	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
103002	12201	1	600		0				1	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
103003	13201	1	600		0				1	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
103004	14201	1	600		0				1	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
103005	15201	1	600		0				1	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
104001	100075	1	60		0						2014-01-01 00:00:00	2035-01-01 00:00:00	
104002	100077	1	80		0						2014-01-01 00:00:00	2035-01-01 00:00:00	
104003	100076	1	80		0						2014-01-01 00:00:00	2035-01-01 00:00:00	
104004	100078	1	100		0						2014-01-01 00:00:00	2035-01-01 00:00:00	
104005	100079	1	120		0						2014-01-01 00:00:00	2035-01-01 00:00:00	
104006	100018	1	120		0						2014-01-01 00:00:00	2035-01-01 00:00:00	
104007	100080	1	120		0						2014-01-01 00:00:00	2035-01-01 00:00:00	
104008	100017	1	100		0						2014-01-01 00:00:00	2035-01-01 00:00:00	
105001	108005	1	250		0				5	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105002	108002	1	850		0				5	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105003	108012	1	450		0				5	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105004	110001	1	125		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105005	110002	1	125		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105006	110003	1	750		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105007	110004	1	225		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105008	110005	1	525		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105009	110006	1	400		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105010	100074	1	925		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105011	110008	1	1275		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105012	110009	1	350		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105013	110010	1	600		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105014	110011	1	700		0				10	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
105015	109401	1	2500		0				1	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
105016	109103	1	2500		0				1	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
105017	109203	1	2500		0				1	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
105018	109106	1	5000		0				1	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
105019	109107	1	5000		0				1	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
105020	109304	1	5000		0				1	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
106001	200001	1			200002	1					2014-01-01 00:00:00	2035-01-01 00:00:00	
106002	200001	1			200003	1					2014-01-01 00:00:00	2035-01-01 00:00:00	
106003	200002	1			200001	1					2014-01-01 00:00:00	2035-01-01 00:00:00	
106004	200002	1			200003	1					2014-01-01 00:00:00	2035-01-01 00:00:00	
106005	200003	1			200001	1					2014-01-01 00:00:00	2035-01-01 00:00:00	
106006	200003	1			200002	1					2014-01-01 00:00:00	2035-01-01 00:00:00	
107001	108005	1	250						5	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
107002	108002	1	850						5	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
107003	108012	1	450						5	1	2014-01-01 00:00:00	2035-01-01 00:00:00	
107004	100088	1	100								2014-01-01 00:00:00	2035-01-01 00:00:00	
107005	100089	1	120								2014-01-01 00:00:00	2035-01-01 00:00:00	
107006	109409	1	2500		0				1	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
107007	109411	1	2500		0				1	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
107008	109413	1	5000		0				1	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
107009	109414	1	5000		0				1	9999	2014-01-01 00:00:00	2035-01-01 00:00:00	1
