ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	圣遗物类别	阶数	主属性库ID	追加属性库ID	追加属性初始条数	套装ID	属性加成等级	基础转化经验	强化等级上限	$#VersionBegin	$#VersionEnd
51310	3	1	10	70600043	0			圣遗物	4	3	5000	301	0	10001	5,9,13,17,21	1260	13		
51311	3	1	10	70600043	0			圣遗物	4	3	5000	301	1	10001	5,9,13,17,21	1260	13		
51312	3	1	10	70600043	0			圣遗物	4	3	5000	301	2	10001	5,9,13,17,21	1260	13		
51313	3	1	10	70600043	0			圣遗物	4	3	5000	301	3	10001	5,9,13,17,21	1260	13		
51314	3	1	10	70600043	0			圣遗物	4	3	5000	301	4	10001	5,9,13,17,21	1260	13		
51320	3	1	10	70600043	0			圣遗物	2	3	2000	301	0	10001	5,9,13,17,21	1260	13		
51321	3	1	10	70600043	0			圣遗物	2	3	2000	301	1	10001	5,9,13,17,21	1260	13		
51322	3	1	10	70600043	0			圣遗物	2	3	2000	301	2	10001	5,9,13,17,21	1260	13		
51323	3	1	10	70600043	0			圣遗物	2	3	2000	301	3	10001	5,9,13,17,21	1260	13		
51324	3	1	10	70600043	0			圣遗物	2	3	2000	301	4	10001	5,9,13,17,21	1260	13		
51330	3	1	10	70600043	0			圣遗物	5	3	3000	301	0	10001	5,9,13,17,21	1260	13		
51331	3	1	10	70600043	0			圣遗物	5	3	3000	301	1	10001	5,9,13,17,21	1260	13		
51332	3	1	10	70600043	0			圣遗物	5	3	3000	301	2	10001	5,9,13,17,21	1260	13		
51333	3	1	10	70600043	0			圣遗物	5	3	3000	301	3	10001	5,9,13,17,21	1260	13		
51334	3	1	10	70600043	0			圣遗物	5	3	3000	301	4	10001	5,9,13,17,21	1260	13		
51340	3	1	10	70600043	0			圣遗物	1	3	4000	301	0	10001	5,9,13,17,21	1260	13		
51341	3	1	10	70600043	0			圣遗物	1	3	4000	301	1	10001	5,9,13,17,21	1260	13		
51342	3	1	10	70600043	0			圣遗物	1	3	4000	301	2	10001	5,9,13,17,21	1260	13		
51343	3	1	10	70600043	0			圣遗物	1	3	4000	301	3	10001	5,9,13,17,21	1260	13		
51344	3	1	10	70600043	0			圣遗物	1	3	4000	301	4	10001	5,9,13,17,21	1260	13		
51350	3	1	10	70600043	0			圣遗物	3	3	1000	301	0	10001	5,9,13,17,21	1260	13		
51351	3	1	10	70600043	0			圣遗物	3	3	1000	301	1	10001	5,9,13,17,21	1260	13		
51352	3	1	10	70600043	0			圣遗物	3	3	1000	301	2	10001	5,9,13,17,21	1260	13		
51353	3	1	10	70600043	0			圣遗物	3	3	1000	301	3	10001	5,9,13,17,21	1260	13		
51354	3	1	10	70600043	0			圣遗物	3	3	1000	301	4	10001	5,9,13,17,21	1260	13		
51410	3	1	10	70600044	0			圣遗物	4	4	5000	401	0	10001	5,9,13,17,21	1680	17		
51411	3	1	10	70600044	0			圣遗物	4	4	5000	401	1	10001	5,9,13,17,21	1680	17		
51412	3	1	10	70600044	0			圣遗物	4	4	5000	401	2	10001	5,9,13,17,21	1680	17		
51413	3	1	10	70600044	0			圣遗物	4	4	5000	401	3	10001	5,9,13,17,21	1680	17		
51414	3	1	10	70600044	0			圣遗物	4	4	5000	401	4	10001	5,9,13,17,21	1680	17		
51420	3	1	10	70600044	0			圣遗物	2	4	2000	401	0	10001	5,9,13,17,21	1680	17		
51421	3	1	10	70600044	0			圣遗物	2	4	2000	401	1	10001	5,9,13,17,21	1680	17		
51422	3	1	10	70600044	0			圣遗物	2	4	2000	401	2	10001	5,9,13,17,21	1680	17		
51423	3	1	10	70600044	0			圣遗物	2	4	2000	401	3	10001	5,9,13,17,21	1680	17		
51424	3	1	10	70600044	0			圣遗物	2	4	2000	401	4	10001	5,9,13,17,21	1680	17		
51430	3	1	10	70600044	0			圣遗物	5	4	3000	401	0	10001	5,9,13,17,21	1680	17		
51431	3	1	10	70600044	0			圣遗物	5	4	3000	401	1	10001	5,9,13,17,21	1680	17		
51432	3	1	10	70600044	0			圣遗物	5	4	3000	401	2	10001	5,9,13,17,21	1680	17		
51433	3	1	10	70600044	0			圣遗物	5	4	3000	401	3	10001	5,9,13,17,21	1680	17		
51434	3	1	10	70600044	0			圣遗物	5	4	3000	401	4	10001	5,9,13,17,21	1680	17		
51440	3	1	10	70600044	0			圣遗物	1	4	4000	401	0	10001	5,9,13,17,21	1680	17		
51441	3	1	10	70600044	0			圣遗物	1	4	4000	401	1	10001	5,9,13,17,21	1680	17		
51442	3	1	10	70600044	0			圣遗物	1	4	4000	401	2	10001	5,9,13,17,21	1680	17		
51443	3	1	10	70600044	0			圣遗物	1	4	4000	401	3	10001	5,9,13,17,21	1680	17		
51444	3	1	10	70600044	0			圣遗物	1	4	4000	401	4	10001	5,9,13,17,21	1680	17		
51450	3	1	10	70600044	0			圣遗物	3	4	1000	401	0	10001	5,9,13,17,21	1680	17		
51451	3	1	10	70600044	0			圣遗物	3	4	1000	401	1	10001	5,9,13,17,21	1680	17		
51452	3	1	10	70600044	0			圣遗物	3	4	1000	401	2	10001	5,9,13,17,21	1680	17		
51453	3	1	10	70600044	0			圣遗物	3	4	1000	401	3	10001	5,9,13,17,21	1680	17		
51454	3	1	10	70600044	0			圣遗物	3	4	1000	401	4	10001	5,9,13,17,21	1680	17		
51510	3	1	10	70600045	0			圣遗物	4	5	5000	501	0	10001	5,9,13,17,21	2100	21		
51511	3	1	10	70600045	0			圣遗物	4	5	5000	501	1	10001	5,9,13,17,21	2100	21		
51512	3	1	10	70600045	0			圣遗物	4	5	5000	501	2	10001	5,9,13,17,21	2100	21		
51513	3	1	10	70600045	0			圣遗物	4	5	5000	501	3	10001	5,9,13,17,21	2100	21		
51514	3	1	10	70600045	0			圣遗物	4	5	5000	501	4	10001	5,9,13,17,21	2100	21		
51520	3	1	10	70600045	0			圣遗物	2	5	2000	501	0	10001	5,9,13,17,21	2100	21		
51521	3	1	10	70600045	0			圣遗物	2	5	2000	501	1	10001	5,9,13,17,21	2100	21		
51522	3	1	10	70600045	0			圣遗物	2	5	2000	501	2	10001	5,9,13,17,21	2100	21		
51523	3	1	10	70600045	0			圣遗物	2	5	2000	501	3	10001	5,9,13,17,21	2100	21		
51524	3	1	10	70600045	0			圣遗物	2	5	2000	501	4	10001	5,9,13,17,21	2100	21		
51530	3	1	10	70600045	0			圣遗物	5	5	3000	501	0	10001	5,9,13,17,21	2100	21		
51531	3	1	10	70600045	0			圣遗物	5	5	3000	501	1	10001	5,9,13,17,21	2100	21		
51532	3	1	10	70600045	0			圣遗物	5	5	3000	501	2	10001	5,9,13,17,21	2100	21		
51533	3	1	10	70600045	0			圣遗物	5	5	3000	501	3	10001	5,9,13,17,21	2100	21		
51534	3	1	10	70600045	0			圣遗物	5	5	3000	501	4	10001	5,9,13,17,21	2100	21		
51540	3	1	10	70600045	0			圣遗物	1	5	4000	501	0	10001	5,9,13,17,21	2100	21		
51541	3	1	10	70600045	0			圣遗物	1	5	4000	501	1	10001	5,9,13,17,21	2100	21		
51542	3	1	10	70600045	0			圣遗物	1	5	4000	501	2	10001	5,9,13,17,21	2100	21		
51543	3	1	10	70600045	0			圣遗物	1	5	4000	501	3	10001	5,9,13,17,21	2100	21		
51544	3	1	10	70600045	0			圣遗物	1	5	4000	501	4	10001	5,9,13,17,21	2100	21		
51550	3	1	10	70600045	0			圣遗物	3	5	1000	501	0	10001	5,9,13,17,21	2100	21		
51551	3	1	10	70600045	0			圣遗物	3	5	1000	501	1	10001	5,9,13,17,21	2100	21		
51552	3	1	10	70600045	0			圣遗物	3	5	1000	501	2	10001	5,9,13,17,21	2100	21		
51553	3	1	10	70600045	0			圣遗物	3	5	1000	501	3	10001	5,9,13,17,21	2100	21		
51554	3	1	10	70600045	0			圣遗物	3	5	1000	501	4	10001	5,9,13,17,21	2100	21		
52110	3	1	10	70600041	0			圣遗物	4	1	5000	101	0	10002	5,9,13,17,21	420	5		
52111	3	1	10	70600041	0			圣遗物	4	1	5000	101	1	10002	5,9,13,17,21	420	5		
52112	3	1	10	70600041	0			圣遗物	4	1	5000	101	2	10002	5,9,13,17,21	420	5		
52113	3	1	10	70600041	0			圣遗物	4	1	5000	101	3	10002	5,9,13,17,21	420	5		
52114	3	1	10	70600041	0			圣遗物	4	1	5000	101	4	10002	5,9,13,17,21	420	5		
52120	3	1	10	70600041	0			圣遗物	2	1	2000	101	0	10002	5,9,13,17,21	420	5		
52121	3	1	10	70600041	0			圣遗物	2	1	2000	101	1	10002	5,9,13,17,21	420	5		
52122	3	1	10	70600041	0			圣遗物	2	1	2000	101	2	10002	5,9,13,17,21	420	5		
52123	3	1	10	70600041	0			圣遗物	2	1	2000	101	3	10002	5,9,13,17,21	420	5		
52124	3	1	10	70600041	0			圣遗物	2	1	2000	101	4	10002	5,9,13,17,21	420	5		
52130	3	1	10	70600041	0			圣遗物	5	1	3000	101	0	10002	5,9,13,17,21	420	5		
52131	3	1	10	70600041	0			圣遗物	5	1	3000	101	1	10002	5,9,13,17,21	420	5		
52132	3	1	10	70600041	0			圣遗物	5	1	3000	101	2	10002	5,9,13,17,21	420	5		
52133	3	1	10	70600041	0			圣遗物	5	1	3000	101	3	10002	5,9,13,17,21	420	5		
52134	3	1	10	70600041	0			圣遗物	5	1	3000	101	4	10002	5,9,13,17,21	420	5		
52140	3	1	10	70600041	0			圣遗物	1	1	4000	101	0	10002	5,9,13,17,21	420	5		
52141	3	1	10	70600041	0			圣遗物	1	1	4000	101	1	10002	5,9,13,17,21	420	5		
52142	3	1	10	70600041	0			圣遗物	1	1	4000	101	2	10002	5,9,13,17,21	420	5		
52143	3	1	10	70600041	0			圣遗物	1	1	4000	101	3	10002	5,9,13,17,21	420	5		
52144	3	1	10	70600041	0			圣遗物	1	1	4000	101	4	10002	5,9,13,17,21	420	5		
52150	3	1	10	70600041	0			圣遗物	3	1	1000	101	0	10002	5,9,13,17,21	420	5		
52151	3	1	10	70600041	0			圣遗物	3	1	1000	101	1	10002	5,9,13,17,21	420	5		
52152	3	1	10	70600041	0			圣遗物	3	1	1000	101	2	10002	5,9,13,17,21	420	5		
52153	3	1	10	70600041	0			圣遗物	3	1	1000	101	3	10002	5,9,13,17,21	420	5		
52154	3	1	10	70600041	0			圣遗物	3	1	1000	101	4	10002	5,9,13,17,21	420	5		
52210	3	1	10	70600042	0			圣遗物	4	2	5000	201	0	10002	5,9,13,17,21	840	5		
52211	3	1	10	70600042	0			圣遗物	4	2	5000	201	1	10002	5,9,13,17,21	840	5		
52212	3	1	10	70600042	0			圣遗物	4	2	5000	201	2	10002	5,9,13,17,21	840	5		
52213	3	1	10	70600042	0			圣遗物	4	2	5000	201	3	10002	5,9,13,17,21	840	5		
52214	3	1	10	70600042	0			圣遗物	4	2	5000	201	4	10002	5,9,13,17,21	840	5		
52220	3	1	10	70600042	0			圣遗物	2	2	2000	201	0	10002	5,9,13,17,21	840	5		
52221	3	1	10	70600042	0			圣遗物	2	2	2000	201	1	10002	5,9,13,17,21	840	5		
52222	3	1	10	70600042	0			圣遗物	2	2	2000	201	2	10002	5,9,13,17,21	840	5		
52223	3	1	10	70600042	0			圣遗物	2	2	2000	201	3	10002	5,9,13,17,21	840	5		
52224	3	1	10	70600042	0			圣遗物	2	2	2000	201	4	10002	5,9,13,17,21	840	5		
52230	3	1	10	70600042	0			圣遗物	5	2	3000	201	0	10002	5,9,13,17,21	840	5		
52231	3	1	10	70600042	0			圣遗物	5	2	3000	201	1	10002	5,9,13,17,21	840	5		
52232	3	1	10	70600042	0			圣遗物	5	2	3000	201	2	10002	5,9,13,17,21	840	5		
52233	3	1	10	70600042	0			圣遗物	5	2	3000	201	3	10002	5,9,13,17,21	840	5		
52234	3	1	10	70600042	0			圣遗物	5	2	3000	201	4	10002	5,9,13,17,21	840	5		
52240	3	1	10	70600042	0			圣遗物	1	2	4000	201	0	10002	5,9,13,17,21	840	5		
52241	3	1	10	70600042	0			圣遗物	1	2	4000	201	1	10002	5,9,13,17,21	840	5		
52242	3	1	10	70600042	0			圣遗物	1	2	4000	201	2	10002	5,9,13,17,21	840	5		
52243	3	1	10	70600042	0			圣遗物	1	2	4000	201	3	10002	5,9,13,17,21	840	5		
52244	3	1	10	70600042	0			圣遗物	1	2	4000	201	4	10002	5,9,13,17,21	840	5		
52250	3	1	10	70600042	0			圣遗物	3	2	1000	201	0	10002	5,9,13,17,21	840	5		
52251	3	1	10	70600042	0			圣遗物	3	2	1000	201	1	10002	5,9,13,17,21	840	5		
52252	3	1	10	70600042	0			圣遗物	3	2	1000	201	2	10002	5,9,13,17,21	840	5		
52253	3	1	10	70600042	0			圣遗物	3	2	1000	201	3	10002	5,9,13,17,21	840	5		
52254	3	1	10	70600042	0			圣遗物	3	2	1000	201	4	10002	5,9,13,17,21	840	5		
52310	3	1	10	70600043	0			圣遗物	4	3	5000	301	0	10002	5,9,13,17,21	1260	13		
52311	3	1	10	70600043	0			圣遗物	4	3	5000	301	1	10002	5,9,13,17,21	1260	13		
52312	3	1	10	70600043	0			圣遗物	4	3	5000	301	2	10002	5,9,13,17,21	1260	13		
52313	3	1	10	70600043	0			圣遗物	4	3	5000	301	3	10002	5,9,13,17,21	1260	13		
52314	3	1	10	70600043	0			圣遗物	4	3	5000	301	4	10002	5,9,13,17,21	1260	13		
52320	3	1	10	70600043	0			圣遗物	2	3	2000	301	0	10002	5,9,13,17,21	1260	13		
52321	3	1	10	70600043	0			圣遗物	2	3	2000	301	1	10002	5,9,13,17,21	1260	13		
52322	3	1	10	70600043	0			圣遗物	2	3	2000	301	2	10002	5,9,13,17,21	1260	13		
52323	3	1	10	70600043	0			圣遗物	2	3	2000	301	3	10002	5,9,13,17,21	1260	13		
52324	3	1	10	70600043	0			圣遗物	2	3	2000	301	4	10002	5,9,13,17,21	1260	13		
52330	3	1	10	70600043	0			圣遗物	5	3	3000	301	0	10002	5,9,13,17,21	1260	13		
52331	3	1	10	70600043	0			圣遗物	5	3	3000	301	1	10002	5,9,13,17,21	1260	13		
52332	3	1	10	70600043	0			圣遗物	5	3	3000	301	2	10002	5,9,13,17,21	1260	13		
52333	3	1	10	70600043	0			圣遗物	5	3	3000	301	3	10002	5,9,13,17,21	1260	13		
52334	3	1	10	70600043	0			圣遗物	5	3	3000	301	4	10002	5,9,13,17,21	1260	13		
52340	3	1	10	70600043	0			圣遗物	1	3	4000	301	0	10002	5,9,13,17,21	1260	13		
52341	3	1	10	70600043	0			圣遗物	1	3	4000	301	1	10002	5,9,13,17,21	1260	13		
52342	3	1	10	70600043	0			圣遗物	1	3	4000	301	2	10002	5,9,13,17,21	1260	13		
52343	3	1	10	70600043	0			圣遗物	1	3	4000	301	3	10002	5,9,13,17,21	1260	13		
52344	3	1	10	70600043	0			圣遗物	1	3	4000	301	4	10002	5,9,13,17,21	1260	13		
52350	3	1	10	70600043	0			圣遗物	3	3	1000	301	0	10002	5,9,13,17,21	1260	13		
52351	3	1	10	70600043	0			圣遗物	3	3	1000	301	1	10002	5,9,13,17,21	1260	13		
52352	3	1	10	70600043	0			圣遗物	3	3	1000	301	2	10002	5,9,13,17,21	1260	13		
52353	3	1	10	70600043	0			圣遗物	3	3	1000	301	3	10002	5,9,13,17,21	1260	13		
52354	3	1	10	70600043	0			圣遗物	3	3	1000	301	4	10002	5,9,13,17,21	1260	13		
52410	3	1	10	70600044	0			圣遗物	4	4	5000	401	0	10002	5,9,13,17,21	1680	17		
52411	3	1	10	70600044	0			圣遗物	4	4	5000	401	1	10002	5,9,13,17,21	1680	17		
52412	3	1	10	70600044	0			圣遗物	4	4	5000	401	2	10002	5,9,13,17,21	1680	17		
52413	3	1	10	70600044	0			圣遗物	4	4	5000	401	3	10002	5,9,13,17,21	1680	17		
52414	3	1	10	70600044	0			圣遗物	4	4	5000	401	4	10002	5,9,13,17,21	1680	17		
52420	3	1	10	70600044	0			圣遗物	2	4	2000	401	0	10002	5,9,13,17,21	1680	17		
52421	3	1	10	70600044	0			圣遗物	2	4	2000	401	1	10002	5,9,13,17,21	1680	17		
52422	3	1	10	70600044	0			圣遗物	2	4	2000	401	2	10002	5,9,13,17,21	1680	17		
52423	3	1	10	70600044	0			圣遗物	2	4	2000	401	3	10002	5,9,13,17,21	1680	17		
52424	3	1	10	70600044	0			圣遗物	2	4	2000	401	4	10002	5,9,13,17,21	1680	17		
52430	3	1	10	70600044	0			圣遗物	5	4	3000	401	0	10002	5,9,13,17,21	1680	17		
52431	3	1	10	70600044	0			圣遗物	5	4	3000	401	1	10002	5,9,13,17,21	1680	17		
52432	3	1	10	70600044	0			圣遗物	5	4	3000	401	2	10002	5,9,13,17,21	1680	17		
52433	3	1	10	70600044	0			圣遗物	5	4	3000	401	3	10002	5,9,13,17,21	1680	17		
52434	3	1	10	70600044	0			圣遗物	5	4	3000	401	4	10002	5,9,13,17,21	1680	17		
52440	3	1	10	70600044	0			圣遗物	1	4	4000	401	0	10002	5,9,13,17,21	1680	17		
52441	3	1	10	70600044	0			圣遗物	1	4	4000	401	1	10002	5,9,13,17,21	1680	17		
52442	3	1	10	70600044	0			圣遗物	1	4	4000	401	2	10002	5,9,13,17,21	1680	17		
52443	3	1	10	70600044	0			圣遗物	1	4	4000	401	3	10002	5,9,13,17,21	1680	17		
52444	3	1	10	70600044	0			圣遗物	1	4	4000	401	4	10002	5,9,13,17,21	1680	17		
52450	3	1	10	70600044	0			圣遗物	3	4	1000	401	0	10002	5,9,13,17,21	1680	17		
52451	3	1	10	70600044	0			圣遗物	3	4	1000	401	1	10002	5,9,13,17,21	1680	17		
52452	3	1	10	70600044	0			圣遗物	3	4	1000	401	2	10002	5,9,13,17,21	1680	17		
52453	3	1	10	70600044	0			圣遗物	3	4	1000	401	3	10002	5,9,13,17,21	1680	17		
52454	3	1	10	70600044	0			圣遗物	3	4	1000	401	4	10002	5,9,13,17,21	1680	17		
52510	3	1	10	70600045	0			圣遗物	4	5	5000	501	0	10002	5,9,13,17,21	2100	21		
52511	3	1	10	70600045	0			圣遗物	4	5	5000	501	1	10002	5,9,13,17,21	2100	21		
52512	3	1	10	70600045	0			圣遗物	4	5	5000	501	2	10002	5,9,13,17,21	2100	21		
52513	3	1	10	70600045	0			圣遗物	4	5	5000	501	3	10002	5,9,13,17,21	2100	21		
52514	3	1	10	70600045	0			圣遗物	4	5	5000	501	4	10002	5,9,13,17,21	2100	21		
52520	3	1	10	70600045	0			圣遗物	2	5	2000	501	0	10002	5,9,13,17,21	2100	21		
52521	3	1	10	70600045	0			圣遗物	2	5	2000	501	1	10002	5,9,13,17,21	2100	21		
52522	3	1	10	70600045	0			圣遗物	2	5	2000	501	2	10002	5,9,13,17,21	2100	21		
52523	3	1	10	70600045	0			圣遗物	2	5	2000	501	3	10002	5,9,13,17,21	2100	21		
52524	3	1	10	70600045	0			圣遗物	2	5	2000	501	4	10002	5,9,13,17,21	2100	21		
52530	3	1	10	70600045	0			圣遗物	5	5	3000	501	0	10002	5,9,13,17,21	2100	21		
52531	3	1	10	70600045	0			圣遗物	5	5	3000	501	1	10002	5,9,13,17,21	2100	21		
52532	3	1	10	70600045	0			圣遗物	5	5	3000	501	2	10002	5,9,13,17,21	2100	21		
52533	3	1	10	70600045	0			圣遗物	5	5	3000	501	3	10002	5,9,13,17,21	2100	21		
52534	3	1	10	70600045	0			圣遗物	5	5	3000	501	4	10002	5,9,13,17,21	2100	21		
52540	3	1	10	70600045	0			圣遗物	1	5	4000	501	0	10002	5,9,13,17,21	2100	21		
52541	3	1	10	70600045	0			圣遗物	1	5	4000	501	1	10002	5,9,13,17,21	2100	21		
52542	3	1	10	70600045	0			圣遗物	1	5	4000	501	2	10002	5,9,13,17,21	2100	21		
52543	3	1	10	70600045	0			圣遗物	1	5	4000	501	3	10002	5,9,13,17,21	2100	21		
52544	3	1	10	70600045	0			圣遗物	1	5	4000	501	4	10002	5,9,13,17,21	2100	21		
52550	3	1	10	70600045	0			圣遗物	3	5	1000	501	0	10002	5,9,13,17,21	2100	21		
52551	3	1	10	70600045	0			圣遗物	3	5	1000	501	1	10002	5,9,13,17,21	2100	21		
52552	3	1	10	70600045	0			圣遗物	3	5	1000	501	2	10002	5,9,13,17,21	2100	21		
52553	3	1	10	70600045	0			圣遗物	3	5	1000	501	3	10002	5,9,13,17,21	2100	21		
52554	3	1	10	70600045	0			圣遗物	3	5	1000	501	4	10002	5,9,13,17,21	2100	21		
53110	3	1	10	70600041	0			圣遗物	4	1	5000	101	0	10003	5,9,13,17,21	420	5		
53111	3	1	10	70600041	0			圣遗物	4	1	5000	101	1	10003	5,9,13,17,21	420	5		
53112	3	1	10	70600041	0			圣遗物	4	1	5000	101	2	10003	5,9,13,17,21	420	5		
53113	3	1	10	70600041	0			圣遗物	4	1	5000	101	3	10003	5,9,13,17,21	420	5		
53114	3	1	10	70600041	0			圣遗物	4	1	5000	101	4	10003	5,9,13,17,21	420	5		
53120	3	1	10	70600041	0			圣遗物	2	1	2000	101	0	10003	5,9,13,17,21	420	5		
53121	3	1	10	70600041	0			圣遗物	2	1	2000	101	1	10003	5,9,13,17,21	420	5		
53122	3	1	10	70600041	0			圣遗物	2	1	2000	101	2	10003	5,9,13,17,21	420	5		
53123	3	1	10	70600041	0			圣遗物	2	1	2000	101	3	10003	5,9,13,17,21	420	5		
53124	3	1	10	70600041	0			圣遗物	2	1	2000	101	4	10003	5,9,13,17,21	420	5		
53130	3	1	10	70600041	0			圣遗物	5	1	3000	101	0	10003	5,9,13,17,21	420	5		
53131	3	1	10	70600041	0			圣遗物	5	1	3000	101	1	10003	5,9,13,17,21	420	5		
53132	3	1	10	70600041	0			圣遗物	5	1	3000	101	2	10003	5,9,13,17,21	420	5		
53133	3	1	10	70600041	0			圣遗物	5	1	3000	101	3	10003	5,9,13,17,21	420	5		
53134	3	1	10	70600041	0			圣遗物	5	1	3000	101	4	10003	5,9,13,17,21	420	5		
53140	3	1	10	70600041	0			圣遗物	1	1	4000	101	0	10003	5,9,13,17,21	420	5		
53141	3	1	10	70600041	0			圣遗物	1	1	4000	101	1	10003	5,9,13,17,21	420	5		
53142	3	1	10	70600041	0			圣遗物	1	1	4000	101	2	10003	5,9,13,17,21	420	5		
53143	3	1	10	70600041	0			圣遗物	1	1	4000	101	3	10003	5,9,13,17,21	420	5		
