子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
1100302	11003	2					1	1100301	3											2	1100302																					2		163001		3	2	2				1																					19	3	133002329,2				1012,1630		1100			
1100303	11003	3	1				1	1100302	3											5	108021			1																		1		Q1100303Target		3	2	2	1			1																					19	3	133002329,2				1012,1630		1100			
1100304	11003	4					1	1100303	3											2	1100304																					2		163001		3	2	2		1		1			1	108021	1	19	3	133002329,1													19	3	133002329,2				1012,1630		1100			
1100401	11004	1		1			1	1100304	3											9	1010	125																				1		Q1100401D1		3	2	2	1			1																					2	3	125									
1100499	11004	2			1		1	1100401	3											20			22000502	1										2	1100403																																																	
1100498	11004	3			1		1	1100401	3											4	1100498													2	1100403																																																	
1100402	11004	4		1			1	1100401	3											20			22000501	1									2	19	1010			10	3													1												14	1100401		20	13					12	13								13		
1100403	11004	5		1			1	1100402	3											2	1100403												2	19	1010			10	3			2		1012		20005	2	2		1		1			17	3	125	20	13					14	1100401		20	13														13		
1100501	11005	1					1	1100403	3											2	1100501																					2		163001		3	2	2				1																											1012,1537,1541,1631		1100			
1100502	11005	2					1	1100501	3											2	1100502																					2		1012		3	2	2				1																					19	3	133002308,2				1012,1537,1541,1631		1100			
1100503	11005	3					1	1100502	3											2	1100503																					2		1012		3	2	2				1																					19	3	133002308,2				1012,1537,1541,1631		1100			
1100505	11005	4	1			1	1	1100503	3		1	1100504	2							5	100014			1										24	1100504		1																																				19	3	133002308,2				1012,1537,1541,1631		1100			
1100506	11005	5				1	1	1100505	3		1	1100504	2						1	25	70710030				5	100014		1						24	1100504		1					1		Q1100506Wash		3	2	2	1				100355	1	1	100014	1																19	3	133002308,2				1012,1537,1541,1631		1100			
1100507	11005	6			1	1	1	1100506	3		1	1100504	2							7	133002312													8	1100507																				19	3	133002312,1																19	3	133002308,2	19	3	133002312,2						
1100508	11005	7				1	1	1100506	3		1	1100504	2							2	1100508													24	1100504		1					2		1012		3	2	2							29	100355																	19	3	133002308,2				1012,1537,1541,1631		1100			
1100509	11005	8				1	1	1100508	3		1	1100504	2						1	25	70710031				25	70710032			25	70710033				8	1100509																																						19	3	133002308,2						1100			
1100510	11005	9				1	1	1100508	3		1	1100504	2						2	2	1100510				2	1100509								24	1100504		1					2		1012		3	2	2																									19	3	133002308,2				1012,1537,1541,1631		1100			
1100511	11005	10	2			1	1	1100510	3		1	1100504	2							5	108013			1										24	1100504		1																																				19	3	133002308,2				1012,1537,1541,1631		1100			
1100512	11005	11				1	1	1100511	3		1	1100504	2							2	1100512													24	1100504		1					2		1012		3	2	2							1	108013	1																19	3	133002308,2				1012,1537,1541,1631		1100			
1100513	11005	12				1	1	1100512	3		1	1100504	2							27	8													24	1100504		1					2		1012		3	2	2																									19	3	133002308,2	28	8		1012,1537,1541,1631		1100			
1100514	11005	13				1	1	1100513	3		1	1100504	2							2	1100514													24	1100504		1					2		1012		3	2	2																									19	3	133002308,2				1012,1537,1541,1631		1100			
1100504	11005	14			1		1	1100503	3											4	1100504													8	1100504																				23	1100504	1	19	3	133002312,1	29	100355		14	1100503		19	3	133002312,1	29	100355		19	3	133002308,2									
1100515	11005	15					1	1100504	3											2	1100515																					2		1012		3	2	2				1	109404,100018,110005,100026,100027	1,2,1,2,2																			19	3	133002308,2				1012,1537,1541,1631		1100			
1100599	11005	16			1		1	1100515	3											4	1100599																																																															
1100516	11005	17	3				1	1100515	3											5	108070			1																												1																					19	3	133002308,2				1012,1537,1541,1631		1100			
1100517	11005	18					1	1100516	3											2	1100517																					2		1012		3	2	2				1			1	108070	1																19	3	133002308,2				1012,1537,1541,1631		1100			
1100518	11005	19					1	1100517	3											2	1100518																					2		153701		3	2	2				1																					19	3	133002308,2				1012,1537,1541,1631		1100			
1100519	11005	20					1	1100518	3											2	1100519																					2		1012		3	3	2		1		1			19	3	133002308,1																						1012		1100			
1100601	11006	1					1	99902	3											6	1168																					1		Q1100601_Target	40	3		2				1			15	3	133103015																											
1100602	11006	2					1	99902	3											20			133103015_finish	1																		1		Q1100602_Target		3		2		1		1																																
1100701	11007	1			1		1	99902	3											6	1168																																																															
1100702	11007	2			1		1	99902	3											20			133103334_step1	1																		1		Q1100601_Target	40	3		2				1			23	110070501	1																											
1100703	11007	3			1		1	99902	3											20			133103334_step2	1																		1		Q1100602_Target	40	3		2				1			23	110070501	1																											
1100704	11007	4			1		1	99902	3											20			133103334_step3	1																		1		Q1100602_Target	40	3		2				1			23	110070501	1																											
1100705	11007	5	1				1	99902	3											24	110070501			3																		1				3						1			15	3	133103334																											
1100706	11007	6					1	99902	3											20			133103334_finish																			1		Q1100601_Target		3		2		1		1			15	3	133103334																											
1300101	13001	1					1	99902	3											2	1300101																															1																																
1300102	13001	2					1	1300101	3											4	1300102																															1																																
1300103	13001	3					1	1300102	3											2	1300103																															1																																
1300104	13001	4	1				1	1300103	3											2	1300104																															1																																
1300105	13001	5	1		1		1	1300103	3											2	1300105																															1																																
1300106	13001	6	1		1		1	1300103	3											2	1300106																															1																																
1300107	13001	7					1	1300106	3											2	1300107																																																															
1300108	13001	8					1	1300107	3											2	1300108																															1																																
1300109	13001	9					1	1300108	3											7	133102274																															1			19	3	133102274,1																19	3	133102274,2									
1300110	13001	10					1	1300109	3											2	1300110																													1		1																																
1300201	13002	1					1	1300110	3											2	1300201																															1																																
1300202	13002	2					1	1300201	3											4	1300202																															1																																
1300203	13002	3					1	1300202	3											2	1300203																															1																																
1300204	13002	4					1	1300203	3											4	1300204																															1																																
1300205	13002	5					1	1300204	3											2	1300205																																																															
1300206	13002	6					1	1300205	3											4	1300206																																																															
1300207	13002	7					1	1300206	3											2	1300207																															1																																
1300208	13002	8					1	1300207	3											7	133102274																															1			19	3	133102274,1																19	3	133102274,2									
1300209	13002	9					1	1300208	3											2	1300209																													1		1																																
1300301	13003	1					1	1300209	3											4	1300301																															1																																
1300302	13003	2					1	1300301	3											9	2007	102																														1																																
1300303	13003	3					1	1300302	3											2	1300303																															1																																
1300304	13003	4					1	1300303	3											2	1300304																															1																																
1300305	13003	5					1	1300304	3											2	1300305																													1		1																																
1300401	13004	1					1	1300305	3											2	1300401																															1																																
1300402	13004	2					1	1300401	3											7	133102274																															1			19	3	133102274,1																19	3	133102274,2									
1300403	13004	3					1	1300402	3											2	1300403																															1																																
1300404	13004	4					1	1300403	3											4	1300404																															1																																
1300405	13004	5					1	1300404	3											2	1300405																															1																																
1300406	13004	6					1	1300405	3											2	1300406																													1		1																																
