子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4复杂参数	[完成条件]4次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]3类型	[执行]3参数1	[执行]3参数2	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
2230503	22305	3			1	1	9	26000			1	2230502	2		3	202	100							2	2230503																																					1			27	3	133107909,5,6,7,8,9,10,11	1	202	100	23	223050201	1																								
2230504	22305	4			1	1	9	26000			1	2230502	2		3	202	500							2	2230504																																					1			27	3	133107909,2,3,4,5,6,7,8,9,10,11	1	202	200	23	223050201	1																								
2230505	22305	5			1	1	9	26000			1	2230502	2		3	202	1000							2	2230505																																					1			27	3	133107909,2,3,4,5,6,7,11	1	202	300	23	223050201	1																								
2230506	22305	6				1	9	26000			1	2230502	3											24	223050601			1																								2		2054		3	2	2				1																														2054					
2230507	22305	7			1	1	9	26000			1	2230506	2											2	2230507																																					1			15	3	133107909																														
2230508	22305	8			1	1	9	26000			1	2230506	2											2	2230508																																					1			15	3	133107909																														
2230509	22305	9			1	1	9	26000			1	2230506	2											2	2230509																																					1			15	3	133107909																														
2230510	22305	10			1	1	9	26000			1	2230506	2											20			13310790901	1																																		1			23	223050601	1																														
2230511	22305	11			1	1	9	26000			1	2230506	2											20			13310790902	1																																		1			23	223050601	1																														
2230512	22305	12			1	1	9	26000			1	2230506	2											20			13310790903	1																																		1			23	223050601	1																														
2230513	22305	13				1	9	26000			1	2230506	3										2	2	2230512				2	2230513			2	2230514																		2		2054		3	3	2		1		1			24	26000																										2054					
2230514	22305	14			1	1	9	26000			1	2230513	2		24	0	0		3	202	100			2	2230511																																					1			14	2230502																															
2230515	22305	15			1	1	9	26000			1	2230513	2											2	2230512																																					1																																			
2230516	22305	16			1	1	9	26000			1	2230513	2		25	3	4		26	4	6			2	2230513																																					1																																			
2230517	22305	17			1	1	9	26000			1	2230513	2		25	4	5							2	2230514																																					1																																			
2230518	22305	18			1	1	9	26000			24	4	0																																																	1			33	0																															
2230519	22305	19			1	1	9	26000			24	4	1																																																	1			33	1																															
2230520	22305	20			1	1	9	26000			24	4	2																																																	1			33	2																															
2230521	22305	21			1	1	9	26000			24	4	3																																																	1			33	3																															
2230522	22305	22			1	1	9	26000			24	4	4																																																	1			33	4																															
2230523	22305	23			1	1	9	26000			24	4	5																																																	1			33	5																															
2230524	22305	24			1	1	9	26000			24	4	6																																																	1			33	6																															
2230525	22305	25			1	1	9	26000			24	4	7																																																	1			33	7																															
2230526	22305	26			1	1	9	26000			24	4	8																																																	1			33	8																															
2230527	22305	27			1	1	9	26000			24	4	9																																																	1			33	9																															
2230528	22305	28			1	1	9	26000			24	4	10																																																	1			33	10																															
2230601	22306	1					9	25901																2	2230601																											2		2033		3	1	1				1																														2033,2013					
2230602	22306	2				1	9	25901			1	2230601	3											2	2230608																											2		2013		3	2	2				1																					28	2230602								2033,2013					
2230603	22306	3			1	1	9	25901			1	2230601	3											2	2230603																																					1																																			
2230604	22306	4			1	1	9	25901			1	2230601	3											24	223060401			1																																		1																																			
2230611	22306	5			1	1	9	25901			1	2230601	3		24	0	1							20			13310444201	1																																		1	100395	1	23	223060401	1	19	3	133104446,1	19	3	133104442,1										19	3	133104442,2	19	3	133104446,2									
2230612	22306	6			1	1	9	25901			1	2230601	3		24	0	2							20			13310444301	1																																		1	100396	1	23	223060401	1	19	3	133104443,1	19	3	133104447,1										19	3	133104443,2	19	3	133104447,2									
2230613	22306	7			1	1	9	25901			1	2230601	3		24	0	3							20			13310444401	1																																		1	100395	1	23	223060401	1	19	3	133104444,1	19	3	133104448,1										19	3	133104444,2	19	3	133104448,3									
2230641	22306	8			1	1	9	25901			1	2230601	3		24	0	1							2	2230602																																					1	100416	1																																	
2230642	22306	9			1	1	9	25901			1	2230601	3		24	0	2							2	2230602																																					1	100415	1																																	
2230643	22306	10			1	1	9	25901			1	2230601	3		24	0	3							2	2230602																																					1	100414	1																																	
2230621	22306	11				1	9	25901			1	2230602	3		24	0	1						2	20			13310444201	1	2	2230603			20		13310444202	1																2		2013		3	2	2				1																														2033,2013					
2230622	22306	12				1	9	25901			1	2230602	3		24	0	2						2	20			13310444301	1	2	2230603			20		13310444302	1																2		2013		3	2	2				1																														2033,2013					
2230623	22306	13				1	9	25901			1	2230602	3		24	0	3						2	20			13310444401	1	2	2230603			20		13310444402	1																2		2013		3	2	2				1																														2033,2013					
2230631	22306	14				1	9	25901			1	2230621	3											20			13310444201	1																								1		Event_25901C	60	3	2	2				1																														2033,2013					
2230632	22306	15				1	9	25901			1	2230622	3											20			13310444301	1																								1		Event_25901C	60	3	2	2				1																														2033,2013					
2230633	22306	16				1	9	25901			1	2230623	3											20			13310444401	1																								1		Event_25901C	60	3	2	2				1																														2033,2013					
2230651	22306	17			1	1	9	25901			1	2230602	3										2	20			13310444202	1	20		13310444302	1	20		13310444402	1																																																													
2230605	22306	18				1	9	25901			1	2230604	3										2	2	2230606				2	2230609																						2		2013		3	3	2		1		1			24	25901																										2033,2013					
2230701	22307	1					9	25902																2	2230701																											2		2033		3	1	1				1																														2033,2013					
2230702	22307	2				1	9	25902			1	2230701	3											2	2230708																											2		2013		3	2	2				1																					28	2230702								2033,2013					
2230703	22307	3			1	1	9	25902			1	2230701	3											2	2230703																																					1																																			
2230704	22307	4			1	1	9	25902			1	2230701	3											24	223070401			1																																		1																																			
2230711	22307	5			1	1	9	25902			1	2230701	3		24	0	1							20			13310809901	1																																		1	100395	1	23	223070401	1	19	3	133108102,1	19	3	133108099,1										19	3	133108099,2	19	3	133108102,2									
2230712	22307	6			1	1	9	25902			1	2230701	3		24	0	2							20			13310810001	1																																		1	100395	1	23	223070401	1	19	3	133108100,1	19	3	133108103,1										19	3	133108100,2	19	3	133108103,2									
2230713	22307	7			1	1	9	25902			1	2230701	3		24	0	3							20			13310810101	1																																		1	100396	1	23	223070401	1	19	3	133108101,1	19	3	133108104,1										19	3	133108101,2	19	3	133108104,2									
2230741	22307	8			1	1	9	25902			1	2230701	3		24	0	1							2	2230702																																					1	100417	1																																	
2230742	22307	9			1	1	9	25902			1	2230701	3		24	0	2							2	2230702																																					1	100418	1																																	
2230743	22307	10			1	1	9	25902			1	2230701	3		24	0	3							2	2230702																																					1	100419	1																																	
2230721	22307	11				1	9	25902			1	2230702	3		24	0	1						2	20			13310809901	1	2	2230703			20		13310809902	1																2		2013		3	2	2				1																														2033,2013					
2230722	22307	12				1	9	25902			1	2230702	3		24	0	2						2	20			13310810001	1	2	2230703			20		13310810002	1																2		2013		3	2	2				1																														2033,2013					
2230723	22307	13				1	9	25902			1	2230702	3		24	0	3						2	20			13310810101	1	2	2230703			20		13310810102	1																2		2013		3	2	2				1																														2033,2013					
2230731	22307	14				1	9	25902			1	2230721	3											20			13310809901	1																								1		Event_25902C	60	3	2	2				1																														2033,2013					
2230732	22307	15				1	9	25902			1	2230722	3											20			13310810001	1																								1		Event_25902C	60	3	2	2				1																														2033,2013					
2230733	22307	16				1	9	25902			1	2230723	3											20			13310810101	1																								1		Event_25902C	60	3	2	2				1																														2033,2013					
2230751	22307	17			1	1	9	25902			1	2230702	3										2	20			13310809902	1	20		13310810002	1	20		13310810102	1																																																													
2230705	22307	18				1	9	25902			1	2230704	3										2	2	2230706				2	2230709																						2		2013		3	3	2		1		1			24	25902																										2033,2013					
