对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
2000601			1	1	2000601	3		1	2000602	2						2		200060101	1419	20006
2000602	2		1	1	2000607	3		1	2000604	2						1		200060201	159401	20006
2000604			1	1	2000604	3		1	2000610	2						2		200060401	1419	20006
2000605				1	2000603	4										1		200060501	1005	20006
2000606				1	2000603	4										1		200060601	1005	20006
2001601			1	1	2001601	3		1	2001602	2						2		200160101	1419	20016
2001602			1	1	2001603	3		1	2001611	2						2		200160201	1419	20016
2001603			1	1	2001602	3		1	2001603	2		1	2001604	2		2		200160301	157301	20016
2001604			1	1	2001602	3		1	2001603	2		1	2001604	4		2		200160401	157301	20016
2001605			1	1	2001602	3		1	2001603	2		1	2001605	2		2		200160501	157501	20016
2001606			1	1	2001602	3		1	2001603	2		1	2001605	4		2		200160601	157501	20016
2001607			1	1	2001602	3		1	2001603	2		1	2001606	2		2		200160701	157701	20016
2001608			1	1	2001602	3		1	2001603	2		1	2001606	4		2		200160801	157701	20016
2001609				1	2001603	4										1		200160901	1005	20016
2001610				1	2001603	4										1		200161001	1005	20016
2001611	2		1	1	2001602	3		1	2001603	2						3	2001603,2001604	200161101	157301	20016
2001612	2		1	1	2001602	3		1	2001603	2						3	2001605,2001606	200161201	157501	20016
2001613	2		1	1	2001602	3		1	2001603	2						3	2001607,2001608	200161301	157701	20016
2001614	2		1	1	2001603	3		1	2001611	2						3		200161401	157301	20016
2001615	2		1	1	2001603	3		1	2001611	2						3		200161501	157501	20016
2001616	2		1	1	2001603	3		1	2001611	2						3		200161601	157701	20016
2002601			1	1	2002601	3		1	2002602	2						2		200260101	1419	20026
2002602	2		1	1	2002603	3		1	2002604	2						2		200260201	1419	20026
2002603			1	1	2002604	3		1	2002607	2						3		200260301	1535	20026
2002604			1	1	2002607	3		1	2002608	2						2		200260401	1419	20026
2002605				1	2002605	4										1		200260501	1005	20026
2002606				1	2002606	4										1		200260601	1005	20026
2002607	2		1	1	2002607	3		1	2002608	2						4		200260701	1535	20026
2000701	2		1	1	2000701	3		1	2000702	2						5	2000707,2000708	200070101	153901	20007
2000702	2			1	2000703	2										5		200070201	153901	20007
2000703	2			1	2000704	2										5		200070301	153901	20007
2000704	2		1	1	2000705	3		1	2000706	2						5	2000709,2000710	200070401	153901	20007
2000705	2			1	2000707	2										5		200070501	153901	20007
2000706	2		1	1	2000707	3		1	2000708	2						5		200070601	153901	20007
2000707																5		200070701	153901	20007
2000708																5		200070801	153901	20007
2000709																5		200070901	153901	20007
2000710																5		200071001	153901	20007
2000801	2		1	1	2000802	3										5		200080101	156901	20008
2000901	2			1	2000901	2										5	2000909,2000910	200090101	156501	20009
2000902	2			1	2000903	2										5		200090201	156501	20009
2000903	2			1	2000904	2										5		200090301	20025	20009
2000904	2		1	1	2000906	2		1	2000904	3						5		200090401	156501	20009
2000905	2			1	2000908	2										5		200090501	156501	20009
2000906	2			1	2000914	2										5		200090601	20025	20009
2000907	2			1	2000915	2										5		200090701	156501	20009
2000908	2		1	1	2000906	2		1	2000910	3		1	2000905	3		5		200090801	156501	20009
2000909																5		200090901	156501	20009
2000910																5		200091001	156501	20009
2000911				1	2000910	3										5		200091101	156501	20009
2001001	2			1	2001001	2										5	2001009,2001010	200100101	156501	20010
2001002	2			1	2001003	2										5		200100201	156501	20010
2001003	2			1	2001004	2										5		200100301	20025	20010
2001004	2		1	1	2001006	2		1	2001004	3						5		200100401	156501	20010
2001005	2			1	2001008	2										5		200100501	156501	20010
2001006	2			1	2001014	2										5		200100601	20025	20010
2001007	2			1	2001015	2										5		200100701	156501	20010
2001008	2		1	1	2001006	2		1	2001010	3		1	2001005	3		5		200100801	156501	20010
2001009																5		200100901	156501	20010
2001010																5		200101001	156501	20010
2001011				1	2001010	3										5		200101101	156501	20010
2001501	2			1	2001501	2										5	2001509,2001510	200150101	156501	20015
2001502	2			1	2001503	2										5		200150201	156501	20015
2001503	2			1	2001504	2										5		200150301	20025	20015
2001504	2		1	1	2001506	2		1	2001504	3						5		200150401	156501	20015
2001505	2			1	2001508	2										5		200150501	156501	20015
2001506	2			1	2001514	2										5		200150601	20025	20015
2001507	2			1	2001515	2										5		200150701	156501	20015
2001508	2		1	1	2001506	2		1	2001510	3		1	2001505	3		5		200150801	156501	20015
2001509																5		200150901	156501	20015
2001510																5		200151001	156501	20015
2001511				1	2001510	3										5		200151101	156501	20015
2001701	2		1	1	2001701	3		1	2001702	2						5	2001707,2001708	200170101	154901	20017
2001702	2			1	2001703	2										5		200170201	154901	20017
2001703	2			1	2001704	2										5		200170301	154901	20017
2001704	2		1	1	2001705	3		1	2001706	2						5	2001709,2001710	200170401	154901	20017
2001705	2			1	2001707	2										5		200170501	154901	20017
2001706	2		1	1	2001707	3		1	2001708	2						5		200170601	154901	20017
2001707																5		200170701	154901	20017
2001708																5		200170801	154901	20017
2001709																5		200170901	154901	20017
2001710																5		200171001	154901	20017
2001801	2		1	1	2001801	3		1	2001802	2						5	2001807,2001808	200180101	157101	20018
2001802	2			1	2001803	2										5		200180201	157101	20018
2001803	2			1	2001804	2										5		200180301	157101	20018
2001804	2		1	1	2001805	3		1	2001806	2						5	2001809,2001810	200180401	157101	20018
2001805	2			1	2001807	2										5		200180501	157101	20018
2001806	2		1	1	2001807	3		1	2001808	2						5		200180601	157101	20018
2001807																5		200180701	157101	20018
2001808																5		200180801	157101	20018
2001809																5		200180901	157101	20018
2001810																5		200181001	157101	20018
2002701	2		1	1	2002702	3										5		200270101	153301	20027
2002801	2		1	1	2002802	3										5		200280101	157501	20028
2003601	2		1	1	2003601	3		1	2003602	2						5		200360101	1521	20036
2003602	2		1	1	2003602	3		3	100057	3		1	2003604	2		5		200360201	1521	20036
2003603	2			1	2003606	2										5		200360301	1521	20036
2003701	2			1	2003702	2										5		200370101	155301	20037
2003702	2		1	1	2003702	3		2	2003703	3						5		200370201	155301	20037
2003703	2			1	2003703	2										5		200370301	1521	20037
2003704	2			1	2003703	3		2	2003706	3						5		200370401	1521	20037
2003705	2			1	2003706	2										5		200370501	155301	20037
2003801	2			1	2003801	2										6		200380101	1473	20038
2003802	2		2	1	2003805	2		1	2003806	2		1	2003807	2		7		200380201	1473	20038
2003803	2		2	1	2003808	2		1	2003809	2		1	2003810	2		8		200380301	1473	20038
2003901	2			1	2003901	2										2	2003902	200390101	1587	20039
2003902																1	2003904,2003905,2003906	200390201	1587	20039
2003903																1		200390301	1587	20039
2003904				1	2003907	2										1		200390401	1587	20039
2003905				1	2003908	2										1		200390501	1587	20039
2003906				1	2003909	2										1		200390601	1587	20039
2003907				1	2003907	2										1		200390701	1587	20039
2003908				1	2003908	2										1		200390801	1587	20039
2003909				1	2003909	2										1		200390901	1587	20039
2003910			1	1	2003907	3		1	2003916	2						1		200391001	1587	20039
2003911			1	1	2003908	3		1	2003917	2						1		200391101	1587	20039
2003912			1	1	2003909	3		1	2003918	2						1		200391201	1587	20039
2003913			1	1	2003913	3		1	2003919	2						1		200391301	1587	20039
2003914			1	1	2003914	3		1	2003920	2						1		200391401	1587	20039
2003915			1	1	2003915	3		1	2003921	2						1		200391501	1587	20039
2004001	2			1	2004001	2										5		200400101	158101	20040
2004002	2		1	1	2004002	3		1	2004003	2						5		200400201	158101	20040
2004003	2			1	2004002	2										5		200400301	158101	20040
2004004	2		1	1	2004004	3		1	2004007	2						5		200400401	158101	20040
2004005	1			1	2004002	2										6		200400501	1005	20040
2004101	2			1	2004101	2										6		200410101	1589	20041
2004102	2		1	1	2004101	3		1	2004102	2						6		200410201	1589	20041
2004103	2		1	1	2004102	3		1	2004103	2						6		200410301	1589	20041
2004401	2			1	2004401	2										6		200440101	1605	20044
2004402	2		1	1	2004401	3		1	2004402	2						6		200440201	1605	20044
2004403	2		1	1	2004402	3		1	2004403	2						6		200440301	1605	20044
2004201	2			1	2004201	2										1	2004202,2004203	200420101	147101	20042
2004202																1		200420201	147101	20042
2004203																1		200420301	147101	20042
2004204	2		1	1	2004201	3		1	2004202	2						1	2004208,2004209	200420401	160201	20042
2004208			1	1	2004201	3		1	2004202	2						1	2004210	200420801	160201	20042
2004209			1	1	2004201	3		1	2004202	2						1	2004210	200420901	160201	20042
2004210			1	1	2004201	3		1	2004202	2						1	2004211,2004212,2004213	200421001	160201	20042
2004211			1	1	2004201	3		1	2004202	2								200421101	160201	20042
2004212			1	1	2004201	3		1	2004202	2								200421201	160201	20042
2004213			1	1	2004201	3		1	2004202	2								200421301	160201	20042
2004205	2		1	1	2004202	3		1	2004203	2						1		200420501	160201	20042
2004206	2		1	1	2004203	3		1	2004204	2						1		200420601	160201	20042
2004207	2		1	1	2004204	3		1	2004205	2						1		200420701	1471	20042
2004301	2			1	2004301	2										1		200430101	142101	20043
2004302	2		1	1	2004301	3		1	2004302	2						1		200430201	142101	20043
2004303	2		1	1	2004301	3		1	2004302	2						1		200430301	140301	20043
2004304	2		1	1	2004302	3		1	2004303	2						1		200430401	140301	20043
2004305	2		1	1	2004303	3		1	2004304	2						1		200430501	140301	20043
2004306	2		1	1	2004304	3		1	2004305	2						1		200430601	142101	20043
2004307			1	1	2004301	3		1	2004306	2						1		200430701	140301	20043
2004308	2		1	1	2004306	3		1	2004307	2						1		200430801	1005	20043
2004309	2		1	1	2004304	3		1	2004305	2						1		200430901	140301	20043
2004310			1	1	2004304	3		1	2004305	2						1		200431001	1005	20043
2004701	2			1	2004701	2										6		200470101	1591	20047
2004702	2		1	1	2004701	3		1	2004702	2						6		200470201	1591	20047
2004703	2		1	1	2004706	3		1	2004707	2						6		200470301	1591	20047
2004801	2			1	2004801	2										5		200480101	1567	20048
2004802	2		1	1	2004801	3		3	100017	3		1	2004803	2		5		200480201	1567	20048
2004803	2		1	1	2004804	3		1	2004805	2						5		200480301	1567	20048
2004804	2		1	1	2004802	2										5		200480401	1567	20048
2004805	2		1	1	2004803	3		1	2004804	2						5		200480501	1567	20048
2004806	2		1	1	2004804	3		1	2004806	2						5		200480601	1567	20048
2004901	2			1	2004901	2										6		200490101	146101	20049
2004902	2		1	1	2004901	3		1	2004902	2						6		200490201	146301	20049
2004903	2		1	1	2004902	3		1	2004903	2						6		200490301	1403	20049
2004904	2		1	1	2004902	3		1	2004903	2						6		200490401	146301	20049
2004905			1	1	2004902	3		1	2004903	2						6		200490501	1005	20049
2004906	2		1	1	2004903	3		1	2004904	2						6		200490601	1403	20049
2004907			1	1	2004904	3		1	2004905	2						6		200490701	1005	20049
2004908	2		1	1	2004904	3		1	2004905	2						6		200490801	146101	20049
2005001	2			1	2005001	2										6		200500101	1605	20050
2005002	2		1	1	2005001	3		1	2005002	2						6		200500201	1605	20050
2005003	2		1	1	2005002	3		1	2005003	2						6		200500301	1605	20050
2005101	2			1	2005101	2										5		200510101	1465	20051
2005102	2			1	2005103	2										5	2005156,2005162	200510201	1403	20051
2005103	2			1	2005104	2										5	2005157,2005163	200510301	1431	20051
2005104	2			1	2005105	2										5	2005158,2005164	200510401	1537	20051
2005105	2			1	2005106	2										5	2005159,2005165	200510501	1413	20051
2005106	2			1	2005101	3										5		200510601	1461	20051
2005156																5		200510203	1403	20051
2005157																5		200510303	1431	20051
2005158																5		200510403	1537	20051
2005159																5		200510503	1413	20051
2005162																5		200510210	1403	20051
2005163																5		200510311	1431	20051
2005164																5		200510409	1537	20051
2005165																5		200510509	1413	20051
2005107	2		1	1	2005125	2										5	2005109,2005110,2005111,2005112,2005113,2005114,2005115,2005116	200510701	1465	20051
2005108	2			1	2005166	2										5		200510801	1465	20051
2005109			1	1	2005125	2		1	2005108	3						5	2005117	200510901	1465	20051
2005110			1	1	2005125	2		1	2005109	3						5	2005117	200511001	1465	20051
2005111			1	1	2005125	2		1	2005110	3						5	2005117	200511101	1465	20051
2005112			1	1	2005125	2		1	2005111	3						5	2005117	200511201	1465	20051
2005113			1	1	2005125	2		1	2005112	3						5	2005117	200511301	1465	20051
2005114			1	1	2005125	2		1	2005113	3						5	2005117	200511401	1465	20051
2005115			1	1	2005125	2		1	2005114	3						5	2005117	200511501	1465	20051
2005116			1	1	2005125	2		1	2005115	3						5	2005117	200511601	1465	20051
2005117																5		200511701	1465	20051
2005118	2		1	19	2005124			1	2005124	2						5		200511801	1465	20051
2005120	2		1	1	2005124	3		26	4	41	20051					5		200512001	140301	20051
2005121	2		1	1	2005124	3		26	4	41	20051					5		200512101	143101	20051
2005122	2		1	1	2005124	3		26	4	41	20051					5		200512201	153701	20051
2005123	2		1	1	2005124	3		26	4	41	20051					5		200512301	141301	20051
2005124	2		1	1	2005103	3		28	22000							5	2005156,2005162	200512401	1403	20051
2005125	2		1	1	2005104	3		28	22000							5	2005157,2005163	200512501	1431	20051
2005126	2		1	1	2005105	3		28	22000							5	2005158,2005164	200512601	1537	20051
2005127	2		1	1	2005106	3		28	22000							5	2005159,2005165	200512701	1413	20051
2005128																5		200512801	1465	20051
2005129																5		200512901	1465	20051
2005130																5		200513001	1465	20051
2005131																5		200513101	1465	20051
2005132	2		1	1	2005107	2		1	2005125	3						5	2005167,2005166	200513201	1465	20051
2005167																5	2005168	200516701	1465	20051
2005166																5		200516601	1465	20051
2005168																5	2005133	200516801	1465	20051
2005133	2		1	1	2005137	2		1	2005142	2						5	2005134,2005135	200513301	1465	20051
2005134																5	2005138	200513401	1465	20051
2005135																5	2005138	200513501	1465	20051
2005136																5	2005138	200513601	1465	20051
2005137																5	2005138	200513701	1465	20051
2005138			1	1	2005137	2		1	2005142	2						5		200513801	1465	20051
2005139	2		1	1	2005137	2		1	2005142	3		26	4	41	20051	5	2005140,2005141,2005142,2005143	200513802	1465	20051
2005140			1	1	2005137	2		1	2005143	2		1	2005142	3		5	2005155	200513901	1465	20051
2005141			1	1	2005137	2		1	2005142	3						5	2005155	200514001	1465	20051
2005142			1	1	2005137	2		1	2005142	3						5	2005155	200514101	1465	20051
2005143			1	1	2005137	2		1	2005142	3						5	2005155	200514201	1465	20051
2005144	2			1	2005149	2										5	2005151,2005152	200514301	1465	20051
2005145	2		1	1	2005158	2		24	1	5	20051					5	2005150	200514401	1465	20051
2005146	2		1	1	2005158	2		24	1	4	20051					5	2005150	200514501	1465	20051
2005147	2		1	1	2005158	2		24	1	3	20051					5	2005150	200514601	1465	20051
2005148	2		1	1	2005158	2		24	1	2	20051					5	2005150	200514701	1465	20051
2005149	2		1	1	2005158	2		24	1	1	20051					5	2005150	200514801	1465	20051
2005150																5		200514901	1465	20051
2005151				24	0	1	20051									5	2005153,2005154	200515101	1465	20051
2005152				24	0	2	20051									5	2005153,2005154	200515201	1465	20051
2005153																5		200515301	1465	20051
2005154																5		200515401	1465	20051
2005155																5	2005139,2005144	200515501	1465	20051
2005401	2		1	1	2005150	2		3	100316	1						5	2005145	200540101	140301	20051
2005402	2		1	1	2005150	2		3	100317	1						5	2005145	200540201	140301	20051
2005403	2		1	1	2005150	2		3	100318	1						5	2005145	200540301	140301	20051
2005404	2		1	1	2005150	2		3	100319	1						5	2005145	200540401	140301	20051
2005405	2		1	1	2005150	2		3	100320	1						5	2005145	200540501	140301	20051
2005406	2		1	1	2005150	2		3	100321	1						5	2005145	200540601	140301	20051
2005407	2		1	1	2005150	2		3	100322	1						5	2005145	200540701	140301	20051
2005408	2		1	1	2005150	2		3	100323	1						5	2005145	200540801	140301	20051
2005409	2		1	1	2005150	2		3	100324	1						5	2005145	200540901	140301	20051
2005410	2		1	1	2005150	2		3	100325	1						5	2005146	200541001	140301	20051
2005411	2		1	1	2005150	2		3	100326	1						5	2005146	200541101	140301	20051
2005412	2		1	1	2005150	2		3	100327	1						5	2005146	200541201	140301	20051
2005413	2		1	1	2005150	2		3	100328	1						5	2005146	200541301	140301	20051
2005414	2		1	1	2005150	2		3	100329	1						5	2005146	200541401	140301	20051
2005415	2		1	1	2005150	2		3	100330	1						5	2005146	200541501	140301	20051
2005501	2		1	1	2005150	2		3	100316	1						5	2005144	200550101	143101	20051
2005502	2		1	1	2005150	2		3	100317	1						5	2005145	200550201	143101	20051
2005503	2		1	1	2005150	2		3	100318	1						5	2005145	200550301	143101	20051
2005504	2		1	1	2005150	2		3	100319	1						5	2005145	200550401	143101	20051
2005505	2		1	1	2005150	2		3	100320	1						5	2005145	200550501	143101	20051
2005506	2		1	1	2005150	2		3	100321	1						5	2005145	200550601	143101	20051
2005507	2		1	1	2005150	2		3	100322	1						5	2005145	200550701	143101	20051
2005508	2		1	1	2005150	2		3	100323	1						5	2005145	200550801	143101	20051
2005509	2		1	1	2005150	2		3	100324	1						5	2005145	200550901	143101	20051
2005510	2		1	1	2005150	2		3	100325	1						5	2005146	200551001	143101	20051
2005511	2		1	1	2005150	2		3	100326	1						5	2005146	200551101	143101	20051
2005512	2		1	1	2005150	2		3	100327	1						5	2005146	200551201	143101	20051
2005513	2		1	1	2005150	2		3	100328	1						5	2005146	200551301	143101	20051
2005514	2		1	1	2005150	2		3	100329	1						5	2005146	200551401	143101	20051
2005515	2		1	1	2005150	2		3	100330	1						5	2005146	200551501	143101	20051
2005601	2		1	1	2005150	2		3	100316	1						5	2005144	200560101	153701	20051
2005602	2		1	1	2005150	2		3	100317	1						5	2005145	200560201	153701	20051
2005603	2		1	1	2005150	2		3	100318	1						5	2005145	200560301	153701	20051
2005604	2		1	1	2005150	2		3	100319	1						5	2005145	200560401	153701	20051
2005605	2		1	1	2005150	2		3	100320	1						5	2005145	200560501	153701	20051
2005606	2		1	1	2005150	2		3	100321	1						5	2005145	200560601	153701	20051
2005607	2		1	1	2005150	2		3	100322	1						5	2005145	200560701	153701	20051
2005608	2		1	1	2005150	2		3	100323	1						5	2005145	200560801	153701	20051
2005609	2		1	1	2005150	2		3	100324	1						5	2005145	200560901	153701	20051
2005610	2		1	1	2005150	2		3	100325	1						5	2005146	200561001	153701	20051
2005611	2		1	1	2005150	2		3	100326	1						5	2005146	200561101	153701	20051
2005612	2		1	1	2005150	2		3	100327	1						5	2005146	200561201	153701	20051
2005613	2		1	1	2005150	2		3	100328	1						5	2005146	200561301	153701	20051
2005614	2		1	1	2005150	2		3	100329	1						5	2005146	200561401	153701	20051
2005615	2		1	1	2005150	2		3	100330	1						5	2005146	200561501	153701	20051
2005701	2		1	1	2005150	2		3	100316	1						5	2005144	200570101	141301	20051
2005702	2		1	1	2005150	2		3	100317	1						5	2005145	200570201	141301	20051
2005703	2		1	1	2005150	2		3	100318	1						5	2005145	200570301	141301	20051
2005704	2		1	1	2005150	2		3	100319	1						5	2005145	200570401	141301	20051
2005705	2		1	1	2005150	2		3	100320	1						5	2005145	200570501	141301	20051
2005706	2		1	1	2005150	2		3	100321	1						5	2005145	200570601	141301	20051
2005707	2		1	1	2005150	2		3	100322	1						5	2005145	200570701	141301	20051
2005708	2		1	1	2005150	2		3	100323	1						5	2005145	200570801	141301	20051
2005709	2		1	1	2005150	2		3	100324	1						5	2005145	200570901	141301	20051
2005710	2		1	1	2005150	2		3	100325	1						5	2005146	200571001	141301	20051
2005711	2		1	1	2005150	2		3	100326	1						5	2005146	200571101	141301	20051
2005712	2		1	1	2005150	2		3	100327	1						5	2005146	200571201	141301	20051
2005713	2		1	1	2005150	2		3	100328	1						5	2005146	200571301	141301	20051
2005714	2		1	1	2005150	2		3	100329	1						5	2005146	200571401	141301	20051
2005715	2		1	1	2005150	2		3	100330	1						5	2005146	200571501	141301	20051
2005201	2															6		200520101	20032	20052
2005301	2			1	2005301	2										6		200530101	1605	20053
2005302	2		1	1	2005301	3		1	2005302	2						6		200530201	1605	20053
2005303	2		1	1	2005302	3		1	2005303	2						6		200530301	1605	20053
20054011	2			1	2005401	2										3	20054121	2005401101	1441	20054
20054021				24	0	1	20054									1		2005402101	1441	20054
20054031				24	0	2	20054									1		2005403101	1441	20054
20054041				24	0	3	20054									1		2005404101	1441	20054
20054051				24	0	4	20054									1		2005405101	1441	20054
20054061				24	0	5	20054									1		2005406101	1441	20054
20054071	2		1	1	2005412	2										6		2005407101	1533	20054
20054081	2		1	1	2005413	2										6		2005408101	1533	20054
20054091	2		1	1	2005414	2										6		2005409101	1533	20054
20054101	2		1	1	2005415	2										6		2005410101	1533	20054
20054111	2		1	1	2005416	2										6		2005411101	1533	20054
20054121																2	20054021,20054031,20054041,20054051,20054061	2005412101	1441	20054
20054131	2			24	0	1	20054									6		2005413101	1441	20054
20054141	2			24	0	2	20054									6		2005414101	1441	20054
20054151	2			24	0	3	20054									6		2005415101	1441	20054
20054161	2			24	0	4	20054									6		2005416101	1441	20054
20054171	2			24	0	5	20054									6		2005417101	1441	20054
2005801	2			1	2005801	2										5		200580101	1601	20058
2005802	2			1	2005802	2										5		200580201	1601	20058
2005803	2			1	2005804	2										5	2005805,2005806	200580301	160101	20058
2005804	2			1	2005805	2										5	2005806,2005808	200580401	160101	20058
2005805																5		200580501	160101	20058
2005806																5		200580601	160101	20058
2005808																5		200580801	160101	20058
2005809	2			1	2005801	3										5		200580901	142901	20058
2005811	2		1	1	2005804	2		1	2005810	3						5		200581101	160101	20058
2005901	2			1	2005901	2										5		200590101	1435	20059
2005902																5		200590201	1435	20059
20059020	2		1	1	2005902	2		24	0	20	20059					5	2005902	2005902001	1435	20059
20059040	2		1	1	2005903	2		24	0	20	20059	19	2005920			5		2005904001	1435	20059
20059060	2		1	1	2005904	2		24	0	20	20059	25	1	0	20059	5	20059100	2005906001	1435	20059
20059100			1	1	2005904	2		24	1	1	20059					5	20059101,20059102	2005910001	1435	20059
20059101				24	1	1	20059									5		2005910101	1435	20059
20059102				24	1	1	20059									5		2005910201	1435	20059
20059103				24	1	1	20059									5		2005910301	1435	20059
20059104	2		1	1	2005907	3		24	1	1	20059	1	2005910	2		5		2005910401	1413	20059
20059105	2		1	1	2005907	3		24	1	1	20059					5		2005910501	1435	20059
20059106	2		1	1	2005906	3		24	1	1	20059					5		2005910601	1435	20059
2006001	2			1	2006001	2										6		200600101	1533	20060
2006002																		200600201	1005	20060
2006003																		200600301	1005	20060
2006004																		200600401	1005	20060
2006005	2		1	1	2006006	2		3	100012	1						6		200600501	1441	20060
2006006	2			1	2006009	3										6		200600601	1473	20060
2006007	2		1	1	2006008	2		19	2006008							6		200600701	1473	20060
2006008	2			1	2006009	2										6		200600801	1473	20060
2006009	2		1	1	2006010	2		1	2006008	3		3	100351	1		6		200600901	1533	20060
2006011	2		1	1	2006001	3		8	100351	1		9	22500			6		200601001	1533	20060
2006101	2			1	2006101	2										1		200610101	1537	20061
2006102																		200610201	1005	20061
2006103																		200610301	1005	20061
2006104	2		1	1	2006109	2		1	2006105	2						1		200610401	1537	20061
2006105	2			1	2006117	2										1		200610501	1537	20061
2006106																		200610601	1005	20061
2006107																		200610701	1005	20061
2006108	2			1	2006115	3										5		200610801	1005	20061
2006109	2		1	1	2006116	2		1	2006115	2						1		200610901	1537	20061
2006110	2		1	1	2006116	2		1	2006115	3						1		200611001	1537	20061
2006111	2		2	1	2006108	2		1	2006114	2		1	2006116	2		1		200611101	1537	20061
2006112	2			1	2006118	2										1		200611201	1419	20061
2006113	2			1	2006119	2										1		200611301	1537	20061
2006201	2			1	2006201	2										5		200620101	1604	20062
2006202	2			1	2006204	2										5		200620201	1604	20062
2006203	2			1	2006207	2										5		200620301	1604	20062
2006204	2		2	1	2006202	2		1	2006203	2		1	2006206	2		5		200620401	1604	20062
2006205	2		2	1	2006202	2		1	2006203	2		1	2006206	2		5		200620501	1605	20062
2006206	2		1	1	2006204	3		1	2006401	2						5		200620601	1605	20062
2006207	2		1	1	2006207	3		1	2006401	2						5		200620701	1605	20062
2006401	2		1	1	2006401	3		1	2006402	2						8		200640101	1605	20064
2006301	2			1	2006301	2		24	0	1	20063					3		200630101	141301	20063
2006302	2			1	2006301	2		24	0	2	20063					3		200630201	141301	20063
2006303	2			1	2006301	2		24	0	3	20063					3		200630301	141301	20063
2006304																3		200630401	1005	20063
2006305																3		200630501	1005	20063
2006315																3		200631501	1005	20063
2006306	2		1	1	2006302	2		24	0	1	20063					3		200630601	141301	20063
2006307																3		200630701	1005	20063
2006308	2		1	1	2006304	2		24	0	2	20063					3		200630801	141301	20063
2006309																3		200630901	1005	20063
2006310	2		1	1	2006306	2		24	0	3	20063					3		200631001	141301	20063
2006311																3		200631101	1005	20063
2006312	2		1	1	2006308	2		24	0	1	20063					3		200631201	141301	20063
2006313	2		1	1	2006309	2		24	0	2	20063					3		200631301	141301	20063
2006316	1		1	1	2006310	2		24	0	2	20063	24	1	2	20063	3		200631601	140901	20063
2006314	2		1	1	2006308	2		24	0	3	20063					3		200631401	141301	20063
2006501	2			1	2006501	2										6		200650101	1605	20065
2006502	2		1	1	2006501	3		1	2006502	2						6		200650201	1605	20065
2006503	2		1	1	2006502	3		1	2006503	2						6		200650301	1605	20065
2006601	2			1	2006601	2										6		200660101	1605	20066
2006602	2		1	1	2006601	3		1	2006602	2						6		200660201	1605	20066
