关卡ID	组ID	组内序号	地城ID	[评价]1条件	[评价]1参数	[评价]2条件	[评价]2参数	[评价]3条件	[评价]3参数	战前增益ID1	战前增益ID2	战前增益ID3	每日奖励RewardId	首通奖励RewardId	怪物等级
11	3	1	3120	3	1,60	3	1,90	3	1,180	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621011	34
12	3	2	3121	3	1,60	3	1,90	3	1,180	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621012	36
13	3	3	3122	3	1,60	3	1,90	3	1,180	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621013	39
14	3	4	3123	2	230303005,5019,20	2	230303005,5019,40	2	230303005,5019,60	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621014	42
15	3	5	3124	3	1,120	3	1,150	3	1,180	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621015	44
16	4	1	3130	3	1,60	3	1,90	3	1,180	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621016	42
17	4	2	3131	3	1,60	3	1,90	3	1,180	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621017	44
18	4	3	3132	3	1,60	3	1,90	3	1,120	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621018	46
19	4	4	3133	3	1,60	3	1,90	3	1,120	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621019	48
20	4	5	3134	3	1,120	3	1,150	3	1,180	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621020	50
21	5	1	3140	3	1,60	3	1,120	3	1,180	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621021	48
22	5	2	3141	3	1,60	3	1,90	3	1,120	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621022	50
23	5	3	3142	3	1,60	3	1,90	3	1,120	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621023	52
24	5	4	3143	3	1,60	3	1,90	3	1,120	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621024	54
25	5	5	3144	3	1,120	3	1,150	3	1,180	1:100,2:100,3:100,4:100,5:100,20:100,21:100,22:100,23:100,24:100	25:100,26:100,28:100,31:100,32:100,34:100,35:100,36:100,38:100	19:100		621025	56
26	6	1	3150	3	1,60	3	1,120	3	1,180	1:100,2:100,3:100,20:100,21:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100		621026	54
27	6	2	3151	3	1,60	3	1,120	3	1,180	1:100,2:100,3:100,20:100,21:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621027	56
28	6	3	3152	3	1,60	3	1,120	3	1,180	1:100,2:100,3:100,20:100,21:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621028	58
29	6	4	3153	3	1,60	3	1,120	3	1,180	1:100,2:100,3:100,20:100,21:100,23:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621029	60
30	6	5	3154	3	1,120	3	1,150	3	1,210	1:100,2:100,3:100,20:100,21:100,23:100,24:100	26:100,28:100,30:100	19:100		621030	62
31	7	1	3160	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100		621031	60
32	7	2	3161	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621032	61
33	7	3	3162	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621033	63
34	7	4	3163	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621034	65
35	7	5	3164	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	26:100,28:100,30:100	19:100		621035	67
36	8	1	3170	3	2,60	3	2,180	3	2,300	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100		621036	65
37	8	2	3171	2	230801005,5019,20	2	230801005,5019,40	2	230801005,5019,60	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621037	66
38	8	3	3172	2	230802005,5019,20	2	230802005,5019,40	2	230802005,5019,60	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621038	68
39	8	4	3173	3	2,60	3	2,180	3	2,300	1:100,2:100,21:100,24:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621039	70
40	8	5	3174	3	2,60	3	2,180	3	2,300	1:100,2:100,21:100,24:100	26:100,28:100,30:100	19:100		621040	72
41	9	1	3180	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100		621041	70
42	9	2	3181	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621042	71
43	9	3	3182	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621043	73
44	9	4	3183	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621044	75
45	9	5	3184	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	26:100,28:100,30:100	19:100		621045	77
46	10	1	3190	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100		621046	75
47	10	2	3191	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621047	77
48	10	3	3192	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621048	80
49	10	4	3193	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621049	83
50	10	5	3194	3	2,60	3	2,180	3	2,300	1:100,4:100,5:100,20:100,23:100	26:100,28:100,30:100	19:100		621050	85
51	11	1	3200	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100		621051	83
52	11	2	3201	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621052	85
53	11	3	3202	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	6:100,7:100,22:100,31:100,34:100		621053	88
54	11	4	3203	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,27:100	15:100,16:100,25:100,28:100,29:100,32:100,35:100,36:100,17:100	19:100		621054	91
55	11	5	3204	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,27:100	26:100,28:100,30:100	19:100		621055	93
56	12	1	3210	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,24:100	25:100,26:100,28:100,31:100,32:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621056	91
57	12	2	3211	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,24:100	25:100,26:100,28:100,31:100,32:100,36:100,17:100,38:100	19:100		621057	93
58	12	3	3212	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,24:100	25:100,26:100,28:100,31:100,32:100,36:100,38:100	6:100,7:100,15:100,16:100,17:100,18:100		621058	96
59	12	4	3213	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,24:100	25:100,26:100,28:100,31:100,32:100,36:100,17:100,38:100	19:100		621059	99
60	12	5	3214	3	2,60	3	2,180	3	2,300	1:100,2:100,3:100,21:100,24:100	25:100,26:100,28:100,31:100,32:100,36:100,17:100,38:100	19:100		621060	101
61	13	1	3120	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	18:200		621061	110
62	13	2	3121	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621062	110
63	13	3	3122	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621063	110
64	13	4	3123	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621064	110
65	13	5	3124	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621065	110
66	14	1	3130	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	18:200		621066	110
67	14	2	3131	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621067	110
68	14	3	3132	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621068	110
69	14	4	3133	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621069	110
70	14	5	3134	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621070	110
71	15	1	3140	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	18:200		621071	110
72	15	2	3141	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621072	110
73	15	3	3142	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621073	110
74	15	4	3143	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621074	110
75	15	5	3144	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621075	110
76	16	1	3150	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	18:200		621076	110
77	16	2	3151	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621077	110
78	16	3	3152	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621078	110
79	16	4	3153	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621079	110
80	16	5	3154	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621080	110
81	17	1	3160	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	18:200		621081	110
82	17	2	3161	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621082	110
83	17	3	3162	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621083	110
84	17	4	3163	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621084	110
85	17	5	3164	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621085	110
86	18	1	3170	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	18:200		621086	110
87	18	2	3171	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621087	110
88	18	3	3172	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621088	110
89	18	4	3173	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621089	110
90	18	5	3174	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621090	110
91	19	1	3180	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	18:200		621091	110
92	19	2	3181	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621092	110
93	19	3	3182	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621093	110
94	19	4	3183	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621094	110
95	19	5	3184	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621095	110
96	20	1	3190	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	18:200		621096	110
97	20	2	3191	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621097	110
98	20	3	3192	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621098	110
99	20	4	3193	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621099	110
100	20	5	3194	1	180	1	120	1	60	1:100,2:100,3:100,4:100,5:100	6:100,7:100,16:100,17:100	19:200		621100	110
