等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值
79	1	2	1217.07023	2	2	157.498938	12	2	27	4	1	0	9	1	0	10	1	0	11	2	1.876404	14	2	4.5173
80	1	2	1257.620141	2	2	165.173169	12	2	27.333333	4	1	0	9	1	0	10	1	0	11	2	1.88764	14	2	4.5173
81	1	2	1328.719081	2	2	172.738809	12	2	27.666667	4	1	0	9	1	0	10	1	0	11	2	1.898876	14	2	4.5173
82	1	2	1372.269435	2	2	180.430998	12	2	28	4	1	0	9	1	0	10	1	0	11	2	1.910112	14	2	4.5173
83	1	2	1416.71091	2	2	188.249337	12	2	28.333333	4	1	0	9	1	0	10	1	0	11	2	1.921348	14	2	4.5173
84	1	2	1529.713045	2	2	196.433829	12	2	28.666667	4	1	0	9	1	0	10	1	0	11	2	1.932584	14	2	4.5173
85	1	2	1550.061396	2	2	201.217136	12	2	29	4	1	0	9	1	0	10	1	0	11	2	1.94382	14	2	4.5173
86	1	2	1568.234099	2	2	202.651716	12	2	29.333333	4	1	0	9	1	0	10	1	0	11	2	1.955056	14	2	4.5173
87	1	2	1586.403416	2	2	204.080281	12	2	29.666667	4	1	0	9	1	0	10	1	0	11	2	1.966292	14	2	4.5173
88	1	2	1604.296304	2	2	205.53804	12	2	30	4	1	0	9	1	0	10	1	0	11	2	1.977528	14	2	4.5173
89	1	2	1620.847026	2	2	207.025168	12	2	30.333333	4	1	0	9	1	0	10	1	0	11	2	1.988764	14	2	4.5173
90	1	2	1767.31088	2	2	208.797151	12	2	30.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
91	1	2	1861.057052	2	2	209.872833	12	2	31	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
92	1	2	1878.629564	2	2	210.4444	12	2	31.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
93	1	2	1896.300133	2	2	211.022205	12	2	31.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
94	1	2	1914.069273	2	2	211.60598	12	2	32	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
95	1	2	1931.937574	2	2	212.19555	12	2	32.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
96	1	2	1949.905477	2	2	212.790782	12	2	32.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
97	1	2	1967.973645	2	2	213.391454	12	2	33	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
98	1	2	1986.142594	2	2	213.997435	12	2	33.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
99	1	2	2004.412912	2	2	214.60859	12	2	33.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
100	1	2	2022.785115	2	2	215.224699	12	2	34	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
101	1	2	2041.259717	2	2	215.845674	12	2	34.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
102	1	2	2059.837309	2	2	216.471382	12	2	34.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
103	1	2	2078.518404	2	2	217.101601	12	2	35	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
104	1	2	2097.303666	2	2	217.736288	12	2	35.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
105	1	2	2116.193463	2	2	218.37531	12	2	35.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
106	1	2	2135.188531	2	2	219.018533	12	2	36	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
107	1	2	2154.289311	2	2	219.665826	12	2	36.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
108	1	2	2173.496393	2	2	220.3171	12	2	36.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
109	1	2	2192.810292	2	2	220.972222	12	2	37	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
110	1	2	2212.231522	2	2	221.631104	12	2	37.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
111	1	2	2231.760748	2	2	222.293657	12	2	37.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
112	1	2	2251.398484	2	2	222.959793	12	2	38	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
113	1	2	2271.145244	2	2	223.629379	12	2	38.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
114	1	2	2291.00162	2	2	224.302371	12	2	38.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
115	1	2	2310.968051	2	2	224.978636	12	2	39	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
116	1	2	2331.045274	2	2	225.658086	12	2	39.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
117	1	2	2351.233657	2	2	226.34072	12	2	39.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
118	1	2	2371.533863	2	2	227.026362	12	2	40	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
119	1	2	2391.946408	2	2	227.715012	12	2	40.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
120	1	2	2412.471879	2	2	228.406538	12	2	40.666667	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
200	1	2	3247.929623	2	2	229.805467	12	2	67.333333	4	1	0	9	1	0	10	1	0	11	2	2	14	2	4.5173
