武器突破ID	突破等级	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	突破消耗金币	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	[增加属性]5类型	[增加属性]5值	突破后解锁等级上限	冒险等级要求
12407	3	114015	5	112027	15	112006	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
12407	4	114016	5	112028	18	112007	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
12408	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12408	1	114017	3	112029	3	112011	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
12408	2	114018	5	112029	12	112011	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
12408	3	114019	5	112030	15	112012	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
12408	4	114020	5	112031	18	112013	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
12501	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12501	1	114001	3	112014	3	112008	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
12501	2	114002	5	112014	12	112008	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
12501	3	114003	5	112015	15	112009	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
12501	4	114004	5	112016	18	112010	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
12502	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12502	1	114005	3	112020	3	112005	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
12502	2	114006	5	112020	12	112005	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
12502	3	114007	5	112021	15	112006	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
12502	4	114008	5	112022	18	112007	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
12503	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12503	1	114009	3	112023	3	112011	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
12503	2	114010	5	112023	12	112011	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
12503	3	114011	5	112024	15	112012	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
12503	4	114012	5	112025	18	112013	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
12504	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12504	1	114021	3	112026	3	112002	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
12504	2	114022	5	112026	12	112002	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
12504	3	114023	5	112027	15	112003	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
12504	4	114024	5	112028	18	112004	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
12505	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12505	1	114013	3	112029	3	112008	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
12505	2	114014	5	112029	12	112008	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
12505	3	114015	5	112030	15	112009	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
12505	4	114016	5	112031	18	112010	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
12506	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
12506	1	114017	3	112026	3	112005	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
12506	2	114018	5	112026	12	112005	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
12506	3	114019	5	112027	15	112006	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
12506	4	114020	5	112028	18	112007	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
13101	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13101	1	114005	3	112020	3	112011	2	5000	4	19.5	20	0	22	0	23	0	28	0	40	12
13101	2	114006	5	112020	12	112011	12	15000	4	42.8	20	0	22	0	23	0	28	0	60	25
13101	3	114007	5	112021	15	112012	15	20000	4	70	20	0	22	0	23	0	28	0	70	35
13201	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13201	1	114009	3	112023	3	112002	2	15000	4	19.5	20	0	22	0	23	0	28	0	40	12
13201	2	114010	5	112023	12	112002	12	30000	4	42.8	20	0	22	0	23	0	28	0	60	25
13201	3	114011	5	112024	15	112003	15	40000	4	70	20	0	22	0	23	0	28	0	70	35
13301	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13301	1	114021	3	112029	3	112011	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
13301	2	114022	5	112029	12	112011	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
13301	3	114023	5	112030	15	112012	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
13301	4	114024	5	112031	18	112013	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
13302	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13302	1	114013	3	112026	3	112002	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
13302	2	114014	5	112026	12	112002	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
13302	3	114015	5	112027	15	112003	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
13302	4	114016	5	112028	18	112004	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
13303	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13303	1	114017	3	112029	3	112008	2	20000	4	25.9	20	0	22	0	23	0	28	0	40	12
13303	2	114018	5	112029	12	112008	12	35000	4	54.5	20	0	22	0	23	0	28	0	60	25
13303	3	114019	5	112030	15	112009	15	55000	4	84.3	20	0	22	0	23	0	28	0	80	35
13303	4	114020	5	112031	18	112010	18	75000	4	116.7	20	0	22	0	23	0	28	0	90	45
13401	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13401	1	114021	3	112026	3	112005	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
13401	2	114022	5	112026	12	112005	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
13401	3	114023	5	112027	15	112006	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
13401	4	114024	5	112028	18	112007	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
13402	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13402	1	114013	3	112029	3	112011	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
13402	2	114014	5	112029	12	112011	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
13402	3	114015	5	112030	15	112012	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
13402	4	114016	5	112031	18	112013	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
13403	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13403	1	114017	3	112026	3	112002	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
13403	2	114018	5	112026	12	112002	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
13403	3	114019	5	112027	15	112003	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
13403	4	114020	5	112028	18	112004	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
13404	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13404	1	114021	3	112029	3	112008	2	25000	4	34.6	20	0	22	0	23	0	28	0	40	12
13404	2	114022	5	112029	12	112008	12	45000	4	72.6	20	0	22	0	23	0	28	0	60	25
13404	3	114023	5	112030	15	112009	15	70000	4	112.4	20	0	22	0	23	0	28	0	80	35
13404	4	114024	5	112031	18	112010	18	90000	4	155.6	20	0	22	0	23	0	28	0	90	45
13504	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13504	1	114013	3	112026	3	112005	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
13504	2	114014	5	112026	12	112005	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
13504	3	114015	5	112027	15	112006	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
13504	4	114016	5	112028	18	112007	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
13505	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13505	1	114017	3	112029	3	112011	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
13505	2	114018	5	112029	12	112011	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
13505	3	114019	5	112030	15	112012	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
13505	4	114020	5	112031	18	112013	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
13506	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
13506	1	114021	3	112026	3	112002	2	30000	4	46.7	20	0	22	0	23	0	28	0	40	12
13506	2	114022	5	112026	12	112002	12	55000	4	93.4	20	0	22	0	23	0	28	0	60	25
13506	3	114023	5	112027	15	112003	15	85000	4	140	20	0	22	0	23	0	28	0	80	35
13506	4	114024	5	112028	18	112004	18	110000	4	186.7	20	0	22	0	23	0	28	0	90	45
14101	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14101	1	114001	3	112014	3	112008	2	5000	4	19.5	20	0	22	0	23	0	28	0	40	12
14101	2	114002	5	112014	12	112008	12	15000	4	42.8	20	0	22	0	23	0	28	0	60	25
14101	3	114003	5	112015	15	112009	15	20000	4	70	20	0	22	0	23	0	28	0	70	35
14201	0	0	0	0	0	0	0	0	4	0	20	0	22	0	23	0	28	0	20	0
14201	1	114005	3	112020	3	112005	2	15000	4	19.5	20	0	22	0	23	0	28	0	40	12
