天赋ID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	参数1	参数2	参数3	参数4	参数5	参数6	前置星命	激活消耗主材料ID	激活消耗主材料数量	激活消耗副材料ID	激活消耗副材料数量	$#VersionBegin	$#VersionEnd
262	Xiao_Constellation_2											261	1126	1				
263	Xiao_Constellation_3											262	1126	1				
264	Xiao_Constellation_4											263	1126	1				
265	Xiao_Constellation_5											264	1126	1				
266	Xiao_Constellation_6											265	1126	1				
271	Ningguang_Constellation_1											0	1127	1				
272	Ningguang_Constellation_2											271	1127	1				
273	Ningguang_Constellation_3											272	1127	1				
274	Ningguang_Constellation_4											273	1127	1				
275	Ningguang_Constellation_5											274	1127	1				
276	Ningguang_Constellation_6											275	1127	1				
291	Klee_Constellation_1											0	1129	1				
292	Klee_Constellation_2											291	1129	1				
293	Klee_Constellation_3											292	1129	1				
294	Klee_Constellation_4											293	1129	1				
295	Klee_Constellation_5											294	1129	1				
296	Klee_Constellation_6											295	1129	1				
301	Zhongli_Constellation_1											0	1130	1				
302	Zhongli_Constellation_2											301	1130	1				
303	Zhongli_Constellation_3											302	1130	1				
304	Zhongli_Constellation_4											303	1130	1				
305	Zhongli_Constellation_5											304	1130	1				
306	Zhongli_Constellation_6											305	1130	1				
311	Fischl_Talent_331					0.08						0	1131	1				
312	Fischl_Talent_332					1.5						311	1131	1				
313	Fischl_Talent_S_Levelup											312	1131	1				
314	Fischl_Talent_334					1.2	0.15					313	1131	1				
315	Fischl_Talent_E_Levelup											314	1131	1				
316	Fischl_Talent_336					0.3						315	1131	1				
321	Bennett_Constellation_1					0.2						0	1132	1				
322	Bennett_Constellation_2					0.7	0.3					321	1132	1				
323	Bennett_Constellation_3											322	1132	1				
324	Bennett_Constellation_4											323	1132	1				
325	Bennett_Constellation_5											324	1132	1				
326	Bennett_Constellation_6					0.15						325	1132	1				
251	Xingqiu_Constellation_1											0	1125	1				
252	Xingqiu_Constellation_2											251	1125	1				
253	Xingqiu_Constellation_3											252	1125	1				
254	Xingqiu_Constellation_4											253	1125	1				
255	Xingqiu_Constellation_5											254	1125	1				
256	Xingqiu_Constellation_6											255	1125	1				
331	Tartaglia_Constellation_1											0	1133	1				
332	Tartaglia_Constellation_2											331	1133	1				
333	Tartaglia_Constellation_3											332	1133	1				
334	Tartaglia_Constellation_4											333	1133	1				
335	Tartaglia_Constellation_5											334	1133	1				
336	Tartaglia_Constellation_6											335	1133	1				
341	Noel_Talent_341					1						0	1134	1				
342	Noel_Talent_342					-0.2	0.15					341	1134	1				
343	Noel_Talent_S_Levelup											342	1134	1				
344	Noel_Talent_344					4						343	1134	1				
345	Noel_Talent_E_Levelup											344	1134	1				
346	Noel_Talent_346					0.25	10					345	1134	1				
