子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[领取条件]4类型	[领取条件]4参数1	[领取条件]4参数2	[领取条件]4参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[完成条件]4类型	[完成条件]4参数1	[完成条件]4复杂参数	[完成条件]4次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[执行]4类型	[执行]4参数1	[执行]4参数2	[执行]4参数3	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
2000701	20007	2				1	9	20100			1	2000709	3											20			1330022651	1														20			1330022641	1						1		Q20007NPC	30	3	2	2				1			19	3	133002265,1														19	3	133002264,1	14	2000709		19	3	133002265,1	19	3	133002265,2							153901					
2000702	20007	3				1	9	20100			1	2000701	3										2	2	2000707				2	2000708																						2		153901		3	2	2				1			27	3	133002285,2,3,4														19	3	133002264,1				19	3	133002265,1	1	100306	999	1	100307	999				153901					
2000703	20007	4				1	9	20100			1	2000702	3											5	100306																											1		Q20007Item011	40	3	2	2				1			19	3	133002285,1														19	3	133002264,1	18	100306:999,100307:999,100308:999		19	3	133002265,1										153901					
2000704	20007	5				1	9	20100			1	2000703	3		3	100306								2	2000703																											2		153901		3	2	2				1							1	100306	999		1	100103	999						19	3	133002264,1	18	100306:999,100307:999,100308:999		19	3	133002265,1										153901					
2000705	20007	6				1	9	20100			1	2000704	3											20			1330022652	1														20			1330022641	1						1		Q20007NPC	30	3	2	2				1			19	3	133002265,1														19	3	133002264,1	14	2000709		19	3	133002265,1	19	3	133002265,3							153901					
2000706	20007	7				1	9	20100			1	2000705	3										2	2	2000709				2	2000710																						2		153901		3	2	2				1			19	3	133002285,5														19	3	133002264,1	18	100306:999,100307:999,100308:999		19	3	133002265,1	1	100308	999							153901					
2000707	20007	8				1	9	20100			1	2000706	3											5	100308																											1		Q20007Item02	20	3	2	2				1			19	3	133002285,1														19	3	133002264,1	18	100306:999,100307:999,100308:999		19	3	133002265,1										153901					
2000708	20007	9				1	9	20100			1	2000707	3		3	100308								2	2000706																											2		153901		3	3	2		1		1			24	20100			15	3	133002264		1	100308	999						19	3	133002264,1				19	3	133002265,1										153901					
2000201	20002	1			1																			2	2000104																																					1																																										0.1
2000202	20002	1			1		1	2000201	3															20			22000006612801	1														20			22000006612802																																				14	2000201								15	20000	220000066												0.1
2000203	20002	1			1		1	2000202	3															2	2000108			1																																					14	2000201			15	20000	220000066										14	2000201																						0.1
2000801	20008	1					9	20200																20			133004260	1																								1		Event_20200		3	2	2				1																												19	3	133004260,2							156901					
2000802	20008	2				1	9	20200			1	2000801	3											20			13300426002	1																								1		Event_20200	40	3	2	2																																									156901					
2000803	20008	3				1	9	20200			1	2000802	3											2	2000801																											2		156901		3	2	2				1			19	3	133004261,2																																156901					
2000804	20008	4				1	9	20200			1	2000803	3											20			13300426101	1																								1		Event104_01	40	3	2	2																																									156901					
2000805	20008	5				1	9	20200			1	2000804	3											20			13300426102	1																								1		Event104_01		3	2	2				1																												15	3	133004261							156901					
2000806	20008	6				1	9	20200			1	2000805	3											20			13300426103	1														20			13300426104	1						1		Event104_01	20	3	2	2		1					24	20200															14	2000805																	156901					
2000909	20009	1					9	20700																6	1130																											2		156501		3	1	1																							19	3	133001073,1							19	3	133001073,2							156501,20025					
2000901	20009	2				1	9	20700			1	2000909	3										2	2	2000909				2	2000910																						2		156501		3	1	2				1																			19	3	133001073,1																156501,20025					
2000902	20009	3				1	9	20700			1	2000901	3											4	2000902																											2		156501		3	2	2																							19	3	133001073,1																156501,20025					
2000903	20009	4				1	9	20700			1	2000902	3											2	2000902																											2		156501		3	2	2				1			19	3	133001073,2														19	3	133001073,1																156501,20025					
2000908	20009	5				1	9	20700			1	2000903	3											6	1129																	8	2000910									2		20025		3	2	2																																									156501,20025					
2000910	20009	5			1	1	9	20700			1	2000903	3											20			1330010732	1														8	2000908									1		Q20009NPC04		3	2	2							15	3	133001073		23	2000911	1																																	
2000912	20009	4			1	1	9	20700			1	2000902	3											4	2000912																	8	2000912									2		20025		3	2	2							33	1																																						
2000913	20009	4			1	1	9	20700			1	2000902	3											4	2000913																	8	2000913									2		20025		3	2	2																																														
2000914	20009	6			1	1	9	20700			1	2000912	3											2	2000906																											2		20025		3	2	2																							19	3	133001073,1																					
2000904	20009	6			1	1	9	20700			1	2000913	3											2	2000903																											2		20025		3	2	2																							19	3	133001073,1																					
2000907	20009	7			1	1	9	20700			1	2000904	3											4	2000907																											1		Q20009NPC04		3	2	2							15	3	133001073		23	2000911	1										19	3	133001073,1																					
2000911	20009	8			1	1	9	20700			1	2000903	3											24	2000911																											1		Q20009NPC04	20	3	2	2																							19	3	133001073,1																					
2000905	20009	9				1	9	20700			1	2000911	3											20			1330010731	1																								1		Q20009NPC04	20	3	2	2				1																			19	3	133001073,1																156501,20025					
2000906	20009	10				1	9	20700			1	2000905	3										2	2	2000904				2	2000908																						2		156501		3	2	2		1		1			24	20700															19	3	133001073,1																156501,20025					
2000915	20009	10				1	9	20700			1	2000914	3											2	2000907																											2		156501		3	3	2		1		1			24	20700															19	3	133001073,1																156501,20025					
2001009	20010	1					9	20701																6	1131																											2		156501		3	1	1																							19	3	133001073,1							19	3	133001073,2							156501,20025					
2001001	20010	2				1	9	20701			1	2001009	3										2	2	2001009				2	2001010																						2		156501		3	1	2				1																			19	3	133001073,1																156501,20025					
2001002	20010	3				1	9	20701			1	2001001	3											4	2001002																											2		156501		3	2	2																							19	3	133001073,1																156501,20025					
2001003	20010	4				1	9	20701			1	2001002	3											2	2001002																											2		156501		3	2	2				1			19	3	133003123,2														19	3	133001073,1																156501,20025					
2001008	20010	5				1	9	20701			1	2001003	3											6	1132																	8	2001010									2		20025		3	2	2																																									156501,20025					
2001010	20010	5			1	1	9	20701			1	2001003	3											20			1330031232	1														8	2001008									1		Q20010NPC04		3	2	2							15	3	133003123		23	2001011	1																																	
2001012	20010	4			1	1	9	20701			1	2001002	3											4	2001012																	8	2001012									2		20025		3	2	2							33	1																																						
2001013	20010	4			1	1	9	20701			1	2001002	3											4	2001013																	8	2001013									2		20025		3	2	2																																														
2001014	20010	6			1	1	9	20701			1	2001012	3											2	2001006																											2		20025		3	2	2																							19	3	133001073,1																					
2001004	20010	6			1	1	9	20701			1	2001013	3											2	2001003																											2		20025		3	2	2																							19	3	133001073,1																					
2001007	20010	7			1	1	9	20701			1	2001004	3											4	2001007																											1		Q20010NPC04		3	2	2							15	3	133003123		23	2001011	1										19	3	133001073,1																					
2001011	20010	8			1	1	9	20701			1	2001003	3											24	2001011																											1		Q20010NPC04	20	3	2	2																							19	3	133001073,1																					
2001005	20010	9				1	9	20701			1	2001011	3											20			1330031231	1																								1		Q20010NPC04	20	3	2	2				1																			19	3	133001073,1																156501,20025					
2001006	20010	10				1	9	20701			1	2001005	3										2	2	2001004				2	2001008																						2		156501		3	2	2		1		1			24	20701															19	3	133001073,1																156501,20025					
2001015	20010	10				1	9	20701			1	2001014	3											2	2001007																											2		156501		3	3	2		1		1			24	20701															19	3	133001073,1																156501,20025					
2001509	20015	1					9	20702																6	1133																											2		156501		3	1	1																							19	3	133001073,1							19	3	133001073,2							156501,20025					
2001501	20015	2				1	9	20702			1	2001509	3										2	2	2001509				2	2001510																						2		156501		3	1	2				1																			19	3	133001073,1																156501,20025					
2001502	20015	3				1	9	20702			1	2001501	3											4	2001502																											2		156501		3	2	2																							19	3	133001073,1																156501,20025					
2001503	20015	4				1	9	20702			1	2001502	3											2	2001502																											2		156501		3	2	2				1			19	3	133007032,2														19	3	133001073,1																156501,20025					
2001508	20015	5				1	9	20702			1	2001503	3											6	1134																	8	2001510									2		20025		3	2	2																																									156501,20025					
2001510	20015	5			1	1	9	20702			1	2001503	3											20			1330070322	1														8	2001508									1		Q20015NPC04		3	2	2							15	3	133007032		23	2001511	1																																	
2001512	20015	4			1	1	9	20702			1	2001502	3											4	2001512																	8	2001512									2		20025		3	2	2							33	1																																						
2001513	20015	4			1	1	9	20702			1	2001502	3											4	2001513																	8	2001513									2		20025		3	2	2																																														
2001514	20015	6			1	1	9	20702			1	2001512	3											2	2001506																											2		20025		3	2	2																							19	3	133001073,1																					
2001504	20015	6			1	1	9	20702			1	2001513	3											2	2001503																											2		20025		3	2	2																							19	3	133001073,1																					
2001507	20015	7			1	1	9	20702			1	2001504	3											4	2001507																											1		Q20015NPC04		3	2	2							15	3	133007032		23	2001511	1										19	3	133001073,1																					
2001511	20015	8			1	1	9	20702			1	2001503	3											24	2001511																											1		Q20015NPC04	20	3	2	2																							19	3	133001073,1																					
2001505	20015	9				1	9	20702			1	2001511	3											20			1330070321	1																								1		Q20015NPC04	20	3	2	2				1																			19	3	133001073,1																156501,20025					
2001506	20015	10				1	9	20702			1	2001505	3										2	2	2001504				2	2001508																						2		156501		3	2	2		1		1			24	20702															19	3	133001073,1																156501,20025					
2001515	20015	10				1	9	20702			1	2001514	3											2	2001507																											2		156501		3	3	2		1		1			24	20702															19	3	133001073,1																156501,20025					
2001601	20016	1					9	20301																20			133004907	1																								2		1419		3	1	1				1			1	100313	999		1	100311	999																			19	3	133004907,2							157301,157501,157701					
2001602	20016	2				1	9	20301			1	2001601	3											2	2001601																											2		1419		3	2	2				1	100313	1																										29	100313		29	100311					157301,157501,157701					
2001603	20016	3			1	1	9	20301			1	2001602	3										2	2	2001603				2	2001605			2	2001607							2	8	2001603				111	100313	1														100311	1	1	100313	1														1	100313	1																157301,157501,157701					
2001604	20016	4			1	1	9	20301			1	2001602	3											2	2001603																	8	2001604																																																													
2001605	20016	5			1	1	9	20301			1	2001602	3											2	2001605																	8	2001605																																																													
2001606	20016	6			1	1	9	20301			1	2001602	3											2	2001607																	8	2001606																																																													
2001607	20016	7				1	9	20301			1	2001602	3										2	2	2001603				2	2001605			2	2001607			2	2001604														2		157301		3	2	2																																														
2001608	20016	8				1	9	20301			1	2001602	3										2	2	2001603				2	2001605			2	2001607			2	2001606														2		157501		3	2	2																																														
2001609	20016	9				1	9	20301			1	2001602	3										2	2	2001603				2	2001605			2	2001607			2	2001608														2		157701		3	2	2																																														
2001610	20016	10			1	1	9	20301			1	2001603	4										2	2	2001603				2	2001605			2	2001607								8	2001605																																						14	2001602																						
2001611	20016	11				1	9	20301			1	2001607	3		1	2001608	3		1	2001609	3			2	2001602																											2		1419		3	3	2		1					24	20301			1	100311	1										1	100311	1																157301,157501,157701					
2001709	20017	1					9	20101																6	1137																											2		154901		3	1	1				1																			19	3	133002277,1				19	3	133002278,1	19	3	133002277,2	19	3	133002250,2	19	3	133002901,1	154901					
2001701	20017	2				1	9	20101			1	2001709	3											20			1330022781	1														20			1330022771	1						1		Q20017NPC	30	3	2	2				1			19	3	133002278,1														19	3	133002277,1	14	2001709		19	3	133002278,1	19	3	133002278,2							154901					
2001702	20017	3				1	9	20101			1	2001701	3										2	2	2001707				2	2001708																						2		154901		3	2	2				1			27	3	133002290,2,3,4														19	3	133002277,1				19	3	133002278,1	1	100306	999	1	100307	999				154901					
2001703	20017	4				1	9	20101			1	2001702	3											5	100306																											1		Q20017Item011	40	3	2	2				1			19	3	133002290,1														19	3	133002277,1	18	100306:999,100307:999,100308:999		19	3	133002278,1										154901					
2001704	20017	5				1	9	20101			1	2001703	3		3	100306								2	2001703																											2		154901		3	2	2				1							1	100306	1		1	100307	2						19	3	133002277,1	18	100306:999,100307:999,100308:999		19	3	133002278,1										154901					
2001705	20017	6				1	9	20101			1	2001704	3											20			1330022782	1														20			1330022771	1						1		Q20017NPC	30	3	2	2				1			19	3	133002278,1														19	3	133002277,1	14	2001709		19	3	133002278,1	19	3	133002278,3							154901					
2001706	20017	7				1	9	20101			1	2001705	3										2	2	2001709				2	2001710																						2		154901		3	2	2				1			19	3	133002290,5														19	3	133002277,1	18	100306:999,100307:999,100308:999		19	3	133002278,1	1	100308	999							154901					
2001707	20017	8				1	9	20101			1	2001706	3											5	100308																											1		Q20017Item02	20	3	2	2				1			19	3	133002290,1														19	3	133002277,1	18	100306:999,100307:999,100308:999		19	3	133002278,1										154901					
2001708	20017	9				1	9	20101			1	2001707	3		3	100308								2	2001706																											2		154901		3	3	2		1		1			24	20101			15	3	133002277		1	100308	1						19	3	133002277,1				19	3	133002278,1										154901					
2001809	20018	1					9	20102																6	1138																											2		157101		3	1	1				1																			19	3	133002279,1				19	3	133002280,1	19	3	133002279,2	19	3	133002901,1				157101					
2001801	20018	2				1	9	20102			1	2001809	3											20			1330022801	1														20			1330022791	1						1		Q20018NPC	30	3	2	2				1			19	3	133002280,1														19	3	133002279,1	14	2001809		19	3	133002280,1	19	3	133002280,2							157101					
2001802	20018	3				1	9	20102			1	2001801	3										2	2	2001807				2	2001808																						2		157101		3	2	2				1			27	3	133002291,2,3,4														19	3	133002279,1				19	3	133002280,1	1	100306	999	1	100307	999				157101					
2001803	20018	4				1	9	20102			1	2001802	3											5	100306																											1		Q20018Item011	40	3	2	2				1			19	3	133002291,1														19	3	133002279,1	18	100306:999,100307:999,100308:999		19	3	133002280,1										157101					
2001804	20018	5				1	9	20102			1	2001803	3		3	100306								2	2001803																											2		157101		3	2	2				1							1	100306	1		1	100307	2						19	3	133002279,1	18	100306:999,100307:999,100308:999		19	3	133002280,1										157101					
2001805	20018	6				1	9	20102			1	2001804	3											20			1330022802	1														20			1330022791	1						1		Q20018NPC	30	3	2	2				1			19	3	133002280,1														19	3	133002279,1	14	2001809		19	3	133002280,1	19	3	133002280,3							157101					
2001806	20018	7				1	9	20102			1	2001805	3										2	2	2001809				2	2001810																						2		157101		3	2	2				1			19	3	133002291,5														19	3	133002279,1	18	100306:999,100307:999,100308:999		19	3	133002280,1	1	100308	999							157101					
2001807	20018	8				1	9	20102			1	2001806	3											5	100308																											1		Q20018Item02	20	3	2	2				1			19	3	133002291,1														19	3	133002279,1	18	100306:999,100307:999,100308:999		19	3	133002280,1										157101					
2001808	20018	9				1	9	20102			1	2001807	3		3	100308								2	2001806																											2		157101		3	3	2		1		1			24	20102			15	3	133002279		1	100308	1						19	3	133002279,1				19	3	133002280,1										157101					
2001901	20019	1					9	20403																2	2001901																											2		155101		3	1	1				1							1	100302	1																						19	3	133001303,1				155101					
2001902	20019	2				1	9	20403			1	99902	3											5	100301																											1		Q20005KEY01_Reminder	80	3	2	2				1																			1	100301	1	1	100302	1				27	3	133001302,2,3	29	100301										
2001903	20019	3				1	9	20403			1	2001901	3											5	100302																											1		Q20005KEY02_Reminder	80	3	2	2				1																						1	100302	1				27	3	133001303,2,3,4	29	100302					155101					
2001904	20019	4				1	9	20403			1	2001903	3											2	2001904																											2		155101		3	3	2		1		1			24	20403							1	100302	1									1	100302	1							19	3	133001303,1				155101					
2002501	20025	1					9	20401																2	2002501																											2		155101		3	1	1				1							29	100302																							19	3	133002286,1				155101					
2002502	20025	2				1	9	20401			1	99902	3											5	100301																											1		Q20025KEY01_Reminder	80	3	2	2				1																			1	100301	1	1	100302	1				27	3	133002284,2,3	29	100301										
2002503	20025	3				1	9	20401			1	2002501	3											5	100302																											1		Q20025KEY02_Reminder	80	3	2	2				1																						1	100302	1				27	3	133002286,2,3	29	100302					155101					
2002504	20025	4				1	9	20401			1	2002503	3											2	2002504																											2		155101		3	3	2		1		1			24	20401							1	100302	1									1	100302	1							19	3	133002286,1				155101					
2003501	20035	1					9	20402																2	2003501																											2		155101		3	1	1				1			29	100301																								19	3	133002284,1							155101					
2003502	20035	2				1	9	20402			1	2003501	3											5	100301																											1		Q20025KEY01_Reminder	80	3	2	2				1																			1	100301	1							27	3	133002284,2,3	29	100301					155101					
2003503	20035	3				1	9	20402			1	99902	3											5	100302																											1		Q20025KEY02_Reminder	80	3	2	2				1																			1	100301	1	1	100302	1				27	3	133002286,2,3	29	100302										
2003504	20035	4				1	9	20402			1	2003502	3											2	2003504																											2		155101		3	3	2		1		1			24	20402			1	100301	1										1	100301	1							19	3	133002284,1							155101					
2002301	20023	1					9	22600																2	2002301																											2		147101		3	1	1				1																																					147101,146101,140301					
2002302	20023	2				1	9	22600			1	2002301	3		24	1	1							2	2002302																											2		146101		1009	2	2				1																																					147101,146101,140301					
2002303	20023	3				1	9	22600			1	2002302	3		24	1	1							25	70710028																											1		Q20023Winebowl		1009	2	2				1																																					147101,146101,140301					
2002304	20023	4				1	9	22600			1	2002303	3		24	1	1							2	2002303																											2		1465		1009	2	2				1																																					147101,146101,140301					
2002305	20023	5				1	9	22600			1	2002304	3		24	1	1							2	2002304																											2		147101		3	3	2		1		1			24	22600																																	147101,146101,140301					
2002306	20023	6				1	9	22600			1	2002301	3		24	1	2							4																												2		146101		3	2	2				1																																					147101,146101,140301					
2002307	20023	7				1	9	22600			1	2002306	3		24	1	2							4																		8	2002307									2		146101		3	2	2																							14	2002306																	147101,146101,140301					
2002308	20023	8				1	9	22600			1	2002307	3		24	1	2							2	2002309																											2		147101		3	3	2		1		1			24	22600																																	147101,146101,140301					
2002401	20024	1					9	22300																4	2002401																											2		155101		3	1	1				1																																										
2002601	20026	1					9	20302																20			133004908	1																								2		1419		3	1	1				1			29	100312			29	100309																				19	3	133004908,2							1535					
2002602	20026	2				1	9	20302			1	2002601	3											2	2002601																											2		1419		3	2	2				1																																					1535					
2002603	20026	3	1			1	9	20302			1	2002602	3											5	100062			2																								1		Q20026Egg	40	3	2	2				1																																					1535					
2002604	20026	4				1	9	20302			1	2002603	3											2	2002602																											2		1419	20	3						1	100312	1	1	100062	2																							1	100312	999	1	100309	999				1535					
2002605	20026	5			1	1	9	20302			1	2002604	3											2	2002603																2	8	2002605				111	100312	1																																1	100312	1																1535					
2002606	20026	6			1	1	9	20302			1	2002605	4											2	2002603																	8	2002606																																						14	2002604																						
2002607	20026	7				1	9	20302			1	2002604	3											2	2002603																											2		1535		3	2	2					100309	1	1	100312	1																																					
2002608	20026	8				1	9	20302			1	2002607	3											2	2002604																											2		1419	20	3	3	2		1					24	20302			1	100309	1										1	100309	1																1535					
2001101	20011	1					9	20501																20			13300348301	1																								1		Event_20501	20	3	2	2				1																												19	3	133003483,2	19	3	133002242,2				140801					
2001102	20011	2			1	1	9	20501			1	2001101	3											20			13300348302	5																								1		Event_20501	20	3	2	2																																														
2001103	20011	3				1	9	20501			1	2001101	3											20			13300348303	6																								1		Event_20501	20	3	2	2																																									140801					
2001104	20011	4				1	9	20501			1	2001103	3											2	2001103																											2		140801		3	3	2		1		1			24	20501			19	3	133002242,1																												140801					
2001201	20012	1					9	20502																20			13300227201	1																								1		Event_20502	20	3	2	2				1																												19	3	133002272,2	19	3	133002133,2	19	3	133002243,2	157001					
2001202	20012	2			1	1	9	20502			1	2001201	3											20			13300227202	5																								1		Event_20502	20	3	2	2																																									157001					
2001203	20012	3				1	9	20502			1	2001201	3											20			13300227203	6																								1		Event_20502	20	3	2	2																																														
2001204	20012	4				1	9	20502			1	2001203	3											2	2001203																											2		157001		3	3	2		1		1			24	20502			19	3	133002243,1		19	3	133002133,1																								157001					
2001301	20013	1					9	20503																20			13300227301	1																								1		Event_20503	20	3	2	2				1																												19	3	133002273,2	19	3	133002250,2				141301					
2001302	20013	2			1	1	9	20503			1	2001301	3											20			13300227302	5																								1		Event_20503	20	3	2	2																																									141301					
2001303	20013	3				1	9	20503			1	2001301	3											20			13300227303	6																								1		Event_20503	20	3	2	2																																														
2001304	20013	4				1	9	20503			1	2001303	3											2	2001303																											2		141301		3	3	2		1		1			24	20503																																	141301					
2002701	20027	1					9	20201																20			133002281	1																								1		Event_20201		3	2	2				1																												19	3	133002281,2							153301					
2002702	20027	2				1	9	20201			1	2002701	3											20			13300228101	1																								1		Event_20201	20	3	2	2																																									153301					
2002703	20027	3				1	9	20201			1	2002702	3											2	2002701																											2		153301		3	2	2				1			19	3	133002282,2																																153301					
2002704	20027	4				1	9	20201			1	2002703	3											20			13300228202	1																								1		Event_20201_01_01	40	3	2	2																																									153301					
2002705	20027	5				1	9	20201			1	2002704	3											20			13300228303	1																								1		Event_20201_01_01		3	2	2				1																												15	3	133002282							153301					
2002706	20027	6				1	9	20201			1	2002705	3											20			13300228304	1														20			13300228305	1						1		Event_20201_01_01	20	3	2	2		1					24	20201															14	2002705																	153301					
2002801	20028	1					9	20202																20			13300228701	1																								1		Event_20202		3	2	2				1																												19	3	133002287,2							157501					
2002802	20028	2				1	9	20202			1	2002801	3											20			13300228702	1																								1		Event_20202	20	3	2	2																																									157501					
2002803	20028	3				1	9	20202			1	2002802	3											2	2002801																											2		157501		3	2	2				1			19	3	133002288,2																																157501					
2002804	20028	4				1	9	20202			1	2002803	3											20			13300228803	1																								1		Event_20202_01_01	40	3	2	2																																									157501					
2002805	20028	5				1	9	20202			1	2002804	3											20			13300228804	1																								1		Event_20202_01_01		3	2	2				1																												15	3	133002288							157501					
2002806	20028	6				1	9	20202			1	2002805	3											20			13300228905	1														20			13300228906	1						1		Event_20202_01_01	20	3	2	2		1					24	20202															14	2002805																	157501					
2003601	20036	1					9	21000																20			13300426901	1																								2		1521		3	1	1																																19	3	133004269,2							1521					
2003602	20036	2				1	9	21000			1	2003601	3											2	2003601																											2		1521		3	2	2				1																																					1521					
2003603	20036	3				1	9	21000			1	2003602	3											4	2003603																											1		Event_21000_02	40	3	2	2																																														
2003604	20036	3				1	9	21000			1	2003602	3		3	100057	3							2	2003602																	111	100057	3								2		1521		3	2	2																							14	2003602																	1521					
