等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值	[曲线]6类型	[曲线]6运算	[曲线]6值	[曲线]7类型	[曲线]7运算	[曲线]7值	[曲线]8类型	[曲线]8运算	[曲线]8值	[曲线]9类型	[曲线]9运算	[曲线]9值	[曲线]10类型	[曲线]10运算	[曲线]10值	[曲线]11类型	[曲线]11运算	[曲线]11值	[曲线]12类型	[曲线]12运算	[曲线]12值	[曲线]13类型	[曲线]13运算	[曲线]13值	[曲线]14类型	[曲线]14运算	[曲线]14值	[曲线]15类型	[曲线]15运算	[曲线]15值	[曲线]16类型	[曲线]16运算	[曲线]16值	[曲线]17类型	[曲线]17运算	[曲线]17值	[曲线]18类型	[曲线]18运算	[曲线]18值
26	1101	2	2.612	1102	2	2.802	1103	2	3.153	1104	2	2.411	1105	2	2.306	2101	2	1.681	1201	2	2.887	1202	2	3.091	1203	2	3.463	1204	2	2.67	1205	2	2.556	2201	2	1.681	1301	2	3.166	1302	2	3.408	1303	2	3.841	1304	2	2.905	1305	2	2.767	2301	2	1.681
27	1101	2	2.68	1102	2	2.88	1103	2	3.249	1104	2	2.469	1105	2	2.359	2101	2	1.681	1201	2	2.968	1202	2	3.183	1203	2	3.574	1204	2	2.741	1205	2	2.621	2201	2	1.681	1301	2	3.261	1302	2	3.515	1303	2	3.97	1304	2	2.987	1305	2	2.841	2301	2	1.681
28	1101	2	2.749	1102	2	2.959	1103	2	3.345	1104	2	2.528	1105	2	2.413	2101	2	1.681	1201	2	3.05	1202	2	3.275	1203	2	3.685	1204	2	2.812	1205	2	2.686	2201	2	1.681	1301	2	3.355	1302	2	3.622	1303	2	4.098	1304	2	3.068	1305	2	2.915	2301	2	1.681
29	1101	2	2.818	1102	2	3.037	1103	2	3.441	1104	2	2.587	1105	2	2.466	2101	2	1.681	1201	2	3.132	1202	2	3.367	1203	2	3.796	1204	2	2.883	1205	2	2.752	2201	2	1.681	1301	2	3.45	1302	2	3.729	1303	2	4.227	1304	2	3.149	1305	2	2.99	2301	2	1.681
30	1101	2	2.887	1102	2	3.116	1103	2	3.537	1104	2	2.646	1105	2	2.519	2101	2	1.848	1201	2	3.214	1202	2	3.459	1203	2	3.906	1204	2	2.953	1205	2	2.817	2201	2	1.848	1301	2	3.544	1302	2	3.835	1303	2	4.356	1304	2	3.231	1305	2	3.064	2301	2	1.848
31	1101	2	2.955	1102	2	3.194	1103	2	3.633	1104	2	2.704	1105	2	2.573	2101	2	1.848	1201	2	3.295	1202	2	3.551	1203	2	4.017	1204	2	3.024	1205	2	2.882	2201	2	1.848	1301	2	3.639	1302	2	3.942	1303	2	4.484	1304	2	3.312	1305	2	3.138	2301	2	1.848
32	1101	2	3.024	1102	2	3.272	1103	2	3.729	1104	2	2.763	1105	2	2.626	2101	2	1.848	1201	2	3.377	1202	2	3.643	1203	2	4.128	1204	2	3.095	1205	2	2.947	2201	2	1.848	1301	2	3.733	1302	2	4.049	1303	2	4.613	1304	2	3.393	1305	2	3.213	2301	2	1.848
33	1101	2	3.093	1102	2	3.351	1103	2	3.825	1104	2	2.822	1105	2	2.68	2101	2	1.848	1201	2	3.459	1202	2	3.735	1203	2	4.239	1204	2	3.166	1205	2	3.012	2201	2	1.848	1301	2	3.828	1302	2	4.156	1303	2	4.742	1304	2	3.475	1305	2	3.287	2301	2	1.848
34	1101	2	3.162	1102	2	3.429	1103	2	3.921	1104	2	2.88	1105	2	2.733	2101	2	1.848	1201	2	3.541	1202	2	3.827	1203	2	4.349	1204	2	3.237	1205	2	3.077	2201	2	1.848	1301	2	3.922	1302	2	4.263	1303	2	4.87	1304	2	3.556	1305	2	3.361	2301	2	1.848
35	1101	2	3.231	1102	2	3.507	1103	2	4.017	1104	2	2.939	1105	2	2.787	2101	2	2.026	1201	2	3.622	1202	2	3.919	1203	2	4.46	1204	2	3.308	1205	2	3.142	2201	2	2.026	1301	2	4.017	1302	2	4.369	1303	2	4.999	1304	2	3.638	1305	2	3.436	2301	2	2.026
36	1101	2	3.299	1102	2	3.586	1103	2	4.113	1104	2	2.998	1105	2	2.84	2101	2	2.026	1201	2	3.704	1202	2	4.011	1203	2	4.571	1204	2	3.378	1205	2	3.207	2201	2	2.026	1301	2	4.111	1302	2	4.476	1303	2	5.128	1304	2	3.719	1305	2	3.51	2301	2	2.026
37	1101	2	3.368	1102	2	3.664	1103	2	4.209	1104	2	3.056	1105	2	2.893	2101	2	2.026	1201	2	3.786	1202	2	4.103	1203	2	4.682	1204	2	3.449	1205	2	3.272	2201	2	2.026	1301	2	4.206	1302	2	4.583	1303	2	5.256	1304	2	3.8	1305	2	3.584	2301	2	2.026
38	1101	2	3.437	1102	2	3.742	1103	2	4.305	1104	2	3.115	1105	2	2.947	2101	2	2.026	1201	2	3.867	1202	2	4.195	1203	2	4.793	1204	2	3.52	1205	2	3.337	2201	2	2.026	1301	2	4.301	1302	2	4.69	1303	2	5.385	1304	2	3.882	1305	2	3.659	2301	2	2.026
39	1101	2	3.506	1102	2	3.821	1103	2	4.401	1104	2	3.174	1105	2	3	2101	2	2.026	1201	2	3.949	1202	2	4.287	1203	2	4.903	1204	2	3.591	1205	2	3.403	2201	2	2.026	1301	2	4.395	1302	2	4.796	1303	2	5.514	1304	2	3.963	1305	2	3.733	2301	2	2.026
40	1101	2	3.575	1102	2	3.899	1103	2	4.497	1104	2	3.233	1105	2	3.054	2101	2	2.216	1201	2	4.031	1202	2	4.379	1203	2	5.014	1204	2	3.662	1205	2	3.468	2201	2	2.216	1301	2	4.49	1302	2	4.903	1303	2	5.642	1304	2	4.044	1305	2	3.807	2301	2	2.216
41	1101	2	3.651	1102	2	3.989	1103	2	4.611	1104	2	3.296	1105	2	3.109	2101	2	2.216	1201	2	4.124	1202	2	4.487	1203	2	5.147	1204	2	3.74	1205	2	3.538	2201	2	2.216	1301	2	4.599	1302	2	5.029	1303	2	5.799	1304	2	4.135	1305	2	3.889	2301	2	2.216
42	1101	2	3.728	1102	2	4.079	1103	2	4.725	1104	2	3.359	1105	2	3.165	2101	2	2.216	1201	2	4.218	1202	2	4.594	1203	2	5.281	1204	2	3.819	1205	2	3.609	2201	2	2.216	1301	2	4.708	1302	2	5.155	1303	2	5.955	1304	2	4.227	1305	2	3.97	2301	2	2.216
43	1101	2	3.805	1102	2	4.169	1103	2	4.839	1104	2	3.422	1105	2	3.221	2101	2	2.216	1201	2	4.312	1202	2	4.702	1203	2	5.414	1204	2	3.898	1205	2	3.68	2201	2	2.216	1301	2	4.818	1302	2	5.282	1303	2	6.111	1304	2	4.318	1305	2	4.052	2301	2	2.216
44	1101	2	3.882	1102	2	4.259	1103	2	4.953	1104	2	3.485	1105	2	3.277	2101	2	2.216	1201	2	4.405	1202	2	4.809	1203	2	5.547	1204	2	3.976	1205	2	3.751	2201	2	2.216	1301	2	4.927	1302	2	5.408	1303	2	6.267	1304	2	4.409	1305	2	4.133	2301	2	2.216
45	1101	2	3.959	1102	2	4.349	1103	2	5.067	1104	2	3.548	1105	2	3.333	2101	2	2.419	1201	2	4.499	1202	2	4.917	1203	2	5.681	1204	2	4.055	1205	2	3.821	2201	2	2.419	1301	2	5.036	1302	2	5.534	1303	2	6.424	1304	2	4.5	1305	2	4.215	2301	2	2.419
46	1101	2	4.036	1102	2	4.439	1103	2	5.181	1104	2	3.611	1105	2	3.389	2101	2	2.419	1201	2	4.592	1202	2	5.025	1203	2	5.814	1204	2	4.133	1205	2	3.892	2201	2	2.419	1301	2	5.145	1302	2	5.66	1303	2	6.58	1304	2	4.591	1305	2	4.296	2301	2	2.419
47	1101	2	4.113	1102	2	4.529	1103	2	5.296	1104	2	3.674	1105	2	3.445	2101	2	2.419	1201	2	4.686	1202	2	5.132	1203	2	5.947	1204	2	4.212	1205	2	3.963	2201	2	2.419	1301	2	5.255	1302	2	5.786	1303	2	6.736	1304	2	4.682	1305	2	4.378	2301	2	2.419
48	1101	2	4.19	1102	2	4.619	1103	2	5.41	1104	2	3.737	1105	2	3.501	2101	2	2.419	1201	2	4.779	1202	2	5.24	1203	2	6.081	1204	2	4.29	1205	2	4.033	2201	2	2.419	1301	2	5.364	1302	2	5.912	1303	2	6.893	1304	2	4.774	1305	2	4.459	2301	2	2.419
49	1101	2	4.267	1102	2	4.709	1103	2	5.524	1104	2	3.8	1105	2	3.557	2101	2	2.419	1201	2	4.873	1202	2	5.348	1203	2	6.214	1204	2	4.369	1205	2	4.104	2201	2	2.419	1301	2	5.473	1302	2	6.039	1303	2	7.049	1304	2	4.865	1305	2	4.541	2301	2	2.419
50	1101	2	4.344	1102	2	4.799	1103	2	5.638	1104	2	3.864	1105	2	3.612	2101	2	2.635	1201	2	4.966	1202	2	5.455	1203	2	6.347	1204	2	4.448	1205	2	4.175	2201	2	2.635	1301	2	5.583	1302	2	6.165	1303	2	7.205	1304	2	4.956	1305	2	4.622	2301	2	2.635
51	1101	2	4.42	1102	2	4.889	1103	2	5.752	1104	2	3.927	1105	2	3.668	2101	2	2.635	1201	2	5.06	1202	2	5.563	1203	2	6.481	1204	2	4.526	1205	2	4.246	2201	2	2.635	1301	2	5.692	1302	2	6.291	1303	2	7.361	1304	2	5.047	1305	2	4.704	2301	2	2.635
52	1101	2	4.497	1102	2	4.979	1103	2	5.866	1104	2	3.99	1105	2	3.724	2101	2	2.635	1201	2	5.153	1202	2	5.67	1203	2	6.614	1204	2	4.605	1205	2	4.316	2201	2	2.635	1301	2	5.801	1302	2	6.417	1303	2	7.518	1304	2	5.138	1305	2	4.785	2301	2	2.635
53	1101	2	4.574	1102	2	5.069	1103	2	5.98	1104	2	4.053	1105	2	3.78	2101	2	2.635	1201	2	5.247	1202	2	5.778	1203	2	6.748	1204	2	4.683	1205	2	4.387	2201	2	2.635	1301	2	5.911	1302	2	6.543	1303	2	7.674	1304	2	5.229	1305	2	4.867	2301	2	2.635
54	1101	2	4.651	1102	2	5.159	1103	2	6.094	1104	2	4.116	1105	2	3.836	2101	2	2.635	1201	2	5.34	1202	2	5.886	1203	2	6.881	1204	2	4.762	1205	2	4.458	2201	2	2.635	1301	2	6.02	1302	2	6.669	1303	2	7.83	1304	2	5.321	1305	2	4.948	2301	2	2.635
55	1101	2	4.728	1102	2	5.249	1103	2	6.208	1104	2	4.179	1105	2	3.892	2101	2	2.867	1201	2	5.434	1202	2	5.993	1203	2	7.014	1204	2	4.84	1205	2	4.528	2201	2	2.867	1301	2	6.129	1302	2	6.796	1303	2	7.987	1304	2	5.412	1305	2	5.03	2301	2	2.867
56	1101	2	4.805	1102	2	5.339	1103	2	6.322	1104	2	4.242	1105	2	3.948	2101	2	2.867	1201	2	5.527	1202	2	6.101	1203	2	7.148	1204	2	4.919	1205	2	4.599	2201	2	2.867	1301	2	6.239	1302	2	6.922	1303	2	8.143	1304	2	5.503	1305	2	5.111	2301	2	2.867
57	1101	2	4.882	1102	2	5.429	1103	2	6.437	1104	2	4.305	1105	2	4.004	2101	2	2.867	1201	2	5.621	1202	2	6.209	1203	2	7.281	1204	2	4.998	1205	2	4.67	2201	2	2.867	1301	2	6.348	1302	2	7.048	1303	2	8.299	1304	2	5.594	1305	2	5.193	2301	2	2.867
58	1101	2	4.959	1102	2	5.519	1103	2	6.551	1104	2	4.368	1105	2	4.06	2101	2	2.867	1201	2	5.714	1202	2	6.316	1203	2	7.414	1204	2	5.076	1205	2	4.741	2201	2	2.867	1301	2	6.457	1302	2	7.174	1303	2	8.455	1304	2	5.685	1305	2	5.274	2301	2	2.867
59	1101	2	5.036	1102	2	5.609	1103	2	6.665	1104	2	4.432	1105	2	4.115	2101	2	2.867	1201	2	5.808	1202	2	6.424	1203	2	7.548	1204	2	5.155	1205	2	4.811	2201	2	2.867	1301	2	6.567	1302	2	7.3	1303	2	8.612	1304	2	5.776	1305	2	5.356	2301	2	2.867
60	1101	2	5.113	1102	2	5.699	1103	2	6.779	1104	2	4.495	1105	2	4.171	2101	2	3.115	1201	2	5.901	1202	2	6.531	1203	2	7.681	1204	2	5.233	1205	2	4.882	2201	2	3.115	1301	2	6.676	1302	2	7.426	1303	2	8.768	1304	2	5.868	1305	2	5.437	2301	2	3.115
61	1101	2	5.2	1102	2	5.804	1103	2	6.917	1104	2	4.563	1105	2	4.23	2101	2	3.115	1201	2	6.01	1202	2	6.659	1203	2	7.844	1204	2	5.322	1205	2	4.96	2201	2	3.115	1301	2	6.804	1302	2	7.578	1303	2	8.96	1304	2	5.971	1305	2	5.528	2301	2	3.115
62	1101	2	5.287	1102	2	5.909	1103	2	7.055	1104	2	4.632	1105	2	4.289	2101	2	3.115	1201	2	6.119	1202	2	6.787	1203	2	8.007	1204	2	5.41	1205	2	5.037	2201	2	3.115	1301	2	6.933	1302	2	7.729	1303	2	9.153	1304	2	6.075	1305	2	5.618	2301	2	3.115
63	1101	2	5.375	1102	2	6.014	1103	2	7.193	1104	2	4.7	1105	2	4.348	2101	2	3.115	1201	2	6.227	1202	2	6.915	1203	2	8.17	1204	2	5.498	1205	2	5.115	2201	2	3.115	1301	2	7.061	1302	2	7.88	1303	2	9.345	1304	2	6.178	1305	2	5.708	2301	2	3.115
64	1101	2	5.462	1102	2	6.12	1103	2	7.331	1104	2	4.769	1105	2	4.406	2101	2	3.115	1201	2	6.336	1202	2	7.043	1203	2	8.332	1204	2	5.587	1205	2	5.192	2201	2	3.115	1301	2	7.189	1302	2	8.032	1303	2	9.538	1304	2	6.282	1305	2	5.799	2301	2	3.115
65	1101	2	5.549	1102	2	6.225	1103	2	7.468	1104	2	4.838	1105	2	4.465	2101	2	3.381	1201	2	6.445	1202	2	7.171	1203	2	8.495	1204	2	5.675	1205	2	5.27	2201	2	3.381	1301	2	7.318	1302	2	8.183	1303	2	9.73	1304	2	6.385	1305	2	5.889	2301	2	3.381
66	1101	2	5.637	1102	2	6.33	1103	2	7.606	1104	2	4.906	1105	2	4.524	2101	2	3.381	1201	2	6.553	1202	2	7.299	1203	2	8.658	1204	2	5.763	1205	2	5.348	2201	2	3.381	1301	2	7.446	1302	2	8.335	1303	2	9.923	1304	2	6.489	1305	2	5.979	2301	2	3.381
67	1101	2	5.724	1102	2	6.435	1103	2	7.744	1104	2	4.975	1105	2	4.583	2101	2	3.381	1201	2	6.662	1202	2	7.426	1203	2	8.821	1204	2	5.851	1205	2	5.425	2201	2	3.381	1301	2	7.574	1302	2	8.486	1303	2	10.115	1304	2	6.592	1305	2	6.07	2301	2	3.381
68	1101	2	5.811	1102	2	6.54	1103	2	7.882	1104	2	5.043	1105	2	4.641	2101	2	3.381	1201	2	6.771	1202	2	7.554	1203	2	8.984	1204	2	5.94	1205	2	5.503	2201	2	3.381	1301	2	7.703	1302	2	8.637	1303	2	10.308	1304	2	6.696	1305	2	6.16	2301	2	3.381
69	1101	2	5.899	1102	2	6.645	1103	2	8.02	1104	2	5.112	1105	2	4.7	2101	2	3.381	1201	2	6.88	1202	2	7.682	1203	2	9.147	1204	2	6.028	1205	2	5.58	2201	2	3.381	1301	2	7.831	1302	2	8.789	1303	2	10.5	1304	2	6.799	1305	2	6.25	2301	2	3.381
70	1101	2	5.986	1102	2	6.75	1103	2	8.158	1104	2	5.18	1105	2	4.759	2101	2	3.664	1201	2	6.988	1202	2	7.81	1203	2	9.31	1204	2	6.116	1205	2	5.658	2201	2	3.664	1301	2	7.959	1302	2	8.94	1303	2	10.693	1304	2	6.903	1305	2	6.341	2301	2	3.664
71	1101	2	6.073	1102	2	6.856	1103	2	8.296	1104	2	5.249	1105	2	4.818	2101	2	3.664	1201	2	7.097	1202	2	7.938	1203	2	9.473	1204	2	6.205	1205	2	5.736	2201	2	3.664	1301	2	8.087	1302	2	9.091	1303	2	10.885	1304	2	7.007	1305	2	6.431	2301	2	3.664
72	1101	2	6.161	1102	2	6.961	1103	2	8.434	1104	2	5.318	1105	2	4.876	2101	2	3.664	1201	2	7.206	1202	2	8.066	1203	2	9.636	1204	2	6.293	1205	2	5.813	2201	2	3.664	1301	2	8.216	1302	2	9.243	1303	2	11.078	1304	2	7.11	1305	2	6.521	2301	2	3.664
73	1101	2	6.248	1102	2	7.066	1103	2	8.572	1104	2	5.386	1105	2	4.935	2101	2	3.664	1201	2	7.314	1202	2	8.194	1203	2	9.799	1204	2	6.381	1205	2	5.891	2201	2	3.664	1301	2	8.344	1302	2	9.394	1303	2	11.27	1304	2	7.214	1305	2	6.612	2301	2	3.664
74	1101	2	6.335	1102	2	7.171	1103	2	8.71	1104	2	5.455	1105	2	4.994	2101	2	3.664	1201	2	7.423	1202	2	8.322	1203	2	9.962	1204	2	6.47	1205	2	5.968	2201	2	3.664	1301	2	8.472	1302	2	9.545	1303	2	11.463	1304	2	7.317	1305	2	6.702	2301	2	3.664
75	1101	2	6.423	1102	2	7.276	1103	2	8.848	1104	2	5.523	1105	2	5.053	2101	2	3.967	1201	2	7.532	1202	2	8.449	1203	2	10.124	1204	2	6.558	1205	2	6.046	2201	2	3.967	1301	2	8.601	1302	2	9.697	1303	2	11.655	1304	2	7.421	1305	2	6.793	2301	2	3.967
76	1101	2	6.51	1102	2	7.381	1103	2	8.985	1104	2	5.592	1105	2	5.112	2101	2	3.967	1201	2	7.64	1202	2	8.577	1203	2	10.287	1204	2	6.646	1205	2	6.124	2201	2	3.967	1301	2	8.729	1302	2	9.848	1303	2	11.848	1304	2	7.524	1305	2	6.883	2301	2	3.967
77	1101	2	6.597	1102	2	7.486	1103	2	9.123	1104	2	5.66	1105	2	5.17	2101	2	3.967	1201	2	7.749	1202	2	8.705	1203	2	10.45	1204	2	6.735	1205	2	6.201	2201	2	3.967	1301	2	8.857	1302	2	9.999	1303	2	12.04	1304	2	7.628	1305	2	6.973	2301	2	3.967
78	1101	2	6.685	1102	2	7.592	1103	2	9.261	1104	2	5.729	1105	2	5.229	2101	2	3.967	1201	2	7.858	1202	2	8.833	1203	2	10.613	1204	2	6.823	1205	2	6.279	2201	2	3.967	1301	2	8.986	1302	2	10.151	1303	2	12.233	1304	2	7.731	1305	2	7.064	2301	2	3.967
79	1101	2	6.772	1102	2	7.697	1103	2	9.399	1104	2	5.798	1105	2	5.288	2101	2	3.967	1201	2	7.966	1202	2	8.961	1203	2	10.776	1204	2	6.911	1205	2	6.356	2201	2	3.967	1301	2	9.114	1302	2	10.302	1303	2	12.425	1304	2	7.835	1305	2	7.154	2301	2	3.967
