等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值	[曲线]5类型	[曲线]5运算	[曲线]5值
27	1	2	73.140754	2	2	23.777734	12	2	9.666667	17	2	23.777734	16	2	27
28	1	2	76.805212	2	2	24.547903	12	2	10	17	2	24.547903	16	2	28
29	1	2	80.565886	2	2	25.336164	12	2	10.333333	17	2	25.336164	16	2	29
30	1	2	87.641858	2	2	26.019108	12	2	10.666667	17	2	26.019108	16	2	30
31	1	2	96.404594	2	2	26.875088	12	2	11	17	2	26.875088	16	2	31
32	1	2	100.371982	2	2	27.711076	12	2	11.333333	17	2	27.711076	16	2	32
33	1	2	103.999706	2	2	28.552282	12	2	11.666667	17	2	28.552282	16	2	33
34	1	2	107.703843	2	2	29.445993	12	2	12	17	2	29.445993	16	2	34
35	1	2	111.224087	2	2	30.299805	12	2	12.333333	17	2	30.299805	16	2	35
36	1	2	129.218566	2	2	31.479521	12	2	12.666667	17	2	31.479521	16	2	36
37	1	2	137.191696	2	2	33.517826	12	2	13	17	2	33.517826	16	2	37
38	1	2	145.585027	2	2	35.663217	12	2	13.333333	17	2	35.663217	16	2	38
39	1	2	154.099382	2	2	37.840632	12	2	13.666667	17	2	37.840632	16	2	39
40	1	2	168.258392	2	2	39.987261	12	2	14	17	2	39.987261	16	2	40
41	1	2	177.137073	2	2	42.174938	12	2	14.333333	17	2	42.174938	16	2	41
42	1	2	186.184997	2	2	44.403795	12	2	14.666667	17	2	44.403795	16	2	42
43	1	2	195.179034	2	2	46.621019	12	2	15	17	2	46.621019	16	2	43
44	1	2	204.340253	2	2	48.878052	12	2	15.333333	17	2	48.878052	16	2	44
45	1	2	219.501546	2	2	50.912509	12	2	15.666667	17	2	50.912509	16	2	45
46	1	2	226.046231	2	2	52.25376	12	2	16	17	2	52.25376	16	2	46
47	1	2	236.388251	2	2	53.534147	12	2	16.333333	17	2	53.534147	16	2	47
48	1	2	247.402017	2	2	54.928786	12	2	16.666667	17	2	54.928786	16	2	48
49	1	2	258.726811	2	2	56.35399	12	2	17	17	2	56.35399	16	2	49
50	1	2	281.739399	2	2	58.352972	12	2	17.333333	17	2	58.352972	16	2	50
51	1	2	294.984173	2	2	60.096072	12	2	17.666667	17	2	60.096072	16	2	51
52	1	2	308.482259	2	2	61.861244	12	2	18	17	2	61.861244	16	2	52
53	1	2	322.813678	2	2	63.766631	12	2	18.333333	17	2	63.766631	16	2	53
54	1	2	337.425206	2	2	65.696346	12	2	18.666667	17	2	65.696346	16	2	54
55	1	2	368.287912	2	2	67.357263	12	2	19	17	2	67.357263	16	2	55
56	1	2	381.614326	2	2	68.971824	12	2	19.333333	17	2	68.971824	16	2	56
57	1	2	399.641858	2	2	72.64287	12	2	19.666667	17	2	72.64287	16	2	57
58	1	2	417.442064	2	2	76.275257	12	2	20	17	2	76.275257	16	2	58
59	1	2	433.142521	2	2	79.519418	12	2	20.333333	17	2	79.519418	16	2	59
60	1	2	462.591431	2	2	82.803432	12	2	20.666667	17	2	82.803432	16	2	60
61	1	2	520.966063	2	2	87.240136	12	2	21	17	2	87.240136	16	2	61
62	1	2	543.745362	2	2	91.456829	12	2	21.333333	17	2	91.456829	16	2	62
63	1	2	567.884423	2	2	95.914234	12	2	21.666667	17	2	95.914234	16	2	63
64	1	2	589.410851	2	2	100.620754	12	2	22	17	2	100.620754	16	2	64
65	1	2	615.606302	2	2	106.315817	12	2	22.333333	17	2	106.315817	16	2	65
66	1	2	636.642153	2	2	109.698337	12	2	22.666667	17	2	109.698337	16	2	66
67	1	2	659.18323	2	2	113.315817	12	2	23	17	2	113.315817	16	2	67
68	1	2	681.945524	2	2	116.833643	12	2	23.333333	17	2	116.833643	16	2	68
69	1	2	706.300059	2	2	120.593286	12	2	23.666667	17	2	120.593286	16	2	69
70	1	2	744.628828	2	2	123.375531	12	2	24	17	2	123.375531	16	2	70
71	1	2	770.532023	2	2	126.191791	12	2	24.333333	17	2	126.191791	16	2	71
72	1	2	796.939708	2	2	129.054715	12	2	24.666667	17	2	129.054715	16	2	72
73	1	2	822.617712	2	2	131.764818	12	2	25	17	2	131.764818	16	2	73
74	1	2	842.641122	2	2	133.553609	12	2	25.333333	17	2	133.553609	16	2	74
75	1	2	921.125074	2	2	135.528662	12	2	25.666667	17	2	135.528662	16	2	75
76	1	2	949.09629	2	2	138.239915	12	2	26	17	2	138.239915	16	2	76
77	1	2	980.498749	2	2	144.06595	12	2	26.333333	17	2	144.06595	16	2	77
78	1	2	1011.014429	2	2	149.774637	12	2	26.666667	17	2	149.774637	16	2	78
79	1	2	1041.144803	2	2	155.559758	12	2	27	17	2	155.559758	16	2	79
80	1	2	1063.805359	2	2	161.420869	12	2	27.333333	17	2	161.420869	16	2	80
81	1	2	1044.319862	2	2	166.942454	12	2	27.666667	17	2	166.942454	16	2	81
82	1	2	1065.56066	2	2	172.731467	12	2	28	17	2	172.731467	16	2	82
83	1	2	1086.309187	2	2	178.590057	12	2	28.333333	17	2	178.590057	16	2	83
84	1	2	1106.55293	2	2	184.518179	12	2	28.666667	17	2	184.518179	16	2	84
85	1	2	1266.166667	2	2	189.80215	12	2	29	17	2	189.80215	16	2	85
86	1	2	1274.668949	2	2	191.297461	12	2	29.333333	17	2	191.297461	16	2	86
87	1	2	1283.844376	2	2	192.786403	12	2	29.666667	17	2	192.786403	16	2	87
88	1	2	1290.66144	2	2	194.304184	12	2	30	17	2	194.304184	16	2	88
89	1	2	1295.592756	2	2	195.850938	12	2	30.333333	17	2	195.850938	16	2	89
90	1	2	1384.728578	2	2	197.909678	12	2	30.666667	17	2	197.909678	16	2	90
91	1	2	1397.282391	2	2	198.525433	12	2	31	17	2	198.525433	16	2	91
92	1	2	1409.906213	2	2	199.146674	12	2	31.333333	17	2	199.146674	16	2	92
93	1	2	1422.600339	2	2	199.773355	12	2	31.666667	17	2	199.773355	16	2	93
94	1	2	1435.365283	2	2	200.405211	12	2	32	17	2	200.405211	16	2	94
95	1	2	1448.201266	2	2	201.042109	12	2	32.333333	17	2	201.042109	16	2	95
96	1	2	1461.108731	2	2	201.683961	12	2	32.666667	17	2	201.683961	16	2	96
97	1	2	1474.088192	2	2	202.330502	12	2	33	17	2	202.330502	16	2	97
98	1	2	1487.13987	2	2	202.981688	12	2	33.333333	17	2	202.981688	16	2	98
99	1	2	1500.264208	2	2	203.637297	12	2	33.666667	17	2	203.637297	16	2	99
100	1	2	1513.461646	2	2	204.297284	12	2	34	17	2	204.297284	16	2	100
101	1	2	1526.732479	2	2	204.961474	12	2	34.333333	17	2	204.961474	16	2	101
102	1	2	1540.077223	2	2	205.629733	12	2	34.666667	17	2	205.629733	16	2	102
103	1	2	1553.496172	2	2	206.302017	12	2	35	17	2	206.302017	16	2	103
104	1	2	1566.989694	2	2	206.978105	12	2	35.333333	17	2	206.978105	16	2	104
105	1	2	1580.55823	2	2	207.657953	12	2	35.666667	17	2	207.657953	16	2	105
106	1	2	1594.20215	2	2	208.341472	12	2	36	17	2	208.341472	16	2	106
107	1	2	1607.92182	2	2	209.02853	12	2	36.333333	17	2	209.02853	16	2	107
108	1	2	1621.717683	2	2	209.719038	12	2	36.666667	17	2	209.719038	16	2	108
109	1	2	1635.590106	2	2	210.412907	12	2	37	17	2	210.412907	16	2	109
110	1	2	1649.539458	2	2	211.11005	12	2	37.333333	17	2	211.11005	16	2	110
111	1	2	1663.566107	2	2	211.810333	12	2	37.666667	17	2	211.810333	16	2	111
112	1	2	1677.670495	2	2	212.513756	12	2	38	17	2	212.513756	16	2	112
113	1	2	1691.852915	2	2	213.220188	12	2	38.333333	17	2	213.220188	16	2	113
114	1	2	1706.113884	2	2	213.929538	12	2	38.666667	17	2	213.929538	16	2	114
115	1	2	1720.453769	2	2	214.641764	12	2	39	17	2	214.641764	16	2	115
116	1	2	1734.872865	2	2	215.356776	12	2	39.333333	17	2	215.356776	16	2	116
117	1	2	1749.371614	2	2	216.074531	12	2	39.666667	17	2	216.074531	16	2	117
118	1	2	1763.950383	2	2	216.794896	12	2	40	17	2	216.794896	16	2	118
119	1	2	1778.609614	2	2	217.51787	12	2	40.333333	17	2	217.51787	16	2	119
120	1	2	1793.349602	2	2	218.243365	12	2	40.666667	17	2	218.243365	16	2	120
200	1	2	2393.074647	2	2	221.598107	12	2	67.333333	17	2	221.598107	16	2	200
