ID	类型	动态难度	序列编号	玩法类型	场景ID	脚本定时事件间隔	掉落预览	联机类型	显示等级	是否限制角色等级	限制等级	等级修正	前置副本	需求角色	通关条件	通关跳转地城	复活次数上限	每天准入次数	[进入消耗]1ID	[进入消耗]1数量	首通奖励RewardID	通关奖励RewardID	结算倒计时	结算显示1	结算显示2	结算显示3	结算显示4	禁止重新挑战	开启神像消耗道具	消耗数量	神像奖励	挑战因子组合	循环地城类别	$#VersionBegin	$#VersionEnd
1000	2				20000		9	1	9	4	1	8			9		10	10					120						100001	1	9000101				
1001	1				20009		2	1	5	0	1	4			7		10	1					120												
1002	1				20010		2	1	19	0	1	18			15		10	10					120												
1003	1				20011		2	1	5	0	1	4			9		10	1					120												
1004	1	1			20012		9	1	16	0	1	15			16		5	10					60	1	3						9000101				
1005	1	1			20013		9	1	10	0	1	9			12		0	10					60								9000101				
1006	1	1			20014		9	1	10	0	1	9			11		0	10					60								9000101				
1007	2				20015		9	1	7	2	1	6			9		10	10					120	1					100001	1	9000101				
1008	1	1			20022		2	1	35	0	1	34			34		10	10					120	1											
1009	1	1			20023		9	1	17	0	1	16			40		10	10					120	1											
1010	1	1			20005		2	1	15	0	1	14			54		10	10					120	1											
1101	2				50008		9	1	9	4	1	8			9		10	10					120						100001	1	9000101				
1102	2				1031		9	1	35	30	1	34			67		10	99					120						100001	1	9000101				
2000	1	1			20016		2	1	10	0	1	9			21		10	10					120	1				1							
2001	1				20017		9	1	26	0	1	25			1	2002	0	0					5					1							
2002	1				20018		9	1	26	0	1	25			26		0	0					99				4	1							
2003	1	1			20019		2	1	23	0	1	22			25		10	10					120												
2004	1				20020		9	1	10	0	1	9			27		0	0					999					1							
2006	1	1			1016		9	1	15	0	1	14			37		10	10					120												
2007	1	1			1015		2	1	15	0	1	3			35	2006	10	10					5												
2008	2				1024		9	1	35	30	1	34			36		10	10					120												
2009	2				50016		9	1	10	5	1	9			29		5	100					60	1	3				100001	1	9000101				
2010	2				1024		9	1	45	40	1	44			36		10	10					120												
2011	2				1024		9	1	60	55	1	59			36		10	10					120												
2012	2				20026		9	1	60	55	1	59			36		10	10					120												
2013	2				1024		9	1	80	75	1	79			36		10	10					120												
2014	2				20027		9	1	80	75	1	79			36		10	10					120												
2015	2				1024		9	1	90	85	1	89			36		10	10					120												
2020	7		1001		20025		2020	1	39	34	1	38			63		0	0					99										1		
2021	7		1001		20025		2021	1	52	47	1	51			63		0	0					99										1		
2022	7		1001		20025		2022	1	65	60	1	64			63		0	0					99										1		
2023	7		1001		20025		2023	1	78	73	1	77			63		0	0					99										1		
2099	2				50015		9	1	10	5	1	9			25		10						999								9000101				
3001	2			1	30001	1	9	1	10	5	1	9			13		10	10					120	3	1				100001	1	9000101				
3004	2				40007		2	1	35	30	1	34			20		10	3					120	3	1										
3005	2				50006		9	1	15	10	1	14			29		5	100					60	1	3				100001	1	9000101				
3006	2				50007		9	1	15	10	1	14			29		5	100					60	1	3				100001	1	9000101				
3007	2				50011		9	1	10	5	1	9			29		5	100					60	1	3				100001	1	9000101				
3008	2				50012		9	1	10	5	1	9			29		5	100					60	1	3				100001	1	9000101				
3009	2				50013		9	1	10	5	1	9			29		5	100					60	1	3				100001	1	9000101				
3100	6				30100		9	1	18	0	1	17			51		10						999					1							
3101	6				30101		9	1	20	0	1	19			51		10						999					1							
3102	6				30102		9	1	23	0	1	22			51		10						999					1							
3103	6				30103		9	1	26	0	1	25			51		10						999					1							
3104	6				30104		9	1	28	0	1	27			51		10						999					1							
3110	6				30200		9	1	26	0	1	25			51		10						999					1							
3111	6				30201		9	1	28	0	1	27			51		10						999					1							
3112	6				30202		9	1	31	0	1	30			51		10						999					1							
3113	6				30203		9	1	34	0	1	33			51		10						999					1							
3114	6				30204		9	1	36	0	1	35			51		10						999					1							
3120	6				30300		9	1	34	0	1	33			51		10						999					1							
3121	6				30301		9	1	36	0	1	35			51		10						999					1							
3122	6				30302		9	1	39	0	1	38			51		10						999					1							
3123	6				30303		9	1	42	0	1	41			51		10						999					1							
3124	6				30304		9	1	44	0	1	43			51		10						999					1							
3130	6				30400		9	1	42	0	1	41			51		10						999					1							
3131	6				30401		9	1	44	0	1	43			51		10						999					1							
3132	6				30402		9	1	46	0	1	45			51		10						999					1							
3133	6				30403		9	1	48	0	1	47			51		10						999					1							
3134	6				30404		9	1	50	0	1	49			51		10						999					1							
3140	6				30500		9	1	48	0	1	47			51		10						999					1							
3141	6				30501		9	1	50	0	1	49			51		10						999					1							
3142	6				30502		9	1	52	0	1	51			51		10						999					1							
3143	6				30503		9	1	54	0	1	53			51		10						999					1							
3144	6				30504		9	1	56	0	1	55			51		10						999					1							
3150	6				30600		9	1	54	0	1	53			51		10						999					1							
3151	6				30601		9	1	56	0	1	55			51		10						999					1							
3152	6				30602		9	1	58	0	1	57			51		10						999					1							
3153	6				30603		9	1	60	0	1	59			51		10						999					1							
3154	6				30604		9	1	62	0	1	61			51		10						999					1							
3160	6				30700		9	1	60	0	1	59			50		10						999					1							
3161	6				30701		9	1	61	0	1	60			50		10						999					1							
3162	6				30702		9	1	63	0	1	62			50		10						999					1							
3163	6				30703		9	1	65	0	1	64			50		10						999					1							
3164	6				30704		9	1	67	0	1	66			50		10						999					1							
3170	6				30800		9	1	65	0	1	64			50		10						999					1							
3171	6				30801		9	1	66	0	1	65			50		10						999					1							
3172	6				30802		9	1	68	0	1	67			50		10						999					1							
3173	6				30803		9	1	70	0	1	69			50		10						999					1							
3174	6				30804		9	1	72	0	1	71			50		10						999					1							
3180	6				30900		9	1	70	0	1	69			50		10						999					1							
3181	6				30901		9	1	71	0	1	70			50		10						999					1							
3182	6				30902		9	1	73	0	1	72			50		10						999					1							
3183	6				30903		9	1	75	0	1	74			50		10						999					1							
3184	6				30904		9	1	77	0	1	76			50		10						999					1							
3190	6				31000		9	1	75	0	1	74			50		10						999					1							
3191	6				31001		9	1	77	0	1	76			50		10						999					1							
3192	6				31002		9	1	80	0	1	79			50		10						999					1							
3193	6				31003		9	1	83	0	1	82			50		10						999					1							
3194	6				31004		9	1	85	0	1	84			50		10						999					1							
3200	6				31100		9	1	83	0	1	82			50		10						999					1							
3201	6				31101		9	1	85	0	1	84			50		10						999					1							
3202	6				31102		9	1	88	0	1	87			50		10						999					1							
3203	6				31103		9	1	91	0	1	90			50		10						999					1							
3204	6				31104		9	1	93	0	1	92			50		10						999					1							
3210	6				31200		9	1	91	0	1	90			50		10						999					1							
3211	6				31201		9	1	93	0	1	92			50		10						999					1							
3212	6				31202		9	1	96	0	1	95			50		10						999					1							
3213	6				31203		9	1	99	0	1	98			50		10						999					1							
3214	6				31204		9	1	101	0	1	100			50		10						999					1							
4001	5				40001		9	1	8	3	1	7			14		5	3					60	1	3						9000101				
4003	2				20010		9	1	12	7	1	11			15		5	3					60	1	3						9000101				
4005	2				20014		9	1	21	16	1	20			11		5	3					60	1	3						9000101				
4007	2				40004		2	1	25	20	1	24			17		5	3					120	1	3										
4010	2				40010		2	1	20	15	1	19			38		5	3					120	1	3										
4011	2				40012		2	1	30	25	1	29			39		5	3					120	1	3										
4012	2				40013		9	1	12	7	1	11			47		5	3					60	1	3										
4013	2				40009		9	1	1	1	1	0			64		10	99					60						100001	1	9000101				
4014	2				40008		9	1	1	1	1	0			65		10	99					120						100001	1	9000101				
4015	2				40014		2	1	30	25	1	29			66		5	3					60	1	3										
4601	2				50011		9	1	70	65	70	69			29		5	100					60	1	3				0	0	9000101				
4602	2				50011		9	1	70	65	70	69			29		5	100					60	1	3				0	0	9000101				
4603	2				50011		9	1	70	65	70	69			29		5	100					60	1	3				0	0	9000101				
4100	3				40100		4100	2	10	5	1	9			51		0	3					999	1					106	20	81011000		2		
4101	3				40101		4101	2	26	21	1	25	4100		51		0	3					999	1					106	20	81012000		2		
4102	3				40102		4102	2	40	35	1	39	4100		51		0	3					999	1					106	20	81012800		2		
4103	3				40103		4103	2	54	49	1	53	4100		51		0	3					999	1					106	20	81013300		2		
4104	3				40103		4104	2	69	64	1	68	4100		51		0	3					999	1					106	20	81014000		2		
4105	3				40103		4105	2	83	78	1	82	4100		51		0	3					999	1					106	20	81014600		2		
4200	3				40200		4200	2	38	33	1	37			51		0	3					999	1					106	20	82012700		3		
4201	3				40201		4201	2	54	49	1	53			51		0	3					999	1					106	20	82013300		3		
4202	3				40202		4202	2	71	66	1	70			51		0	3					999	1					106	20	82014100		3		
4203	3				40203		4203	2	88	83	1	87			51		0	3					999	1					106	20	82015000		3		
4210	3				40200		4210	2	38	33	1	37			51		0	3					999	1					106	20	82112700		3		
4211	3				40201		4211	2	54	49	1	53			51		0	3					999	1					106	20	82113300		3		
4212	3				40202		4212	2	71	66	1	70			51		0	3					999	1					106	20	82114100		3		
4213	3				40203		4213	2	88	83	1	87			51		0	3					999	1					106	20	82115000		3		
4220	3				40200		4220	2	38	33	1	37			51		0	3					999	1					106	20	82212700		3		
4221	3				40201		4221	2	54	49	1	53			51		0	3					999	1					106	20	82213300		3		
4222	3				40202		4222	2	71	66	1	70			51		0	3					999	1					106	20	82214100		3		
4223	3				40203		4223	2	88	83	1	87			51		0	3					999	1					106	20	82215000		3		
4230	3				40200		4230	2	38	33	1	37			51		0	3					999	1					106	20	82312700		3		
4231	3				40201		4231	2	54	49	1	53			51		0	3					999	1					106	20	82313300		3		
4232	3				40202		4232	2	71	66	1	70			51		0	3					999	1					106	20	82314100		3		
4233	3				40203		4233	2	88	83	1	87			51		0	3					999	1					106	20	82315000		3		
4300	3				40300		4300	2	15	10	1	14			51		0	3					999	1					106	20	83011300		4		
4301	3				40301		4301	2	36	31	1	35			51		0	3					999	1					106	20	83012600		4		
4302	3				40302		4302	2	59	54	1	58			51		0	3					999	1					106	20	83013500		4		
4303	3				40303		4303	2	80	75	1	79			51		0	3					999	1					106	20	83014500		4		
4310	3				40300		4310	2	15	10	1	14			51		0	3					999	1					106	20	83111300		4		
4311	3				40301		4311	2	36	31	1	35			51		0	3					999	1					106	20	83112600		4		
4312	3				40302		4312	2	59	54	1	58			51		0	3					999	1					106	20	83113500		4		
4313	3				40303		4313	2	80	75	1	79			51		0	3					999	1					106	20	83114500		4		
4320	3				40300		4320	2	15	10	1	14			51		0	3					999	1					106	20	83211300		4		
4321	3				40301		4321	2	36	31	1	35			51		0	3					999	1					106	20	83212600		4		
4322	3				40302		4322	2	59	54	1	58			51		0	3					999	1					106	20	83213500		4		
4323	3				40303		4323	2	80	75	1	79			51		0	3					999	1					106	20	83214500		4		
4330	3				40300		4330	2	15	10	1	14			51		0	3					999	1					106	20	83311300		4		
4331	3				40301		4331	2	36	31	1	35			51		0	3					999	1					106	20	83312600		4		
4332	3				40302		4332	2	59	54	1	58			51		0	3					999	1					106	20	83313500		4		
4333	3				40303		4333	2	80	75	1	79			51		0	3					999	1					106	20	83314500		4		
5000	3				40500		5000	2	26	21	1	25			51		0	3					999	1					106	20	85112000	1100:100	5		
5001	3				40501		5001	2	34	29	1	33			51		0	3					999	1					106	20	85112500	1101:100	5		
5002	3				40502		5002	2	47	42	1	46			51		0	3					999	1					106	20	85113000	1102:100	5		
5003	3				40503		5003	2	59	54	1	58			51		0	3					999	1					106	20	85113500	1103:100	5		
5004	3				40504		5004	2	69	64	1	68			62		0	3					999	1					106	20	85114000	1104:100	5		
5005	3				40505		5005	2	85	80	1	84			51		0	3					999	1					106	20	85114700	1105:100	5		
5006	3				40506		5006	2	90	85	1	89			51		0	3					999	1					106	20	85115500	1106:100	5		
5007	3				40507		5007	2	90	85	1	89			51		0	3					999	1					106	20	85116000	1107:100	5		
5008	3				40508		5008	2	47	42	1	46			51		0	3					999	1					106	20	85213000	1108:100	5		
5009	3				40509		5009	2	59	54	1	58			51		0	3					999	1					106	20	85213500	1109:100	5		
5010	3				40510		5010	2	69	64	1	68			51		0	3					999	1					106	20	85214000	1110:100	5		
5011	3				40511		5011	2	85	80	1	84			62		0	3					999	1					106	20	85214700	1111:100	5		
5012	3				40512		5012	2	90	85	1	89			51		0	3					999	1					106	20	85215500	1112:100	5		
5013	3				40513		5013	2	90	85	1	89			51		0	3					999	1					106	20	85216000	1113:100	5		
5100	3				40600		5100	2	34	29	1	33			61		0	3					999	1					106	20	85122500	1114:100	5		
5101	3				40601		5101	2	47	42	1	46			61		0	3					999	1					106	20	85123000	1115:100	5		
5102	3				40602		5102	2	59	54	1	58			61		0	3					999	1					106	20	85123500	1116:100	5		
5103	3				40603		5103	2	69	64	1	68			60		0	3					999	1					106	20	85124000	1117:100	5		
5104	3				40604		5104	2	85	80	1	84			60		0	3					999	1					106	20	85124700	1118:100	5		
5105	3				40605		5105	2	90	85	1	89			60		0	3					999	1					106	20	85125500	1119:100	5		
5106	3				40606		5106	2	90	85	1	89			60		0	3					999	1					106	20	85126000	1120:100	5		
5107	3				40607		5107	2	59	54	1	58			58		0	3					999	1					106	20	85223500	1121:100	5		
5108	3				40608		5108	2	69	64	1	68			58		0	3					999	1					106	20	85224000	1122:100	5		
5109	3				40609		5109	2	85	80	1	84			59		0	3					999	1					106	20	85224700	1123:100	5		
5110	3				40610		5110	2	90	85	1	89			59		0	3					999	1					106	20	85225500	1124:100	5		
5111	3				40611		5111	2	90	85	1	89			57		0	3					999	1					106	20	85226000	1125:100	5		
5112	3				40612		5112	2	69	64	1	68			57		0	3					999	1					106	20	85324000	1126:100	5		
5113	3				40613		5113	2	85	80	1	84			58		0	3					999	1					106	20	85324700	1127:100	5		
5114	3				40614		5114	2	90	85	1	89			57		0	3					999	1					106	20	85325500	1128:100	5		
5115	3				40615		5115	2	90	85	1	89			59		0	3					999	1					106	20	85326000	1129:100	5		
5116	3				40616		9	2	14	9	1	13			59		0	3					999	1					106	20	85011800	43:103			
5200	3				40300		5200	2	14	9	1	13			51		0	3					999	1					106	20	84021200		6		
5201	3				40301		5201	2	27	22	1	26			51		0	3					999	1					106	20	84022100		6		
5202	3				40302		5202	2	38	33	1	37			51		0	3					999	1					106	20	84022700		6		
5203	3				40303		5203	2	49	44	1	48			51		0	3					999	1					106	20	84023100		6		
5204	3				40303		5204	2	61	56	1	60			51		0	3					999	1					106	20	84023600		6		
5205	3				40303		5205	2	71	66	1	70			51		0	3					999	1					106	20	84024100		6		
5206	3				40303		5206	2	83	78	1	82			51		0	3					999	1					106	20	84024600		6		
5210	3				40400		5210	2	15	10	1	14			51		0	3					999	1					106	20	83021300		4		
5211	3				40401		5211	2	36	31	1	35			51		0	3					999	1					106	20	83022600		4		
5212	3				40402		5212	2	59	54	1	58			51		0	3					999	1					106	20	83023500		4		
5213	3				40403		5213	2	80	75	1	79			51		0	3					999	1					106	20	83024500		4		
5214	3				40400		5214	2	15	10	1	14			51		0	3					999	1					106	20	83121300		4		
5215	3				40401		5215	2	36	31	1	35			51		0	3					999	1					106	20	83122600		4		
5216	3				40402		5216	2	59	54	1	58			51		0	3					999	1					106	20	83123500		4		
5217	3				40403		5217	2	80	75	1	79			51		0	3					999	1					106	20	83124500		4		
5218	3				40400		5218	2	15	10	1	14			51		0	3					999	1					106	20	83221300		4		
5219	3				40401		5219	2	36	31	1	35			51		0	3					999	1					106	20	83222600		4		
5220	3				40402		5220	2	59	54	1	58			51		0	3					999	1					106	20	83223500		4		
5221	3				40403		5221	2	80	75	1	79			51		0	3					999	1					106	20	83224500		4		
5222	3				40400		5222	2	15	10	1	14			51		0	3					999	1					106	20	83321300		4		
5223	3				40401		5223	2	36	31	1	35			51		0	3					999	1					106	20	83322600		4		
5224	3				40402		5224	2	59	54	1	58			51		0	3					999	1					106	20	83323500		4		
5225	3				40403		5225	2	80	75	1	79			51		0	3					999	1					106	20	83324500		4		
5250	3				40700		5250	2	38	33	1	37			51		0	3					999	1					106	20	82022700		3		
5251	3				40701		5251	2	54	49	1	53			51		0	3					999	1					106	20	82023300		3		
5252	3				40702		5252	2	71	66	1	70			51		0	3					999	1					106	20	82024100		3		
5253	3				40703		5253	2	88	83	1	87			51		0	3					999	1					106	20	82025000		3		
5254	3				40700		5254	2	38	33	1	37			51		0	3					999	1					106	20	82122700		3		
5255	3				40701		5255	2	54	49	1	53			51		0	3					999	1					106	20	82123300		3		
5256	3				40702		5256	2	71	66	1	70			51		0	3					999	1					106	20	82124100		3		
5257	3				40703		5257	2	88	83	1	87			51		0	3					999	1					106	20	82125000		3		
5258	3				40700		5258	2	38	33	1	37			51		0	3					999	1					106	20	82222700		3		
5259	3				40701		5259	2	54	49	1	53			51		0	3					999	1					106	20	82223300		3		
5260	3				40702		5260	2	71	66	1	70			51		0	3					999	1					106	20	82224100		3		
5261	3				40703		5261	2	88	83	1	87			51		0	3					999	1					106	20	82225000		3		
5262	3				40700		5262	2	38	33	1	37			51		0	3					999	1					106	20	82322700		3		
5263	3				40701		5263	2	54	49	1	53			51		0	3					999	1					106	20	82323300		3		
5264	3				40702		5264	2	71	66	1	70			51		0	3					999	1					106	20	82324100		3		
5265	3				40703		5265	2	88	83	1	87			51		0	3					999	1					106	20	82325000		3		
