AffixID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	参数1	参数2	参数3	参数4	参数5	参数6	ID	词缀等级	$#VersionBegin	$#VersionEnd
1134031	Weapon_Pole_NormalAttackAndExtraAttackUpAfterSkill							0.25						113403	1		
1134032	Weapon_Pole_NormalAttackAndExtraAttackUpAfterSkill							0.3						113403	2		
1134033	Weapon_Pole_NormalAttackAndExtraAttackUpAfterSkill							0.35						113403	3		
1134034	Weapon_Pole_NormalAttackAndExtraAttackUpAfterSkill							0.4						113403	4		
1134040	Weapon_Pole_AttackUpWhenEnter							0.36	10					113404	0		
1134041	Weapon_Pole_AttackUpWhenEnter							0.45	10					113404	1		
1134042	Weapon_Pole_AttackUpWhenEnter							0.54	10					113404	2		
1134043	Weapon_Pole_AttackUpWhenEnter							0.63	10					113404	3		
1134044	Weapon_Pole_AttackUpWhenEnter							0.72	10					113404	4		
1135040	Weapon_Pole_DamageUpToAllElement							0.1	0.24					113504	0		
1135041	Weapon_Pole_DamageUpToAllElement							0.12	0.3					113504	1		
1135042	Weapon_Pole_DamageUpToAllElement							0.14	0.36					113504	2		
1135043	Weapon_Pole_DamageUpToAllElement							0.16	0.42					113504	3		
1135044	Weapon_Pole_DamageUpToAllElement							0.18	0.48					113504	4		
1135050	Weapon_Pole_AttackUpAndSkillDamageUp							0.032	0.14					113505	0		
1135051	Weapon_Pole_AttackUpAndSkillDamageUp							0.039	0.18					113505	1		
1135052	Weapon_Pole_AttackUpAndSkillDamageUp							0.046	0.22					113505	2		
1135053	Weapon_Pole_AttackUpAndSkillDamageUp							0.053	0.26					113505	3		
1135054	Weapon_Pole_AttackUpAndSkillDamageUp							0.06	0.3					113505	4		
1140010		20	0.06											114001	0		
1140011		20	0.01											114001	1		
1140012		20	0.01											114001	2		
1140013		20	0.01											114001	3		
1140014		20	0.01											114001	4		
1143010	Weapon_Catalyst_DamageUpToEnemy							0.14						114301	0		
1143011	Weapon_Catalyst_DamageUpToEnemy							0.18						114301	1		
1143012	Weapon_Catalyst_DamageUpToEnemy							0.22						114301	2		
1143013	Weapon_Catalyst_DamageUpToEnemy							0.26						114301	3		
1143014	Weapon_Catalyst_DamageUpToEnemy							0.3						114301	4		
1143020	Weapon_Catalyst_OnKilledAttackUp							1.2	8					114302	0		
1143021	Weapon_Catalyst_OnKilledAttackUp							1.4	8					114302	1		
1143022	Weapon_Catalyst_OnKilledAttackUp							1.6	8					114302	2		
1143023	Weapon_Catalyst_OnKilledAttackUp							1.8	8					114302	3		
1143024	Weapon_Catalyst_OnKilledAttackUp							2	8					114302	4		
1143030	Weapon_Catalyst_OnGainEnergyHealHP							0.01						114303	0		
1143031	Weapon_Catalyst_OnGainEnergyHealHP							0.0125						114303	1		
1143032	Weapon_Catalyst_OnGainEnergyHealHP							0.015						114303	2		
1143033	Weapon_Catalyst_OnGainEnergyHealHP							0.0175						114303	3		
1143034	Weapon_Catalyst_OnGainEnergyHealHP							0.02						114303	4		
1143040	Weapon_Catalyst_AttacktUpAfterReaction							0.2						114304	0		
1143041	Weapon_Catalyst_AttacktUpAfterReaction							0.25						114304	1		
1143042	Weapon_Catalyst_AttacktUpAfterReaction							0.3						114304	2		
1143043	Weapon_Catalyst_AttacktUpAfterReaction							0.35						114304	3		
1143044	Weapon_Catalyst_AttacktUpAfterReaction							0.4						114304	4		
1143050	Weapon_Catalyst_SpeedUponEnemeyKilled							0.12	15					114305	0		
1143051	Weapon_Catalyst_SpeedUponEnemeyKilled							0.15	15					114305	1		
1143052	Weapon_Catalyst_SpeedUponEnemeyKilled							0.18	15					114305	2		
1143053	Weapon_Catalyst_SpeedUponEnemeyKilled							0.21	15					114305	3		
1143054	Weapon_Catalyst_SpeedUponEnemeyKilled							0.24	15					114305	4		
1143060	Weapon_Catalyst_ElementUpWhenNormalHit							0.06	6					114306	0		
1143061	Weapon_Catalyst_ElementUpWhenNormalHit							0.075	6					114306	1		
1143062	Weapon_Catalyst_ElementUpWhenNormalHit							0.09	6					114306	2		
1143063	Weapon_Catalyst_ElementUpWhenNormalHit							0.105	6					114306	3		
1143064	Weapon_Catalyst_ElementUpWhenNormalHit							0.12	6					114306	4		
1140020	Weapon_Catalyst_AbyssKiller_0													114002	0		
1140021	Weapon_Catalyst_AbyssKiller_1													114002	1		
1140022	Weapon_Catalyst_AbyssKiller_2													114002	2		
1140023	Weapon_Catalyst_AbyssKiller_3													114002	3		
1140024	Weapon_Catalyst_AbyssKiller_4													114002	4		
1144990	Weapon_Catalyst_EnergyMaxElementDamageUp_0													114499	0		
1144991	Weapon_Catalyst_EnergyMaxElementDamageUp_1													114499	1		
1144992	Weapon_Catalyst_EnergyMaxElementDamageUp_2													114499	2		
1144993	Weapon_Catalyst_EnergyMaxElementDamageUp_3													114499	3		
1144994	Weapon_Catalyst_EnergyMaxElementDamageUp_4													114499	4		
1144010	Weapon_Catalyst_GenerateBallWhenCritic							0.6	12					114401	0		
1144011	Weapon_Catalyst_GenerateBallWhenCritic							0.7	10.5					114401	1		
1144012	Weapon_Catalyst_GenerateBallWhenCritic							0.8	9					114401	2		
1144013	Weapon_Catalyst_GenerateBallWhenCritic							0.9	7.5					114401	3		
1144014	Weapon_Catalyst_GenerateBallWhenCritic							1	6					114401	4		
1144020	Weapon_Catalyst_RandomBuff							0.6						114402	0		
1144021	Weapon_Catalyst_RandomBuff							0.75						114402	1		
1144022	Weapon_Catalyst_RandomBuff							0.9						114402	2		
1144023	Weapon_Catalyst_RandomBuff							1.05						114402	3		
1144024	Weapon_Catalyst_RandomBuff							1.2						114402	4		
1144030	Weapon_Catalyst_ResetCDWhenSkillHit							0.4	30					114403	0		
1144031	Weapon_Catalyst_ResetCDWhenSkillHit							0.5	25					114403	1		
1144032	Weapon_Catalyst_ResetCDWhenSkillHit							0.6	20					114403	2		
1144033	Weapon_Catalyst_ResetCDWhenSkillHit							0.7	16					114403	3		
1144034	Weapon_Catalyst_ResetCDWhenSkillHit							0.8	12					114403	4		
1144040	Weapon_Catalyst_ChanceBoltWhenNormalAttack							0.5	2.4	10				114404	0		
1144041	Weapon_Catalyst_ChanceBoltWhenNormalAttack							0.5	3	10				114404	1		
1144042	Weapon_Catalyst_ChanceBoltWhenNormalAttack							0.5	3.6	10				114404	2		
1144043	Weapon_Catalyst_ChanceBoltWhenNormalAttack							0.5	4.2	10				114404	3		
1144044	Weapon_Catalyst_ChanceBoltWhenNormalAttack							0.5	4.8	10				114404	4		
1144050	Weapon_Catalyst_NormalAttackAndSkillAttack							0.2						114405	0		
1144051	Weapon_Catalyst_NormalAttackAndSkillAttack							0.25						114405	1		
1144052	Weapon_Catalyst_NormalAttackAndSkillAttack							0.3						114405	2		
1144053	Weapon_Catalyst_NormalAttackAndSkillAttack							0.35						114405	3		
1144054	Weapon_Catalyst_NormalAttackAndSkillAttack							0.4						114405	4		
1144060	Weapon_Catalyst_TeamHealonEnemyKilled							0.03						114406	0		
1144061	Weapon_Catalyst_TeamHealonEnemyKilled							0.035						114406	1		
1144062	Weapon_Catalyst_TeamHealonEnemyKilled							0.04						114406	2		
1144063	Weapon_Catalyst_TeamHealonEnemyKilled							0.045						114406	3		
1144064	Weapon_Catalyst_TeamHealonEnemyKilled							0.05						114406	4		
1144070	Weapon_Catalyst_ElementUpAfterReaction							0.12						114407	0		
1144071	Weapon_Catalyst_ElementUpAfterReaction							0.14						114407	1		
1144072	Weapon_Catalyst_ElementUpAfterReaction							0.16						114407	2		
1144073	Weapon_Catalyst_ElementUpAfterReaction							0.18						114407	3		
1144074	Weapon_Catalyst_ElementUpAfterReaction							0.2						114407	4		
1144080	Weapon_Catalyst_SoulEater							0.24						114408	0		
1144081	Weapon_Catalyst_SoulEater							0.3						114408	1		
1144082	Weapon_Catalyst_SoulEater							0.36						114408	2		
1144083	Weapon_Catalyst_SoulEater							0.42						114408	3		
1144084	Weapon_Catalyst_SoulEater							0.48						114408	4		
1145010	Weapon_Catalyst_Legend_Dvalin							0.12	0.5	1.6				114501	0		
1145011	Weapon_Catalyst_Legend_Dvalin							0.15	0.5	2				114501	1		
1145012	Weapon_Catalyst_Legend_Dvalin							0.18	0.5	2.4				114501	2		
1145013	Weapon_Catalyst_Legend_Dvalin							0.21	0.5	2.8				114501	3		
1145014	Weapon_Catalyst_Legend_Dvalin							0.24	0.5	3.2				114501	4		
1145020	Weapon_Catalyst_Legend_Fourwinds							0.1	0.06					114502	0		
1145021	Weapon_Catalyst_Legend_Fourwinds							0.1	0.08					114502	1		
1145022	Weapon_Catalyst_Legend_Fourwinds							0.1	0.1					114502	2		
1145023	Weapon_Catalyst_Legend_Fourwinds							0.1	0.12					114502	3		
1145024	Weapon_Catalyst_Legend_Fourwinds							0.1	0.14					114502	4		
1145040	Weapon_Catalyst_Test													114504	0		
1145041														114504	1		
1145042														114504	2		
1145043														114504	3		
1145044														114504	4		
1150030	Weapon_Bow_Zephyrus_0													115003	0		
1150031	Weapon_Bow_Zephyrus_1													115003	1		
1150032	Weapon_Bow_Zephyrus_2													115003	2		
1150033	Weapon_Bow_Zephyrus_3													115003	3		
1150034	Weapon_Bow_Zephyrus_4													115003	4		
1150010		20	0.06											115001	0		
1150011		20	0.01											115001	1		
1150012		20	0.01											115001	2		
1150013		20	0.01											115001	3		
1150014		20	0.01											115001	4		
1153010	Weapon_Bow_DamageUpToEnemy							0.14						115301	0		
1153011	Weapon_Bow_DamageUpToEnemy							0.18						115301	1		
1153012	Weapon_Bow_DamageUpToEnemy							0.22						115301	2		
1153013	Weapon_Bow_DamageUpToEnemy							0.26						115301	3		
1153014	Weapon_Bow_DamageUpToEnemy							0.3						115301	4		
1153020	Weapon_Bow_DamageUpHitHeadBox							0.24						115302	0		
1153021	Weapon_Bow_DamageUpHitHeadBox							0.3						115302	1		
