ID	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	元素精通	物理抗性	物理伤害加成	是否使用	角色品质	充能效率	治疗效果	受治疗效果	战斗config	是否远程射击角色	初始武器	武器种类	技能库ID	体力恢复速度	候选技能库ID	角色类型	羁绊组ID	角色突破ID	生日[月]	生日[日]	特性组ID	名称$text_name_Name	出生地$text_name_Native	神之眼$text_name_Vision	命之座$text_name_Constellation	描述$text_name_Desc	$#VersionBegin	$#VersionEnd
10000022		800.7804	20.9185	45.696	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Venti	1	15101	12	2201	25		1	15	22	6	16	10000022	温迪	蒙德城	风	歌仙座	蒙德城诸多吟游诗人中的一位，自由自在地穿行在街头巷尾。		
10000023		1016.79999	20.21125	53.51468	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Xiangling	0	13101	13	2301	25		1	16	23	11	2	10000023	香菱	万民堂	火	长杓座	来自璃月，名声在外的少女厨师，对料理之道极具热情，拿手麻辣菜肴堪称一绝。		
10000024		1169.7699	14.06	48.31908	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Beidou	0	12101	11	2401	25		1	18	24	2	14	10000024	北斗	南十字舰队	雷	南天海山座	武装船队「南十字」的首领，豪快的大姐头。	0.2	
10000025		962.81061	15.1145	64.945	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Xingqiu	0	11101	1	2501	25		1	17	25	10	9	10000025	行秋	飞云商会	水	锦织座	经常能在书摊看到的少年人。手执长剑，胸中常怀侠义之心。	0.2	
10000026		968.3856	24.7384	57.5232	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Xiao	0	13101	13	2601	25		1	20	26	4	17	10000026	魈	璃月仙人	风	金翅鹏王座	守护璃月的仙人，「夜叉」。美号「降魔大圣」，妙称「护法夜叉大将」。	0.2	
10000027		863.83008	15.466	42.60392	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Ningguang	0	14101	10	2701	25		1	19	27	8	26	10000027	凝光	璃月七星	岩	玑衡仪座	「璃月七星」中的「天权」，其名下财富之多，全大陆鲜有人能望其项背。	0.2	
10000029		782.1576	24.5565	43.008	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Klee	0	14101	10	2901	25		1	22	29	7	27	10000029	可莉	西风骑士团	火	四叶草座	西风骑士团禁闭室的常客，蒙德的爆破大师。人称「逃跑的太阳」。	0.2	
10000030		1052.1882	14.552	63.9744	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Zhongli	0	13101	13	3001	25		1	21	30	12	31	10000030	钟离	璃月港	岩	？？？	被「往生堂」请来的神秘客人，知识渊博，对各种事物都颇有见地。	0.2	
10000031		760.350435	20.21125	45.20172	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Fischl	1	15101	12	3101	25		1	23	31	5	27	10000031	菲谢尔	冒险家协会	雷	幻鸦座	自称「断罪之皇女」，与名为奥兹的漆黑夜鸦同行的神秘少女。	0.2	
10000032		1025.79822	15.8175	58.71028	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Bennett	0	11101	1	3201	25		1	24	32	2	29	10000032	班尼特	冒险家协会	火	险路座	蒙德的冒险家少年，拥有与他的善良毫不相称的霉运。	0.2	
10000033		921.8286	22.7375	48.384	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21	4	31	7	21	0	0	0	2	5	1	0	0	ConfigAvatar_Tartaglia	1	15101	12	3301	25		1	27	33	7	20	10000033	达达利亚	愚人众	水	鲸天座	愚人众执行官第十一位，「公子」，其战绩威名远扬。		
10000034		899.823	17.575	67.5428	0.05	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	22	4	32	7	22	0	0	0	2	4	1	0	0	ConfigAvatar_Noel	0	12101	11	3401	25		1	25	34	3	21	10000034	诺艾尔	西风骑士团	岩	心护座	「西风骑士团」的可靠女仆，梦想有一天能成为正式的骑士。	0.2		
