子任务ID	父任务ID	序列	子任务组	禁止进入联机	显示状态	[领取条件]组合	[领取条件]1类型	[领取条件]1参数1	[领取条件]1参数2	[领取条件]1参数3	[领取条件]2类型	[领取条件]2参数1	[领取条件]2参数2	[领取条件]2参数3	[领取条件]3类型	[领取条件]3参数1	[领取条件]3参数2	[领取条件]3参数3	[完成条件]组合	[完成条件]1类型	[完成条件]1参数1	[完成条件]1参数2	[完成条件]1复杂参数	[完成条件]1次数	[完成条件]2类型	[完成条件]2参数1	[完成条件]2复杂参数	[完成条件]2次数	[完成条件]3类型	[完成条件]3参数1	[完成条件]3复杂参数	[完成条件]3次数	[失败条件]组合	[失败条件]1类型	[失败条件]1参数1	[失败条件]1参数2	[失败条件]1复杂参数	[失败条件]1次数	[失败条件]2类型	[失败条件]2参数1	[失败条件]2参数2	[失败条件]2复杂参数	[失败条件]2次数	[任务指引]类型	[任务指引]自动开启或关闭	[任务指引]参数1	[任务指引]参数2	[任务指引]场景ID	[任务指引]样式	[任务指引]显示层级	场景内指引	完成父任务	失败父任务	是存档点	[任务道具]ID	[任务道具]数量	[执行]1类型	[执行]1参数1	[执行]1参数2	[执行]1参数3	[执行]2类型	[执行]2参数1	[执行]2参数2	[执行]2参数3	[执行]3类型	[执行]3参数1	[执行]3参数2	[执行]3参数3	[失败执行]1类型	[失败执行]1参数1	[失败执行]1参数2	[失败执行]2类型	[失败执行]2参数1	[失败执行]2参数2	[失败执行]3类型	[失败执行]3参数1	[失败执行]3参数2	[开始执行]1类型	[开始执行]1参数1	[开始执行]1参数2	[开始执行]2类型	[开始执行]2参数1	[开始执行]2参数2	[开始执行]3类型	[开始执行]3参数1	[开始执行]3参数2	独占NPC	共享NPC	独占优先级	试用角色列表	$#VersionBegin	$#VersionEnd
2101906	21019	6	1				1	2101902	3											20			133102008_5	1										24	2101907	1								1		Q21019_yuan	30	3		2				1			23	133102008	1		15	3	133102503						19	3	133102249,1																					
2101908	21019	7			1		1	2101902	3											24	2101908			1										24	2101907	1																		1															19	3	133102249,1																					
2101907	21019	8					1	2101903	3											20			133102008_2	1																				1		Q21019_finish		3	4	2		1		1			23	2101907	1																																	
2102000	21020	1			1															2	2102000																																				15	3	133104491																																	
2102010	21020	2			0		1	2102000	3											20			133104492_1	1																				1		Q21020TargetPoint		3	4	2				1			15	3	133104492																			19	3	133104492,2												
2102020	21020	3			0		1	2102010	3											24	210202001			1																														1																																						
2102021	21020	3			1		1	2102010	3											2	2102021																																				23	210202001	1																																	
2102022	21020	3			1		1	2102010	3											2	2102022																																				23	210202001	1																																	
2102023	21020	3			1		1	2102010	3											2	2102023																																				23	210202001	1																																	
2102030	21020	3			0		1	2102021	3											20			133104551_1	1																				1		Q21020TargetPoint2	30	3		2				1																								19	3	133104551,2												
2102040	21020	3			0		1	2102022	3											20			133104551_1	1																				1		Q21020TargetPoint2	30	3		2				1																								19	3	133104551,4												
2102050	21020	3			0		1	2102023	3											20			133104551_1	1																				1		Q21020TargetPoint2	30	3		2				1																								19	3	133104551,6												
2102060	21020	4			0	2	1	2102030	3		1	2102040	3		1	2102050	3			20			133104551_Finish	1																												1		1																																						
2102070	21020	5			0		1	2102060	3																																																																																			
2000001	20000	1			1															2	2000008																																	1																																						0.1
2000009	20000	2			1		1	2000001	3											4	2000009																																																																							0.1
2000002	20000	3			1		1	2000009	3											20			2500040440101	1										20			2500040440102	1																															14	2000001								15	3	133102002												0.1
2000003	20000	4			1		1	2000002	3											2	2000009																																	1																																						0.1
2000010	20000	5			1		1	2000003	3											4	2000010																																																																							0.1
2000004	20000	6			1		1	2000010	3											20			2500040440201	1										20			2500040440202	1																															14	2000003								15	3	133102002												0.1
2000005	20000	7			1		1	2000004	3											2	2000010																																	1																																						0.1
2000011	20000	8			1		1	2000005	3											4	2000011																																																																							0.1
2000006	20000	9			1		1	2000011	3											20			2500040440301	1										20			2500040440302	1																															14	2000005								15	3	133102002												0.1
2000007	20000	10			1		1	2000006	3											2	2000011																																	1																																						0.1
2000012	20000	11			1		1	2000007	3											4	2000012																																																																							0.1
2000008	20000	12			1		1	2000012	3											20			2500040440401	1										20			2500040440402	1																			14	2000007											14	2000007								15	3	133102002												0.1
2000301	20003	1			1															2	2000308																																	1																																						0.1
2000309	20003	2			1		1	2000301	3											4	2000309																																																																							0.1
2000302	20003	3			1		1	2000309	3											20			1111010160101	1										20			1111010160102	1																															14	2000301								15	1	111101016												0.1
2000303	20003	4			1		1	2000302	3											2	2000309																																	1																																						0.1
2000310	20003	5			1		1	2000303	3											4	2000310																																																																							0.1
2000304	20003	6			1		1	2000310	3											20			1111010160201	1										20			1111010160202	1																															14	2000303								15	1	111101016												0.1
2000305	20003	7			1		1	2000304	3											2	2000310																																	1																																						0.1
2000311	20003	8			1		1	2000305	3											4	2000311																																																																							0.1
2000306	20003	9			1		1	2000311	3											20			1111010160301	1										20			1111010160302	1																															14	2000305								15	1	111101016												0.1
2000307	20003	10			1		1	2000306	3											2	2000311																																	1																																						0.1
2000312	20003	11			1		1	2000307	3											4	2000312																																																																							0.1
2000308	20003	12			1		1	2000312	3											20			1111010160401	1										20			1111010160402	1																			14	2000307											14	2000307								15	1	111101016												0.1
2000401	20004	1			1															2	2000405																																	1																																						0.1
2000402	20004	2			1		1	2000401	3											20			2500080150101	1										20			2500080150102	1																															14	2000401								15	50008	250008015												0.1
2000403	20004	3			1		1	2000402	3											2	2000405																																	1																																						0.1
2000404	20004	4			1		1	2000403	3											20			2500080150201	1										20			2500080150202	1																															14	2000403								15	50008	250008015												0.1
2000405	20004	5			1		1	2000404	3											2	2000405																																	1																																						0.1
2000406	20004	6			1		1	2000405	3											20			2500080150301	1										20			2500080150302	1																															14	2000405								15	50008	250008015												0.1
2000407	20004	7			1		1	2000406	3											2	2000405																																	1																																						0.1
2000408	20004	8			1		1	2000407	3											20			2500080150401	1										20			2500080150402	1																			14	2000407											14	2000407								15	50008	250008015												0.1
2101301	21013	1			1		1	99902	3																																																																																		0.3	
2101311	21013	11			0		1	99902	3																																																																																		0.3	
2101399	21013	99			0		1	99902	3																																																																																		0.3	
2101400	21014	1			1		1	99902	3											4	2101400																															1		1																																					0.3	
2101601	21016	1			1															2	2101608																																	1																																						
2101609	21016	2			1		1	2101601	3											4	2101609																																																																							
2101602	21016	3			1		1	2101609	3											20			1331010620101	1										20			1331010620102	1																															14	2101601								15	3	133101062												
2101603	21016	4			1		1	2101602	3											2	2101609																																	1																																						
2101610	21016	5			1		1	2101603	3											4	2101610																																																																							
2101604	21016	6			1		1	2101610	3											20			1331010620201	1										20			1331010620202	1																															14	2101603								15	3	133101062												
2101605	21016	7			1		1	2101604	3											2	2101610																																	1																																						
2101611	21016	8			1		1	2101605	3											4	2101611																																																																							
2101606	21016	9			1		1	2101611	3											20			1331010620301	1										20			1331010620302	1																															14	2101605								15	3	133101062												
2101607	21016	10			1		1	2101606	3											2	2101611																																	1																																						
2101612	21016	11			1		1	2101607	3											4	2101612																																																																							
2101608	21016	12			1		1	2101612	3											20			1331010620401	1										20			1331010620402	1																			14	2101607											14	2101607								15	3	133101062												
2101701	21017	1			1															2	2101708																																	1																																						
2101709	21017	2			1		1	2101701	3											4	2101709																																																																							
2101702	21017	3			1		1	2101709	3											20			1331052200101	1										20			1331052200102	1																															14	2101701								15	3	133105220												
2101703	21017	4			1		1	2101702	3											2	2101709																																	1																																						
2101710	21017	5			1		1	2101703	3											4	2101710																																																																							
2101704	21017	6			1		1	2101710	3											20			1331052200201	1										20			1331052200202	1																															14	2101703								15	3	133105220												
2101705	21017	7			1		1	2101704	3											2	2101710																																	1																																						
2101711	21017	8			1		1	2101705	3											4	2101711																																																																							
2101706	21017	9			1		1	2101711	3											20			1331052200301	1										20			1331052200302	1																															14	2101705								15	3	133105220												
2101707	21017	10			1		1	2101706	3											2	2101711																																	1																																						
2101712	21017	11			1		1	2101707	3											4	2101712																																																																							
2101708	21017	12			1		1	2101712	3											20			1331052200401	1										20			1331052200402	1																			14	2101707											14	2101707								15	3	133105220												
2101801	21018	1			1															2	2101802			1																														1																																		2309	1100			
2101803	21018	3	1				1	2101801	3											2	2101806			1																				1		Q21018NPCA_Clue	30	3									23	210181101	1																												2309,230901,2304,230401,2303,230301,2308,230801		1100			
2101805	21018	5	1				1	2101801	3											2	2101809			1																				1		Q21018NPCB_Clue	30	3									23	210181101	1																																	
2101807	21018	7	1				1	2101801	3											2	2101811			1																				1		Q21018NPCC_Clue	30	3									23	210181101	1																																	
2101809	21018	9	1				1	2101801	3											2	2101813			1																				1		Q21018NPCD_Clue	30	3									23	210181101	1																																	
2101811	21018	11			1		1	2101801	3											24	210181101			4																																																																				
2101812	21018	12					1	2101811	3											2	2101808			1																				1		Q21018NPCA_Return		3				1		1																																						
2200001	22000	1					9	26100												2	2200001																							2		207401		3	1	2				1																																	2074,207401,2030,203001,2031,203101				0.2	
2200002	22000	2				1	9	26100			1	2200001	3							2	2200002																							2		203101		3	2	2				1																																	2074,207401,2030,203001,2031,203101				0.2	
2200003	22000	3	1			1	9	26100			1	2200002	3							20			133107005	4																				1		Q22000Dirt	30	3	2	2							19	3	133107005,1																			27	3	133107005,2,3,4							2074,207401,2030,203001,2031,203101				0.2	
2200005	22000	4			1	1	9	26100			1	2200002	3							4	2200005																																	1																																						0.1
2200004	22000	5				1	9	26100			1	2200003	3							2	2200003																							2		203101		3	3	2		1		1			24	26100																													2074,207401,2030,203001,2031,203101				0.2	
2200101	22001	1					9	26200												2	2200101																							2		207401		3	1	2				1																																	2074,207401,2030,203001,2031,203101				0.2	
2200102	22001	2				1	9	26200			1	2200101	3							2	2200106																							2		203001		3	2	2				1																																	2074,207401,2030,203001,2031,203101				0.2	
2200103	22001	3				1	9	26200			1	2200102	3							4	2200103													8	2200103									2		203001		3	2	2				1															14	2200102																	2074,207401,2030,203001,2031,203101				0.2	
2200106	22001	4				1	9	26200			1	2200103	3							2	2200103																							2		203101		3	2	2				1																																	2074,207401,2030,203001,2031,203101				0.2	
2200104	22001	5	1			1	9	26200			1	2200106	3							5	100026			2																														1																																	2074,207401,2030,203001,2031,203101				0.2	
2200105	22001	6				1	9	26200			1	2200104	3							2	2200104													111	100026	2								2		203001		3	3	2		1		1			24	26200			1	100026	2						14	2200104																	2074,207401,2030,203001,2031,203101				0.2	
2200201	22002	1					9	26300												2	2200201																							2		203101		3	1	2				1																																	2074,207401,2030,203001,2031,203101				0.2	
2200202	22002	2				1	9	26300			1	2200201	3							2	2200202																							2		207401		3	2	2				1																																	2074,207401,2030,203001,2031,203101				0.2	
2200203	22002	3	1			1	9	26300			1	2200202	3							5	100026			2																														1																																	2074,207401,2030,203001,2031,203101				0.2	
2200204	22002	4				1	9	26300			1	2200203	3							2	2200203													111	100026	2								2		207401		3	3	2		1		1			24	26300			1	100026	2						14	2200203																	2074,207401,2030,203001,2031,203101				0.2	
2200301	22003	1					9	26400												2	2200301																							2		220401		3	1	2				1																																	220401,220101,2204,2201				0.2	
2200302	22003	2				1	9	26400			1	2200301	3							27	2200302																							2		220401		3	2	2				1																								28	2200302								220401,220101,2204,2201				0.2	
2200303	22003	3				1	9	26400			1	2200302	3							2	2200303																							2		220401		3	2	2				1	100376	1																															220401,220101,2204,2201				0.2	
2200304	22003	4				1	9	26400			1	2200303	3		3	100376	1			2	2200305																							2		220101		3	2	2				1			29	100376																													220401,220101,2204,2201				0.2	
2200305	22003	5				1	9	26400			1	2200304	3							2	2200306																							2		220401		3	3	2		1		1			24	26400																													220401,220101,2204,2201				0.2	
2200401	22004	1					9	26500												2	2200401																							2		220101		3	1	2				1			19	3	133104901,2																												220101,2201				0.2	
2200402	22004	2				1	9	26500			1	2200401	3							20			1331049011	1																				1		Q22004Target	30	3	4	2				1			19	3	133104901,3																												220101,2201				0.2	
2200403	22004	3				1	9	26500			1	2200402	3							20			1331049012	1																				1		Q22004Target	30	3	4	2				1			19	3	133104901,4																												220101,2201				0.2	
2200404	22004	4				1	9	26500			1	2200403	3							4	2200404																							1		Q22004Target	30	3	4	2				1			15	3	133104901																												220101,2201				0.2	
2200405	22004	5				1	9	26500			1	2200404	3							2	2200403																							2		220101		3	3	2		1		1			24	26500																													220101,2201				0.2	
6100001	61000	1			1															114	3	5		1																																																																				
6100101	61001	2			1															116	0	2		3																																																																				
6100201	61002	3			1															115	2		70210011,70210012,70210013,70210014,70210021,70210022,70210023,70210024,70210031,70210032,70210033,70210034,70210041,70210042,70210043,70210044,70210051,70210052,70210053,70210054,70211001,70211002,70211011,70211012,70211021,70211022,70211031,70211032,70211101,70211102,70211103,70211104,70211111,70211112,70211121,70211122,70211131,70211132	20																																																																				
6100301	61003	4			1															109	3		3,2																																																																					
6110101	61101	1			1															114	3	7		1																																																																				
6110201	61102	2			1															116	0	2		6																																																																				
6110301	61103	3			1															115	2		70210011,70210012,70210013,70210014,70210021,70210022,70210023,70210024,70210031,70210032,70210033,70210034,70210041,70210042,70210043,70210044,70210051,70210052,70210053,70210054,70211001,70211002,70211011,70211012,70211021,70211022,70211031,70211032,70211101,70211102,70211103,70211104,70211111,70211112,70211121,70211122,70211131,70211132	40																																																																				
6110401	61104	4			1															109	5		3,2																																																																					
6110501	61105	5			1															3	23020101			1																				1		Investigation_Liyue_Fatuus_Fire		3	4	2																																										
6110601	61106	6			1															3	24010201			1																				1		Investigation_Liyue_Formathr_None		3	4	2																																										
6120101	61201	1			1															114	3	6		1																																																																				
6120201	61202	2			1															116	0	2		10																																																																				
6120301	61203	3			1															115	2		70210011,70210012,70210013,70210014,70210021,70210022,70210023,70210024,70210031,70210032,70210033,70210034,70210041,70210042,70210043,70210044,70210051,70210052,70210053,70210054,70211001,70211002,70211011,70211012,70211021,70211022,70211031,70211032,70211101,70211102,70211103,70211104,70211111,70211112,70211121,70211122,70211131,70211132	100																																																																				
6120401	61204	4			1															109	8		3,2																																																																					
6120501	61205	5			1															3	20040201			1																				1		Investigation_Liyue_Effigy_Wind		3	4	2																																										
6120601	61206	6			1															3	20040301		133002259	1																				1		Investigation_Liyue_Effigy_Rock		3	4	2																																										
6120701	61207	8			1															117				8																																																																				
6120801	61208	9			1															123	6	5		1																																																																				
