ID	场景ID	组ID	触发器
1107	1004	201004901	ENTER_REGION_3
1108	3	133003901	ENTER_REGION_546
1109	3	133003901	ENTER_REGION_547
1110	3	133003901	ENTER_REGION_555
1111	3	133003901	ENTER_REGION_556
1112	3	133003901	ENTER_REGION_557
1113	3	133004904	ENTER_REGION_282
1114	3	133004904	ENTER_REGION_283
1115	3	133004904	ENTER_REGION_284
1116	1004	201004904	ENTER_REGION_4
1117	3	133004905	ENTER_REGION_285
1118	3	133001904	ENTER_REGION_446
1119	3	133001904	ENTER_REGION_502
1120	3	133002901	ENTER_REGION_316
1121	3	133002901	ENTER_REGION_317
1122	3	133002901	ENTER_REGION_318
1123	3	133002901	ENTER_REGION_321
1124	3	133004901	ENTER_REGION_287
1125	3	133004901	ENTER_REGION_288
1126	3	133004901	ENTER_REGION_289
1127	3	133002901	ENTER_REGION_331
1129	3	133001905	ENTER_REGION_466
1130	3	133001905	ENTER_REGION_471
1131	3	133003901	ENTER_REGION_595
1132	3	133003901	ENTER_REGION_596
1133	3	133007901	ENTER_REGION_333
1134	3	133007901	ENTER_REGION_334
1135	3	133103901	ENTER_REGION_95
1136	3	133103901	ENTER_REGION_901001
1137	3	133002901	ENTER_REGION_366
1138	3	133002901	ENTER_REGION_373
1139	3	133102901	ENTER_REGION_368
1140	3	133102901	ENTER_REGION_367
1141	3	133004901	ENTER_REGION_324
1142	3	133004901	ENTER_REGION_325
1143	3	133003901	ENTER_REGION_601
1144	3	133003901	LEAVE_REGION_606
1145	3	133004910	ENTER_REGION_910043
1146	3	133004901	ENTER_REGION_901001
1147	3	133007901	ENTER_REGION_901001
1148	3	133002901	ENTER_REGION_901001
1149	3	133002901	ENTER_REGION_901002
1150	3	133002901	ENTER_REGION_901003
1151	3	133002901	ENTER_REGION_901004
1152	3	133002901	ENTER_REGION_901005
1153	3	133002901	ENTER_REGION_901006
1154	3	133107901	ENTER_REGION_901001
1155	3	133002901	ENTER_REGION_901007
1156	3	133001905	ENTER_REGION_905001
1157	3	133003901	ENTER_REGION_901001
1158	3	133107901	ENTER_REGION_901002
1159	3	133107901	ENTER_REGION_901003
1160	3	133103904	ENTER_REGION_904001
1161	3	133107901	ENTER_REGION_901004
1162	3	133107901	ENTER_REGION_901005
1163	3	133107901	ENTER_REGION_901006
1164	3	133107901	ENTER_REGION_901007
1165	3	133107901	ENTER_REGION_901008
1166	3	133103901	ENTER_REGION_901002
1167	3	133103901	ENTER_REGION_901003
1168	3	133103901	ENTER_REGION_901004
1169	3	133103901	ENTER_REGION_901005
1170	3	133103901	ENTER_REGION_901006
1171	3	133004901	ENTER_REGION_901002
1172	3	133003901	ENTER_REGION_901002
