对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
2210615				24	3	15	22106									6		221061501	2017	22106
2210627				24	3	14	22106									6		221061601	2017	22106
2210628				24	3	13	22106									6		221061701	2017	22106
2210618				24	3	12	22106									6		221061801	2017	22106
2210631				24	3	11	22106									6		221061901	2017	22106
2210620				24	3	10	22106									6		221062001	2017	22106
2210621				24	3	9	22106									6		221062101	2017	22106
2210633				24	3	8	22106									6		221062201	2017	22106
2210623				24	3	8	22106									6		221062301	2017	22106
2210613				24	3	9	22106									6		221062401	2017	22106
2210614				24	3	10	22106									6		221062501	2017	22106
2210626				24	3	11	22106									6		221062601	2017	22106
2210616				24	3	12	22106									6		221062701	2017	22106
2210617				24	3	18	22106									6		221062801	2017	22106
2210629				24	3	14	22106									6		221062901	2017	22106
2210630				24	3	15	22106									6		221063001	2017	22106
2210619				24	3	16	22106									6		221063101	2017	22106
2210632				24	3	17	22106									6		221063201	2017	22106
2210622				24	3	13	22106									6		221063301	2017	22106
2210634				1	2210611	2										6		221063401	2017	22106
2210635	2		2	1	2210602	3		1	2210603	3		1	2210604	3		10		221063501	207401	22106
2210636	2		2	1	2210605	3		1	2210606	3		1	2210607	3		10		221063601	203001	22106
2210637	2		2	1	2210608	3		1	2210609	3		1	2210610	3		10		221063701	203101	22106
2210701	2			1	2210701	2										6		221070101	200101	22107
2210709	2		2	1	2210709	2		1	2210715	2						6	2210710,2210711,2210712,2210713,2210714,2210716,2210717,2210718,2210719,2210715	221070901	200101	22107
2210710				1	2210710	2										6	2210709,2210715	221071001	200101	22107
2210711				1	2210711	2										6	2210709,2210715	221071101	200101	22107
2210712				1	2210712	2										6	2210709,2210715	221071201	200101	22107
2210713				1	2210713	2										6	2210709,2210715	221071301	200101	22107
2210714				1	2210714	2										6	2210709,2210715	221071401	200101	22107
2210715				1	2210715	3										8		221071501	200101	22107
2210716				1	2210716	2										6	2210709,2210715	221071601	200101	22107
2210717				1	2210717	2										6	2210709,2210715	221071701	200101	22107
2210718				1	2210718	2										6	2210709,2210715	221071801	200101	22107
2210719				1	2210719	2										6	2210709,2210715	221071901	200101	22107
2210721	2			1	2210708	2										6		221072101	200101	22107
2210801	2			1	2210801	2										6		221080101	2016	22108
2210802	2		1	1	2210801	3		1	2210802	2						6		221080201	2016	22108
2210803	2		1	1	2210802	3		1	2210803	2						6		221080301	2016	22108
2210901	2			1	2210901	2										6		221090101	2016	22109
2210902	2		1	1	2210901	3		1	2210902	2						6		221090201	2016	22109
2210903	2		1	1	2210902	3		1	2210903	2						6		221090301	2016	22109
2211001	2			1	2211001	2										6		221100101	2016	22110
2211002	2		1	1	2211001	3		1	2211002	2						6		221100201	2016	22110
2211003	2		1	1	2211002	3		1	2211003	2						6		221100301	2016	22110
2211101				1	2211101	2										1		221110101	1512	22111
2211102				1	2211102	2										1		221110201	2078	22111
2211201	2			1	2211201	2										6		221120101	220201	22112
2211202	2			1	2211202	2										6		221120201	220201	22112
2211203	2			1	2211203	2										6		221120301	220201	22112
2211205	2			1	2211205	2										6		221120501	220201	22112
2211301	2			1	2211301	2										6		221130101	220201	22113
2211302	2			1	2211302	2										6		221130201	220201	22113
2211303	2			1	2211303	2										6		221130301	220201	22113
2211305	2			1	2211305	2										6		221130501	220201	22113
