ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	材料类型	冷却时间	冷却组	堆叠上限	最大使用数量	获得即使用	禁止提示第一次获得	目标	[使用]1操作	[使用]1参数1	[使用]1参数2	[使用]1参数3	[使用]2操作	[使用]2参数1	[使用]2参数2	阶数	自动进包	是否分开掉落	$#VersionBegin	$#VersionEnd
2021	2			70610005				能量球	8			1000	99	1		2	11	7	3	1								
2022	2			70610006				能量球	8			1000	99	1		2	11	5	3	1								
2023	2			70610007				能量球	8			1000	99	1		2	11	8	3	1								
2024	2			70610008				能量球	8			1000	99	1		2	12	2										
2025	2			70610008					8			1000	99	1		2	12	20										
2026	2			70610008					8			1000	99	1			13	1	20									
2027	2			70610008					8			1000	99	1			13	1	15									
3001	2					5			12			1000	99															0.1
3002	2					10			12			1000	99															0.1
3003	2								12			1000	99															0.1
3004	2							角色	7			1000	99	1			3	10000002	15	0				5				
3005	2							角色	7			1000	99	1			3	10000023	15	0				4				
3006	2							角色	7			1000	99	1			3	10000003	15	0				5				
3007	2							角色	7			1000	99	1			3	10000016	15	0				5				
3008	2							角色	7			1000	99	1			3	10000022	15	0				5				
3018	2							角色	7			1000	99	1			3	10000014	15	0				4				
3019	2							角色	7			1000	99	1			3	10000020	15	0				4				
3009	2							角色	12			1000	99	1										5				0.1
3010	2							角色	12			1000	99	1										4				0.1
3011	2							角色	12			1000	99	1										5				0.1
3012	2							角色	12			1000	99	1										5				0.1
3013	2							角色	12			1000	99	1										5				0.1
3014	2							角色	12			1000	99	1										4				0.1
3015	2							角色	12			1000	99	1										4				0.1
3016	2							角色	12			1000	99	1										4				0.1
3017	2							角色	12			1000	99	1										4				0.1
3020	2							角色	12			1000	99	1										4				0.1
3021	2							角色	7			1000	99	1			3	10000015	5	0				4				
3022	2							角色	7			1000	99	1			3	10000006	5	0				4				
100001	2	1	201	70540003	1			采集物	15			40	99			4	10	300	Eff_UI_AvatarIcon_Recovery_Once							1		
100002	2	1	201	70540021	1			采集物	15			40	99			4	10	300	Eff_UI_AvatarIcon_Recovery_Once							1		
100011	2	1	305	70520004	1			采集物	4			9999														1		
100012	2	1	305	70520005	1			采集物	4			9999														1		
100013	2	1	305	70520014	1			采集物	4			9999														1		
100014	2	1	305	70520015	1			采集物	4			9999														1		
100015	2	1	305	70520008	1			采集物	4			9999														1		
100016	2	1	305	70520009	1			采集物	4			9999														1		
100017	2	1	305	70590010	1			采集物	4			9999														1		
100018	2	1	305	70520011	1			采集物	4			9999														1		
100019	2	1	305	70520012	1			采集物	4			9999														1		
100020	2	1	305	70540005	1			采集物	4			9999														1		
100021	2	1	307	70540013	1			采集物	4			9999														1		
100022	2	1	307	70540011	1			采集物	4			9999														1		
100023	2	1	307	70540018	1			采集物	4			9999														1		
100024	2	1	307	70540019	1			采集物	4			9999														1		
100025	2	1	307	70540020	1			采集物	4			9999														1		
100026	2	1	307	70540014	1			采集物	4			9999														1		
100027	2	1	307	70540008	1			采集物	4			9999														1		
100028	2	1	307	70540017				采集物	4			9999														1		
100029	2	1	307	70540015	1			采集物	4			9999														1		
100030	2	1	307	70540012	1			采集物	4			9999														1		
100031	2	1	307					采集物	4			9999														1		
100032	2	1	304					采集物	4			9999														1		
100033	2	1	304					采集物	4			9999														1		
100034	2	1	307					采集物	4			9999														1		
100051	2	1	305	70540001	1			采集物	4			9999														1		
100052	2	1	304	70540002	1			采集物	4			9999														1		
100053	2	1	304	70540006	1			采集物	4			9999														1		
100054	2	1	304	70540007	1			采集物	4			9999														1		
100055	2	1	307	70510004	1			采集物	4			9999														1		
100056	2	1	305	70590013	1			采集物	4			9999														1		
100057	2	1	307	70510009				采集物	4			9999														1		
100058	2	1	307	70510012				采集物	4			9999														1		
100061	2	1	305	70520016	1			采集物	4			9999														1		
100062	2	1	305	70540004	1			采集物	4			9999														1		
100063	2	1	305	70520013	1			采集物	4			9999														1		
100064	2	1	305	70520017	1			采集物	4			9999														1		
100072	2	1	304	70590006				采集物	4			9999														1		
100073	2	1	305	70540003				采集物	4			9999														1		
100074	2	1	305	70540003				食材加工物	4			9999														1		
100075	2	1	305					采集物	4			9999														1		
100076	2	1	305					采集物	4			9999														1		
100077	2	1	305					采集物	4			9999														1		
100078	2	1	305					采集物	4			9999														1		
100079	2	1	305	70590022	1			采集物	4			9999														1		
100080	2	1	305	70590023	1			采集物	4			9999														1		
100081	2	1	304					采集物	4			9999														1		
100082	2	1	304					采集物	4			9999														1		
100083	2	1	304					采集物	4			9999														1		
100084	2	1	305	70560005	1			采集物	4			9999														1		
100085	2	1	304					采集物	4			9999														1		
100086	2	1	305	70560001	1			采集物	4			9999														1		
100087	2	1	305	70590009	1			采集物	4			9999														1		
100088	2	1	305					采集物	4			9999														1		
100089	2	1	305					采集物	4			9999														1		
100090	2	1	304					采集物	4			9999														1		
101001	2	1	300	70560002	1			采集物	4			9999														1		
101002	2	1	301	70560003	1			采集物	4			9999														1		
101003	2	1	302	70560004	1			采集物	4			9999														1		
101101	2	1	303	70600053				武器图纸	4			1000												4				
101102	2	1	303	70600053				武器图纸	4			1000												4				
101103	2	1	303	70600053				武器图纸	4			1000												4				
101104	2	1	303	70600053				武器图纸	4			1000												4				
101105	2	1	303	70600053				武器图纸	4			1000												4				
101106	2							虚拟武器																4				
101107	2							虚拟武器																4				
101108	2							虚拟武器																4				
101109	2							虚拟武器																4				
101110	2							虚拟武器																4				
100003	2	1	10	70300001				任务道具	2			1000	1				1	2002										
100004	2	1	10	70300001	1			任务道具	2			1000																
100006	2	1	10	70300001	1			任务道具	2			1000																
100007	2	1	10	70300001	1			任务道具	2			1000																
100008	2	1	10	70300001	1			任务道具	2			1000																
100009	2	1	10	70300001	1			任务道具	2			1000																
100010	2	1	10	70300001	1			任务道具	2			1000																
100101	2	1	10	70300009	1			任务道具	2			1000																
100102	2	1	10	70300010	1			任务道具	2			1000																
100103	2	1	10	70300008	1			任务道具	2			1000																
100104	2	1	10	70300008	1			任务道具	2			1000																
100105	2	1	10	70300011	1			任务道具	2			1000																
100106	2	1	10	70300010	1			任务道具	2			1000																
100107	2	1	10	70300007	1			任务道具	2			1000	1	1		2	10	-100										
100108	2	1	10	70300012	1			任务道具	2			1000																
100109	2	1	10	70300012	1			任务道具	2			1000	1	1		2	10	100										
100110	2	1	10	70300006				任务道具	2			1																0.1
100111	2	1	10	70300006				任务道具	2			1																0.1
100112	2	1	10	70300006				任务道具	2			1																0.1
100113	2	1	10	70300001	1			任务道具	2			1000	1	1		2	10	0										0.1
100114	2	1	10	70300012	1			任务道具	2			1000																
100115	2	1	10	70300001	1			任务道具	2			1000																
100120	2	1	10	70300020	1			任务道具	2			1000																
100121	2	1	10	70300020	1			任务道具	9			1000												1				
100122	2	1	10	70300020	1			任务道具	9			1000												3				
100123	2	1	10	70300020	1			任务道具	9			1000												4				
100124	2	1	10	70300020	1			任务道具	9			1000												5				
100125	2	1	10	70220010	1			任务道具	2			1000																0.1
100126	2	1	10	70220011	1			任务道具	2			1000																0.1
100131	2	1	10	70300009	1			任务道具	2			1000																
100132	2	1	10	70300009	1			任务道具	2			1000																
100133	2	1	10	70300009	1			任务道具	2			1000																
100134	2	1	10	70300009	1			任务道具	2			1000																
100135	2	1	10	70300038				任务道具	2			1000			1												0.1	
100136	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0										
100137	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0										
100138	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0										
100139	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0										
100140	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0										
100141	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0										
100142	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0										
100143	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0										
100144	2	1	10	70900003				任务道具	2			1000	1	1		2	10	0										
100145	2	1	10	70800001				任务道具	2			1000	1			2	10	0										
100146	2	1	10	70800001				任务道具	2			1000	1			2	10	0										
100147	2	1	10	70800001				任务道具	2			1000	1			2	10	0										
100148	2	1	10	36				任务道具	2			1000	1	1		2	10	0										
100149	2	1	10	70800001				任务道具	2			1000	1	1		2	10	0										
100151	2	1	10	70600064				任务道具	2			1000																
100152	2	1	10	70800001				任务道具	2			1000	1			2		0										
100153	2	1	10	70800001				任务道具	2			1000	1			2		0										
100154	2	1	10	70800001				任务道具	2			1000	1			2		0										
100158	2	1	10	70300049				任务道具	2			1000													1			
100159	2	1	10	70300049				任务道具	2			1000													1			
100160	2	1	10	70300049				任务道具	2			1000													1			
100161	2	1	10	70300038				任务道具	2			1000																
100162	2	1	10	70300038				任务道具	2			1000																
100163	2	1	10	70300038				任务道具	2			1000																
100164	2	1	10	70300042				任务道具	2			1000																
100165	2	1	10	70300038				任务道具	2			1000																
100171	2	1	10	70300043				任务道具	2			1																
100172	2	1	10	70300044				任务道具	2			1													1			
100173	2	1	10	70300045				任务道具	2			1													1			
100174	2	1	10	70300050	1			任务道具	2			1000		1	1	2	10	0										0.1
100175	2	1	10	70300002				任务道具	2			1000													1			
100176	2	1	10	70300001				任务道具	2			1000													1			
100177	2	1	10	70300052	1			任务道具	2			1000		1	1	2	10	0									0.2	
100178	2	1	10	70310011				任务道具	2			1															0.1	
100179	2	1	10	70310012				任务道具	2			1															0.1	
100180	2	1	10	70310013				任务道具	2			1															0.1	
100181	2	1	10	70310014				任务道具	2			1															0.1	
100182	2	1	10	70310015				任务道具	2			1															0.1	
100183	2	1	10	70310016				任务道具	2			1															0.1	
100184	2	1	10	71700001				任务道具	2			1															0.1	
100185	2	1	10	71700008				任务道具	2			1															0.1	
100186	2	1	10	70300050	1			任务道具	2			1000		1	1	2	10	0									0.1	
100187	2	1	10	70300050	1			任务道具	2			1000		1	1	2	10	0									0.1	
100188	2	1	10	71700009				任务道具	2			1															0.1	
100189	2	1	10	71700010				任务道具	2			1															0.1	
100190	2	1	10	71700011				任务道具	2			1															0.1	
100191	2	1	10	71700012				任务道具	2			1															0.1	
100192	2	1	10	71700013				任务道具	2			1															0.1	
100193	2	1	10	71700014				任务道具	2			1															0.1	
100194	2	1	10	71700015				任务道具	2			1															0.1	
100195	2	1	10	71700016				任务道具	2			1															0.1	
100196	2	1	10	71700017				任务道具	2			1															0.1	
100197	2	1	10	71700018				任务道具	2			1															0.1	
100198	2	1	10	71700019				任务道具	2			1															0.1	
100199	2	1	10	71700020				任务道具	2			1															0.1	
100200	2	1	10	71700021				任务道具	2			1															0.1	
100201	2	1	10	71700022				任务道具	2			1															0.1	
100202	2	1	10	71700023				任务道具	2			1															0.1	
100203	2	1	10	71700024				任务道具	2			1															0.1	
100204	2	1	10	71700025				任务道具	2			1															0.1	
100205	2	1	10	71700026				任务道具	2			1															0.1	
100206	2	1	10	71700027				任务道具	2			1															0.1	
100207	2	1	10	71700028				任务道具	2			1															0.1	
100208	2	1	10	71700029				任务道具	2			1															0.1	
100236	2	1	10	71700045				任务道具	2			1															0	
100210	2	1	10	70300065				任务道具	2			1000																
100211	2	1	10	70300065				任务道具	2			1000																
100212	2	1	10	70300065				任务道具	2			1000																
100213	2	1	10	71700030				任务道具	2			1															0.1	
100214	2	1	10	70300066				任务道具	2			1															0.2	
100215	2	1	10	71700031				任务道具	2			1													1		0.2	
100216	2	1	10	71700032				任务道具	2			1															0.2	
100217	2	1	10	71700033				任务道具	2			1															0.2	
100218	2	1	10	71700034				任务道具	2			1															0.2	
100219	2	1	10	71700035				任务道具	2			1															0.2	
100220	2	1	10	71700036				任务道具	2			1															0.2	
100221	2	1	10	71700037				任务道具	2			1															0.2	
100222	2	1	10	71700038				任务道具	2			1															0.2	
100223	2	1	10	71700039				任务道具	2			1															0.2	
100224	2	1	10	71700040				任务道具	2			1															0.2	
100225	2	1	410	70300080				任务道具	5			100	1				24	70300080									0.2	
100226	2	1	10	71700042				任务道具	2			1															0.2	
100227	2	1	10	71700043				任务道具	2			1															0.2	
100228	2	1	10	71700044				任务道具	2			1															0.2	
100229	2	1	10	71700048				任务道具	2			1															0.2	
100230	2	1	10	71700049				任务道具	2			1															0.2	
100239	2	1	10	71700050				任务道具	2			1															0.2	
100240	2	1	10	71700051				任务道具	2			1															0.2	
100241	2	1	10	71700052				任务道具	2			1															0.2	
100231	2	1	10	71700047				任务道具	2			1															0.2	
100232	2	1	10	71700048				任务道具	2			1															0.2	
100237	2	1	10	70300009				任务道具	2			1													1		0.2	
100238	2	1	10	70300009				任务道具	2			1													1		0.2	
100242	2	1	10	71700073				任务道具	2			1													1		0.2	
100301	2	1	10	70300002				任务道具	2			1													1			
100302	2	1	10	70300001				任务道具	2			1													1			
100303	2	1	10	70300009				任务道具	2			1000																
100304	2	1	10	70300009				任务道具	2			1000																
100306	2	1	10	70210102				任务道具	2			1000													1			
100307	2	1	10	70210102				任务道具	2			1000																
100308	2	1	10	70210102				任务道具	2			1000																
100309	2	1	10	70300009				任务道具	2			1000																
100310	2	1	10	70300009				任务道具	2			1000																
100311	2	1	10	70300009				任务道具	2			1000																
100314	2	1	10					任务道具	2			1000																0.1
100316	2	1	10	70710015				任务道具	2			1																
100317	2	1	10	70710015				任务道具	2			1																
100318	2	1	10	70710015				任务道具	2			1																
100319	2	1	10	70710015				任务道具	2			1																
100320	2	1	10	70710015				任务道具	2			1																
100321	2	1	10	70710015				任务道具	2			1																
100322	2	1	10	70710015				任务道具	2			1																
100323	2	1	10	70710015				任务道具	2			1																
100324	2	1	10	70710015				任务道具	2			1																
100325	2	1	10	70710015				任务道具	2			1																
100326	2	1	10	70710015				任务道具	2			1																
100327	2	1	10	70710015				任务道具	2			1																
100328	2	1	10	70710015				任务道具	2			1																
100329	2	1	10	70710015				任务道具	2			1																
100330	2	1	10	70710015				任务道具	2			1																
100331	2	1	10	70710015				任务道具	2			1																
100332	2	1	10	70710015				任务道具	2			1																
100333	2	1	10	70710015				任务道具	2			1																
100334	2	1	10	70710015				任务道具	2			1																
100335	2	1	10	70710015				任务道具	2			1																
100336	2	1	10	70710015				任务道具	2			1																
100337	2	1	10	70710015				任务道具	2			1																
100338	2	1	10	70710015				任务道具	2			1																
100339	2	1	10	70710015				任务道具	2			1																
100340	2	1	10	70710015				任务道具	2			1																
100341	2	1	10	70710015				任务道具	2			1																
100342	2	1	10	70710015				任务道具	2			1																
100343	2	1	10	70710015				任务道具	2			1																
100344	2	1	10	70710015				任务道具	2			1																
100345	2	1	10	70710015				任务道具	2			1																
100346	2	1	10	70710015				任务道具	2			1																
100347	2	1	10	70710015				任务道具	2			1																
100348	2	1	10					任务道具	2			1																
100349	2	1	10	70710020				任务道具	2			100																
100351	2	1	10					任务道具	2			1																
100352	2	1	10	70600021				任务道具	2			1																
100353	2	1	10	70210102				任务道具	2			1000																
100354	2	1	10	70600021				任务道具	2			1																
100350	2	1	10	71700046				任务道具	2			1															0.2	
100356	2	1	10	70600021				任务道具	2			1																
100357	2	1	10					任务道具	2			1																
100358	2	1	10					任务道具	2			1																
100359	2	1	10					任务道具	2			1																
100360	2	1	10					任务道具	2			1																
100361	2	1	10					任务道具	2			1																
100362	2	1	10					任务道具	2			1																
100363	2	1	10					任务道具	2			1																
100364	2	1	10					任务道具	2			1																
100365	2	1	10	70210102				任务道具	2			1000																
100366	2	1	10					任务道具	2			1																
100367	2	1	10					任务道具	2			1																
100368	2	1	10					任务道具	2			1																
100369	2	1	10					任务道具	2			1																
100370	2	1	10					任务道具	2			1																
100371	2	1	10					任务道具	2			1																
100372	2	1	10					任务道具	2			1																
100373	2	1	10					任务道具	2			1																
100374	2	1	10					任务道具	2			1																
100375	2	1	10					任务道具	2			1																
100376	2	1	10					任务道具	2			1																
100377	2	1	10					任务道具	2			1																
100378	2	1	10					任务道具	2			1																
100379	2	1	10					任务道具	2			1																
100380	2	1	10					任务道具	2			1																
100381	2	1	10					任务道具	2			1																
100382	2	1	10					任务道具	2			1																
100383	2	1	10					任务道具	2			1																
100384	2	1	10					任务道具	2			1																
100385	2	1	10					任务道具	2			1																
100386	2	1	10					任务道具	2			1																
100387	2	1	10					任务道具	2			1																
100388	2	1	10	71700054				任务道具	2			1															0.2	
100389	2	1	10	71700055				任务道具	2			1															0.2	
100390	2	1	10	71700056				任务道具	2			1															0.2	
100391	2	1	10	71700057				任务道具	2			1															0.2	
100392	2	1	10					任务道具	2			1																
100393	2	1	10					任务道具	2			1																
100394	2	1	10					任务道具	2			1																
100395	2	1	10					任务道具	2			1																
100396	2	1	10					任务道具	2			1																
100397	2	1	10					任务道具	2			1																
100398	2	1	10	70600021				任务道具	2			1																
100399	2	1	10	71700058				任务道具	2			1															0.2	
100400	2	1	10	71700059				任务道具	2			1															0.2	
100401	2	1	10	71700060				任务道具	2			1															0.2	
100402	2	1	10	71700061				任务道具	2			1															0.2	
100403	2	1	10	71700062				任务道具	2			1															0.2	
100404	2	1	10	71700063				任务道具	2			1															0.2	
100405	2	1	10	71700064				任务道具	2			1															0.2	
100406	2	1	10	71700065				任务道具	2			1															0.2	
100407	2	1	10	71700066				任务道具	2			1															0.2	
100408	2	1	10	71700067				任务道具	2			1															0.2	
100409	2	1	10	71700068				任务道具	2			1															0.2	
100410	2	1	10	71700069				任务道具	2			1															0.2	
100411	2	1	10	71700070				任务道具	2			1															0.2	
100412	2	1	10	71700071				任务道具	2			1															0.2	
100413	2	1	10	71700072				任务道具	2			1															0.2	
100414	2	1	10					任务道具	2			1																
100415	2	1	10					任务道具	2			1																
100416	2	1	10					任务道具	2			1																
100417	2	1	10					任务道具	2			1																
100418	2	1	10					任务道具	2			1																
100419	2	1	10					任务道具	2			1																
100420	2	1	10					任务道具	2			1																
100421	2	1	10					任务道具	2			1																
100422	2	1	10					任务道具	2			1																
100423	2	1	10					任务道具	2			1																
100424	2	1	10					任务道具	2			1																
100425	2	1	10					任务道具	2			1																
100426	2	1	10	71700074				任务道具	2			1															0.2	
100427	2	1	10	70710057				任务道具	2			1															0.1	
100428	2	1	10	71700074				任务道具	2			1															0.1	
100429	2	1	10	71700074				任务道具	2			1																
100430	2	1	10	71700074				任务道具	2			1															0.1	
100431	2	1	10	71700077				任务道具	2			1															0.1	
100432	2	1	10	71700078				任务道具	2			1															0.1	
100433	2	1	10	71700079				任务道具	2			1															0.1	
100434	2	1	10	71700080				任务道具	2			1																
100435	2	1	10	71700081				任务道具	2			1															0.1	
100436	2	1	10	71700082				任务道具	2			1															0.1	
100437	2	1	10	71700084				任务道具	2			1															0.1	
100438	2	1	10	71700085				任务道具	2			1																
100439	2	1	10	71700086				任务道具	2			1															0.1	
100440	2	1	10	71700087				任务道具	2			1															0.1	
100441	2	1	10	71700088				任务道具	2			1															0.2	
100442	2	1	10	71700089				任务道具	2			1															0.2	
100443	2	1	10	71700090				任务道具	2			1															0.2	
100444	2	1	10	71700091				任务道具	2			1															0.2	
100445	2	1	10	71700092				任务道具	2			1															0.2	
100305	2	0	6					任务道具	2			2000	1			2	15	150313	300					3				
100312	2	0	6					任务道具	2			2000	1			2	15	110103	300					2				
100313	2	0	6					任务道具	2			2000	1			2	15	120203	300					3				
100233	2	1	5	70710011				任务道具	2			999														1		
100234	2	1	5	70710012				任务道具	2			999														1		
100235	2	1	5	70710013				任务道具	2			999														1		
100315	2	1	5					任务道具	2			1000														1		
100355	2	1	5					任务道具	2			1														1		
102001	2	1	210	70590001	1			能量球	1	5	1	1000	1			2	11	1	50									
102002	2	1	210	70590001	1			能量球	1	5	1	1000	1			2	11	2	50									
102003	2	1	210	70590001	1			能量球	1	5	1	1000	1			2	11	3	50									
102004	2	1	210	70590001	1			能量球	1	5	1	1000	1			2	11	4	50									
102005	2	1	210	70590001	1			能量球	1	5	1	1000	1			2	11	7	50									
102006	2	1	210	70590001	1			能量球	1	5	1	1000	1			2	11	5	50									
102007	2	1	210	70590001	1			能量球	1	5	1	1000	1			2	11	8	50									
102008	2	1	210	70590001	1			能量球	1	5	1	1000	1			2	12	50										
103001	2	1	210	70590002	1			能量球	1	10	2	1000	1			2	11	1	30									
103002	2	1	210	70590002	1			能量球	1	10	2	1000	1			2	11	2	30									
103003	2	1	210	70590002	1			能量球	1	10	2	1000	1			2	11	3	30									
103004	2	1	210	70590002	1			能量球	1	10	2	1000	1			2	11	4	30									
103005	2	1	210	70590002	1			能量球	1	10	2	1000	1			2	11	7	30									
103006	2	1	210	70590002	1			能量球	1	10	2	1000	1			2	11	5	30									
103007	2	1	210	70590002	1			能量球	1	10	2	1000	1			2	11	8	30									
103008	2	1	210	70590002	1			能量球	1	10	2	1000	1			2	12	30										
104001	2	1	100	70600021				角色经验书	6			1000	99			3	4	1000						2				
104002	2	1	100	70600022				角色经验书	6			1000	99			3	4	5000						3				
104003	2	1	100	70600023				角色经验书	6			1000	99			3	4	20000						4				
104011	2	1	5	70600031				武器矿石	11			1000					14	400						1				
104012	2	1	5	70600032				武器矿石	11			1000					14	2000						2				
104013	2	1	5	70600033				武器矿石	11			1000					14	10000						3				
104101	2	1	114	70600001				角色突破材料	14			1000												2				
104102	2	1	114	70600002				角色突破材料	14			1000												3				
104103	2	1	114	70600003				角色突破材料	14			1000												4				
104104	2	1	114	70600004				角色突破材料	14			1000												5				
104111	2	1	115	70600001				角色突破材料	14			1000												2				
104112	2	1	115	70600002				角色突破材料	14			1000												3				
104113	2	1	115	70600003				角色突破材料	14			1000												4				
104114	2	1	115	70600004				角色突破材料	14			1000												5				
104121	2	1	116	70600001				角色突破材料	14			1000												2				
104122	2	1	116	70600002				角色突破材料	14			1000												3				
104123	2	1	116	70600003				角色突破材料	14			1000												4				
104124	2	1	116	70600004				角色突破材料	14			1000												5				
104131	2	1	117	70600001				角色突破材料	14			1000												2				
104132	2	1	117	70600002				角色突破材料	14			1000												3				
104133	2	1	117	70600003				角色突破材料	14			1000												4				
104134	2	1	117	70600004				角色突破材料	14			1000												5				
104141	2	1	118	70600001				角色突破材料	14			1000												2				
104142	2	1	118	70600002				角色突破材料	14			1000												3				
104143	2	1	118	70600003				角色突破材料	14			1000												4				
104144	2	1	118	70600004				角色突破材料	14			1000												5				
104151	2	1	119	70600001				角色突破材料	14			1000												2				
104152	2	1	119	70600002				角色突破材料	14			1000												3				
104153	2	1	119	70600003				角色突破材料	14			1000												4				
104154	2	1	119	70600004				角色突破材料	14			1000												5				
104161	2	1	120	70600001				角色突破材料	14			1000												2				
104162	2	1	120	70600002				角色突破材料	14			1000												3				
104163	2	1	120	70600003				角色突破材料	14			1000												4				
104164	2	1	120	70600004				角色突破材料	14			1000												5				
104171	2	1	121	70600001				角色突破材料	14			1000												2				
104172	2	1	121	70600002				角色突破材料	14			1000												3				
104173	2	1	121	70600003				角色突破材料	14			1000												4				
104174	2	1	121	70600004				角色突破材料	14			1000												5				
104301	2	1	122	70600052				天赋书	14			2000												2				
104302	2	1	122	70600053				天赋书	14			2000												3				
104303	2	1	122	70600054				天赋书	14			2000												4				
104304	2	1	123	70600052				天赋书	14			2000												2				
104305	2	1	123	70600053				天赋书	14			2000												3				
104306	2	1	123	70600054				天赋书	14			2000												4				
104307	2	1	124	70600052				天赋书	14			2000												2				
104308	2	1	124	70600053				天赋书	14			2000												3				
104309	2	1	124	70600054				天赋书	14			2000												4				
104310	2	1	125	70600052				天赋书	14			2000												2				
104311	2	1	125	70600053				天赋书	14			2000												3				
104312	2	1	125	70600054				天赋书	14			2000												4				
104313	2	1	126	70600052				天赋书	14			2000												2				
104314	2	1	126	70600053				天赋书	14			2000												3				
104315	2	1	126	70600054				天赋书	14			2000												4				
104316	2	1	127	70600052				天赋书	14			2000												2				
104317	2	1	127	70600053				天赋书	14			2000												3				
