阶数	等级	成长到下一级所需经验	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	[增加属性]4类型	[增加属性]4值	[增加属性]5类型	[增加属性]5值	[增加属性]6类型	[增加属性]6值	[增加属性]7类型	[增加属性]7值	[增加属性]8类型	[增加属性]8值	[增加属性]9类型	[增加属性]9值	[增加属性]10类型	[增加属性]10值	[增加属性]11类型	[增加属性]11值	[增加属性]12类型	[增加属性]12值	[增加属性]13类型	[增加属性]13值	[增加属性]14类型	[增加属性]14值	[增加属性]15类型	[增加属性]15值	[增加属性]16类型	[增加属性]16值	[增加属性]17类型	[增加属性]17值	[增加属性]18类型	[增加属性]18值	[增加属性]19类型	[增加属性]19值	[增加属性]20类型	[增加属性]20值
3	6	4000	2	970	3	0.128	5	63	6	0.128	8	69	9	0.16	20	0.106	22	0.192	23	0.142	26	0.106	28	31.9	40	0.128	41	0.128	42	0.128	44	0.128	45	0.128	43	0.128	46	0.128	30	0.192	50	0.145
3	7	4500	2	1084	3	0.143	5	71	6	0.143	8	77	9	0.178	20	0.119	22	0.214	23	0.159	26	0.119	28	35.7	40	0.143	41	0.143	42	0.143	44	0.143	45	0.143	43	0.143	46	0.143	30	0.214	50	0.162
3	8	5000	2	1198	3	0.158	5	78	6	0.158	8	85	9	0.197	20	0.131	22	0.237	23	0.175	26	0.131	28	39.4	40	0.158	41	0.158	42	0.158	44	0.158	45	0.158	43	0.158	46	0.158	30	0.237	50	0.179
3	9	5525	2	1312	3	0.173	5	85	6	0.173	8	93	9	0.216	20	0.144	22	0.259	23	0.192	26	0.144	28	43.2	40	0.173	41	0.173	42	0.173	44	0.173	45	0.173	43	0.173	46	0.173	30	0.259	50	0.196
3	10	6075	2	1425	3	0.188	5	93	6	0.188	8	102	9	0.235	20	0.156	22	0.281	23	0.208	26	0.156	28	46.9	40	0.188	41	0.188	42	0.188	44	0.188	45	0.188	43	0.188	46	0.188	30	0.281	50	0.213
3	11	6625	2	1539	3	0.203	5	100	6	0.203	8	110	9	0.253	20	0.169	22	0.304	23	0.225	26	0.169	28	50.6	40	0.203	41	0.203	42	0.203	44	0.203	45	0.203	43	0.203	46	0.203	30	0.304	50	0.23
3	12	7225	2	1653	3	0.218	5	108	6	0.218	8	118	9	0.272	20	0.181	22	0.326	23	0.242	26	0.181	28	54.4	40	0.218	41	0.218	42	0.218	44	0.218	45	0.218	43	0.218	46	0.218	30	0.326	50	0.247
3	13	7825	2	1767	3	0.233	5	115	6	0.233	8	126	9	0.291	20	0.194	22	0.349	23	0.258	26	0.194	28	58.1	40	0.233	41	0.233	42	0.233	44	0.233	45	0.233	43	0.233	46	0.233	30	0.349	50	0.264
3	14	8425	2	1880	3	0.247	5	122	6	0.247	8	134	9	0.309	20	0.206	22	0.371	23	0.275	26	0.206	28	61.9	40	0.247	41	0.247	42	0.247	44	0.247	45	0.247	43	0.247	46	0.247	30	0.371	50	0.281
3	15	9050	2	1994	3	0.262	5	130	6	0.262	8	142	9	0.328	20	0.219	22	0.394	23	0.292	26	0.219	28	65.6	40	0.262	41	0.262	42	0.262	44	0.262	45	0.262	43	0.262	46	0.262	30	0.394	50	0.298
3	16	9700	2	2108	3	0.277	5	137	6	0.277	8	150	9	0.347	20	0.231	22	0.416	23	0.308	26	0.231	28	69.4	40	0.277	41	0.277	42	0.277	44	0.277	45	0.277	43	0.277	46	0.277	30	0.416	50	0.315
3	17	10375	2	2222	3	0.292	5	145	6	0.292	8	158	9	0.366	20	0.244	22	0.439	23	0.325	26	0.244	28	73.1	40	0.292	41	0.292	42	0.292	44	0.292	45	0.292	43	0.292	46	0.292	30	0.439	50	0.332
3	18	11050	2	2336	3	0.307	5	152	6	0.307	8	166	9	0.384	20	0.256	22	0.461	23	0.342	26	0.256	28	76.8	40	0.307	41	0.307	42	0.307	44	0.307	45	0.307	43	0.307	46	0.307	30	0.461	50	0.349
3	19	11750	2	2449	3	0.322	5	159	6	0.322	8	175	9	0.403	20	0.269	22	0.484	23	0.358	26	0.269	28	80.6	40	0.322	41	0.322	42	0.322	44	0.322	45	0.322	43	0.322	46	0.322	30	0.484	50	0.366
3	20	12450	2	2563	3	0.337	5	167	6	0.337	8	183	9	0.422	20	0.281	22	0.506	23	0.375	26	0.281	28	84.3	40	0.337	41	0.337	42	0.337	44	0.337	45	0.337	43	0.337	46	0.337	30	0.506	50	0.383
3	21	13175	2	2677	3	0.352	5	174	6	0.352	8	191	9	0.44	20	0.294	22	0.529	23	0.392	26	0.294	28	88.1	40	0.352	41	0.352	42	0.352	44	0.352	45	0.352	43	0.352	46	0.352	30	0.529	50	0.4
4	1	2400	2	549	3	0.064	5	36	6	0.064	8	39	9	0.08	20	0.053	22	0.096	23	0.071	26	0.053	28	16	40	0.064	41	0.064	42	0.064	44	0.064	45	0.064	43	0.064	46	0.064	30	0.096	50	0.068
4	2	2975	2	704	3	0.082	5	46	6	0.082	8	50	9	0.103	20	0.069	22	0.124	23	0.092	26	0.069	28	20.6	40	0.082	41	0.082	42	0.082	44	0.082	45	0.082	43	0.082	46	0.082	30	0.124	50	0.087
4	3	3550	2	859	3	0.101	5	56	6	0.101	8	61	9	0.126	20	0.084	22	0.151	23	0.112	26	0.084	28	25.1	40	0.101	41	0.101	42	0.101	44	0.101	45	0.101	43	0.101	46	0.101	30	0.151	50	0.106
4	4	4125	2	1015	3	0.119	5	66	6	0.119	8	72	9	0.148	20	0.099	22	0.178	23	0.132	26	0.099	28	29.7	40	0.119	41	0.119	42	0.119	44	0.119	45	0.119	43	0.119	46	0.119	30	0.178	50	0.125
4	5	4725	2	1170	3	0.137	5	76	6	0.137	8	83	9	0.171	20	0.114	22	0.205	23	0.152	26	0.114	28	34.2	40	0.137	41	0.137	42	0.137	44	0.137	45	0.137	43	0.137	46	0.137	30	0.205	50	0.144
4	6	5350	2	1326	3	0.155	5	86	6	0.155	8	94	9	0.194	20	0.129	22	0.233	23	0.172	26	0.129	28	38.8	40	0.155	41	0.155	42	0.155	44	0.155	45	0.155	43	0.155	46	0.155	30	0.233	50	0.163
4	7	6000	2	1481	3	0.173	5	96	6	0.173	8	106	9	0.217	20	0.144	22	0.26	23	0.193	26	0.144	28	43.3	40	0.173	41	0.173	42	0.173	44	0.173	45	0.173	43	0.173	46	0.173	30	0.26	50	0.182
4	8	6675	2	1636	3	0.191	5	107	6	0.191	8	117	9	0.239	20	0.16	22	0.287	23	0.213	26	0.16	28	47.9	40	0.191	41	0.191	42	0.191	44	0.191	45	0.191	43	0.191	46	0.191	30	0.287	50	0.201
4	9	7375	2	1792	3	0.21	5	117	6	0.21	8	128	9	0.262	20	0.175	22	0.314	23	0.233	26	0.175	28	52.4	40	0.21	41	0.21	42	0.21	44	0.21	45	0.21	43	0.21	46	0.21	30	0.314	50	0.221
4	10	8100	2	1947	3	0.228	5	127	6	0.228	8	139	9	0.285	20	0.19	22	0.342	23	0.253	26	0.19	28	57	40	0.228	41	0.228	42	0.228	44	0.228	45	0.228	43	0.228	46	0.228	30	0.342	50	0.24
4	11	8850	2	2103	3	0.246	5	137	6	0.246	8	150	9	0.308	20	0.205	22	0.369	23	0.273	26	0.205	28	61.5	40	0.246	41	0.246	42	0.246	44	0.246	45	0.246	43	0.246	46	0.246	30	0.369	50	0.259
4	12	9625	2	2258	3	0.264	5	147	6	0.264	8	161	9	0.33	20	0.22	22	0.396	23	0.294	26	0.22	28	66	40	0.264	41	0.264	42	0.264	44	0.264	45	0.264	43	0.264	46	0.264	30	0.396	50	0.278
4	13	10425	2	2413	3	0.282	5	157	6	0.282	8	172	9	0.353	20	0.235	22	0.424	23	0.314	26	0.235	28	70.6	40	0.282	41	0.282	42	0.282	44	0.282	45	0.282	43	0.282	46	0.282	30	0.424	50	0.297
4	14	11225	2	2569	3	0.301	5	167	6	0.301	8	183	9	0.376	20	0.25	22	0.451	23	0.334	26	0.25	28	75.1	40	0.301	41	0.301	42	0.301	44	0.301	45	0.301	43	0.301	46	0.301	30	0.451	50	0.316
4	15	12075	2	2724	3	0.319	5	177	6	0.319	8	194	9	0.398	20	0.266	22	0.478	23	0.354	26	0.266	28	79.7	40	0.319	41	0.319	42	0.319	44	0.319	45	0.319	43	0.319	46	0.319	30	0.478	50	0.335
4	16	12950	2	2880	3	0.337	5	187	6	0.337	8	205	9	0.421	20	0.281	22	0.505	23	0.374	26	0.281	28	84.2	40	0.337	41	0.337	42	0.337	44	0.337	45	0.337	43	0.337	46	0.337	30	0.505	50	0.354
4	17	13825	2	3035	3	0.355	5	198	6	0.355	8	216	9	0.444	20	0.296	22	0.533	23	0.395	26	0.296	28	88.8	40	0.355	41	0.355	42	0.355	44	0.355	45	0.355	43	0.355	46	0.355	30	0.533	50	0.374
4	18	14725	2	3190	3	0.373	5	208	6	0.373	8	227	9	0.467	20	0.311	22	0.56	23	0.415	26	0.311	28	93.3	40	0.373	41	0.373	42	0.373	44	0.373	45	0.373	43	0.373	46	0.373	30	0.56	50	0.393
4	19	15650	2	3346	3	0.391	5	218	6	0.391	8	239	9	0.489	20	0.326	22	0.587	23	0.435	26	0.326	28	97.9	40	0.391	41	0.391	42	0.391	44	0.391	45	0.391	43	0.391	46	0.391	30	0.587	50	0.412
4	20	16600	2	3501	3	0.41	5	228	6	0.41	8	250	9	0.512	20	0.341	22	0.615	23	0.455	26	0.341	28	102.4	40	0.41	41	0.41	42	0.41	44	0.41	45	0.41	43	0.41	46	0.41	30	0.615	50	0.431
4	21	17575	2	3657	3	0.428	5	238	6	0.428	8	261	9	0.535	20	0.357	22	0.642	23	0.475	26	0.357	28	107	40	0.428	41	0.428	42	0.428	44	0.428	45	0.428	43	0.428	46	0.428	30	0.642	50	0.45
5	1	3000	2	717	3	0.075	5	47	6	0.075	8	51	9	0.094	20	0.063	22	0.113	23	0.084	26	0.063	28	18.9	40	0.075	41	0.075	42	0.075	44	0.075	45	0.075	43	0.075	46	0.075	30	0.113	50	0.075
5	2	3725	2	920	3	0.097	5	60	6	0.097	8	66	9	0.121	20	0.081	22	0.145	23	0.108	26	0.081	28	24.2	40	0.097	41	0.097	42	0.097	44	0.097	45	0.097	43	0.097	46	0.097	30	0.145	50	0.096
5	3	4425	2	1123	3	0.118	5	73	6	0.118	8	80	9	0.148	20	0.099	22	0.177	23	0.131	26	0.099	28	29.6	40	0.118	41	0.118	42	0.118	44	0.118	45	0.118	43	0.118	46	0.118	30	0.177	50	0.118
5	4	5150	2	1326	3	0.14	5	86	6	0.14	8	95	9	0.175	20	0.116	22	0.21	23	0.155	26	0.116	28	34.9	40	0.14	41	0.14	42	0.14	44	0.14	45	0.14	43	0.14	46	0.14	30	0.21	50	0.139
5	5	5900	2	1530	3	0.161	5	100	6	0.161	8	109	9	0.201	20	0.134	22	0.242	23	0.179	26	0.134	28	40.3	40	0.161	41	0.161	42	0.161	44	0.161	45	0.161	43	0.161	46	0.161	30	0.242	50	0.16
5	6	6675	2	1733	3	0.182	5	113	6	0.182	8	124	9	0.228	20	0.152	22	0.274	23	0.203	26	0.152	28	45.6	40	0.182	41	0.182	42	0.182	44	0.182	45	0.182	43	0.182	46	0.182	30	0.274	50	0.181
5	7	7500	2	1936	3	0.204	5	126	6	0.204	8	138	9	0.255	20	0.17	22	0.306	23	0.227	26	0.17	28	51	40	0.204	41	0.204	42	0.204	44	0.204	45	0.204	43	0.204	46	0.204	30	0.306	50	0.203
5	8	8350	2	2139	3	0.225	5	139	6	0.225	8	152	9	0.282	20	0.188	22	0.338	23	0.25	26	0.188	28	56.3	40	0.225	41	0.225	42	0.225	44	0.225	45	0.225	43	0.225	46	0.225	30	0.338	50	0.224
5	9	9225	2	2342	3	0.247	5	152	6	0.247	8	167	9	0.308	20	0.206	22	0.37	23	0.274	26	0.206	28	61.7	40	0.247	41	0.247	42	0.247	44	0.247	45	0.247	43	0.247	46	0.247	30	0.37	50	0.245
5	10	10125	2	2545	3	0.268	5	166	6	0.268	8	181	9	0.335	20	0.223	22	0.402	23	0.298	26	0.223	28	67	40	0.268	41	0.268	42	0.268	44	0.268	45	0.268	43	0.268	46	0.268	30	0.402	50	0.266
5	11	11050	2	2749	3	0.289	5	179	6	0.289	8	196	9	0.362	20	0.241	22	0.434	23	0.322	26	0.241	28	72.4	40	0.289	41	0.289	42	0.289	44	0.289	45	0.289	43	0.289	46	0.289	30	0.434	50	0.288
5	12	12025	2	2952	3	0.311	5	192	6	0.311	8	210	9	0.389	20	0.259	22	0.466	23	0.345	26	0.259	28	77.7	40	0.311	41	0.311	42	0.311	44	0.311	45	0.311	43	0.311	46	0.311	30	0.466	50	0.309
5	13	13025	2	3155	3	0.332	5	205	6	0.332	8	225	9	0.415	20	0.277	22	0.498	23	0.369	26	0.277	28	83	40	0.332	41	0.332	42	0.332	44	0.332	45	0.332	43	0.332	46	0.332	30	0.498	50	0.33
5	14	14025	2	3358	3	0.354	5	219	6	0.354	8	239	9	0.442	20	0.295	22	0.53	23	0.393	26	0.295	28	88.4	40	0.354	41	0.354	42	0.354	44	0.354	45	0.354	43	0.354	46	0.354	30	0.53	50	0.351
5	15	15100	2	3561	3	0.375	5	232	6	0.375	8	254	9	0.469	20	0.312	22	0.563	23	0.417	26	0.312	28	93.7	40	0.375	41	0.375	42	0.375	44	0.375	45	0.375	43	0.375	46	0.375	30	0.563	50	0.373
5	16	16175	2	3764	3	0.396	5	245	6	0.396	8	268	9	0.495	20	0.33	22	0.595	23	0.44	26	0.33	28	99.1	40	0.396	41	0.396	42	0.396	44	0.396	45	0.396	43	0.396	46	0.396	30	0.595	50	0.394
5	17	17275	2	3967	3	0.418	5	258	6	0.418	8	283	9	0.522	20	0.348	22	0.627	23	0.464	26	0.348	28	104.4	40	0.418	41	0.418	42	0.418	44	0.418	45	0.418	43	0.418	46	0.418	30	0.627	50	0.415
5	18	18400	2	4171	3	0.439	5	272	6	0.439	8	297	9	0.549	20	0.366	22	0.659	23	0.488	26	0.366	28	109.8	40	0.439	41	0.439	42	0.439	44	0.439	45	0.439	43	0.439	46	0.439	30	0.659	50	0.436
5	19	19575	2	4374	3	0.461	5	285	6	0.461	8	312	9	0.576	20	0.384	22	0.691	23	0.512	26	0.384	28	115.1	40	0.461	41	0.461	42	0.461	44	0.461	45	0.461	43	0.461	46	0.461	30	0.691	50	0.458
5	20	20750	2	4577	3	0.482	5	298	6	0.482	8	326	9	0.602	20	0.402	22	0.723	23	0.536	26	0.402	28	120.5	40	0.482	41	0.482	42	0.482	44	0.482	45	0.482	43	0.482	46	0.482	30	0.723	50	0.479
5	21	21975	2	4780	3	0.503	5	311	6	0.503	8	341	9	0.629	20	0.419	22	0.755	23	0.559	26	0.419	28	125.8	40	0.503	41	0.503	42	0.503	44	0.503	45	0.503	43	0.503	46	0.503	30	0.755	50	0.5
