技能ID	开启天赋配置	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	参数1	参数2	参数3	参数4	参数5	参数6	参数7	参数8	参数9	参数10	参数11	参数12	参数13	参数14	参数15	参数16	参数17	技能组ID	等级	类型	消耗金币	消耗道具1ID	消耗道具1数量	消耗道具2ID	消耗道具2数量	消耗道具3ID	消耗道具3数量	筛选条件1	筛选条件2	突破等级	生活效果类型	生活效果参数1	生活效果参数2	生活效果参数3	生活效果参数4	效果全队生效	$#VersionBegin	$#VersionEnd
23211	Ayaka_SkillUpgrade_2					4.5752	8																232	11	3	0	0	0	0	0	0	0			4								
23212	Ayaka_SkillUpgrade_2					4.816	8																232	12	3	0	0	0	0	0	0	0			4								
23213	Ayaka_SkillUpgrade_2					5.117	8																232	13	3	0	0	0	0	0	0	0			4								
23214	Ayaka_SkillUpgrade_2					5.418	8																232	14	3	0	0	0	0	0	0	0			4								
23215	Ayaka_SkillUpgrade_2					5.719	8																232	15	3	0	0	0	0	0	0	0			4								
23301	Ayaka_SkillMove					15	18																233	1	3	0	0	0	0	0	0	0			0								
23901	Ayaka_SkillUpgrade_3					0.728	1.456	5	15	60													239	1	3	0	0	0	0	0	0	0			0								
23902	Ayaka_SkillUpgrade_3					0.7826	1.5652	5	15	60													239	2	3	7500	104313	2	112011	1	0	0			0								
23903	Ayaka_SkillUpgrade_3					0.8372	1.6744	5	15	60													239	3	3	12500	104313	4	112011	2	0	0			0								
23904	Ayaka_SkillUpgrade_3					0.91	1.82	5	15	60													239	4	3	17500	104313	8	112011	4	0	0			1								
23905	Ayaka_SkillUpgrade_3					0.9646	1.9292	5	15	60													239	5	3	20000	104314	5	112012	2	0	0			1								
23906	Ayaka_SkillUpgrade_3					1.0192	2.0384	5	15	60													239	6	3	25000	104314	8	112012	3	0	0			2								
23907	Ayaka_SkillUpgrade_3					1.092	2.184	5	15	60													239	7	3	30000	104314	10	112012	5	0	0			2								
23908	Ayaka_SkillUpgrade_3					1.1648	2.3296	5	15	60													239	8	3	32500	104315	5	112013	5	0	1			3								
23909	Ayaka_SkillUpgrade_3					1.2376	2.4752	5	15	60													239	9	3	37500	104315	8	112013	7	0	1			3								
23910	Ayaka_SkillUpgrade_3					1.3104	2.6208	5	15	60													239	10	3	42500	104315	10	112013	8	0	2			4								
23911	Ayaka_SkillUpgrade_3					1.3832	2.7664	5	15	60													239	11	3	0	0	0	0	0	0	0			4								
23912	Ayaka_SkillUpgrade_3					1.456	2.912	5	15	60													239	12	3	0	0	0	0	0	0	0			4								
23913	Ayaka_SkillUpgrade_3					1.547	3.094	5	15	60													239	13	3	0	0	0	0	0	0	0			4								
23914	Ayaka_SkillUpgrade_3					1.638	3.276	5	15	60													239	14	3	0	0	0	0	0	0	0			4								
23915	Ayaka_SkillUpgrade_3					1.729	3.458	5	15	60													239	15	3	0	0	0	0	0	0	0			4								
31101		3	0.025	20	0.025	0.025	0.025																311	1	1	0	0	0	0	0	0	0			0								
31102		3	0.027	20	0.027	0.027	0.027																311	2	1	7500	104304	2	112011	1	0	0			0								
31103		3	0.029	20	0.029	0.029	0.029																311	3	1	12500	104304	4	112011	2	0	0			0								
31104		3	0.032	20	0.032	0.032	0.032																311	4	1	17500	104304	8	112011	4	0	0			1								
31105		3	0.034	20	0.034	0.034	0.034																311	5	1	20000	104305	5	112012	2	0	0			1								
31106		3	0.036	20	0.036	0.036	0.036																311	6	1	25000	104305	8	112012	3	0	0			2								
31107		3	0.04	20	0.04	0.04	0.04																311	7	1	30000	104305	10	112012	5	0	0			2								
31108		3	0.0425	20	0.0425	0.0425	0.0425																311	8	1	32500	104306	5	112013	5	113003	1			3								
31109		3	0.045	20	0.045	0.045	0.045																311	9	1	37500	104306	8	112013	7	113003	1			3								
31110		3	0.05	20	0.05	0.05	0.05																311	10	1	42500	104306	10	112013	8	113003	2			4								
32101		26	0.15			0.15																	321	1	2	0	0	0	0	0	0	0			1								
32201	Qin_ProudSkill_Private2					18																	322	1	2	0	0	0	0	0	0	0			3								
32301						0.2																	323	1	2	0	0	0	0	0	0	0			0	4	3	2000					
32501																							325	1	2	0	0	0	0	0	0	0			0	204	1	2000					
33101	Qin_ProudSkill_1					0.48332	0.4558	0.60286	0.65876	0.79206	1.95048	20											331	1	3	0	0	0	0	0	0	0			0								
33102	Qin_ProudSkill_1					0.52266	0.4929	0.65193	0.71238	0.85653	2.10924	20											331	2	3	7500	104304	2	112011	1	0	0			0								
33103	Qin_ProudSkill_1					0.562	0.53	0.701	0.766	0.921	2.268	20											331	3	3	12500	104304	4	112011	2	0	0			0								
33104	Qin_ProudSkill_1					0.6182	0.583	0.7711	0.8426	1.0131	2.4948	20											331	4	3	17500	104304	8	112011	4	0	0			1								
33105	Qin_ProudSkill_1					0.65754	0.6201	0.82017	0.89622	1.07757	2.65356	20											331	5	3	20000	104305	5	112012	2	0	0			1								
33106	Qin_ProudSkill_1					0.7025	0.6625	0.87625	0.9575	1.15125	2.835	20											331	6	3	25000	104305	8	112012	3	0	0			2								
33107	Qin_ProudSkill_1					0.76432	0.7208	0.95336	1.04176	1.25256	3.08448	20											331	7	3	30000	104305	10	112012	5	0	0			2								
33108	Qin_ProudSkill_1					0.82614	0.7791	1.03047	1.12602	1.35387	3.33396	20											331	8	3	32500	104306	5	112013	5	113003	1			3								
33109	Qin_ProudSkill_1					0.88796	0.8374	1.10758	1.21028	1.45518	3.58344	20											331	9	3	37500	104306	8	112013	7	113003	1			3								
33110	Qin_ProudSkill_1					0.9554	0.901	1.1917	1.3022	1.5657	3.8556	20											331	10	3	42500	104306	10	112013	8	113003	2			4								
33111	Qin_ProudSkill_1					1.032675	0.973875	1.288088	1.407525	1.692338	4.16745	20											331	11	3	0	0	0	0	0	0	0			4								
33112	Qin_ProudSkill_1					1.12355	1.059576	1.401439	1.531387	1.841263	4.534186	20											331	12	3	0	0	0	0	0	0	0			4								
33113	Qin_ProudSkill_1					1.214426	1.145277	1.514791	1.655249	1.990189	4.900921	20											331	13	3	0	0	0	0	0	0	0			4								
33114	Qin_ProudSkill_1					1.305301	1.230978	1.628143	1.779112	2.139115	5.267657	20											331	14	3	0	0	0	0	0	0	0			4								
33115	Qin_ProudSkill_1					1.404438	1.32447	1.751799	1.914234	2.301579	5.667732	20											331	15	3	0	0	0	0	0	0	0			4								
33201	Qin_ProudSkill_2					2.92	20	5	6														332	1	3	0	0	0	0	0	0	0			0								
33202	Qin_ProudSkill_2					3.139	20	5	6														332	2	3	7500	104304	2	112011	1	0	0			0								
33203	Qin_ProudSkill_2					3.358	20	5	6														332	3	3	12500	104304	4	112011	2	0	0			0								
33204	Qin_ProudSkill_2					3.65	20	5	6														332	4	3	17500	104304	8	112011	4	0	0			1								
33205	Qin_ProudSkill_2					3.869	20	5	6														332	5	3	20000	104305	5	112012	2	0	0			1								
33206	Qin_ProudSkill_2					4.088	20	5	6														332	6	3	25000	104305	8	112012	3	0	0			2								
33207	Qin_ProudSkill_2					4.38	20	5	6														332	7	3	30000	104305	10	112012	5	0	0			2								
33208	Qin_ProudSkill_2					4.672	20	5	6														332	8	3	32500	104306	5	112013	5	113003	1			3								
33209	Qin_ProudSkill_2					4.964	20	5	6														332	9	3	37500	104306	8	112013	7	113003	1			3								
33210	Qin_ProudSkill_2					5.256	20	5	6														332	10	3	42500	104306	10	112013	8	113003	2			4								
33211	Qin_ProudSkill_2					5.548	20	5	6														332	11	3	0	0	0	0	0	0	0			4								
33212	Qin_ProudSkill_2					5.84	20	5	6														332	12	3	0	0	0	0	0	0	0			4								
33213	Qin_ProudSkill_2					6.205	20	5	6														332	13	3	0	0	0	0	0	0	0			4								
33214	Qin_ProudSkill_2					6.57	20	5	6														332	14	3	0	0	0	0	0	0	0			4								
33215	Qin_ProudSkill_2					6.935	20	5	6														332	15	3	0	0	0	0	0	0	0			4								
33901	Qin_ProudSkill_3					3.072	0.416	0.344	0.0258	20	90												339	1	3	0	0	0	0	0	0	0			0								
33902	Qin_ProudSkill_3					3.3024	0.4472	0.36	0.027	20	90												339	2	3	7500	104304	2	112011	1	0	0			0								
33903	Qin_ProudSkill_3					3.5328	0.4784	0.376	0.0282	20	90												339	3	3	12500	104304	4	112011	2	0	0			0								
33904	Qin_ProudSkill_3					3.84	0.52	0.4	0.03	20	90												339	4	3	17500	104304	8	112011	4	0	0			1								
33905	Qin_ProudSkill_3					4.0704	0.5512	0.416	0.0312	20	90												339	5	3	20000	104305	5	112012	2	0	0			1								
33906	Qin_ProudSkill_3					4.3008	0.5824	0.432	0.0324	20	90												339	6	3	25000	104305	8	112012	3	0	0			2								
33907	Qin_ProudSkill_3					4.608	0.624	0.456	0.0342	20	90												339	7	3	30000	104305	10	112012	5	0	0			2								
33908	Qin_ProudSkill_3					4.9152	0.6656	0.48	0.036	20	90												339	8	3	32500	104306	5	112013	5	113003	1			3								
33909	Qin_ProudSkill_3					5.2224	0.7072	0.504	0.0378	20	90												339	9	3	37500	104306	8	112013	7	113003	1			3								
33910	Qin_ProudSkill_3					5.5296	0.7488	0.528	0.0396	20	90												339	10	3	42500	104306	10	112013	8	113003	2			4								
33911	Qin_ProudSkill_3					5.8368	0.7904	0.552	0.0414	20	90												339	11	3	0	0	0	0	0	0	0			4								
33912	Qin_ProudSkill_3					6.144	0.832	0.576	0.0432	20	90												339	12	3	0	0	0	0	0	0	0			4								
33913	Qin_ProudSkill_3					6.528	0.884	0.6	0.045	20	90												339	13	3	0	0	0	0	0	0	0			4								
33914	Qin_ProudSkill_3					6.912	0.936	0.624	0.0468	20	90												339	14	3	0	0	0	0	0	0	0			4								
33915	Qin_ProudSkill_3					7.296	0.988	0.648	0.0486	20	90												339	15	3	0	0	0	0	0	0	0			4								
41101		41	0.05	51	0.025	0.05	0.025																411	1	1	0	0	0	0	0	0	0			0								
41102		41	0.054	51	0.027	0.054	0.027																411	2	1	7500	104307	2	112002	1	0	0			0								
41103		41	0.058	51	0.029	0.058	0.029																411	3	1	12500	104307	4	112002	2	0	0			0								
41104		41	0.064	51	0.032	0.064	0.032																411	4	1	17500	104307	8	112002	4	0	0			1								
41105		41	0.068	51	0.034	0.068	0.034																411	5	1	20000	104308	5	112003	2	0	0			1								
41106		41	0.072	51	0.036	0.072	0.036																411	6	1	25000	104308	8	112003	3	0	0			2								
41107		41	0.08	51	0.04	0.08	0.04																411	7	1	30000	104308	10	112003	5	0	0			2								
41108		41	0.085	51	0.0425	0.085	0.0425																411	8	1	32500	104309	5	112004	5	113004	1			3								
41109		41	0.09	51	0.045	0.09	0.045																411	9	1	37500	104309	8	112004	7	113004	1			3								
41110		41	0.1	51	0.05	0.1	0.05																411	10	1	42500	104309	10	112004	8	113004	2			4								
42101	Lisa_PermanentSkill_1					0.7																	421	1	2	0	0	0	0	0	0	0			1								
42201	Lisa_PermanentSkill_2					0.15	10																422	1	2	0	0	0	0	0	0	0			3								
42301						0.2																	423	1	2	0	0	0	0	0	0	0			0	2	2000	4	1				
43101	Lisa_SkillUpgrade_1					0.396	0.3592	0.428	0.5496	1.7712	50												431	1	3	0	0	0	0	0	0	0			0								
43102	Lisa_SkillUpgrade_1					0.4257	0.38614	0.4601	0.59082	1.90404	50												431	2	3	7500	104307	2	112002	1	0	0			0								
43103	Lisa_SkillUpgrade_1					0.4554	0.41308	0.4922	0.63204	2.03688	50												431	3	3	12500	104307	4	112002	2	0	0			0								
43104	Lisa_SkillUpgrade_1					0.495	0.449	0.535	0.687	2.214	50												431	4	3	17500	104307	8	112002	4	0	0			1								
43105	Lisa_SkillUpgrade_1					0.5247	0.47594	0.5671	0.72822	2.34684	50												431	5	3	20000	104308	5	112003	2	0	0			1								
43106	Lisa_SkillUpgrade_1					0.5544	0.50288	0.5992	0.76944	2.47968	50												431	6	3	25000	104308	8	112003	3	0	0			2								
43107	Lisa_SkillUpgrade_1					0.594	0.5388	0.642	0.8244	2.6568	50												431	7	3	30000	104308	10	112003	5	0	0			2								
43108	Lisa_SkillUpgrade_1					0.6336	0.57472	0.6848	0.87936	2.83392	50												431	8	3	32500	104309	5	112004	5	113004	1			3								
43109	Lisa_SkillUpgrade_1					0.6732	0.61064	0.7276	0.93432	3.01104	50												431	9	3	37500	104309	8	112004	7	113004	1			3								
43110	Lisa_SkillUpgrade_1					0.7128	0.64656	0.7704	0.98928	3.18816	50												431	10	3	42500	104309	10	112004	8	113004	2			4								
43111	Lisa_SkillUpgrade_1					0.753984	0.683917	0.814912	1.046438	3.372365	50												431	11	3	0	0	0	0	0	0	0			4								
43112	Lisa_SkillUpgrade_1					0.80784	0.732768	0.87312	1.121184	3.613248	50												431	12	3	0	0	0	0	0	0	0			4								
43113	Lisa_SkillUpgrade_1					0.861696	0.781619	0.931328	1.19593	3.854131	50												431	13	3	0	0	0	0	0	0	0			4								
43114	Lisa_SkillUpgrade_1					0.915552	0.83047	0.989536	1.270675	4.095014	50												431	14	3	0	0	0	0	0	0	0			4								
43115	Lisa_SkillUpgrade_1					0.969408	0.879322	1.047744	1.345421	4.335898	50												431	15	3	0	0	0	0	0	0	0			4								
43201	Lisa_SkillUpgrade_2					3.2	3.68	4.24	4.88	16	0.8	1											432	1	3	0	0	0	0	0	0	0			0								
43202	Lisa_SkillUpgrade_2					3.44	3.956	4.558	5.246	16	0.86	1											432	2	3	7500	104307	2	112002	1	0	0			0								
43203	Lisa_SkillUpgrade_2					3.68	4.232	4.876	5.612	16	0.92	1											432	3	3	12500	104307	4	112002	2	0	0			0								
43204	Lisa_SkillUpgrade_2					4	4.6	5.3	6.1	16	1	1											432	4	3	17500	104307	8	112002	4	0	0			1								
43205	Lisa_SkillUpgrade_2					4.24	4.876	5.618	6.466	16	1.06	1											432	5	3	20000	104308	5	112003	2	0	0			1								
43206	Lisa_SkillUpgrade_2					4.48	5.152	5.936	6.832	16	1.12	1											432	6	3	25000	104308	8	112003	3	0	0			2								
43207	Lisa_SkillUpgrade_2					4.8	5.52	6.36	7.32	16	1.2	1											432	7	3	30000	104308	10	112003	5	0	0			2								
43208	Lisa_SkillUpgrade_2					5.12	5.888	6.784	7.808	16	1.28	1											432	8	3	32500	104309	5	112004	5	113004	1			3								
43209	Lisa_SkillUpgrade_2					5.44	6.256	7.208	8.296	16	1.36	1											432	9	3	37500	104309	8	112004	7	113004	1			3								
43210	Lisa_SkillUpgrade_2					5.76	6.624	7.632	8.784	16	1.44	1											432	10	3	42500	104309	10	112004	8	113004	2			4								
43211	Lisa_SkillUpgrade_2					6.08	6.992	8.056	9.272	16	1.52	1											432	11	3	0	0	0	0	0	0	0			4								
43212	Lisa_SkillUpgrade_2					6.4	7.36	8.48	9.76	16	1.6	1											432	12	3	0	0	0	0	0	0	0			4								
43213	Lisa_SkillUpgrade_2					6.8	7.82	9.01	10.37	16	1.7	1											432	13	3	0	0	0	0	0	0	0			4								
43214	Lisa_SkillUpgrade_2					7.2	8.28	9.54	10.98	16	1.8	1											432	14	3	0	0	0	0	0	0	0			4								
43215	Lisa_SkillUpgrade_2					7.6	8.74	10.07	11.59	16	1.9	1											432	15	3	0	0	0	0	0	0	0			4								
43901	Lisa_SkillUpgrade_3					0.2816	15	15	60														439	1	3	0	0	0	0	0	0	0			0								
43902	Lisa_SkillUpgrade_3					0.30272	15	15	60														439	2	3	7500	104307	2	112002	1	0	0			0								
43903	Lisa_SkillUpgrade_3					0.32384	15	15	60														439	3	3	12500	104307	4	112002	2	0	0			0								
43904	Lisa_SkillUpgrade_3					0.352	15	15	60														439	4	3	17500	104307	8	112002	4	0	0			1								
43905	Lisa_SkillUpgrade_3					0.37312	15	15	60														439	5	3	20000	104308	5	112003	2	0	0			1								
43906	Lisa_SkillUpgrade_3					0.39424	15	15	60														439	6	3	25000	104308	8	112003	3	0	0			2								
43907	Lisa_SkillUpgrade_3					0.4224	15	15	60														439	7	3	30000	104308	10	112003	5	0	0			2								
43908	Lisa_SkillUpgrade_3					0.45056	15	15	60														439	8	3	32500	104309	5	112004	5	113004	1			3								
43909	Lisa_SkillUpgrade_3					0.47872	15	15	60														439	9	3	37500	104309	8	112004	7	113004	1			3								
43910	Lisa_SkillUpgrade_3					0.50688	15	15	60														439	10	3	42500	104309	10	112004	8	113004	2			4								
43911	Lisa_SkillUpgrade_3					0.53504	15	15	60														439	11	3	0	0	0	0	0	0	0			4								
43912	Lisa_SkillUpgrade_3					0.5632	15	15	60														439	12	3	0	0	0	0	0	0	0			4								
43913	Lisa_SkillUpgrade_3					0.5984	15	15	60														439	13	3	0	0	0	0	0	0	0			4								
43914	Lisa_SkillUpgrade_3					0.6336	15	15	60														439	14	3	0	0	0	0	0	0	0			4								
43915	Lisa_SkillUpgrade_3					0.6688	15	15	60														439	15	3	0	0	0	0	0	0	0			4								
71101		3	0.035	54	0.025	0.035	0.025																711	1	1	0	0	0	0	0	0	0			0								
71102		3	0.0378	54	0.027	0.0378	0.027																711	2	1	7500	104301	2	112008	1	0	0			0								
71103		3	0.0406	54	0.029	0.0406	0.029																711	3	1	12500	104304	4	112008	2	0	0			0								
71104		3	0.0448	54	0.032	0.0448	0.032																711	4	1	17500	104307	8	112008	4	0	0			1								
71105		3	0.0476	54	0.034	0.0476	0.034																711	5	1	20000	104302	5	112009	2	0	0			1								
71106		3	0.0504	54	0.036	0.0504	0.036																711	6	1	25000	104305	8	112009	3	0	0			2								
71107		3	0.056	54	0.04	0.056	0.04																711	7	1	30000	104308	10	112009	5	0	0			2								
71108		3	0.0595	54	0.0425	0.0595	0.0425																711	8	1	32500	104303	5	112010	5	113005	1			3								
71109		3	0.063	54	0.045	0.063	0.045																711	9	1	37500	104306	8	112010	7	113005	1			3								
71110		3	0.07	54	0.05	0.07	0.05																711	10	1	42500	104309	10	112010	8	113005	2			4								
72101	Player_Wind_PermanentSkill_1																						721	1	2	0	0	0	0	0	0	0			1								
72201	Player_Wind_PermanentSkill_2																						722	1	2	0	0	0	0	0	0	0			3								
73001	PlayerBoy_Common_SkillUpgrade_1					0.44462	0.4343	0.52976	0.58308	0.70778	0.559	0.60716	20										730	1	3	0	0	0	0	0	0	0			0								
73002	PlayerBoy_Common_SkillUpgrade_1					0.48081	0.46965	0.57288	0.63054	0.76539	0.6045	0.65658	20										730	2	3	7500	104301	2	112008	1	0	0			0								
73003	PlayerBoy_Common_SkillUpgrade_1					0.517	0.505	0.616	0.678	0.823	0.65	0.706	20										730	3	3	12500	104304	4	112008	2	0	0			0								
73004	PlayerBoy_Common_SkillUpgrade_1					0.5687	0.5555	0.6776	0.7458	0.9053	0.715	0.7766	20										730	4	3	17500	104307	8	112008	4	0	0			1								
73005	PlayerBoy_Common_SkillUpgrade_1					0.60489	0.59085	0.72072	0.79326	0.96291	0.7605	0.82602	20										730	5	3	20000	104302	5	112009	2	0	0			1								
73006	PlayerBoy_Common_SkillUpgrade_1					0.64625	0.63125	0.77	0.8475	1.02875	0.8125	0.8825	20										730	6	3	25000	104305	8	112009	3	0	0			2								
73007	PlayerBoy_Common_SkillUpgrade_1					0.70312	0.6868	0.83776	0.92208	1.11928	0.884	0.96016	20										730	7	3	30000	104308	10	112009	5	0	0			2								
73008	PlayerBoy_Common_SkillUpgrade_1					0.75999	0.74235	0.90552	0.99666	1.20981	0.9555	1.03782	20										730	8	3	32500	104303	5	112010	5	113005	1			3								
73009	PlayerBoy_Common_SkillUpgrade_1					0.81686	0.7979	0.97328	1.07124	1.30034	1.027	1.11548	20										730	9	3	37500	104306	8	112010	7	113005	1			3								
73010	PlayerBoy_Common_SkillUpgrade_1					0.8789	0.8585	1.0472	1.1526	1.3991	1.105	1.2002	20										730	10	3	42500	104309	10	112010	8	113005	2			4								
73011	PlayerBoy_Common_SkillUpgrade_1					0.94094	0.9191	1.12112	1.23396	1.49786	1.183	1.28492	20										730	11	3	0	0	0	0	0	0	0			4								
73012	PlayerBoy_Common_SkillUpgrade_1					1.00298	0.9797	1.19504	1.31532	1.59662	1.261	1.36964	20										730	12	3	0	0	0	0	0	0	0			4								
73013	PlayerBoy_Common_SkillUpgrade_1					1.06502	1.0403	1.26896	1.39668	1.69538	1.339	1.45436	20										730	13	3	0	0	0	0	0	0	0			4								
73014	PlayerBoy_Common_SkillUpgrade_1					1.12706	1.1009	1.34288	1.47804	1.79414	1.417	1.53908	20										730	14	3	0	0	0	0	0	0	0			4								
73015	PlayerBoy_Common_SkillUpgrade_1					1.1891	1.1615	1.4168	1.5594	1.8929	1.495	1.6238	20										730	15	3	0	0	0	0	0	0	0			4								
73101	PlayerGirl_Common_SkillUpgrade_1					0.44462	0.4343	0.52976	0.58308	0.70778	0.559	0.60716	20										731	1	3	0	0	0	0	0	0	0			0								
73102	PlayerGirl_Common_SkillUpgrade_1					0.48081	0.46965	0.57288	0.63054	0.76539	0.6045	0.65658	20										731	2	3	7500	104301	2	112008	1	0	0			0								
73103	PlayerGirl_Common_SkillUpgrade_1					0.517	0.505	0.616	0.678	0.823	0.65	0.706	20										731	3	3	12500	104304	4	112008	2	0	0			0								
73104	PlayerGirl_Common_SkillUpgrade_1					0.5687	0.5555	0.6776	0.7458	0.9053	0.715	0.7766	20										731	4	3	17500	104307	8	112008	4	0	0			1								
73105	PlayerGirl_Common_SkillUpgrade_1					0.60489	0.59085	0.72072	0.79326	0.96291	0.7605	0.82602	20										731	5	3	20000	104302	5	112009	2	0	0			1								
73106	PlayerGirl_Common_SkillUpgrade_1					0.64625	0.63125	0.77	0.8475	1.02875	0.8125	0.8825	20										731	6	3	25000	104305	8	112009	3	0	0			2								
73107	PlayerGirl_Common_SkillUpgrade_1					0.70312	0.6868	0.83776	0.92208	1.11928	0.884	0.96016	20										731	7	3	30000	104308	10	112009	5	0	0			2								
73108	PlayerGirl_Common_SkillUpgrade_1					0.75999	0.74235	0.90552	0.99666	1.20981	0.9555	1.03782	20										731	8	3	32500	104303	5	112010	5	113005	1			3								
73109	PlayerGirl_Common_SkillUpgrade_1					0.81686	0.7979	0.97328	1.07124	1.30034	1.027	1.11548	20										731	9	3	37500	104306	8	112010	7	113005	1			3								
73110	PlayerGirl_Common_SkillUpgrade_1					0.8789	0.8585	1.0472	1.1526	1.3991	1.105	1.2002	20										731	10	3	42500	104309	10	112010	8	113005	2			4								
