对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
2100803	2			1	2100802	2							5		210080301	2428	21008
2100810	2			1	2100810	2							5		210081001	2428	21008
2100900	2	1		1	2100900	2							9	2100990	210090000	2430	21009
2100990		1											9	2100901,2100902	210099000	2430	21009
2100991	2	1		1	2100910	2							9	2100901,2100902	210099001	2430	21009
2100901		1											9		210090101	2430	21009
2100902		1											9		210090201	2430	21009
2100920	2	1	1	19	7		1	2100920	2				9		210092001	2430	21009
2100930	2	1		1	2100930	2							9		210093001	2430	21009
2101101	2	1	1	1	2101101	3	1	2101102	2				1		210110101	20033	
2101102	2	1		19	2101110		1	2101102	3				2		210110201	20033	
2101104	2	1		19	2101105		1	2101110	3				3		210110401	20033	
2101105	2	1		19	2101106		1	2101105	3				4		210110501	20033	
2101106	2	1		19	2101107		1	2101106	3				5		210110601	20033	
2101107	2	1		19	2101108		1	2101107	3				6		210110701	20033	
2101108	2	1		19	2101109		1	2101108	3				7		210110801	20033	
2101103	2	1	1	1	2101101	3	1	2101103	3				8		210110301	20033	
2101000	2	1		1	2101201	3							8		210100001	20029	21010
2101001	2	1		1	2101202	3							7		210100101	20029	21010
2101002	2	1		1	2101209	3							6		210100201	20029	21010
2101200	2			1	2101501	2							5	2101201,2101202	210120001	2311	21015
2101201													4	2101204,2101205	210120101	2311	21015
2101202													4	2101204,2101205	210120201	2311	21015
2101203	2			1	2101502	2							2		210120301	2311	21015
2101204													3	2101206	210120401	2311	21015
2101205													3	2101206	210120501	2311	21015
2101206													1		210120601	2311	21015
2102000	2			1	2102000	2							5		210200001	20043	21020
2102020	2			1	2102020	2							5	2102021,2102022,2102023	210202001	20046	21020
2102021				1	2102020	2							5		210202101	20046	21020
2102022				1	2102020	2							5		210202201	20046	21020
2102023				1	2102020	2							5		210202301	20046	21020
2000001	2	1											5	2000002,2000003,2000004	200000101	20003	
2000002	2	1												2000006	200000201	20003	
2000003	2	1												2000005	200000301	20003	
2000004	2	1												2000016	200000401	20003	
2000005	2	1												2000002,2000003,2000004	200000501	20003	
2000006	2	1												2000007,2000012,2000014	200000601	20003	
2000007	2	1												2000008,2000009,2000010,2000011	200000701	20003	
2000008	2	1		1	2000001	2									200000801	20003	
2000009	2	1		1	2000003	2									200000901	20003	
2000010	2	1		1	2000005	2									200001001	20003	
2000011	2	1		1	2000006	3									200001101	20003	
2000012	2	1		1	2000006	3								2000013	200001201	20003	
2000013	2	1												2000007,2000012,2000014	200001301	20003	
2000014	2	1												2000015	200001401	20003	
2000015	2	1												2000002,2000003,2000004	200001501	20003	
2000016	2	1													200001601	20003	
2000017	2	1	2	1	2000002	2	1	2000004	2	1	2000006	2			200001701	20003	
2000301	2	1											5	2000302,2000303,2000304	200030101	2000302	
2000302	2	1												2000306	200030201	2000302	
2000303	2	1												2000305	200030301	2000302	
2000304	2	1												2000316	200030401	2000302	
2000305	2	1												2000302,2000303,2000304	200030501	2000302	
2000306	2	1												2000307,2000312,2000314	200030601	2000302	
2000307	2	1												2000308,2000309,2000310,2000311	200030701	2000302	
2000308	2	1		1	2000301	2									200030801	2000302	
2000309	2	1		1	2000303	2									200030901	2000302	
2000310	2	1		1	2000305	2									200031001	2000302	
2000311	2	1		1	2000306	3									200031101	2000302	
2000312	2	1		1	2000306	3								2000313	200031201	2000302	
2000313	2	1												2000307,2000312,2000314	200031301	2000302	
2000314	2	1												2000315	200031401	2000302	
2000315	2	1												2000302,2000303,2000314	200031501	2000302	
2000316	2	1													200031601	2000302	
2000317	2	1	2	1	2000302	2	1	2000304	2	1	2000306	2			200031701	2000302	
2000401	2	1		1	2000401	2							5	2000405,2000406,2000407	200040101	2000303	
2000402	2	1		1	2000403	2							5	2000405,2000406,2000407	200040201	2000303	
2000403	2	1		1	2000405	2							5	2000405,2000406,2000407	200040301	2000303	
2000404	2	1		1	2000406	3							5	2000405,2000406,2000407	200040401	2000303	
2000405	2	1													200040501	2000303	
2000406	2	1													200040601	2000303	
2000407	2	1													200040701	2000303	
2000408	2	1	2	1	2000402	2	1	2000404	2	1	2000406	2			200040801	2000303	
2101301	2	1		1	2101301	2							4	2101302,2101303	210130101	2310	21013
2101302		1											3		210130201	2310	21013
2101303		1											3		210130301	2310	21013
2101304	2	1		1	2101311	2							2		210130401	2310	21013
2101305	2	1		1	2101399	2							1		210130501	2310	21013
2101601	2	1											5	2101602,2101603,2101604	210160101	20036	
2101602	2	1												2101606	210160201	20036	
2101603	2	1												2101605	210160301	20036	
2101604	2	1												2101616	210160401	20036	
2101605	2	1												2101602,2101603,2101604	210160501	20036	
2101606	2	1												2101607,2101612,2101614	210160601	20036	
2101607	2	1												2101608,2101609,2101610,2101611	210160701	20036	
2101608	2	1		1	2101601	2									210160801	20036	
2101609	2	1		1	2101603	2									210160901	20036	
2101610	2	1		1	2101605	2									210161001	20036	
2101611	2	1		1	2101606	3									210161101	20036	
2101612	2	1		1	2101606	3								2101613	210161201	20036	
2101613	2	1												2101607,2101612,2101614	210161301	20036	
2101614	2	1												2101615	210161401	20036	
2101615	2	1												2101602,2101603,2101604	210161501	20036	
2101616	2	1													210161601	20036	
2101617	2	1	2	1	2101602	2	1	2101604	2	1	2101606	2			210161701	20036	
2101701	2	1											5	2101702,2101703,2101704	210170101	20037	
2101702	2	1												2101706	210170201	20037	
2101703	2	1												2101705	210170301	20037	
2101704	2	1												2101716	210170401	20037	
2101705	2	1												2101702,2101703,2101704	210170501	20037	
2101706	2	1												2101707,2101712,2101714	210170601	20037	
2101707	2	1												2101708,2101709,2101710,2101711	210170701	20037	
2101708	2	1		1	2101701	2									210170801	20037	
2101709	2	1		1	2101703	2									210170901	20037	
2101710	2	1		1	2101705	2									210171001	20037	
2101711	2	1		1	2101706	3									210171101	20037	
2101712	2	1		1	2101706	3								2101713	210171201	20037	
2101713	2	1												2101707,2101712,2101714	210171301	20037	
2101714	2	1												2101715	210171401	20037	
2101715	2	1												2101702,2101703,2101704	210171501	20037	
2101716	2	1													210171601	20037	
2101717	2	1	2	1	2101702	2	1	2101704	2	1	2101706	2			210171701	20037	
2101801	2			1	2101801	2							11	2101802,2101805	210180101	2309	21018
2101802	2			1	2101801	2							10		210180201	2309	21018
2101803	2			1	2101801	2							9		210180301	2309	21018
2101804	2			1	2101801	2							9		210180401	2309	21018
2101805	2			1	2101801	2							10	2101803,2101804	210180501	2309	21018
2101806	2			1	2101801	3							7		210180601	230901	21018
2101807	2			1	2101803	3							8		210180701	230901	21018
2101808	2			1	2101811	3							9		210180801	230901	21018
2101809	2			1	2101801	3							9		210180901	230401	21018
2101810	2			1	2101805	3							10		210181001	230401	21018
2101811	2			1	2101801	3							9		210181101	230301	21018
2101812	2			1	2101807	3							10		210181201	230301	21018
2101813	2			1	2101801	3							9		210181301	230801	21018
2101814	2			1	2101809	3							10		210181401	230801	21018
2101815	2			1	2101811	3							11		210181501	230401	21018
2101816	2			1	2101811	3							11		210181601	230301	21018
2101817	2			1	2101811	3							11		210181701	230801	21018
2200001	2			1	2200001	2							6		220000101	203101	22000
2200002				1	2200002	2							6		220000201	203101	22000
2200007				1	2200002	2							6		220000701	203101	22000
2200003	2			1	2200004	2							6		220000301	203101	22000
2200004	2			1	2200002	2							6	2200002,2200007	220000401	203101	22000
2200005	2			1	2200003	2							6		220000501	203101	22000
2200101	2			1	2200101	2							6		220010101	203001	22001
2200102	2			1	2200102	2							6	2200106,2200109	220010201	203001	22001
2200103	2			1	2200106	2							6		220010301	203101	22001
2200104	2		1	1	2200105	2	3	100026	2				6		220010401	207401	22001
2200106				1	2200102	2							6		220010601	203101	22001
2200107	2			1	2200104	2							6		220010701	203101	22001
2200108	2			1	2200104	2							6		220010801	207401	22001
2200109				1	2200102	2							6		220010901	203001	22001
2200201	2			1	2200201	2							6		220020101	203101	22002
2200202				1	2200202	2							6		220020201	207401	22002
2200203	2		1	1	2200204	2	3	100026	2				6		220020301	207401	22002
2200204	2			1	2200202	2							6	2200202,2200207	220020401	207401	22002
2200205	2			1	2200203	2							6		220020501	207401	22002
2200207				1	2200202	2							6		220020701	207401	22002
2200301	2			1	2200301	2							3		220030101	220401	22003
2200302	2		1	1	2200302	2	19	2200302					3		220030201	220401	22003
2200303	2			1	2200303	2							3		220030301	220401	22003
2200304	2			1	2200304	2							3		220030401	220401	22003
2200305	2		1	1	2200304	2	3	100376	1				3		220030501	220101	22003
2200306	2			1	2200305	2							3		220030601	220401	22003
2200307	2			1	2200305	2							3		220030701	220101	22003
2200401	2			1	2200401	2							3		220040101	220101	22004
2200402													3		220040201	220101	22004
2200403	2			1	2200405	2							3		220040301	220101	22004
