挑战组合ID	LevelEntityConfig
1118	LevelEntity_ElementAddHurt_Electric
1119	Level_Electric_Test
1119	LevelEntity_ElementAddHurt_Electric
1120	LevelEntity_ElementAddHurt_Electric
1121	Level_Stream_Test
1121	Level_Melt_Test
1122	Level_Stream_Test
1122	Level_Melt_Test
1122	LevelEntity_ElementBeHurtDamageUp_Fire
1123	LevelEntity_ElementAddHurt_Ice
1123	Level_Freeze_Test
1124	LevelEntity_ElementAddHurt_Ice
1124	LevelEntity_ElementAddHurt_Water
1125	Level_Melt_Test
1126	Level_Avatar_DefenseDown
1126	Level_Swril_Test
1127	LevelEntity_PhysicalAddHurt
1127	LevelEntity_Avatar_CriticalUp
1128	LevelEntity_PhysicalAddHurt
1128	LevelEntity_Avatar_CriticalUp
1129	LevelEntity_PhysicalAddHurt
1129	LevelEntity_Avatar_CriticalUp
1130	LevelEntity_Monster_HpUp
1131	LevelEntity_Monster_HpUp
1131	LevelEntity_Monster_AttackUp
1132	LevelEntity_Monster_HpUp
1133	LevelEntity_Monster_AttackUp
1134	LevelEntity_Monster_AttackUp
1135	LevelEntity_Monster_HpUp
1135	LevelEntity_Monster_AttackUp
1136	LevelEntity_Monster_HpUp
1137	LevelEntity_Monster_HpUp
1137	LevelEntity_Monster_AttackUp
1138	LevelEntity_Monster_HpUp
1139	LevelEntity_Monster_HpUp
1139	LevelEntity_Monster_AttackUp
1140	Level_Swril_Test
1140	LevelEntity_ElementAddHurt_Wind
1141	LevelEntity_ElementAddHurt_Electric
1141	Level_Electric_Test
1142	LevelEntity_ElementAddHurt_Rock
1142	Level_Freeze_Test
1142	LevelEntity_ClaymoreAddHurt
1143	Level_Stream_Test
1143	LevelEntity_ElementAddHurt_Water
1143	LevelEntity_ElementAddHurt_Fire
1144	Level_Superconductor_Test
1144	LevelEntity_ElementAddHurt_Electric
1144	LevelEntity_ElementAddHurt_Ice
1150	LevelEntity_ElementAddHurt_Fire
1150	Level_Explode_Test
1151	LevelEntity_ElementAddHurt_Ice
1151	Level_Freeze_Test
1152	LevelEntity_ElementAddHurt_Electric
1152	Level_Electric_Test
1153	LevelEntity_ElementAddHurt_Fire
1153	LevelEntity_ElementAddHurt_Ice
1153	Level_Melt_Test
1154	LevelEntity_ElementAddHurt_Fire
1154	LevelEntity_ElementAddHurt_Electric
1154	Level_Explode_Test
1155	LevelEntity_Avatar_CriticalHurtUp
1156	LevelEntity_PhysicalAddHurt
