等级	[曲线]1类型	[曲线]1运算	[曲线]1值	[曲线]2类型	[曲线]2运算	[曲线]2值	[曲线]3类型	[曲线]3运算	[曲线]3值	[曲线]4类型	[曲线]4运算	[曲线]4值
75	22	2	7.532	32	2	7.532	21	2	7.925	31	2	7.925
76	22	2	7.64	32	2	7.64	21	2	8.044	31	2	8.044
77	22	2	7.749	32	2	7.749	21	2	8.163	31	2	8.163
78	22	2	7.858	32	2	7.858	21	2	8.283	31	2	8.283
79	22	2	7.966	32	2	7.966	21	2	8.402	31	2	8.402
80	22	2	8.075	32	2	8.075	21	2	8.521	31	2	8.521
81	22	2	8.197	32	2	8.197	21	2	8.657	31	2	8.657
82	22	2	8.319	32	2	8.319	21	2	8.793	31	2	8.793
83	22	2	8.441	32	2	8.441	21	2	8.929	31	2	8.929
84	22	2	8.563	32	2	8.563	21	2	9.065	31	2	9.065
85	22	2	8.686	32	2	8.686	21	2	9.202	31	2	9.202
86	22	2	8.808	32	2	8.808	21	2	9.338	31	2	9.338
87	22	2	8.93	32	2	8.93	21	2	9.474	31	2	9.474
88	22	2	9.052	32	2	9.052	21	2	9.61	31	2	9.61
89	22	2	9.174	32	2	9.174	21	2	9.746	31	2	9.746
90	22	2	9.296	32	2	9.296	21	2	9.882	31	2	9.882
