ID	类型	重量	排序权重	物件ID	可丢弃	使用等级	全局产出上限	数值用类型	武器种类	武器阶数	武器材质	元素类型	金武器	武器初始经验	初始技能词缀1	初始技能词缀2	[属性]1类型	[属性]1初始值	[属性]1成长曲线	[属性]2类型	[属性]2初始值	[属性]2成长曲线	武器突破ID	精炼摩拉消耗	$#VersionBegin	$#VersionEnd
11502	4	1	10	50011502	0			武器	1	5			1	500000	111502		4	43.647606	1301	23	0.1098	2301	11502	2000,4000,8000,16000		
11503	4	1	10	50011503	0			武器	1	5				500000	111303		4	43.647606	1301		0	2301	11503	2000,4000,8000,16000		
11504	4	1	10	50011504	0			武器	1	5				500000	111303		4	43.647606	1301		0	2301	11504	2000,4000,8000,16000		
11505	4	1	10	50011505	0			武器	1	5				500000	111303		4	43.647606	1301		0	2301	11505	2000,4000,8000,16000		
11506	4	1	10	50011506	0			武器	1	5				500000	111303		4	43.647606	1301		0	2301	11506	2000,4000,8000,16000		
11507	4	1	10	50011507	0			武器	1	5				500000	111303		4	43.647606	1301		0	2301	11507	2000,4000,8000,16000		
12101	4	1	10	50012101	0			武器	11	1				600			4	23.861	1101		0	2101	12101			
12201	4	1	10	50012201	0			武器	11	2				1200			4	33.803	1101		0	2101	12201			
12301	4	1	10	50012301	0			武器	11	3				1800	112301		4	39.767941	1101	3	0.0646	2101	12301	500,1000,2000,4000		
12302	4	1	10	50012302	0			武器	11	3				1800	112302		4	38.669565	1104	28	21.526884	2101	12302	500,1000,2000,4000		
12303	4	1	10	50012303	0			武器	11	3				1800	112303		4	40.869614	1102	9	0.053813	2101	12303	500,1000,2000,4000		
12304	4	1	10	50012304	0			武器	11	3				1800	112304		4	39.767941	1101	28	16.1492	2101	12304	500,1000,2000,4000		
12305	4	1	10	50012305	0			武器	11	3				1800	112305		4	39.767941	1101	6	0.0646	2101	12305	500,1000,2000,4000		
12306	4	1	10	50012306	0			武器	11	3				1800	112306		4	39.767941	1101	30	0.097	2101	12306	500,1000,2000,4000		
12401	4	1	10	50012401	0			武器	11	4				100000	112401		4	40.552246	1204	20	0.084512	2201	12401	1000,2000,4000,8000		
12402	4	1	10	50012402	0			武器	11	4				100000	112402		4	41.844453	1201	23	0.0844	2201	12402	1000,2000,4000,8000		
12403	4	1	10	50012403	0			武器	11	4				100000	112403		4	40.552246	1204	3	0.101308	2201	12403	1000,2000,4000,8000		
12404	4	1	10	50012404	0			武器	11	4				100000	112404		4	43.140539	1202	30	0.075924	2201	12404	1000,2000,4000,8000		
12405	4	1	10	50012405	0			武器	11	4				100000	112405		4	41.844453	1201	28	18.999	2201	12405	1000,2000,4000,8000		
12406	4	1	10	50012406	0			武器	11	4				100000	112406		4	43.140539	1202	6	0.050616	2201	12406	1000,2000,4000,8000		
12407	4	1	10	50012407	0			武器	11	4				100000	112407		4	41.844453	1201	9	0.095	2201	12407	1000,2000,4000,8000		
12408	4	1	10	50012408	0			武器	11	4				100000	112408		4	41.844453	1201	22	0.114	2201	12408	1000,2000,4000,8000		
12501	4	1	10	50012501	0			武器	11	5				500000	112501		4	45.332518	1302	23	0.073127	2301	12501	2000,4000,8000,16000		
12502	4	1	10	50012502	0			武器	11	5				500000	112502		4	43.647606	1301	6	0.0988	2301	12502	2000,4000,8000,16000		
12503	4	1	10	50012503	0			武器	11	5				500000	111303		4	45.332518	1302		0	2301	12503	2000,4000,8000,16000		
12504	4	1	10	50012504	0			武器	11	5				500000	111303		4	48.692254	1303		0	2301	12504	2000,4000,8000,16000		
12505	4	1	10	50012505	0			武器	11	5				500000	111303		4	41.967738	1304		0	2301	12505	2000,4000,8000,16000		
12506	4	1	10	50012506	0			武器	11	5				500000	111303		4	41.967738	1304		0	2301	12506	2000,4000,8000,16000		
13101	4	1	10	50013101	0			武器	13	1				600			4	23.861	1101		0	2101	13101			
13201	4	1	10	50013201	0			武器	13	2				1200			4	33.803	1101		0	2101	13201			
13301	4	1	10	50013301	0			武器	13	3				1800	113301		4	39.767941	1101	20	0.0538	2101	13301	500,1000,2000,4000		
13302	4	1	10	50013302	0			武器	13	3				1800	113302		4	40.869614	1102	6	0.043024	2101	13302	500,1000,2000,4000		
13303	4	1	10	50013303	0			武器	13	3				1800	113303		4	38.669565	1104	3	0.086112	2101	13303	500,1000,2000,4000		
13401	4	1	10	50013401	0			武器	13	4				100000	113401		4	40.552246	1204	28	25.325667	2201	13401	1000,2000,4000,8000		
13402	4	1	10	50013402	0			武器	13	4				100000	113402		4	41.844453	1201	23	0.0844	2201	13402	1000,2000,4000,8000		
13403	4	1	10	50013403	0			武器	13	4				100000	113403		4	43.140539	1202	30	0.075924	2201	13403	1000,2000,4000,8000		
13404	4	1	10	50013404	0			武器	13	4				100000	113404		4	41.844453	1201	20	0.0634	2201	13404	1000,2000,4000,8000		
13504	4	1	10	50013504	0			武器	13	5				500000	113504		4	43.647606	1301	6	0.0988	2301	13504	2000,4000,8000,16000		
13505	4	1	10	50013505	0			武器	13	5				500000	113505		4	45.332518	1302	20	0.054878	2301	13505	2000,4000,8000,16000		
13506	4	1	10	50013506	0			武器	13	5				500000	111303		4	41.967738	1304		0	2301	13506	2000,4000,8000,16000		
14101	4	1	10	50014101	0			武器	10	1				600			4	23.861	1101		0	2101	14101			
14201	4	1	10	50014201	0			武器	10	2				1200			4	33.803	1101		0	2101	14201			
14301	4	1	10	50014301	0			武器	10	3				1800	114301		4	38.669565	1104	28	21.526884	2101	14301	500,1000,2000,4000		
14302	4	1	10	50014302	0			武器	10	3				1800	114302		4	38.669565	1104	3	0.086112	2101	14302	500,1000,2000,4000		
14303	4	1	10	50014303	0			武器	10	3				1800	114303		4	39.767941	1101	23	0.0718	2101	14303	500,1000,2000,4000		
14304	4	1	10	50014304	0			武器	10	3				1800	114304		4	40.869614	1102	28	10.755367	2101	14304	500,1000,2000,4000		
14305	4	1	10	50014305	0			武器	10	3				1800	114305		4	40.869614	1102	20	0.035831	2101	14305	500,1000,2000,4000		
14306	4	1	10	50014306	0			武器	10	3				1800	114306		4	39.767941	1101	28	16.1492	2101	14306	500,1000,2000,4000		
14401	4	1	10	50014401	0			武器	10	4				100000	114401		4	41.844453	1201	23	0.0844	2201	14401	1000,2000,4000,8000		
14402	4	1	10	50014402	0			武器	10	4				100000	114402		4	41.844453	1201	22	0.114	2201	14402	1000,2000,4000,8000		
14403	4	1	10	50014403	0			武器	10	4				100000	114403		4	40.552246	1204	28	25.325667	2201	14403	1000,2000,4000,8000		
14404	4	1	10	50014404	0			武器	10	4				100000	114404		4	43.140539	1202	6	0.050616	2201	14404	1000,2000,4000,8000		
14405	4	1	10	50014405	0			武器	10	4				100000	114405		4	41.844453	1201	20	0.0634	2201	14405	1000,2000,4000,8000		
14406	4	1	10	50014406	0			武器	10	4				100000	114406		4	40.552246	1204	3	0.101308	2201	14406	1000,2000,4000,8000		
14407	4	1	10	50014407	0			武器	10	4				100000	114407		4	43.140539	1202	28	12.653334	2201	14407	1000,2000,4000,8000		
14408	4	1	10	50014408	0			武器	10	4				100000	114408		4	41.844453	1201	23	0.0844	2201	14408	1000,2000,4000,8000		
14501	4	1	10	50014501	0			武器	10	5				500000	114501		4	45.332518	1302	6	0.065801	2301	14501	2000,4000,8000,16000		
14502	4	1	10	50014502	0			武器	10	5				500000	114502		4	43.647606	1301	20	0.0824	2301	14502	2000,4000,8000,16000		
14503	4	1	10	50014503	0			武器	10	5				500000	111303		4	45.332518	1302		0	2301	14503	2000,4000,8000,16000		
14504	4	1	10	50014504	0			武器	10	5				500000	111303		4	48.692254	1303		0	2301	14504	2000,4000,8000,16000		
14505	4	1	10	50014505	0			武器	10	5				500000	111303		4	41.967738	1304		0	2301	14505	2000,4000,8000,16000		
14506	4	1	10	50014506	0			武器	10	5				500000	111303		4	41.967738	1304		0	2301	14506	2000,4000,8000,16000		
15101	4	1	10	50015101	0			武器	12	1				600			4	23.861	1101		0	2101	15101			
15201	4	1	10	50015201	0			武器	12	2				1200			4	33.803	1101		0	2101	15201			
15301	4	1	10	50015301	0			武器	12	3				1800	115301		4	40.869614	1102	28	10.755367	2101	15301	500,1000,2000,4000		
15302	4	1	10	50015302	0			武器	12	3				1800	115302		4	39.767941	1101	22	0.097	2101	15302	500,1000,2000,4000		
15303	4	1	10	50015303	0			武器	12	3				1800	115303		4	38.669565	1104	3	0.086112	2101	15303	500,1000,2000,4000		
15304	4	1	10	50015304	0			武器	12	3				1800	115304		4	38.669565	1104	20	0.071715	2101	15304	500,1000,2000,4000		
15305	4	1	10	50015305	0			武器	12	3				1800	115305		4	40.869614	1102	22	0.064602	2101	15305	500,1000,2000,4000		
15306	4	1	10	50015306	0			武器	12	3				1800	115306		4	39.767941	1101	6	0.0646	2101	15306	500,1000,2000,4000		
15401	4	1	10	50015401	0			武器	12	4				100000	115401		4	40.552246	1204	23	0.112505	2201	15401	1000,2000,4000,8000		
15402	4	1	10	50015402	0			武器	12	4				100000	115402		4	41.844453	1201	28	18.999	2201	15402	1000,2000,4000,8000		
15403	4	1	10	50015403	0			武器	12	4				100000	115403		4	43.140539	1202	23	0.05621	2201	15403	1000,2000,4000,8000		
15404	4	1	10	50015404	0			武器	12	4				100000	115404		4	41.844453	1201	20	0.0634	2201	15404	1000,2000,4000,8000		
15405	4	1	10	50015405	0			武器	12	4				100000	115405		4	41.844453	1201	30	0.114	2201	15405	1000,2000,4000,8000		
15406	4	1	10	50015406	0			武器	12	4				100000	115406		4	41.844453	1201	22	0.114	2201	15406	1000,2000,4000,8000		
15407	4	1	10	50015407	0			武器	12	4				100000	115407		4	40.552246	1204	30	0.151962	2201	15407	1000,2000,4000,8000		
15408	4	1	10	50015408	0			武器	12	4				100000	115408		4	43.140539	1202	6	0.050616	2201	15408	1000,2000,4000,8000		
15501	4	1	10	50015501	0			武器	12	5				500000	115501		4	45.332518	1302	20	0.054878	2301	15501	2000,4000,8000,16000		
15502	4	1	10	50015502	0			武器	12	5				500000	115502		4	43.647606	1301	6	0.0988	2301	15502	2000,4000,8000,16000		
15503	4	1	10	50015503	0			武器	12	5				500000	111303		4	45.332518	1302		0	2301	15503	2000,4000,8000,16000		
15504	4	1	10	50015504	0			武器	12	5				500000	111303		4	48.692254	1303		0	2301	15504	2000,4000,8000,16000		
15505	4	1	10	50015505	0			武器	12	5				500000	111303		4	41.967738	1304		0	2301	15505	2000,4000,8000,16000		
15506	4	1	10	50015506	0			武器	12	5				500000	111303		4	40.28787	1305		0	2301	15506	2000,4000,8000,16000		
