ID	组ID	羁绊等级	角色等级ID	任务ID	故事标题$text_name_Title	故事内容$text_name_Story	语音标题$text_name_Audio	语音文件	奖励原石	奖励摩拉	解锁道具1ID	解锁道具1数量	解锁道具2ID	解锁道具2数量
5002	9	2			角色故事1	丽莎的职责，一是整理图书馆中大量藏书，二是保障骑士团的药剂供应。\n蒙德人遇见丽莎的场合，不是去骑士团总部借阅图书，就是去骑士团总部归还图书。\n而丽莎往往会懒洋洋地坐在接待台，打着哈欠帮来客进行登记。\n有时，她的工作状态会让人产生「图书管理员这样子真的没问题吗…」的疑问。\n但丽莎的工作总是完美无缺，挑不出一点纰漏。								
5003	9	3			角色故事2	作为须弥教令院学者居勒什口中「两百年一见」的高材生，丽莎的博学毋须多言。\n无论是荒野妖魔的禁忌知识，还是元素花药的处理方法，抑或是只用两层瓷碗便能减少一次蒸馏过程的酿酒方法…\n丽莎都能简明易懂地解释个中原理，以至于年轻骑士与炼金术士中形成了「丽莎女士一定知道」的共识。\n当然，前提是你要在合适的时间去拜访她。\n如果不小心在上午的回笼觉时间，或者午饭后的茶点时间打扰丽莎，后果可是不堪设想的。								
5004	9	4			角色故事3	初见丽莎的人往往对会她形成「不愧是教令院天才毕业生」的第一印象。\n但实际上，她在生活态度上与其说高效，不如说单纯是因为怕麻烦而倾向于能懒则懒。\n药剂的调配和补充用度的工作通过凯亚丢给了霍夫曼和斯万，每天的药草则是让芙罗拉差唐娜送来。\n唯独书籍跟档案的整理丽莎是必须亲力亲为的。\n只有亲自管理这些知识，丽莎才会安心。								
5005	9	5			角色故事4	丽莎进入西风骑士团时日尚短的时候，曾被团长指派接任第八小队队长一职。\n这件事引来了小队佐官尼姆芙的强烈不满，她并不认可丽莎这么一个「学院派」来担此高位。\n经时任庶务长凯亚批准，丽莎与尼姆芙进行了魔法方面的「实战练习」。\n练习只持续了两分钟，随后，丽莎婉拒了第八小队队长一职，理由是「尼姆芙佐官的能力堪当此任。」\n随后的一年里，不断有来自尼姆芙的队长推荐书放到团长办公桌上，意向栏里只有一个名字：丽莎·敏兹。\n这些推荐书最终转交到丽莎手里，丽莎每次都只能现编理由来推脱。\n她的加入固然能让第八小队变强，但这种强大不仅没有必要，更会增添常人无法理解的风险。\n丽莎有控制大多数局面的自信，可额外的危险意味着额外的工作，这一点上，她绝对无法接受。								
5006	9	6			角色故事5	亲眼目睹须弥雨林中呢喃狂言的学者与评议会中如有大智慧的智者之后，丽莎深深理解了渊海般的「学识」会给人烙下怎样的痕迹。\n代价如此沉重…到底要承担多少，才能从灵魂深处掘出这样的知识呢？\n丽莎对这一切心生反感，离开了须弥。\n从那以后，丽莎不再对任何事物展露出完全认真的态度。\n「对神给予的奇迹要求太多，就要好好想想——神开出的价码，自己到底付不付得起。」\n丽莎回到蒙德后，仅对三名她认为有必要听的人作此告诫。								
5007	9	1			特制加热釜	暂未开放								
5008	9	1			神之眼	暂未开放								
5100	9	1					初次见面…	1000						
5101	9	1					早上好…	1001						
5102	9	1					中午好…	1002						
5103	9	1					晚上好…	1003						
5104	9	1					晚安…	1004						
5105	9	1					闲聊·下午茶	1101						
5106	9	1					闲聊·任务	1102						
5107	9	1					闲聊·不宜出门	1103						
5108	9	1					下雨的时候…	1201						
5109	9	1					打雷的时候…	1202						
5110	9	1					起风的时候…	1203						
5111	9	1					关于丽莎自己…	2001						
5112	9	1					关于我们·关系	2002						
5113	9	6					关于我们·本领	2003						
5114	9	6					关于我们·仪式	2004						
5115	9	4					关于「神之眼」…	3001						
5116	9	1					有什么想要分享…	3002						
5117	9	1					感兴趣的见闻…	3003						
5118	9	4					关于琴…	4001						
5119	9	4					关于安柏…	4002						
5120	9	4					关于芭芭拉…	4003						
5121	9	4					关于迪卢克…	4004						
5122	9	4					关于雷泽…	4005						
5123	9	4					关于可莉…	4006						
5124	9	4					关于莫娜…	4007						
5125	1	4					关于阿贝多…	4008						
5126	9	4					关于菲谢尔…	4009						
5127	9	4					关于诺艾尔…	4010						
5128	9	1					想要了解丽莎·其一	5001						
5129	9	3					想要了解丽莎·其二	5002						
5130	9	4					想要了解丽莎·其三	5003						
5131	9	5					想要了解丽莎·其四	5004						
5132	9	6					想要了解丽莎·其五	5005						
5133	9	1					丽莎的爱好…	6001						
5134	9	1					丽莎的烦恼…	6002						
5135	9	1					喜欢的食物…	6003						
5136	9	1					讨厌的食物…	6004						
5137	1	1					生日…	7001						
5138	9	3					突破的感受·起	8001						
5139	9	4					突破的感受·承	8002						
5140	9	5					突破的感受·转	8003						
5141	9	6					突破的感受·合	8004						
6001	10	1			角色详细	芭芭拉是西风教会的祈礼牧师，同时也是蒙德城的闪耀偶像。\n「只要看到芭芭拉，心情就能变好。」——蒙德城里流传着这样的说法。\n实际上，不只是心情，伤口或者身体不适也能一起治愈。\n人们知道，芭芭拉可以通过水元素的「神之眼」，释放奇妙的魔法。\n但在芭芭拉心中，最神奇的魔法只有「切实的努力」而已。								
6002	10	2			角色故事1	蒙德城里，人人都喜欢芭芭拉。\n其实在最开始，芭芭拉的歌声对于蒙德居民来说十分陌生，甚至让人有些不习惯。\n因为蒙德一直以来流传的歌，大部分都是吟游诗人弹唱的民谣。\n好在蒙德有着「自由」的精神，令人愉快的新事物，可以和喜闻乐见的「传统」一起繁荣。\n人们接受了她的歌声，逐渐被她的活力感染，甚至也开始学着哼唱。\n「艾伯特先生，不要再唱啦！你唱的真的没调子！」								
6003	10	3			角色故事2	可是对于这样的成果，芭芭拉心情复杂。\n偶像的职责就是让大家喜爱自己。这么来看的话，芭芭拉做得很好。\n她的选择并没有错。\n——但是，另一方面，偶像需要去抚慰大家心灵的疲劳，她真的做到了吗？\n她为盲眼的葛罗丽唱了歌，安慰她远去的恋人一定会归来；她为生病的安娜唱了歌，祝福她的疾病一定会被治愈。\n但在歌声结束后，她们脸上的笑容并未停留太久。\n芭芭拉陷入了迷茫之中。								
6004	10	4			角色故事3	芭芭拉从小就是个性格阳光的孩子。尽管她有些笨拙，做事常常失败，也总能飞快振作起来，再试一次。\n与芭芭拉截然相反的「那个人」，也就是她的姐姐，乃是众人口中的「家族骄傲」。\n仿佛是对着字典里「优秀」的解释一般成长起来的姐姐，完全遥不可及。\n芭芭拉最初努力的动机并没有多么伟大，仅仅是想要赢过姐姐一次。\n可是，无论剑术还是学习，她都比不上姐姐。\n一向阳光向上的芭芭拉，对此不免有些失落。\n「努力是最神奇的魔法，但在努力也没有用的时候，应该怎么办呢？」								
6005	10	5			角色故事4	芭芭拉没有想过放弃。\n不如说，她的韧性令她的父亲，「拂晓的枢机卿」西蒙都感到吃惊。\n芭芭拉给自己制定的「失落时间」只有三十秒。\n三十秒过后，无论如何都要重新打起精神来。\n「既然不擅长战斗，那我就来负责后勤吧！」\n在父亲的引导下，芭芭拉成为了一位治疗者。\n伤员和病患是如此痛苦，芭芭拉的善良又是如此闪耀。\n「想获得他人认可」的渴望，不知不觉地变成了「想帮助他人」的简单信念。								
6006	10	6			角色故事5	「谢谢。」这是芭芭拉听到最多的话。\n感到迷茫时，有人握住了她的手。\n「你的陪伴，让我感觉好多了。」\n对于芭芭拉来说，大家脸上重新洋溢出的笑容，就是她最好的奖章。\n所以，在夜里按摩着肿疼的小腿，或者咕嘟咕嘟喝着护嗓子的杏白茶时，芭芭拉都会想起每一个向她投以善意的人。\n「我也是在大家的鼓励下前进的！」\n而且，那个笑容说不定正是健康的证明——歌声也许真的能够将人们治愈。\n至于那份想要超越姐姐，成为全蒙德的人气第一的小小好胜心，并没有被芭芭拉摒弃，而是被她藏进了最深的心底。\n「如果能够变得更加优秀，也许就能为姐姐分担一点责任了吧。」\n她是这样想的。\n「唔唔…芭芭拉冲呀！」								
6007	10	1			艾莉丝的偶像杂志	暂未开放								
6008	10	1			神之眼	暂未开放								
6100	10	1					初次见面…	1000						
6101	10	1					早上好…	1001						
6102	10	1					中午好…	1002						
6103	10	1					晚上好…	1003						
6104	10	1					晚安…	1004						
6105	10	1					闲聊·犯困	1101						
6106	10	1					闲聊·激励	1102						
6107	10	1					闲聊·提神秘诀	1103						
6108	10	1					下雨的时候…	1201						
6109	10	1					打雷的时候…	1202						
6110	10	1					下雪的时候…	1203						
6111	10	1					阳光很好…	1204						
6112	10	1					刮大风了…	1205						
6113	10	1					关于芭芭拉自己…	2001						
6114	10	1					关于我们·愿望	2002						
6115	10	6					关于我们·梦想	2003						
6116	10	4					关于「神之眼」…	3001						
6117	10	1					有什么想要分享…	3002						
6118	10	1					感兴趣的见闻…	3003						
6119	10	4					关于琴…	4001						
6120	10	4					关于丽莎…	4002						
6121	10	4					关于安柏…	4003						
6122	10	4					关于迪卢克…	4004						
6123	10	4					关于温迪…	4005						
6124	10	4					关于班尼特…	4006						
6125	10	4					关于法尔伽…	4007						
6126	10	4					关于罗莎莉亚…	4008						
6127	10	1					想要了解芭芭拉·其一	5001						
6128	10	3					想要了解芭芭拉·其二	5002						
6129	10	4					想要了解芭芭拉·其三	5003						
6130	10	5					想要了解芭芭拉·其四	5004						
6131	10	6					想要了解芭芭拉·其五	5005						
6132	10	1					芭芭拉的爱好…	6001						
6133	10	1					芭芭拉的烦恼…	6002						
6134	10	1					喜欢的食物…	6003						
6135	10	1					讨厌的食物…	6004						
6136	1	1					生日…	7001						
6137	10	3					突破的感受·起	8001						
6138	10	4					突破的感受·承	8002						
6139	10	5					突破的感受·转	8003						
6140	10	6					突破的感受·合	8004						
7001	11	1			角色详细	凯亚·亚尔伯里奇，酒业大亨「莱艮芬德」家的义子。\n他已很久没有称呼迪卢克·莱艮芬德为「义兄」了。\n目前他担任西风骑士团的骑兵队长，是一位可靠的行动派、深得琴信任的人物。\n在蒙德这座城邦的范围之内，但凡发生了什么突发事件，凯亚总会是那个收尾善后的人。								
7002	11	2			角色故事1	说来有趣，最容易遇到这位骑兵队长的地方不是骑士团总部，而是夜色中的酒馆。\n凯亚时常独自坐在吧台前，掂着蒙德著名的调制酒「午后之死」，与好酒的蒙德市民们攀谈。\n他在蒙德的酒客与年长者中格外受欢迎，甚至有着「最值得托付外孙女的男人」之名。\n一边戏谑调侃，一边慢品美酒，如此亲切的男性，让人很难把他跟西风骑士团骑兵队长一职联系起来。\n与凯亚插科打诨的人中，既有醺醉的猎人，也有嗜酒的贼徒。但无论来客警惕心多强，都会在凯亚巧妙的诱导下吐露真言。\n至于之后的事，到底是一场脱离控制的噩梦，还是漫漫长夜中又一个无伤大雅的玩笑，恐怕要取决于这位酒友不小心说漏嘴的内容了。\n「每个人都有自己的秘密，但不是每个人都懂得该怎么对待它。」\n带着令人有些恼火的微笑，凯亚这样说道。								
7003	11	3			角色故事2	「正义并非绝对的原则，而是武力与计谋的精妙平衡所铸就的结果。至于过程如何……无需太为难自己。」\n在大团长法尔伽面前，凯亚曾说过这样的话。\n只要结果合乎期待，凯亚并不在乎事情以什么方式结束。\n这种原则缔造了他不拘一格的行事方式，以及随意而为的人生态度。\n正如「午后之死」那随性肆意的暴烈口感一般。\n不过，肆意的行事风格也为他招来许多非议。\n曾有一次，为逼盗贼首领与他正面作战，凯亚故意触发远古的遗迹守卫。这一举动精准封锁住对手退路，同时也让凯亚和同僚陷入危险。\n每当这种时刻，一向信任他的代理团长琴也会摇头。\n但凯亚毫不在意。不如说，他人被迫作出选择的窘迫模样，甚至能让他觉得享受——\n他乐于捕捉同伴选择共战时一闪而过的犹豫，也乐于欣赏敌人背水一战前竭力遮掩的恐惧。								
7004	11	4			角色故事3	历史悠久的酿酒业为蒙德带来财富，蒙德的富庶又引来贪婪的盗贼与寻巢的魔物。\n这些游荡在阴影中的祸患不仅来源繁杂，聚集的理由也多种多样。\n为了抵御侵扰蒙德的盗匪与魔物，凯亚不只以他的剑，也以他的头脑和幽默感制服敌人。\n有年轻骑士花费数年时间总结其中的规律，最终得出一个令他目瞪口呆的结论——\n如果名酒「午后之死」不在供应期，城内外的袭扰报告便会随之骤减，直到……直到下一轮新酒上市？\n忐忑的年轻骑士将报告交给擅长文书工作的骑兵队长凯亚，希望从他那里得到一些建议。\n面对骑士忐忑的表情，凯亚带着怪异的微笑回应：「想法不错，我会纳入参考。」								
7005	11	5			角色故事4	一般而言，凯亚是个相当健谈的人。唯独对过去的经历，他讳莫如深。\n哪怕大团长要求他详述出身，他也不愿细谈旧事，而是用圆滑的说法，近乎敷衍地带过身世：\n「十几年前，夏末的午后，父亲带着我经过晨曦酒庄。」\n「『我去买几瓶葡萄汁，路上消渴。』我记得他是这样说的。但他走后，再也没有回来。」\n「如果不是克利普斯老爷向我伸出慈悲之手，或许，我就熬不过当晚那场暴雨了。」\n看似合乎情理的平淡叙述，却是精心掩藏了真相的谎言。\n凯亚不曾说起过，那个午后真正的故事——\n「这是你的机会，你是我们最后的希望。」\n亲生父亲捏紧凯亚单薄的肩头，视线越过他，望向了更远的地方。\n地平线另一头，有着父子俩遥远的故乡坎瑞亚。\n凯亚从未忘记那混杂着憎恨与希冀的眼神。								
7006	11	6			角色故事5	许多市民仍记得若干年前蒙德城中最惹眼的两位少年。\n一位是无可挑剔的年轻绅士迪卢克。他是手执长剑的优雅剑士，有着友善的笑容与自信的身姿。\n另一位是异国面容的庶务长凯亚。他是迪卢克的好友、助战者与「头脑」，为迪卢克的一切战斗扫尾洗尘。\n他们配合默契，从不失手，如同一对心智相通的双子，从明处和暗处守护着蒙德的安全。\n……直到凯亚记忆深处那个阴沉的日子，迪卢克护送的车队在森林中遭到巨大魔物袭击。\n那是凯亚第一次也是唯一一次失手。\n纵使快马加鞭，他赶到时，局势也已经无法挽回。\n他与迪卢克共同的「父亲」操纵着来历不明的不详力量击退魔物，随即被力量反噬，死于非命。\n凯亚和迪卢克都被眼前这一幕震惊，失去了骑士应有的冷静。\n「原来克利普斯老爷这样的人物，也会委身于危险的邪力。」\n险恶的念头闪过脑海，凯亚却报以微笑——\n「这样的世界，真是……有趣。」\n共同的「父亲」倒在了血泊之中。两位少年在这一夜走上分歧的道路。								
7007	11	1			一份名单	暂未开放								
7008	11	1			神之眼	暂未开放								
7100	11	1					初次见面…	1000						
7101	11	1					早上好…	1001						
7102	11	1					中午好…	1002						
7103	11	1					晚上好…	1003						
7104	11	1					晚安…	1004						
7105	11	1					闲聊·无所事事	1101						
7106	11	1					闲聊·骑士团	1102						
7107	11	1					闲聊·懒散	1103						
7108	11	1					下雨的时候…	1201						
7109	11	1					下雪的时候·逸闻	1202						
7110	11	1					下雪的时候·寒冷	1203						
7111	11	1					起风的时候…	1204						
7112	11	1					关于凯亚自己…	2001						
7113	11	1					关于我们·雇佣关系	2002						
7114	11	6					关于我们·实力	2003						
7115	11	4					关于「神之眼」…	3001						
7116	11	1					有什么想要分享…	3002						
7117	11	1					感兴趣的见闻…	3003						
7118	11	4					关于琴…	4001						
7119	11	4					关于丽莎…	4002						
7120	11	4					关于安柏…	4003						
7121	11	4					关于迪卢克…	4004						
7122	11	4					关于可莉…	4005						
7123	11	4					关于阿贝多…	4006						
7124	11	4					关于迪奥娜…	4007						
7125	11	4					关于法尔伽…	4008						
7126	11	4					关于菲谢尔…	4009						
7127	11	4					关于诺艾尔…	4010						
7128	11	4					关于罗莎莉亚…	4011						
7129	11	1					想要了解凯亚·其一	5001						
7130	11	3					想要了解凯亚·其二	5002						
7131	11	4					想要了解凯亚·其三	5003						
7132	11	5					想要了解凯亚·其四	5004						
7133	11	6					想要了解凯亚·其五	5005						
7134	11	1					凯亚的爱好…	6001						
7135	11	1					凯亚的烦恼…	6002						
7136	11	1					喜欢的食物…	6003						
7137	11	1					讨厌的食物…	6004						
7138	1	1					生日…	7001						
7139	11	3					突破的感受·起	8001						
7140	11	4					突破的感受·承	8002						
7141	11	5					突破的感受·转	8003						
7142	11	6					突破的感受·合	8004						
8001	12	1			角色详细	作为诗酒之城，蒙德的酒业闻名遐迩。\n而「晨曦酒庄」的主人迪卢克老爷掌握了蒙德酒业之半，这意味着，他掌握了金钱的流动脉络与酒馆的闲言碎语。\n某种意义而言，称得上是无冕的蒙德之王。								
8002	12	2			角色故事1	蒙德的空气里总是弥漫着酒香。\n如果追寻源头，香气会将你领到迪卢克老爷的「晨曦酒庄」。\n果木制成的牌匾骄傲地昭告着酒庄之名，下方还标有几个小字：\n「莫忘始终」。\n人们对这句格言的理解是，酒庄佳酿的美味始终如一，如同拂晓的晨光般充满希望，\n更加务实的西风骑士们则会想到，许多年来酒庄与蒙德城互相帮扶的历史。\n庄园内偶尔举办酒会。衣香鬓影中，总有人为尚未完婚的贵公子引见自家热情的少女。\n结果往往是引来一片欢笑：\n「多亏迪卢克老爷以事业为妻，我们才能喝到这样的美酒啊。」\n无论来者为何，无论有何事务，他的应对永远滴水不漏。\n从各种意义而言，迪卢克老爷都是无可挑剔的杰出绅士。								
8003	12	3			角色故事2	迪卢克老爷不喜欢谈论过去的事情。\n「假如迪卢克老爷还在骑士团，那该有多好。」\n资历够老的骑士若喝了酒，便会如此感慨。\n那是很久以前的事了。迪卢克的父亲，前代酒庄主人克利普斯老爷盼望儿子能成为最优秀的骑士，守卫自由之邦蒙德。\n遵循父亲愿望不断历练的迪卢克，始终依照莱艮芬德家家规严格锻炼自己。完成骑士团的考验与守护蒙德的誓言后，他顺利成为骑士，又因表现活跃提前晋升为最年轻的骑兵队长。\n借由无数次任务与巡查，蒙德人认识了年轻热情的骑兵队长迪卢克。\n无论任务多么严苛，骑士的风度与热忱永不会褪色；无论挑战多么艰巨，也如利剑般活跃在最前线。骑士同侪与蒙德民众的笑容和嘉许，令红发少年坚持进取。\n但最为重要的，还是——\n「做得很好，不愧是我的儿子。」\n父亲克利普斯的赞扬点燃了迪卢克胸腔中不灭的赤焰，激励他继续迈进。\n「信念」在他的心中炽热燃烧，滚烫而恒久。\n——从前的迪卢克，正是这样的少年。								
