ID	默认阵营	基础生命值	基础攻击力	基础防御力	暴击率	暴击抗性	暴击伤害	火元素抗性	草元素抗性	水元素抗性	电元素抗性	风元素抗性	冰元素抗性	岩元素抗性	火元素伤害加成	草元素伤害加成	水元素伤害加成	电元素伤害加成	风元素伤害加成	冰元素伤害加成	岩元素伤害加成	[属性成长]1类型	[属性成长]1曲线	[属性成长]2类型	[属性成长]2曲线	[属性成长]3类型	[属性成长]3曲线	元素精通	物理抗性	物理伤害加成	类型	服务器脚本	战斗Config	精英词缀	AI	装备1	装备2	会游泳	击杀经验	击杀经验成长曲线	[掉落]1ID	[掉落]1血量百分比	[掉落]2ID	[掉落]2血量百分比	[掉落]3ID	[掉落]3血量百分比	击杀掉落ID	全地图奖励	视距等级	不在指定天气下出生	特性组ID	联机动态属性ID	外观	$#VersionBegin	$#VersionEnd
20010701	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Electric_03_Positive	2002	assist01				0	11	22010014	66	22010014	33	0	0	22010034				20010701	1			
20010801	4001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Ice_02	2003	assist01				0	11	22010016	60	0	0	0	0	22010016				20010801	1			
20010901	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Ice_03	2003	assist01				0	11	22010016	66	22010016	33	0	0	22010036				20010901	1			
20010902	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Ice_03_Immune1	2003,1029	assist01				0	11	22010016	66	22010016	33	0	0	22010036				20010901	1			
20010903	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Ice_03_Immune2	2003	assist01				0	11	22010016	66	22010016	33	0	0	22010036				20010901	1			
20011001	4001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Water_02		assist01				0	11	22010012	60	0	0	0	0	22010012				20011001	1			
20011101	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Water_03		assist01				0	11	22010012	66	22010012	33	0	0	22010032				20011101	1			
20011102	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Water_03_Immune2		assist01				0	11	22010012	66	22010012	33	0	0	22010032				20011101	1			
20011002	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Water_11		assist01				0	11	22010012	66	22010012	33	0	0	22010032				20011002	1			
20040001	3001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Electric_02	2002	assist01				0	11	22010014	60	0	0	0	0	22010014				20040001	1			
20040002	3001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Electric_03	2002	assist01				0	11	22010014	66	22010014	33	0	0	22010034				20040002	1			
20040003	3001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Ice_02	2003	assist01				0	11	22010016	60	0	0	0	0	22010016				20040003	1			
20040004	3001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Ice_03	2003,4001	assist01				0	11	22010016	66	22010016	33	0	0	22010036				20040004	1			
20040005	3001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Fire_02		assist01				0	11	22010011	60	0	0	0	0	22010011				20040005	1			
20040006	3001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Fire_03		assist01				0	11	22010011	66	22010011	33	0	0	22010031				20040006	1			
20040007	3001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Rock_02		assist01				0	11	22010017	60	0	0	0	0	22010017				20040007	1			
20040008	3001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Rock_03		assist01				0	11	22010017	66	22010017	33	0	0	22010037				20040008	1			
20030101	4001	6.792	10.048	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Cicin_Thunder_01		assist01				0	11	22010014	60	0	0	0	0	22010014				20030101	1			
20030102	4001	6.792	10.048	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Cicin_Thunder_01	5001	assist01				0	11	22010014	60	0	0	0	0	22010014				20030101	1			
20030201	4001	6.792	10.048	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Cicin_Water_01		assist01				0	11	22010012	60	0	0	0	0	22010012				20030101	1			
21010201	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_None_01		sentry02	50004001			0	11	22010010	60	0	0	0	0	22010010				21010201	1			
21010202	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_None_01_PD		sentry02	50004001			0	11	22010010	60	0	0	0	0	22010010				21010201	1			
21010301	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_None_01		sentry02	50004001	50004002		0	11	22010010	60	0	0	0	0	22010010				21010301	1			
21010401	4001	10.868	11.304	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_None_01		ranged01	50004004			0	11	22010010	60	0	0	0	0	22010010				21010401	1			
21010402	4001	10.868	11.304	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_None_01	5001	ranged01	50004004			0	11	22010010	60	0	0	0	0	22010010				21010401	1			
21010501	4001	10.868	11.304	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Fire_01	2001	ranged01	50004017			0	11	22010010	60	0	0	0	0	22010010				21010501	1			
21010502	4001	10.868	11.304	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Fire_01	2001,5001	ranged01	50004017			0	11	22010010	60	0	0	0	0	22010010				21010501	1			
21010601	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Fire_01	2001	scout01				0	11	22010010	60	0	0	0	0	22010010				21010601	1			
21010602	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Fire_01_Test	5001	scout01				0	11	22010010	60	0	0	0	0	22010010				21010602	1			
21010701	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Fire_Rush	2001	scout01	50004020			0	11	22010010	60	0	0	0	0	22010010				21010701	1			
21010901	4001	10.868	11.304	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Ice_01		ranged01	50004018			0	11	22010010	60	0	0	0	0	22010010				21010901	1			
21010902	4001	10.868	11.304	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Ice_01	5001	ranged01	50004018			0	11	22010010	60	0	0	0	0	22010010				21010901	1			
21011001	4001	10.868	11.304	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Electric_01		ranged01	50004019			0	11	22010010	60	0	0	0	0	22010010				21011001	1			
21011002	4001	10.868	11.304	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Electric_01	5001	ranged01	50004019			0	11	22010010	60	0	0	0	0	22010010				21011001	1			
21011101	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Grass_01		assist01	50004016			0	11	22010010	60	0	0	0	0	22010010				21011101	1			
21011201	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_None_01		sentry02	50004024	50004023		0	11	22010010	60	0	0	0	0	22010010				21010301	1			
20011202	4001	6.099	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Fire_Tutorial		assist01				0	11	0	0	0	0	0	0	0				20011202	1			
20011201	4001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Fire_02		assist01				0	11	22010011	60	0	0	0	0	22010011				20011201	1			
20011301	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Fire_03		assist01				0	11	22010011	66	22010011	33	0	0	22010031				20011301	1			
20011302	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Fire_03_Immune1	1028	assist01				0	11	22010011	66	22010011	33	0	0	22010031				20011301	1			
20011303	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Fire_03_Immune2		assist01				0	11	22010011	66	22010011	33	0	0	22010031				20011301	1			
20011401	4001	10.868	7.536	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Rock_02		assist01				0	11	22010017	60	0	0	0	0	22010017				20011401	1			
20011501	4001	33.961	17.584	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Slime_Rock_03		assist01				0	11	22010017	66	22010017	33	0	0	22010037				20011501	1			
22010101	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Fire_01	2001	scout01	50004006			0	11	22010011	75	22010011	50	22010011	25	22010031				22010101	1			
22010102	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Fire_01	2001,1014,5002	scout01	50004006			0	11	22010011	75	22010011	50	22010011	25	22010031				22010101	1			
22010103	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Fire_01	2001,5003,5005	scout01	50004006			0	11	22010011	75	22010011	50	22010011	25	22010031				22010101	1			
22010104	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Fire_01	2001,5001	scout01	50004006			0	11	22010011	75	22010011	50	22010011	25	22010031				22010101	1			
22010201	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Ice_01	2003	scout01	50004007			0	11	22010016	75	22010016	50	22010016	25	22010036				22010201	1			
22010202	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Ice_01	2003,1014,5002	scout01	50004007			0	11	22010016	75	22010016	50	22010016	25	22010036				22010201	1			
22010203	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Ice_01	2003,5003,5005	scout01	50004007			0	11	22010016	75	22010016	50	22010016	25	22010036				22010201	1			
22010204	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Ice_01	2003,5001	scout01	50004007			0	11	22010016	75	22010016	50	22010016	25	22010036				22010201	1			
22010301	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Water_01		scout01	50004008			0	11	22010012	75	22010012	50	22010012	25	22010032				22010301	1			
22010302	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Water_01	1014,5002	scout01	50004008			0	11	22010012	75	22010012	50	22010012	25	22010032				22010301	1			
22010303	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Water_01	5003,5005	scout01	50004008			0	11	22010012	75	22010012	50	22010012	25	22010032				22010301	1			
22010304	4001	16.981	37.68	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Abyss_Water_01	5001	scout01	50004008			0	11	22010012	75	22010012	50	22010012	25	22010032				22010301	1			
21030101	4001	8.49	25.12	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Shaman_Water_01		scout01	50004009			0	11	22010012	60	0	0	0	0	22010012				21030101	1			
21030102	4001	8.49	25.12	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Shaman_Water_02		scout01	50004009			0	11	22010012	60	0	0	0	0	22010012				21030101	1			
21030103	4001	8.49	25.12	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Shaman_Water_01	5004	scout01	50004009			0	11	22010012	60	0	0	0	0	22010012				21030101	1			
21030201	4001	8.49	25.12	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Shaman_Grass_01		scout01	50004010			0	11	22010013	60	0	0	0	0	22010013				21030201	1			
21030202	4001	8.49	25.12	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Shaman_Grass_02		scout01	50004010			0	11	22010013	60	0	0	0	0	22010013				21030201	1			
21030301	4001	8.49	25.12	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Shaman_Wind_01		scout01	50004014			0	11	22010015	60	0	0	0	0	22010015				21030301	1			
21030302	4001	8.49	25.12	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Shaman_Wind_02		scout01	50004014			0	11	22010015	60	0	0	0	0	22010015				21030301	1			
21030303	4001	8.49	25.12	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Shaman_Wind_01	5004	scout01	50004014			0	11	22010015	60	0	0	0	0	22010015				21030301	1			
21030401	4001	8.49	25.12	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Shaman_Rock_01		scout01	50004029			0	11	22010017	60	0	0	0	0	22010017				21030401	1			
24010101	4001	108.676	75.361	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Defender_None_01		scout01				0	11	22010050	75	22010050	50	22010050	25	22010050		1		24010101	1			
24010102	4001	108.676	75.361	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Defender_None_01_Reject1		scout01				0	11	22010050	75	22010050	50	22010050	25	22010050		1		24010101	1			
24010103	4001	108.676	75.361	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Defender_None_01_Reject2		scout01				0	11	22010050	75	22010050	50	22010050	25	22010050		1		24010101	1			
24010104	4001	108.676	75.361	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Defender_None_01_PD		scout01				0	11	22010050	75	22010050	50	22010050	25	22010050		1		24010101	1			
24010201	4001	81.507	87.921	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Formathr_None		scout01				0	11	22010050	75	22010050	50	22010050	25	22010050		1		24010101	1			
21010801	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_Grass_01		assist01	50004004			0	11	22010010	60	0	0	0	0	22010010				21010801	1			
21010102	4001	13.584	22.608	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Hili_None_Test		sentry02	50004001			0	11	22010010	60	0	0	0	0	22010010				21010102	1			
23030101	4001	67.922	50.24	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Fatuus_Summoner_01		scout01				0	11	22010040	75	22010040	50	22010040	25	22010040				23030101	1			
23020101	4001	54.338	50.24	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Fatuus_Fire_01		scout01	50004021			0	11	22010030	75	22010030	50	22010030	25	22010030				23020101	1			
25010101	4001	32.603	25.12	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Thoarder_Male_NoWeapon_01		sentry02				0	11	22010010	66	22010010	33	0	0	22010030				25010101	1			
25010102	4001	32.603	25.12	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	7	12	0	0	0	1		ConfigMonster_Thoarder_Male_NoWeapon_01		sentry02				0	11	22010010	66	22010010	33	0	0	22010030				25010101	1			
