ID	Ability名称	是远程	技能CD	消耗体力	消耗能量类型	消耗能量值	可累积次数	TriggerID	索敌范围	索敌公式权重1	索敌公式权重2	索敌公式权重3	索敌公式权重4	是默认镜头	支持按钮拖动	是否显示箭头	是否监控状态	默认锁定	图标名称	升级技能组ID	$#VersionBegin	$#VersionEnd
10059	Avatar_Player_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10060	Avatar_Lisa_ExtraAttack		0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						431		
10061			16	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1	1	1				432		
10062			15	0	4	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						439		
10063	Test_CreateSharkTorpedo		5	0			2	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10064	Test_CreateSteamBang		10	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10065	Avatar_Ambor_ThrowDummy		5	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10066		1	0	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10067	Avatar_Player_UziExplode	1	5	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						732		
10068	Avatar_Player_WindBreathe	1	15	0	7	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						739		
10069			0	0			1	1	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10070	Avatar_Barbara_ExtraAttack		0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1431		
10071			32	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1	1	1				1432		
10072			20	0	2	90	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1439		
10073	Avatar_Kaeya_ExtraAttack		0	0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						1531		
10074			6	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1532		
10075			15	0	5	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1539		
10076	Avatar_Barbara_ReBorn		900	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1			1	1	Skill_B_Barbara_01	0		
10077	Avatar_Player_Hogyoku	1	8	0			1	12	CircleLockEnemyR15H10HC	1	1	0.3	0	1						932		
10078	Avatar_Player_RockTide	1	15	0	8	60	1	15	CircleLockEnemyR15H10HC	1	1	0.3	0	1						939		
10079	Avatar_Barbara_ReBornEffect_01		900	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10080	Avatar_Barbara_ReBornEffect_02		900	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10081	Avatar_Keaya_IceShield		60	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10082	Avatar_Barbara_Trigger_WaterBall		30	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10083	Avatar_Lsai_TeamTalent_Skill		30	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10160	Avatar_Diluc_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						1631		
10161	Diluc_Fire_Blade		10	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1632		
10162	Diluc_Fire_Blade		2	0			1	3	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10163	Diluc_Fire_Blade		2	0			1	4	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10165	Diluc_FireCross		15	0	1	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						1639		
10166	Diluc_EnterSkill		30	0			1	0	CircleLockEnemyR10H6HC	1	1	0.3	0	1						0		
10201	Avatar_Razor_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						2031		
10202	Avatar_Razor_ClawMark_Click		6	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2032		
10203	Avatar_Razor_LycanMode		15	0	4	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2039		
10204	Avatar_Razor_ClawMark_Click		3	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10211			0	0			1	11	CircleLockEnemyR10	1	1	0.3	0	1						0		
10221	Avatar_Venti_PressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2231		
10222	Avatar_Venti_AimPressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10223		1	0	0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10224			6	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2232		
10225			15	0	7	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2239		
10231	Avatar_Xiangling_ExtraAttack		0	0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						2331		
10232			6	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2332		
10235			15	0	1	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2339		
10241	Avatar_Beidou_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						2431		
10242	Avatar_Beidou_ThunderCounter_Handler		7.5	0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1	2	1				2432		
10245	Avatar_Beidou_ThunderShield		15	0	4	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2439		
20000			0	0			1	99	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10251	Avatar_Aquaria_PressShoot	1	2	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10252	Avatar_Aquaria_AimPressShoot	1	2	0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10253		1	2	0			1	1	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10254			10	0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10255			15	0	5	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10261	Avatar_Xiao_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						2631		
10262			10	0			2	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						2632		
10263			10	0			2	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10264			0	0			1	11	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10265			15	0	7	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						2639		
10271	Avatar_Ningguang_ExtraAttack		0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2731		
10272			5	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2732		
10273			1	0			1	12	CircleLockEnemy	1	1	0.3	0	1						0		
10274			10	0	8	30	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2739		
10275	Avatar_Ningguang_Trigger_ElementalArt_CD		1	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10281	Avatar_Prototype_ExtraAttack		0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10282			0	0			1	2	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10283			10	0	1		1	3	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10291	Avatar_Klee_ExtraAttack		0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2931		
10292			20	0			2	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2932		
10295			25	0	1	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						2939		
10300			0	0			1	3	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10301	Avatar_Zhongli_ExtraAttack		0	0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3031		
10302			12	0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3032		
10303			15	0	8	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3039		
10311	Avatar_Fischl_PressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3131		
10312			25	0			1	12	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3132		
10313			15	0	4	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3139		
10314	Avatar_Fischl_AimPressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10315		1	0	0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10316			1.5	0			1	16	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10321	Avatar_Bennett_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						3231		
10322	Avatar_Bennett_ElementalArt_Handler		5	0			1	2	CircleLockEnemyR10H6HC	1	1	0.3	0	1						3232		
10323			15	0	1	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3239		
10331	Avatar_Tartaglia_PressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						3331		
10332	Avatar_Tartaglia_Gandalfr_Trigger		8	0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3332		
10333			15	0	2	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3339		
10334	Avatar_Tartaglia_AimPressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10335		1	0	0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10336	Avatar_Tartaglia_Gandalfr_TriggerOff		8	0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10337	Avatar_Tartaglia_PressShoot		0	0			1	0	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10341	Avatar_Noel_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						3431		
10342			24	0			1	2	CircleLockEnemyR10H6HC	1	1	0.3	0	1						3432		
10343			15	0	8	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						3439		
10351	Avatar_Qiqi_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10352			10	0			1	2	CircleLockEnemyR10H6HC	1	1	0.3	0	1						0		
10353			25	0	5	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10371	Avatar_Ganyu_PressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10372			6	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10373			15	0	5	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10374	Avatar_Ganyu_AimPressShoot	1	0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
11301	Avatar_Beidou_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
11302			9	0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
11305			25	0	4	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10256			8	0			3	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10257			8	0			3	12	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10258			10	0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10259			15	0	5	60	1	5	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
10362			15	0	5	60	1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						0		
11371		1	0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	1	1						0		
11372			8	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
11373			15	0	5	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
11374		1	0	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
11375		1	0	0			1	1	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10381	Avatar_Xingqiu_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						2531		
10382	Avatar_Xingqiu_SkillHoldHandler		15	0			1	2	CircleLockEnemyR8H6HC	1	1	0.3	0	1						2532		
10385			15	0	2	60	1	5	CircleLockEnemyR5H6HC	1	1	0.3	0	1						2539		
10391	WhiteBox_RockJack		1	0			1	0	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
20001	Dvalin_S01_AirGun		0	999999			1	0	CircleLockEnemyR10	1	1	0.3	0	1	2	1				0		
20002	Dvalin_S01_AirGun		0	0			1	0	CircleLockEnemyR10	1	1	0.3	0	1	2	1				0		
10384			10	0			1	16	CircleLockEnemyR10	1	1	0.3	0	1	2	1				0		
10401	Avatar_Beidou_ExtraAttack_Chongyun		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10402	Avatar_Razor_ClawMark_Click		6	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10403	Diluc_FireCross		15	0	5	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
100541			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
100542			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
100543			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						730		
100544			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
100545			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						730		
100546			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
100547			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
100551			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
100552			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
100553			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						731		
100554			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
100555			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						731		
100556			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
100557			0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10461	Avatar_TestXXX_ExtraAttack		0	0			1	0	CircleLockEnemyR5H6HC	1	1	0.3	0	1						0		
10462			6	0			1	2	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
10463			15	0	5	60	1	5	CircleLockEnemyR15H10HC	1	1	0.3	0	1						0		
