角色突破ID	突破等级	语音文件	消耗金币	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	解锁等级上限	[增加属性]1类型	[增加属性]1值	[增加属性]2类型	[增加属性]2值	[增加属性]3类型	[增加属性]3值	冒险等级要求
32	3		120000	104113	4	113001	9	100024	35	112012	18	80	1	2650.9316	7	151.72	4	40.8758	35
32	4		160000	104114	6	113001	25	100024	65	112013	24	90	1	4086.9274	7	233.91	4	63.018	45
33	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
33	1		40000	104121	1	0	0	100025	3	112011	3	40	1	800.4484	7	42.02	4	19.7386	12
33	2		80000	104122	3	113002	2	100025	15	112011	15	60	1	1663.4745	7	87.32	4	41.0204	25
33	3		120000	104123	4	113002	9	100025	35	112012	18	80	1	2762.5506	7	145.01	4	68.1231	35
33	4		160000	104124	6	113002	25	100025	65	112013	24	90	1	4259.0097	7	223.56	4	105.025	45
34	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
34	1		40000	104171	1	0	0	100022	3	112002	3	40	1	673.777967	7	50.575296	4	13.159726	12
34	2		80000	104172	3	113009	2	100022	15	112002	15	60	1	1400.230707	7	105.10448	4	27.348256	25
34	3		120000	104173	4	113009	9	100022	35	112003	18	80	1	2325.378607	7	174.548171	4	45.417551	35
34	4		160000	104174	6	113009	25	100022	65	112004	24	90	1	3585.024	7	269.1	4	70.02	45
35	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
35	1		40000	104161	1	0	0	100034	3	112005	3	40	1	720.94	7	48.63	4	11.45	12
35	2		80000	104162	3	113009	2	100034	15	112005	15	60	1	1498.25	7	101.06	4	23.79	25
35	3		120000	104163	4	113009	9	100034	35	112006	18	80	1	2488.16	7	167.83	4	39.51	35
35	4		160000	104164	6	113009	25	100034	65	112007	24	90	1	3835.98	7	258.75	4	60.92	45
36	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
36	1		40000	104161	1	0	0	100058	3	112011	3	40	1	720.94	7	48.63	4	11.45	12
36	2		80000	104162	3	113009	2	100058	15	112011	15	60	1	1498.25	7	101.06	4	23.79	25
36	3		120000	104163	4	113009	9	100058	35	112012	18	80	1	2488.16	7	167.83	4	39.51	35
36	4		160000	104164	6	113009	25	100058	65	112013	24	90	1	3835.98	7	258.75	4	60.92	45
37	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
37	1		40000	104161	1	0	0	100031	3	112002	3	40	1	720.94	7	48.63	4	11.45	12
37	2		80000	104162	3	113009	2	100031	15	112002	15	60	1	1498.25	7	101.06	4	23.79	25
37	3		120000	104163	4	113009	9	100031	35	112003	18	80	1	2488.16	7	167.83	4	39.51	35
37	4		160000	104164	6	113009	25	100031	65	112004	24	90	1	3835.98	7	258.75	4	60.92	45
38	0		0	0	0	0	0	0	0	0	0	20	1	0	7	0	4	0	0
38	1		40000	104171	1	0	0	100055	3	112008	3	40	1	720.94	7	48.63	4	11.45	12
38	2		80000	104172	3	113009	2	100055	15	112008	15	60	1	1498.25	7	101.06	4	23.79	25
38	3		120000	104173	4	113009	9	100055	35	112009	18	80	1	2488.16	7	167.83	4	39.51	35
38	4		160000	104174	6	113009	25	100055	65	112010	24	90	1	3835.98	7	258.75	4	60.92	45
