掉落ID	最小等级	最大等级	随机方式	掉落层级	子掉落1ID	子掉落1数量区间	子掉落1权重	子掉落2ID	子掉落2数量区间	子掉落2权重	子掉落3ID	子掉落3数量区间	子掉落3权重	子掉落4ID	子掉落4数量区间	子掉落4权重	子掉落5ID	子掉落5数量区间	子掉落5权重	子掉落6ID	子掉落6数量区间	子掉落6权重	子掉落7ID	子掉落7数量区间	子掉落7权重	子掉落8ID	子掉落8数量区间	子掉落8权重	子掉落9ID	子掉落9数量区间	子掉落9权重	子掉落10ID	子掉落10数量区间	子掉落10权重	子掉落11ID	子掉落11数量区间	子掉落11权重	子掉落12ID	子掉落12数量区间	子掉落12权重	子掉落13ID	子掉落13数量区间	子掉落13权重	子掉落14ID	子掉落14数量区间	子掉落14权重	子掉落15ID	子掉落15数量区间	子掉落15权重	子掉落16ID	子掉落16数量区间	子掉落16权重	子掉落17ID	子掉落17数量区间	子掉落17权重	子掉落18ID	子掉落18数量区间	子掉落18权重	子掉落19ID	子掉落19数量区间	子掉落19权重	子掉落20ID	子掉落20数量区间	子掉落20权重	子掉落21ID	子掉落21数量区间	子掉落21权重	子掉落22ID	子掉落22数量区间	子掉落22权重	子掉落23ID	子掉落23数量区间	子掉落23权重	子掉落24ID	子掉落24数量区间	子掉落24权重	子掉落25ID	子掉落25数量区间	子掉落25权重	子掉落26ID	子掉落26数量区间	子掉落26权重	子掉落27ID	子掉落27数量区间	子掉落27权重	子掉落28ID	子掉落28数量区间	子掉落28权重	子掉落29ID	子掉落29数量区间	子掉落29权重	子掉落30ID	子掉落30数量区间	子掉落30权重	节点类型	是否掉落地面	产出来源类型	每日产出次数上限	历史产出次数上限
21003000			1	0	202	1	10000																																																																																								1	1	11006		7000
21003100			1	0	202	500	10000																																																																																								1	1	11006		350
21003200			1	0	202	750	10000																																																																																								1	1	11006		350
21003300			1	0	202	1000	10000																																																																																								1	1	11006		350
21003400			1	0																																																																																											1	1	20004		
21005000			1	0	305	1	10000	305	1	5000	305	1	5000	305	1	1000																																																																															1	1	20004		
21005100			1	0	307	1	10000	307	1	5000	307	1	5000	307	1	1000																																																																															1	1	20004		
21010000			1	0	100001	1	300	100002	1	600	100013	1	600	100014	1	600	100018	1	600	100080	1	600	100017	1	600	100061	1	500	100064	1	300																																																																1	1	20004	520	
21010200			0	0	100062	1	1000	100063	1	1000																																																																																					1	1	20004	200	
21010300			0	0	100011	1	1000	100062	1	1000	100063	1	1000																																																																																		1	1	20004	200	
22000000			1	0	100061	1	10000																																																																																								1	1	20016		
22000100			1	0	100061	2	10000																																																																																								1	1	20016		
22000200			1	0	100061	3	10000																																																																																								1	1	20016		
22001000			1	0	100064	1	10000																																																																																								1	1	20016		
22001100			1	0	100064	2	10000																																																																																								1	1	20016		
22001200			1	0	100064	3	10000																																																																																								1	1	20016		
22002000			1	0	100084	1	10000																																																																																								1	1	20016		
22002100			1	0	100084	2	10000																																																																																								1	1	20016		
22002200			1	0	100084	3	10000																																																																																								1	1	20016		
22010000			0	0	2008	1	5000	0																																																																																							1	1	20016		
22010010			1	0	2024	1	10000	0																																																																																							1	1	20016		
22010011			1	0	2017	1	10000																																																																																								1	1	20016		
22010012			1	0	2018	1	10000																																																																																								1	1	20016		
22010013			1	0	2019	1	10000																																																																																								1	1	20016		
22010014			1	0	2020	1	10000																																																																																								1	1	20016		
22010015			1	0	2021	1	10000																																																																																								1	1	20016		
22010016			1	0	2022	1	10000																																																																																								1	1	20016		
22010017			1	0	2023	1	10000																																																																																								1	1	20016		
22010020			1	0	2024	2	10000																																																																																								1	1	20016		
22010021			1	0	2017	2	10000																																																																																								1	1	20016		
22010022			1	0	2018	2	10000																																																																																								1	1	20016		
22010023			1	0	2019	2	10000																																																																																								1	1	20016		
22010024			1	0	2020	2	10000																																																																																								1	1	20016		
22010025			1	0	2021	2	10000																																																																																								1	1	20016		
22010026			1	0	2022	2	10000																																																																																								1	1	20016		
22010027			1	0	2023	2	10000																																																																																								1	1	20016		
22010030			1	0	2008	1	10000																																																																																								1	1	20016		
22010031			1	0	2001	1	10000																																																																																								1	1	20016		
22010032			1	0	2002	1	10000																																																																																								1	1	20016		
22010033			1	0	2003	1	10000																																																																																								1	1	20016		
22010034			1	0	2004	1	10000																																																																																								1	1	20016		
22010035			1	0	2005	1	10000																																																																																								1	1	20016		
22010036			1	0	2006	1	10000																																																																																								1	1	20016		
22010037			1	0	2007	1	10000																																																																																								1	1	20016		
22010040			1	0	2008	1	10000	2024	1	10000																																																																																					1	1	20016		
22010041			1	0	2001	1	10000	2017	1	10000																																																																																					1	1	20016		
22010042			1	0	2002	1	10000	2018	1	10000																																																																																					1	1	20016		
22010043			1	0	2003	1	10000	2019	1	10000																																																																																					1	1	20016		
22010044			1	0	2004	1	10000	2020	1	10000																																																																																					1	1	20016		
22010045			1	0	2005	1	10000	2021	1	10000																																																																																					1	1	20016		
22010046			1	0	2006	1	10000	2022	1	10000																																																																																					1	1	20016		
22010047			1	0	2007	1	10000	2023	1	10000																																																																																					1	1	20016		
22010050			1	0	2008	1	10000	2024	3	10000																																																																																					1	1	20016		
22010051			1	0	2001	1	10000	2017	3	10000																																																																																					1	1	20016		
22010052			1	0	2002	1	10000	2018	3	10000																																																																																					1	1	20016		
22010053			1	0	2003	1	10000	2019	3	10000																																																																																					1	1	20016		
22010054			1	0	2004	1	10000	2020	3	10000																																																																																					1	1	20016		
22010055			1	0	2005	1	10000	2021	3	10000																																																																																					1	1	20016		
22010056			1	0	2006	1	10000	2022	3	10000																																																																																					1	1	20016		
22010057			1	0	2007	1	10000	2023	3	10000																																																																																					1	1	20016		
22010100			1	0	2017	2	10000																																																																																								1	1	20016		
22010200			1	0	2018	2	10000																																																																																								1	1	20016		
22010300			1	0	2019	2	10000																																																																																								1	1	20016		
22010400			1	0	2020	2	10000																																																																																								1	1	20016		
22010500			1	0	2021	2	10000																																																																																								1	1	20016		
22010600			1	0	2022	2	10000																																																																																								1	1	20016		
22010700			1	0	2023	2	10000																																																																																								1	1	20016		
22010800			0	0	2008	1	10000	0																																																																																							1	1	20016		
22010900			1	0	2001	1	10000	2017	1	10000																																																																																					1	1	20016		
22011000			1	0	2002	1	10000	2018	1	10000																																																																																					1	1	20016		
22011100			1	0	2003	1	10000	2019	1	10000																																																																																					1	1	20016		
22011200			1	0	2004	1	10000	2020	1	10000																																																																																					1	1	20016		
22011300			1	0	2005	1	10000	2021	1	10000																																																																																					1	1	20016		
22011400			1	0	2006	1	10000	2022	1	10000																																																																																					1	1	20016		
22011500			1	0	2007	1	10000	2023	1	10000																																																																																					1	1	20016		
22011600			1	0	2008	2	10000	2008	1	5000																																																																																					1	1	20016		
22011610			1	0	2008	1	10000	2024	1	10000																																																																																					1	1	20016		
22011700			0	0	2024	1	10000	0																																																																																							1	1	20016		
22011800			1	0	2017	1	10000	2017	1	3333																																																																																					1	1	20016		
22011900			1	0	2018	1	10000	2018	1	3333																																																																																					1	1	20016		
22012000			1	0	2019	1	10000	2019	1	3333																																																																																					1	1	20016		
22012100			1	0	2020	1	10000	2020	1	3333																																																																																					1	1	20016		
22012200			1	0	2021	1	10000	2021	1	3333																																																																																					1	1	20016		
22012300			1	0	2022	1	10000	2022	1	3333																																																																																					1	1	20016		
22012400			1	0	2023	1	10000	2023	1	3333																																																																																					1	1	20016		
22012500			1	0	2024	2	10000	0																																																																																							1	1	20016		
22012600			1	0	2017	2	10000	2017	1	6667																																																																																					1	1	20016		
22012700			1	0	2018	2	10000	2018	1	6667																																																																																					1	1	20016		
22012800			1	0	2019	2	10000	2019	1	6667																																																																																					1	1	20016		
22012900			1	0	2020	2	10000	2020	1	6667																																																																																					1	1	20016		
22013000			1	0	2021	2	10000	2021	1	6667																																																																																					1	1	20016		
22013100			1	0	2022	2	10000	2022	1	6667																																																																																					1	1	20016		
22013200			1	0	2023	2	10000	2023	1	6667																																																																																					1	1	20016		
22013300			1	0	2008	2	10000	2008	1	5000																																																																																					1	1	20016		
22013310			1	0	2008	1	10000	2024	1	10000																																																																																					1	1	20016		
22013400			1	0	2001	1	10000	2001	1	3333																																																																																					1	1	20016		
22013500			1	0	2002	1	10000	2002	1	3333																																																																																					1	1	20016		
22013600			1	0	2003	1	10000	2003	1	3333																																																																																					1	1	20016		
22013700			1	0	2004	1	10000	2004	1	3333																																																																																					1	1	20016		
22013800			1	0	2005	1	10000	2005	1	3333																																																																																					1	1	20016		
22013900			1	0	2006	1	10000	2006	1	3333																																																																																					1	1	20016		
22014000			1	0	2007	1	10000	2007	1	3333																																																																																					1	1	20016		
22014100			0	0	2024	4	4000	2008	1	6000																																																																																					1	1	20016		
22014200			0	0	2017	4	4000	2001	1	6000																																																																																					1	1	20016		
22014300			0	0	2018	4	4000	2002	1	6000																																																																																					1	1	20016		
22014400			0	0	2019	4	4000	2003	1	6000																																																																																					1	1	20016		
22014500			0	0	2020	4	4000	2004	1	6000																																																																																					1	1	20016		
22014600			0	0	2021	4	4000	2005	1	6000																																																																																					1	1	20016		
22014700			0	0	2022	4	4000	2006	1	6000																																																																																					1	1	20016		
22014800			0	0	2023	4	4000	2007	1	6000																																																																																					1	1	20016		
29000001			1	0																																																																																											1		11008		
29000002			1	0																																																																																											1		11008		
29000011			1	0																																																																																											1		11008		
29000012			0	0																																																																																											1		11008		
29000013			0	0	222	10	9900																																																																																								1		11008		
30000000			0	0	30000010	1	3000	30000020	1	3000	30000030	1	2000	30000040	1	2000																																																																															1	1	20005		
30000010			0	1	104002	2	8000	104003	1	2000	0		0																																																																																		1	1	20005		0
30000020			0	1	104013	1	8000	104013	2	2000	0		0																																																																																		1	1	20005		0
30000030			0	1	202	5000	8000	202	10000	2000	0		0																																																																																		1	1	20005		0
30000040			0	1	30000041	1	8000	30000042	1	2000																																																																																					1	1	20005		0
30000041			0	2	521112	1	10000				0		0																																																																																		1	1	20005		0
30000042			0	2	521117	1	8000	521118	1	2000	0		0																																																																																		1	1	20005		0
30001000			1	0	200001	0.25	10000	0		0	0		0																																																																																		1	1	20005		
30001010			1	0	200001	0.25	10000	0		0	0		0																																																																																		1	1	20005		
30001020			1	0	200001	0.6	10000	200002	0.6	10000	0		0																																																																																		1	1	20005		
30001030			1	0	200003	0.125	10000	200001	0.125	10000	200002	0.125	10000																																																																																		1	1	20005		
30001040			1	0	200003	0.6	10000	200001	0.6	10000	0		0																																																																																		1	1	20005		
30001050			1	0	200003	0.8	10000	0		0	0		0																																																																																		1	1	20005		
30001060			1	0	200003	3	10000	0		0	0		0																																																																																		1	1	20005		
30001070			1	0	200003	3	10000	0		0	0		0																																																																																		1	1	20005		
30001080			1	0	200003	3	10000	0		0	0		0																																																																																		1	1	20005		
30001090			1	0	200003	0.6	10000	200001	0.6	10000	0		0																																																																																		1	1	20005		
30001100			1	0	200003	0.6	10000	200001	0.6	10000	0		0																																																																																		1	1	20005		
30001110			1	0	200002	0.3	10000	0		0	0		0																																																																																		1	1	20005		
30001120			1	0	200001	0.1875	10000	200002	0.1875	10000	0		0																																																																																		1	1	20005		
30001130			1	0	200001	0.1875	10000	200002	0.1875	10000	0		0																																																																																		1	1	20005		
30001140			1	0	200001	0.1875	10000	200002	0.1875	10000	0		0																																																																																		1	1	20005		
30001150			1	0	200001	0.1875	10000	200002	0.1875	10000	0		0																																																																																		1	1	20005		
30001160			1	0	200001	0.1875	10000	200002	0.1875	10000	0		0																																																																																		1	1	20005		
30001170			1	0	200001	0.1875	10000	200002	0.1875	10000	0		0																																																																																		1	1	20005		
30001180			1	0	200001	0.1875	10000	200002	0.1875	10000	0		0																																																																																		1	1	20005		
30001190			1	0	200001	0.1875	10000	200002	0.1875	10000	0		0																																																																																		1	1	20005		
30001200			1	0	200001	0.1875	10000	200002	0.1875	10000	0		0																																																																																		1	1	20005		
