ID	充能技能	天赋技能	技能1	技能2	技能3	技能4	次级技能	瞄准模式	队长天赋	额外Ability1	额外Ability2	额外Ability3	天赋1	天赋2	天赋3	天赋4	天赋5	天赋6	天赋星盘名称	核心得意技组ID	核心得意技组激活所需角色突破等级	固有得意技组1ID	固有得意技组1激活所需角色突破等级	固有得意技组2ID	固有得意技组2激活所需角色突破等级	固有得意技组3ID	固有得意技组3激活所需角色突破等级	固有得意技组4ID	固有得意技组4激活所需角色突破等级	固有得意技组5ID	固有得意技组5激活所需角色突破等级
701			10055				10035,10101,10001,10102						0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
702			10055				10101,10001,10102,10055						0	0	0	0	0	0	Talent_PlayerGirl_Fire	0	0	0	0	0	0	0	0	0	0	0	0
703			10055				10101,10001,10102,10055						0	0	0	0	0	0	Talent_PlayerGirl_Water	0	0	0	0	0	0	0	0	0	0	0	0
704	10068		100553	10067			10101,10001,10102,10006,10055		1481	Avatar_PlayerGirl_ExtraAttack_Wind			71	72	73	74	75	76	Talent_PlayerGirl_Wind	711	0	721	1	722	3	0	0	0	0	0	0
705			10055				10101,10001,10102,10055						0	0	0	0	0	0	Talent_PlayerGirl_Ice	0	0	0	0	0	0	0	0	0	0	0	0
706	10078		100555	10077			10101,10001,10102,10055		1641	Avatar_PlayerGirl_ExtraAttack_Rock			91	92	93	94	95	96	Talent_PlayerGirl_Rock	911	0	921	1	922	3	0	0	0	0	0	0
707			10055				10101,10001,10102,10055						0	0	0	0	0	0	Talent_PlayerGirl_Electric	0	0	0	0	0	0	0	0	0	0	0	0
708			10055				10101,10001,10102,10055						0	0	0	0	0	0	Talent_PlayerGirl_Grass	0	0	0	0	0	0	0	0	0	0	0	0
1401	10072		10070	10071			10076,10079,10080,10101,10102,10003		1560				141	142	143	144	145	146	Talent_Barbara	1411	0	1421	1	1422	3	1423	0	0	0	0	0
1501	10075		10073	10074			10081,10101,10001,10102		1050				151	152	153	154	155	156	Talent_Kaeya	1511	0	1521	1	1522	3	1523	0	0	0	0	0
1601	10165		10160	10161			10162,10163,10101,10102		1400				161	162	163	164	165	166	Talent_Diluc	1611	0	1621	1	1622	3	1623	0	0	0	0	0
2001	10203		10201	10202			10204,10101,10102		2011				201	202	203	204	205	206	Talent_Razor	2011	0	2021	1	2022	3	2023	0	0	0	0	0
2101	10017		10041	10032			10042,10043,10211,10101,10102	20000	1000				211	212	213	214	215	216	Talent_Ambor	2111	0	2121	1	2122	3	2123	0	0	0	0	0
2201	10225		10221	10224			10222,10223,10101,10102	20000	2211				221	222	223	224	225	226	Talent_Venti	2211	0	2221	1	2222	3	2223	0	0	0	0	0
2301	10235		10231	10232			10101,10002,10102		2311				231	232	233	234	235	236	Talent_Xiangling	2311	0	2321	1	2322	3	2323	0	0	0	0	0
2401	10245		10241	10242			10101,10102						241	242	243	244	245	246	Talent_Beidou	2411	0	2421	1	2422	3	2423	0	0	0	0	0
2501	10385		10381	10382			10101,10102,10001						251	252	253	254	255	256	Talent_Xingqiu	2511	0	2521	1	2522	3	0	0	0	0	0	0
2601	10265		10261	10262			10101,10102,10002,10263,10264						261	262	263	264	265	266	Talent_Xiao	2611	0	2621	1	2622	3	2623	0	0	0	0	0
2701	10274		10271	10272			10101,10102,10003,10273,10275						271	272	273	274	275	276	Talent_Ningguang	2711	0	2721	1	2722	3	2723	0	0	0	0	0
2901	10295		10291	10292			10300,10101,10102,10003						291	292	293	294	295	296	Talent_Klee	2911		2921	1	2922	3	0	0				
3001	10303		10301	10302			10101,10102,10002						301	302	303	304	305	306	Talent_Zhongli	3011	0	3021	1	3022	3	3023	0	0	0	0	0
3101	10313		10311	10312			10314,10315,10316,10101,10102	20000					311	312	313	314	315	316	Talent_Fischl	3111		3121	1	3122	3	0	0				
3201	10323		10321	10322			10101,10102,10001						321	322	323	324	325	326	Talent_Bennett	3211		3221	1	3222	3	0	0				
3301	10333		10331	10332			10334,10335,10336,10337,10101,10102,10001	20000					331	332	333	334	335	336	Talent_Tartaglia	3311		3321	1	3322	3	3323	0				
3401	10343		10341	10342			10101,10102						341	342	343	344	345	346	Talent_Noel	3411		3421	1	3422	3	0	0				
3501	10353		10351	10352			10101,10102						0	0	0	0	0	0	Talent_Noel	0		0	0	0	0	0	0				
3701	10373		10371	10372			10374,10101,10102	20000					0	0	0	0	0	0	Talent_Noel	0		0	0	0	0	0	0				
8011													0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
9011													0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
10011													0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
12011													0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
13011													0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
25011	10255		10251	10362			10252,10253,10101,10102	20000					0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
28011	10283		10281	10282			10101,10102						0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
30011	11305		11301	11302			10101,10102						311	312	313	314	315	316		3111	0	3121	1	3122	3	0	0	0	0	0	0
37011	11373		11371	11372			11374,11375,10101,10102	20000					0	0	0	0	0	0	Talent_Test_NoStar 	0	0	0	0	0	0	0	0	0	0	0	0
38001			10241	10061			10101,10102															0	0	0	0	0	0	0	0	0	0
40001	10403		10401	10402			10101,10102															0	0	0	0	0	0	0	0	0	0
46011	10463		10461	10462			10081,10101,10001,10102						0	0	0	0	0	0	Talent_Kaeya	0	0	0	0	0	0	0	0	0	0	0	0
