最小等级	总索引	掉落ID	掉落次数
90	遗迹守卫	337001800	1
95	遗迹守卫	337001900	1
100	遗迹守卫	337002000	1
105	遗迹守卫	337002100	1
110	遗迹守卫	337002200	1
115	遗迹守卫	337002300	1
120	遗迹守卫	337002400	1
1	采集动物	381000000	1
5	采集动物	381000100	1
10	采集动物	381000200	1
15	采集动物	381000300	1
20	采集动物	381000400	1
25	采集动物	381000500	1
30	采集动物	381000600	1
35	采集动物	381000700	1
40	采集动物	381000800	1
45	采集动物	381000900	1
50	采集动物	381001000	1
55	采集动物	381001100	1
60	采集动物	381001200	1
65	采集动物	381001300	1
70	采集动物	381001400	1
75	采集动物	381001500	1
80	采集动物	381001600	1
85	采集动物	381001700	1
90	采集动物	381001800	1
95	采集动物	381001900	1
100	采集动物	381002000	1
105	采集动物	381002100	1
110	采集动物	381002200	1
115	采集动物	381002300	1
120	采集动物	381002400	1
1	走兽	382000000	1
5	走兽	382000100	1
10	走兽	382000200	1
15	走兽	382000300	1
20	走兽	382000400	1
25	走兽	382000500	1
30	走兽	382000600	1
35	走兽	382000700	1
40	走兽	382000800	1
45	走兽	382000900	1
50	走兽	382001000	1
55	走兽	382001100	1
60	走兽	382001200	1
65	走兽	382001300	1
70	走兽	382001400	1
75	走兽	382001500	1
80	走兽	382001600	1
85	走兽	382001700	1
90	走兽	382001800	1
95	走兽	382001900	1
100	走兽	382002000	1
105	走兽	382002100	1
110	走兽	382002200	1
115	走兽	382002300	1
120	走兽	382002400	1
1	鸟类	383000000	1
5	鸟类	383000100	1
10	鸟类	383000200	1
15	鸟类	383000300	1
20	鸟类	383000400	1
25	鸟类	383000500	1
30	鸟类	383000600	1
35	鸟类	383000700	1
40	鸟类	383000800	1
45	鸟类	383000900	1
50	鸟类	383001000	1
55	鸟类	383001100	1
60	鸟类	383001200	1
65	鸟类	383001300	1
70	鸟类	383001400	1
75	鸟类	383001500	1
80	鸟类	383001600	1
85	鸟类	383001700	1
90	鸟类	383001800	1
95	鸟类	383001900	1
100	鸟类	383002000	1
105	鸟类	383002100	1
110	鸟类	383002200	1
115	鸟类	383002300	1
120	鸟类	383002400	1
1	水族	384000000	1
5	水族	384000100	1
10	水族	384000200	1
15	水族	384000300	1
20	水族	384000400	1
25	水族	384000500	1
30	水族	384000600	1
35	水族	384000700	1
40	水族	384000800	1
45	水族	384000900	1
50	水族	384001000	1
55	水族	384001100	1
60	水族	384001200	1
65	水族	384001300	1
70	水族	384001400	1
75	水族	384001500	1
80	水族	384001600	1
85	水族	384001700	1
90	水族	384001800	1
95	水族	384001900	1
100	水族	384002000	1
105	水族	384002100	1
110	水族	384002200	1
115	水族	384002300	1
120	水族	384002400	1
1	魔法生物	385000000	1
5	魔法生物	385000100	1
10	魔法生物	385000200	1
15	魔法生物	385000300	1
20	魔法生物	385000400	1
25	魔法生物	385000500	1
30	魔法生物	385000600	1
35	魔法生物	385000700	1
40	魔法生物	385000800	1
45	魔法生物	385000900	1
50	魔法生物	385001000	1
55	魔法生物	385001100	1
60	魔法生物	385001200	1
65	魔法生物	385001300	1
70	魔法生物	385001400	1
75	魔法生物	385001500	1
80	魔法生物	385001600	1
85	魔法生物	385001700	1
90	魔法生物	385001800	1
95	魔法生物	385001900	1
100	魔法生物	385002000	1
105	魔法生物	385002100	1
110	魔法生物	385002200	1
115	魔法生物	385002300	1
120	魔法生物	385002400	1
1	无相之雷	401000000	1
5	无相之雷	401000100	1
10	无相之雷	401000200	1
15	无相之雷	401000300	1
20	无相之雷	401000400	1
25	无相之雷	401000500	1
30	无相之雷	401000600	1
35	无相之雷	401000700	1
40	无相之雷	401000800	1
45	无相之雷	401000900	1
50	无相之雷	401001000	1
55	无相之雷	401001100	1
60	无相之雷	401001200	1
65	无相之雷	401001300	1
70	无相之雷	401001400	1
75	无相之雷	401001500	1
80	无相之雷	401001600	1
85	无相之雷	401001700	1
90	无相之雷	401001800	1
95	无相之雷	401001900	1
100	无相之雷	401002000	1
105	无相之雷	401002100	1
110	无相之雷	401002200	1
115	无相之雷	401002300	1
120	无相之雷	401002400	1
1	无相之风	402000000	1
5	无相之风	402000100	1
10	无相之风	402000200	1
15	无相之风	402000300	1
20	无相之风	402000400	1
25	无相之风	402000500	1
30	无相之风	402000600	1
35	无相之风	402000700	1
40	无相之风	402000800	1
45	无相之风	402000900	1
50	无相之风	402001000	1
55	无相之风	402001100	1
60	无相之风	402001200	1
65	无相之风	402001300	1
70	无相之风	402001400	1
75	无相之风	402001500	1
80	无相之风	402001600	1
85	无相之风	402001700	1
90	无相之风	402001800	1
95	无相之风	402001900	1
100	无相之风	402002000	1
105	无相之风	402002100	1
110	无相之风	402002200	1
115	无相之风	402002300	1
120	无相之风	402002400	1
1	无相之岩	403000000	1
5	无相之岩	403000100	1
10	无相之岩	403000200	1
15	无相之岩	403000300	1
20	无相之岩	403000400	1
25	无相之岩	403000500	1
30	无相之岩	403000600	1
35	无相之岩	403000700	1
40	无相之岩	403000800	1
45	无相之岩	403000900	1
50	无相之岩	403001000	1
55	无相之岩	403001100	1
60	无相之岩	403001200	1
65	无相之岩	403001300	1
70	无相之岩	403001400	1
75	无相之岩	403001500	1
80	无相之岩	403001600	1
85	无相之岩	403001700	1
90	无相之岩	403001800	1
95	无相之岩	403001900	1
100	无相之岩	403002000	1
105	无相之岩	403002100	1
110	无相之岩	403002200	1
115	无相之岩	403002300	1
120	无相之岩	403002400	1
1	风魔龙	451000000	1
5	风魔龙	451000100	1
10	风魔龙	451000200	1
15	风魔龙	451000300	1
20	风魔龙	451000400	1
25	风魔龙	451000500	1
30	风魔龙	451000600	1
35	风魔龙	451000700	1
40	风魔龙	451000800	1
45	风魔龙	451000900	1
50	风魔龙	451001000	1
55	风魔龙	451001100	1
60	风魔龙	451001200	1
65	风魔龙	451001300	1
70	风魔龙	451001400	1
75	风魔龙	451001500	1
80	风魔龙	451001600	1
85	风魔龙	451001700	1
90	风魔龙	451001800	1
95	风魔龙	451001900	1
100	风魔龙	451002000	1
105	风魔龙	451002100	1
110	风魔龙	451002200	1
115	风魔龙	451002300	1
120	风魔龙	451002400	1
1	北风狼	452000000	1
5	北风狼	452000100	1
10	北风狼	452000200	1
15	北风狼	452000300	1
20	北风狼	452000400	1
25	北风狼	452000500	1
30	北风狼	452000600	1
35	北风狼	452000700	1
40	北风狼	452000800	1
45	北风狼	452000900	1
50	北风狼	452001000	1
55	北风狼	452001100	1
60	北风狼	452001200	1
65	北风狼	452001300	1
70	北风狼	452001400	1
75	北风狼	452001500	1
80	北风狼	452001600	1
85	北风狼	452001700	1
90	北风狼	452001800	1
95	北风狼	452001900	1
100	北风狼	452002000	1
105	北风狼	452002100	1
110	北风狼	452002200	1
115	北风狼	452002300	1
120	北风狼	452002400	1
