Gacha根ID	道具ID	类型	概率权重	闪卡概率
20001	11407	22	100	0
20001	12401	22	100	0
20001	12402	22	100	0
20001	12404	22	100	0
20001	12406	22	100	0
20001	13401	22	100	0
20001	13404	22	100	0
20001	14401	22	100	0
20001	14402	22	100	0
20001	14403	22	100	0
20001	14404	22	100	0
20001	15401	22	100	0
20001	15402	22	100	0
20001	15403	22	100	0
20001	15404	22	100	0
20001	11405	22	100	0
20001	12405	22	100	0
20001	14407	22	100	0
20001	14408	22	100	0
20001	15405	22	100	0
20001	11301	23	100	0
20001	11302	23	100	0
20001	11306	23	100	0
20001	12301	23	100	0
20001	12302	23	100	0
20001	12305	23	100	0
20001	13303	23	100	0
20001	14301	23	100	0
20001	14302	23	100	0
20001	14304	23	100	0
20001	15301	23	100	0
20001	15302	23	100	0
20001	15304	23	100	0
20001	11304	23	100	0
20001	12304	23	100	0
20001	14306	23	100	0
20001	15306	23	100	0
