对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
41704	2	1		10	1004	1							1		4015142302	1423	
41705	2	1											1		4015142313	1423	
41706	2	1											1		4015142305	1423	
6142301	2	1		19	1								1		614230101	1423	
6142302	2	1		19	2								1		614230201	1423	
6142303	2	1		19	3								1		614230301	1423	
6142304	2	1		19	3								1		614230401	1423	
40166	2	1											3	1010061,46410,41710,41711	4015142501	1425	
6142501	2	1											1		614250101	1425	
41710	2	1											1		4015142519	1425	
41711	2	1											1		4015142505	1425	
40167	2	1													4015142701	1427	
40168	2	1		21	1										4015142901	1429	
40169	2	1		21	0										4015143001	1430	
40170	2	1													4015143101	1431	
6143302	2	1		1	35901	2							4		614330201	1433	
6143303	2	1		1	35901	2							4		614330301	1433	
6143304	2	1		1	35901	2							4		614330401	1433	
40171	2	1											3		4015143301	1433	
40172	2	1											1		4015143501	1435	
40192	2	1											2	46407,41707,41708,41709	4015143551	1435	
41707	2	1	1	10	1002	1							1		4015143502	1435	
41708	2	1											1		4015143516	1435	
41709	2	1											1		4015143505	1435	
40189	2	1											3	40190,40191,40193	4015146501	1465	
40190		1											1		4019001	1465	
40191		1											1		4019101	1465	
40193		1											1		4019301	1465	
40198	2	1		1	35901	2							3		4015146961	1469	
40206	2	1											3	40209,40210	4015148003	1479	
40207	2	1											1	40211	4015148005	1479	
40208	2	1											1	40212	4015148010	1479	
40209	2	1											1	40213	4015148015	1479	
40210	2	1											1	40214	4015148020	1479	
40211	2	1											1		4015148006	1479	
40212	2	1											1		4015148011	1479	
40213	2	1											1	40207,40208	4015148016	1479	
40214	2	1											1		4015148021	1479	
2000201	2	1											3		4012000201	20002	
40173	2	1											2	46418,38601,38701,41603,41604	4015146901	1469	
41601	2	1											1		4015146903	1469	
41602	2	1											1		4015146930	1469	
41603	2	1											1		4015146920	1469	
41604	2	1											1		4015146906	1469	
6145301	2	1													4015145301	1453	
6145101	2	1													4015145101	1451	
6143704	2	1		1	35901	2							4		614370401	1437	
6143705	2	1		1	35901	2							4		614370501	1437	
6143706	2	1		1	35901	2							4		614370601	1437	
6143701	2	1											3	46419,6143702,6143703	614370101	1437	
6143702	2	1											1		614370201	1437	
6143703	2	1											1		614370301	1437	
6143901	2	1											3		4015143901	1439	
6143902	2	1		1	35901	2							4		614390201	1439	
6143903	2	1		1	35901	2							4		614390301	1439	
6143904	2	1		1	35901	2							4		614390401	1439	
6144102	2	1		1	35901	2							4		614410201	1441	
6144103	2	1		1	35901	2							4		614410301	1441	
6144104	2	1		1	35901	2							4		614410401	1441	
6144101	2	1													4015144101	1441	
6160301	2	1		21	1										616030101	1603	
6160302	2	1		21	0										616030201	1603	
6147701	2	1													4015147701	1477	
6147501	2	1											3	6147502,6147503	614750101	1475	
6147502	2	1											1		614750201	1475	
6147503	2	1											1		614750301	1475	
6145501	2	1											3	46414,6145502,6145503	614550101	1455	
6145502	2	1											1		614550201	1455	
6145503	2	1											1		614550301	1455	
6147101	2	1											3	2004207,6147102,6147103,6147104	614710101	1471	
6147102	2	1											1		614710201	1471	
6147103	2	1											1		614710301	1471	
6147104	2	1											1		614710401	1471	
6147301	2	1											3	6147302,6147303,6147304	614730101	1473	
6147302	2	1											1		614730201	1473	
6147303	2	1											1		614730301	1473	
6147304	2	1											1		614730401	1473	
6146101	2	1											3	46415,6146102,6146103	614610101	1461	
6146102	2	1											1		614610201	1461	
6146103	2	1											1		614610301	1461	
6146301	2	1											3	46416,6146302,6146303,6146304	614630101	1463	
6146302	2	1											1		614630201	1463	
6146303	2	1											1		614630301	1463	
6146304	2	1											1		614630401	1463	
6151201	2	1											3	2211101,2010136,2010137,2010138,2010139,2010140,2010141,2010142,6151202,6151203	615120101	1512	
6151202	2	1											1		615120201	1512	
6151203	2	1											1		615120301	1512	
6144504	2	1		1	35901	2							4		614450401	1445	
6144505	2	1		1	35901	2							4		614450501	1445	
6144506	2	1		1	35901	2							4		614450601	1445	
6144501	2	1											3	6144502,6144503	614450101	1445	
6144502	2	1											1		614450201	1445	
6144503	2	1											1		614450301	1445	
6144704	2	1		1	35901	2							4		614470401	1447	
6144705	2	1		1	35901	2							4		614470501	1447	
6144706	2	1		1	35901	2							4		614470601	1447	
6144701	2	1											3	6144702,6144703	614470101	1447	
6144702	2	1											1		614470201	1447	
6144703	2	1											1		614470301	1447	
6144904	2	1		1	35901	2							4		614490401	1449	
6144905	2	1		1	35901	2							4		614490501	1449	
6144906	2	1		1	35901	2							4		614490601	1449	
6144901	2	1											3	6144902,6144903	614490101	1449	
6144902	2	1											1		614490201	1449	
6144903	2	1											1		614490301	1449	
6145704	2	1		1	35901	2							4		614570401	1457	
6145705	2	1		1	35901	2							4		614570501	1457	
6145706	2	1		1	35901	2							4		614570601	1457	
6145701	2	1											3	6145702,6145703	614570101	1457	
6145702	2	1											1		614570201	1457	
6145703	2	1											1		614570301	1457	
6145904	2	1		1	35901	2							4		614590401	1459	
6145905	2	1		1	35901	2							4		614590501	1459	
6145906	2	1		1	35901	2							4		614590601	1459	
6145901	2	1											3	6145902,6145903	614590101	1459	
6145902	2	1											1		614590201	1459	
6145903	2	1											1		614590301	1459	
6159701	2	1											3	6159702,6159703,6159704	615970101	1597	
6159702	2	1											1		615970201	1597	
6159703	2	1											1		615970301	1597	
6159704	2	1											1		615970401	1597	
6159801	2	1											3	6159802,6159803,6159804	615980101	1598	
6159802	2	1											1		615980201	1598	
6159803	2	1											1		615980301	1598	
6159804	2	1											1		615980401	1598	
6159901	2	1													615990101	1599	
6160001	2	1													615990101	1600	
6160101	2	1											3	6160102,6160103,6160104	616010101	1601	
6160102	2	1											1		616010201	1601	
6160103	2	1											1		616010301	1601	
6160104	2	1											1		616010401	1601	
6160201	2	1											3	6160202,6160203,6160204	616020101	1602	
6160202	2	1											1		616020201	1602	
6160203	2	1											1		616020301	1602	
6160204	2	1											1		616020401	1602	
6144305	2	1		1	35901	2							4		614430501	1443	
6144306	2	1		1	35901	2							4		614430601	1443	
6144307	2	1		1	35901	2							4		614430701	1443	
6144301	2	1											3	6144302,6144303,6144304	614430101	1443	
6144302	2	1											1		614430201	1443	
6144303	2	1											1		614430301	1443	
6144304	2	1											1		614430401	1443	
6160401	2	1											3	6160402,6160403,6160404	616040101	1604	
6160402	2	1											1		616040201	1604	
6160403	2	1											1		616040301	1604	
6160404	2	1											1		616040401	1604	
6160501	2	1											3	6160502,6160503,6160504	616050101	1605	
6160502	2	1											1		616050201	1605	
6160503	2	1											1		616050301	1605	
6160504	2	1											1		616050401	1605	
6160601	2	1											3	6160602,6160603,6160604	616060101	1606	
6160602	2	1											1		616060201	1606	
6160603	2	1											1		616060301	1606	
6160604	2	1											1		616060401	1606	
6160701	2	1											3	6160702,6160703,6160704	616070101	1607	
6160702	2	1											1		616070201	1607	
6160703	2	1											1		616070301	1607	
6160704	2	1											1		616070401	1607	
6160801	2	1											3	6160802,6160803,6160804	616080101	1608	
6160802	2	1											1		616080201	1608	
6160803	2	1											1		616080301	1608	
6160804	2	1											1		616080401	1608	
6157701	2	1											3	6157702,6157703	615770101	1577	
6157702	2	1											1		615770201	1577	
6157703	2	1											1		615770301	1577	
6157401	2	1											3	6157402,6157403	615740101	1574	
6157402	2	1											1		615740201	1574	
6157403	2	1											1		615740301	1574	
6159301	2	1											3	6159302,6159303	615930101	1593	
6159302	2	1											1		615930201	1593	
6159303	2	1											1		615930301	1593	
6157801	2	1											3	6157802,6157803	615780101	1578	
6157802	2	1											1		615780201	1578	
6157803	2	1											1		615780301	1578	
6160901	2	1											3		616090101	1609	
6161001	2	1											3		616090101	1610	
6242701	2	1											3	6242702,6242703,6242704	624270101	2427	
6242702	2	1											1		624270201	2427	
6242703	2	1											1		624270301	2427	
6242704	2	1											1		624270401	2427	
6230501	2	1											3	6230502,6230503	623050101	2305	
6230502	2	1											1		623050201	2305	
6230503	2	1											1		623050301	2305	
6162401	2	1											3	1200005,6162402,6162403	616240101	1624	
6162402	2	1											1		616240201	1624	
6162403	2	1											1		616240301	1624	
6162405	2	1		1	1200309	3							4	1200005,6162406,6162407,6162408	616240501	1624	
6162406	2	1		1	1200309	3							1		616240601	1624	
6162407	2	1		1	1200309	3							1		616240701	1624	
6162408	2	1		1	1200309	3							1		616240801	1624	
6230601	2	1											3	6230602,6230603,6230604	623060101	2306	
6230602	2	1											1		623060201	2306	
6230603	2	1											1		623060301	2306	
6230604	2	1											1		623060401	2306	
6230701	2	1											3	6230702,6230703,6230704	623070101	2307	
6230702	2	1											1		623070201	2307	
6230703	2	1											1		623070301	2307	
6230704	2	1											1		623070401	2307	
6230201	2	1											3	6230202,6230203,6230204	623020101	2302	
6230202	2	1											1		623020201	2302	
6230203	2	1											1		623020301	2302	
6230204	2	1											1		623020401	2302	
6163001	2	1											3	6163002,6163003,6163004	616300101	1630	
6163002	2	1											1		616300201	1630	
6163003	2	1											1		616300301	1630	
6163004	2	1											1		616300401	1630	
6163101	2	1											3	6163102,6163103,6163104	616310101	1631	
6163102	2	1											1		616310201	1631	
6163103	2	1											1		616310301	1631	
6163104	2	1											1		616310401	1631	
6163201	2	1											3	6163202,6163203	616320101	1632	
6163202	2	1											1		616320201	1632	
6163203	2	1											1		616320301	1632	
6162501	2	1											3	6162502,6162503	616250101	1625	
6162502	2	1											1		616250201	1625	
6162503	2	1											1		616250301	1625	
6162901	2	1											3	6162902,6162903,6162904	616290101	2430	
6162902	2	1											1		616290201	2430	
6162903	2	1											1		616290301	2430	
6162904	2	1											1		616290401	2430	
6240001	2	1											3	6240002,6240003,6240004	624000101	2400	
6240002	2	1											1		624000201	2400	
6240003	2	1											1		624000301	2400	
6240004	2	1											1		624000401	2400	
6240101	2	1											3	6240102,6240103,6240104	624010101	2401	
6240102	2	1											1		624010201	2401	
6240103	2	1											1		624010301	2401	
6240104	2	1											1		624010401	2401	
6240201	2	1											3	6240202,6240203	624020101	2402	
6240202	2	1											1		624020201	2402	
6240203	2	1											1		624020301	2402	
6240301	2	1											3	6240302,6240303	624030101	2403	
6240302	2	1											1		624030201	2403	
6240303	2	1											1		624030301	2403	
6240401	2	1											3	6240402,6240403,6240404	624040101	2404	
6240402	2	1											1		624040201	2404	
6240403	2	1											1		624040301	2404	
6240404	2	1											1		624040401	2404	
6240501	2	1											3	6240502,6240503,6240504	624050101	2405	
6240502	2	1											1		624050201	2405	
6240503	2	1											1		624050301	2405	
6240504	2	1											1		624050401	2405	
6240601	2	1											3	6240602,6240603,6240604	624060101	2406	
6240602	2	1											1		624060201	2406	
6240603	2	1											1		624060301	2406	
6240604	2	1											1		624060401	2406	
6240701	2	1											3	6240702,6240703,6240704	624070101	2407	
6240702	2	1											1		624070201	2407	
6240703	2	1											1		624070301	2407	
6240704	2	1											1		624070401	2407	
6240801	2	1											3	6240802,6240803,6240804	624080101	2408	
6240802	2	1											1		624080201	2408	
6240803	2	1											1		624080301	2408	
6240804	2	1											1		624080401	2408	
6240901	2	1											3	6240902,6240903,6240904	624090101	2409	
6240902	2	1											1		624090201	2409	
6240903	2	1											1		624090301	2409	
6240904	2	1											1		624090401	2409	
6241001	2	1											3	6241002,6241003	624100101	2410	
6241002	2	1											1		624100201	2410	
6241003	2	1											1		624100301	2410	
6241101	2	1											3	6241102,6241103	624110101	2411	
6241102	2	1											1		624110201	2411	
6241103	2	1											1		624110301	2411	
6241801	2	1											3	6241802,6241803,6241804	624180101	2418	
6241802	2	1											1		624180201	2418	
6241803	2	1											1		624180301	2418	
6241804	2	1											1		624180401	2418	
6241901	2	1											3	6241902,6241903	624190101	2419	
6241902	2	1											1		624190201	2419	
6241903	2	1											1		624190301	2419	
6242001	2	1											3	6242002,6242003,6242004	624200101	2420	
6242002	2	1											1		624200201	2420	
6242003	2	1											1		624200301	2420	
6242004	2	1											1		624200401	2420	
6242101	2	1											3	6242102,6242103	624210101	2421	
6242102	2	1											1		624210201	2421	
6242103	2	1											1		624210301	2421	
6242201	2	1											3	6242202,6242203,6242204	624220101	2422	
6242202	2	1											1		624220201	2422	
6242203	2	1											1		624220301	2422	
6242204	2	1											1		624220401	2422	
6220001	2	1											3	6220002,6220003	622000101	2200	
6220002	2	1											1		622000201	2200	
6220003	2	1											1		622000301	2200	
6220101	2	1											3	6220102,6220103	622010101	2201	
6220102	2	1											1		622010201	2201	
6220103	2	1											1		622010301	2201	
6220201	2	1											3	6220202,6220203,6220204	622020101	2202	
6220202	2	1											1		622020201	2202	
6220203	2	1											1		622020301	2202	
6220204	2	1											1		622020401	2202	
6220301	2	1											3	6220302,6220303	622030101	2203	
6220302	2	1											1		622030201	2203	
6220303	2	1											1		622030301	2203	
6220401	2	1											3	6220402,6220403	622040101	2204	
6220402	2	1											1		622040201	2204	
6220403	2	1											1		622040301	2204	
6220405	2	1		1	100317	3							4	6220406,6220407	622040501	2204	
6220406	2	1		1	100317	3							1		622040601	2204	
6220407	2	1		1	100317	3							1		622040701	2204	
6220501	2	1											3	6220502,6220503	622050101	2205	
6220502	2	1											1		622050201	2205	
6220503	2	1											1		622050301	2205	
6230001	2	1											3	6230002,6230003,6230004	623000101	2300	
6230002	2	1											1		623000201	2300	
6230003	2	1											1		623000301	2300	
6230004	2	1											1		623000401	2300	
6230801	2	1											3	6230802,6230803,6230804	623080101	2308	
6230802	2	1											1		623080201	2308	
6230803	2	1											1		623080301	2308	
6230804	2	1											1		623080401	2308	
6230301	2	1											3	6230302,6230303	623030101	2303	
6230302	2	1											1		623030201	2303	
6230303	2	1											1		623030301	2303	
6230401	2	1											3	6230402,6230403	623040101	2304	
6230402	2	1											1		623040201	2304	
6230403	2	1											1		623040301	2304	
6230901	2	1											3	6230902,6230903	623090101	2309	
6230902	2	1											1		623090201	2309	
6230903	2	1											1		623090301	2309	
6220601	2	1		21	1								3	6220602,6220603	622060101	2206	
6220602	2	1		21	1								1		622060201	2206	
6220603	2	1		21	1								1		622060301	2206	
6220604	2	1		21	0								3	6220605,6220606	622060401	2206	
6220605	2	1		21	0								1		622060501	2206	
6220606	2	1		21	0								1		622060601	2206	
6220701	2	1											3	6220702,6220703	622070101	2207	
6220702	2	1											1		622070201	2207	
6220703	2	1											1		622070301	2207	
6221101	2	1											3	6221102,6221103	622110101	2211	
6221102	2	1											1		622110201	2211	
6221103	2	1											1		622110301	2211	
6220801	2	1											3	6220802,6220803,6220804	622080101	2208	
6220802	2	1											1		622080201	2208	
6220803	2	1											1		622080301	2208	
6220804	2	1											1		622080401	2208	
6220805	2	1		1	100317	3							4	6220806,6220803,6220804	622080501	2208	
6220806	2	1		1	100317	3							1		622080601	2208	
6221001	2	1											3	6221002,6221003	622100101	2210	
6221002	2	1											1		622100201	2210	
6221003	2	1											1		622100301	2210	
6220901	2	1											3	6220902,6220903	622090101	2209	
6220902	2	1											1		622090201	2209	
6220903	2	1											1		622090301	2209	
6201501	2	1		21	1								3		620150101	2015	
6201502	2	1		21	0								3	6201503,6201504	620150201	2015	
6201503	2	1		21	0								1		620150301	2015	
6201504	2	1		21	0								1		620150401	2015	
6200101	2	1		21	1								3		620150101	2001	
6200201	2	1											3	6200202,6200203	620020101	2002	
6200202	2	1											1		620020201	2002	
6200203	2	1											1		620020301	2002	
6200501	2	1											3	6200502,6200503	620050101	2005	
6200502	2	1											1		620050201	2005	
6200503	2	1											1		620050301	2005	
6201601	2	1											3	6201602,6201603	620160101	2016	
6201602	2	1											1		620160201	2016	
6201603	2	1											1		620160301	2016	
6201701	2	1											3	6201702,6201703	620170101	2017	
6201702	2	1											1		620170201	2017	
6201703	2	1											1		620170301	2017	
6200801	2	1		21	1								3		620080101	2008	
6200802	2	1		21	0								3	6200803,6200804	620080201	2008	
6200803	2	1		21	0								1		620080301	2008	
6200804	2	1		21	0								1		620080401	2008	
6205301	2	1		21	1								3		620080101	2053	
6202101	2	1		21	1								3		620210101	2021	
6202102	2	1		21	0								3		620210201	2021	
6202103	2	1		21	0								1		620210301	2021	
6202104	2	1		21	0								1		620210401	2021	
6206001	2	1		21	1								3		620210101	2060	
6202001	2	1											3	6202002,6202003,6202004,6202005	620200101	2020	
6202002	2	1		10	1009	1							1		620200201	2020	
6202003	2	1											1		620200301	2020	
6202004	2	1											1		620200401	2020	
6202005	2	1											1		620200501	2020	
6202201	2	1											3	6202202,6202203,6202204	620220101	2022	
6202202	2	1											1		620220201	2022	
6202203	2	1											1		620220301	2022	
6202204	2	1											1		620220401	2022	
6202301	2	1		21	1								3	6202302,6202303	620230101	2023	
6202302	2	1		21	1								1		620230201	2023	
6202303	2	1		21	1								1		620230301	2023	
6202305	2	1		21	0								3	6202306,6202307	620230501	2023	
6202306	2	1		21	0								1		620230601	2023	
6202307	2	1		21	0								1		620230701	2023	
6206301	2	1											3	6206302,6206303	620630101	2063	
6206302	2	1											1		620630201	2063	
6206303	2	1											1		620630301	2063	
6209101	2	1		21	1								3	6209102,6209103	620910101	2091	
6209102	2	1		21	1								1		620910201	2091	
6209103	2	1		21	1								1		620910301	2091	
6209104	2	1		21	0								3	6209105,6209106	620910401	2091	
6209105	2	1		21	0								1		620910501	2091	
6209106	2	1		21	0								1		620910601	2091	
6201201	2	1											3	6201202,6201203	620120101	2012	
6201202	2	1											1		620120201	2012	
6201203	2	1											1		620120301	2012	
6201301	2	1											3	1200204,6201302,6201303,6201304	620130101	2013	
1200204	2	1		1	1200204	2							1		120020401	2013	12002
6201302	2	1											1		620130201	2013	
6201303	2	1											1		620130301	2013	
6201304	2	1											1		620130401	2013	
6202601	2	1		21	1								3	6202602,6202603	620260101	2026	
6202602	2	1		21	1								1		620260201	2026	
6202603	2	1		21	1								1		620260301	2026	
6202604	2	1		21	0								3	6202605,6202606	620260401	2026	
6202605	2	1		21	0								1		620260501	2026	
6202606	2	1		21	0								1		620260601	2026	
6202701	2	1											3		620270101	2027	
6202801	2	1											3		620270101	2028	
6202901	2	1		21	1								3	6202902,6202903	620290101	2029	
6202902	2	1		21	1								1		620290201	2029	
6202903	2	1		21	1								1		620290301	2029	
6202904	2	1		21	0								3	6202905,6202906	620290401	2029	
6202905	2	1		21	0								1		620290501	2029	
6202906	2	1		21	0								1		620290601	2029	
6201401	2	1											3	6201402,6201403	620140101	2014	
6201402	2	1											1		620140201	2014	
6201403	2	1											1		620140301	2014	
6206201	2	1											3		620620101	2062	
6162601	2	1											3		620620101	1626	
6162701	2	1											3	6162702,6162703,6162704	616270101	1627	
6162702	2	1											1		616270201	1627	
6162703	2	1											1		616270301	1627	
6162704	2	1											1		616270401	1627	
6207301	2	1											3	6207302,6207303,6207304	620730101	2073	
6207302	2	1											1		620730201	2073	
6207303	2	1											1		620730301	2073	
6207304	2	1											1		620730401	2073	
6207305	2	1		1	1200309	3							4	6207306,6207303,6207304	620730501	2073	
6207306	2	1		1	1200309	3							1		620730601	2073	
6208401	2	1											3	6208402,6208403	620840101	2084	
6208402	2	1											1		620840201	2084	
6208403	2	1											1		620840301	2084	
