对话ID	触发方式	启用模式	[触发条件]组合	[触发条件]1类型	[触发条件]1参数1	[触发条件]1参数2	[触发条件]1参数3	[触发条件]2类型	[触发条件]2参数1	[触发条件]2参数2	[触发条件]2参数3	[触发条件]3类型	[触发条件]3参数1	[触发条件]3参数2	[触发条件]3参数3	优先级	后续对话ID	初始台词ID	演员NpcID	专属父任务ID
2230404																5		223040401	2013	22304
2230405	2		1	1	2230401	3		28	25900							5		223040501	2033	22304
2230406	2			1	2230405	2		3	100395	1						5		223040601	2013	22304
2230407	2		1	1	2230404	2		2	2230403	3		2	2230402	2		5	2230403,2230404	223040701	2013	22304
2230409	2			1	2230405	2		3	100396	1						5		223040901	2013	22304
2230501	2			1	2230501	2										5		223050101	2054	22305
2230502	2			1	2230502	2										5	2230503,2230504,2230505,2230515,2230518	223050201	2054	22305
2230503				3	202	200										5		223050301	2054	22305
2230504				3	202	400										5		223050401	2054	22305
2230505				3	202	600										5		223050501	2054	22305
2230506	2			1	2230506	2										5	2230516,2230507,2230508,2230509	223050601	2054	22305
2230507																5		223050701	2054	22305
2230508																5		223050801	2054	22305
2230509																5		223050901	2054	22305
2230510	2		1	1	2230513	2		26	4	6	22305	26	1	1	22305	5	2230511,2230512,2230513	223051001	2054	22305
2230511				1	2230514	2										5		223051101	2054	22305
2230512				1	2230515	2										5		223051201	2054	22305
2230513				1	2230516	2										5		223051301	2054	22305
2230514	2			1	2230517	2										5		223051401	2054	22305
2230515				3	202	200										5		223051501	2054	22305
2230516																5		223051601	2054	22305
2230517	2			24	1	1	22305									5	2230511,2230512,2230513	223051701	2054	22305
2230518				8	202	200										5		223050501	2054	22305
2230601	2			1	2230601	2										5		223060101	2033	22306
2230602	2		1	1	2230602	2		2	2230604	3						5	2230608	223060201	2013	22306
2230608																5	2230603,2230604	223060801	2013	22306
2230603				3	202	100										5		223060301	2013	22306
2230604																5		223060401	2013	22306
2230605	2		1	28	25901			1	2230601	3						5		223060501	2033	22306
2230606	2			1	2230605	2		3	100395	1						5		223060601	2013	22306
2230607	2		1	1	2230604	2		2	2230603	3		2	2230602	2		5	2230603,2230604	223060701	2013	22306
2230609	2			1	2230605	2		3	100396	1						5		223060901	2013	22306
2230701	2			1	2230701	2										5		223070101	2033	22307
2230702	2		1	1	2230702	2		2	2230704	3						5	2230708	223070201	2013	22307
2230708																5	2230703,2230704	223070801	2013	22307
2230703				3	202	100										5		223070301	2013	22307
2230704																5		223070401	2013	22307
2230705	2		1	28	25902			1	2230701	3						5		223070501	2033	22307
2230706	2			1	2230705	2		3	100395	1						5		223070601	2013	22307
2230707	2		1	1	2230704	2		2	2230703	3		2	2230702	2		5	2230703,2230704	223070701	2013	22307
2230709	2			1	2230705	2		3	100396	1						5		223070901	2013	22307
